station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KOP;01.11.1960 00:00;;;0
KOP;02.11.1960 00:00;;;0
KOP;03.11.1960 00:00;;;0
KOP;04.11.1960 00:00;;;0
KOP;05.11.1960 00:00;;;0
KOP;06.11.1960 00:00;;;0
KOP;07.11.1960 00:00;;;0
KOP;08.11.1960 00:00;;;0
KOP;09.11.1960 00:00;;;0
KOP;10.11.1960 00:00;;;0
KOP;11.11.1960 00:00;;;0
KOP;12.11.1960 00:00;;;0
KOP;13.11.1960 00:00;;;0
KOP;14.11.1960 00:00;;;0
KOP;15.11.1960 00:00;;;0
KOP;16.11.1960 00:00;;;0
KOP;17.11.1960 00:00;;;0
KOP;18.11.1960 00:00;;;0
KOP;19.11.1960 00:00;;;0
KOP;20.11.1960 00:00;;;0
KOP;21.11.1960 00:00;;;0
KOP;22.11.1960 00:00;;;0
KOP;23.11.1960 00:00;;;0
KOP;24.11.1960 00:00;;;0
KOP;25.11.1960 00:00;;;0
KOP;26.11.1960 00:00;;;0
KOP;27.11.1960 00:00;;;0
KOP;28.11.1960 00:00;;;0
KOP;29.11.1960 00:00;;;0
KOP;30.11.1960 00:00;;;0
KOP;01.12.1960 00:00;0;0;0
KOP;02.12.1960 00:00;0;0;0
KOP;03.12.1960 00:00;0;0;0
KOP;04.12.1960 00:00;4.5;0;0
KOP;05.12.1960 00:00;16.2;0;0
KOP;06.12.1960 00:00;2.3;0;0
KOP;07.12.1960 00:00;0.3;0;0
KOP;08.12.1960 00:00;0;0;0
KOP;09.12.1960 00:00;0.3;0;0
KOP;10.12.1960 00:00;0;0;0
KOP;11.12.1960 00:00;0;0;0
KOP;12.12.1960 00:00;0;0;0
KOP;13.12.1960 00:00;0;0;0
KOP;14.12.1960 00:00;0;0;0
KOP;15.12.1960 00:00;0;0;0
KOP;16.12.1960 00:00;0;0;0
KOP;17.12.1960 00:00;0.1;0;0
KOP;18.12.1960 00:00;2.3;5;0
KOP;19.12.1960 00:00;0;0;5
KOP;20.12.1960 00:00;8.8;4;1
KOP;21.12.1960 00:00;0;0;4
KOP;22.12.1960 00:00;2.1;5;4
KOP;23.12.1960 00:00;0;0;9
KOP;24.12.1960 00:00;0;0;9
KOP;25.12.1960 00:00;0;0;9
KOP;26.12.1960 00:00;2.9;2;7
KOP;27.12.1960 00:00;10.5;9;9
KOP;28.12.1960 00:00;0.7;1;15
KOP;29.12.1960 00:00;0;0;14
KOP;30.12.1960 00:00;0.2;0;14
KOP;31.12.1960 00:00;0;0;14
KOP;01.01.1961 00:00;2.5;0;12
KOP;02.01.1961 00:00;3.1;0;10
KOP;03.01.1961 00:00;14.4;0;9
KOP;04.01.1961 00:00;1.6;1;7
KOP;05.01.1961 00:00;0.1;0;7
KOP;06.01.1961 00:00;2.5;2;7
KOP;07.01.1961 00:00;0.8;0;9
KOP;08.01.1961 00:00;1;0;9
KOP;09.01.1961 00:00;3.5;0;8
KOP;10.01.1961 00:00;2.3;3;6
KOP;11.01.1961 00:00;0.2;0;9
KOP;12.01.1961 00:00;0;0;4
KOP;13.01.1961 00:00;0;0;3
KOP;14.01.1961 00:00;0;0;3
KOP;15.01.1961 00:00;0;0;3
KOP;16.01.1961 00:00;0;0;3
KOP;17.01.1961 00:00;0;0;3
KOP;18.01.1961 00:00;0;0;3
KOP;19.01.1961 00:00;0;0;3
KOP;20.01.1961 00:00;1;1;3
KOP;21.01.1961 00:00;0.3;0;4
KOP;22.01.1961 00:00;0.9;1;3
KOP;23.01.1961 00:00;15.7;6;4
KOP;24.01.1961 00:00;10.7;6;9
KOP;25.01.1961 00:00;1.7;0;15
KOP;26.01.1961 00:00;0;0;10
KOP;27.01.1961 00:00;0;0;10
KOP;28.01.1961 00:00;3.5;1;10
KOP;29.01.1961 00:00;0;0;10
KOP;30.01.1961 00:00;4.4;0;8
KOP;31.01.1961 00:00;13.8;0;5
KOP;01.02.1961 00:00;2.5;0;0
KOP;02.02.1961 00:00;13.2;0;0
KOP;03.02.1961 00:00;11;0;0
KOP;04.02.1961 00:00;4.7;0;0
KOP;05.02.1961 00:00;6.6;0;0
KOP;06.02.1961 00:00;0.7;0;0
KOP;07.02.1961 00:00;2.4;0;0
KOP;08.02.1961 00:00;0;0;0
KOP;09.02.1961 00:00;2.2;0;0
KOP;10.02.1961 00:00;0;0;0
KOP;11.02.1961 00:00;4.9;0;0
KOP;12.02.1961 00:00;6.6;0;0
KOP;13.02.1961 00:00;0;0;0
KOP;14.02.1961 00:00;0;0;0
KOP;15.02.1961 00:00;0;0;0
KOP;16.02.1961 00:00;0;0;0
KOP;17.02.1961 00:00;0;0;0
KOP;18.02.1961 00:00;0;0;0
KOP;19.02.1961 00:00;0;0;0
KOP;20.02.1961 00:00;0;0;0
KOP;21.02.1961 00:00;0;0;0
KOP;22.02.1961 00:00;0;0;0
KOP;23.02.1961 00:00;0;0;0
KOP;24.02.1961 00:00;0;0;0
KOP;25.02.1961 00:00;0;0;0
KOP;26.02.1961 00:00;0.1;0;0
KOP;27.02.1961 00:00;0;0;0
KOP;28.02.1961 00:00;10.1;0;0
KOP;01.03.1961 00:00;3;0;0
KOP;02.03.1961 00:00;0.1;0;0
KOP;03.03.1961 00:00;0.1;0;0
KOP;04.03.1961 00:00;0;0;0
KOP;05.03.1961 00:00;0;0;0
KOP;06.03.1961 00:00;0;0;0
KOP;07.03.1961 00:00;0;0;0
KOP;08.03.1961 00:00;0;0;0
KOP;09.03.1961 00:00;0;0;0
KOP;10.03.1961 00:00;0;0;0
KOP;11.03.1961 00:00;0;0;0
KOP;12.03.1961 00:00;0;0;0
KOP;13.03.1961 00:00;0;0;0
KOP;14.03.1961 00:00;0;0;0
KOP;15.03.1961 00:00;0;0;0
KOP;16.03.1961 00:00;0;0;0
KOP;17.03.1961 00:00;0;0;0
KOP;18.03.1961 00:00;11.3;0;0
KOP;19.03.1961 00:00;0;0;0
KOP;20.03.1961 00:00;0;0;0
KOP;21.03.1961 00:00;1.3;0;0
KOP;22.03.1961 00:00;0;0;0
KOP;23.03.1961 00:00;0;0;0
KOP;24.03.1961 00:00;0;0;0
KOP;25.03.1961 00:00;0;0;0
KOP;26.03.1961 00:00;0;0;0
KOP;27.03.1961 00:00;0;0;0
KOP;28.03.1961 00:00;0;0;0
KOP;29.03.1961 00:00;1;0;0
KOP;30.03.1961 00:00;4.2;0;0
KOP;31.03.1961 00:00;0.4;0;0
KOP;01.04.1961 00:00;3.9;0;0
KOP;02.04.1961 00:00;0;0;0
KOP;03.04.1961 00:00;0;0;0
KOP;04.04.1961 00:00;0;0;0
KOP;05.04.1961 00:00;0;0;0
KOP;06.04.1961 00:00;0;0;0
KOP;07.04.1961 00:00;0.6;0;0
KOP;08.04.1961 00:00;0.3;0;0
KOP;09.04.1961 00:00;0;0;0
KOP;10.04.1961 00:00;20.5;0;0
KOP;11.04.1961 00:00;0;0;0
KOP;12.04.1961 00:00;0;0;0
KOP;13.04.1961 00:00;2.4;0;0
KOP;14.04.1961 00:00;9;0;0
KOP;15.04.1961 00:00;2.3;0;0
KOP;16.04.1961 00:00;2;0;0
KOP;17.04.1961 00:00;2.1;0;0
KOP;18.04.1961 00:00;3.4;0;0
KOP;19.04.1961 00:00;0;0;0
KOP;20.04.1961 00:00;2.1;0;0
KOP;21.04.1961 00:00;4.4;0;0
KOP;22.04.1961 00:00;5.3;0;0
KOP;23.04.1961 00:00;16.2;0;0
KOP;24.04.1961 00:00;3;0;0
KOP;25.04.1961 00:00;15.9;0;0
KOP;26.04.1961 00:00;3.7;0;0
KOP;27.04.1961 00:00;0;0;0
KOP;28.04.1961 00:00;10;0;0
KOP;29.04.1961 00:00;7.3;0;0
KOP;30.04.1961 00:00;3.2;0;0
KOP;01.05.1961 00:00;1.5;0;0
KOP;02.05.1961 00:00;4.5;0;0
KOP;03.05.1961 00:00;1.7;0;0
KOP;04.05.1961 00:00;0;0;0
KOP;05.05.1961 00:00;1.3;0;0
