station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KRO;01.12.1972 00:00;;5;
KRO;02.12.1972 00:00;;0;40
KRO;03.12.1972 00:00;;0;40
KRO;04.12.1972 00:00;;0;40
KRO;05.12.1972 00:00;;5;35
KRO;06.12.1972 00:00;;0;35
KRO;07.12.1972 00:00;;0;35
KRO;08.12.1972 00:00;;0;30
KRO;09.12.1972 00:00;;10;30
KRO;10.12.1972 00:00;;0;40
KRO;11.12.1972 00:00;;0;40
KRO;12.12.1972 00:00;;0;40
KRO;13.12.1972 00:00;;0;35
KRO;14.12.1972 00:00;;0;35
KRO;15.12.1972 00:00;;0;35
KRO;16.12.1972 00:00;;0;30
KRO;17.12.1972 00:00;;0;30
KRO;18.12.1972 00:00;;0;30
KRO;19.12.1972 00:00;;0;30
KRO;20.12.1972 00:00;;0;30
KRO;21.12.1972 00:00;;0;30
KRO;22.12.1972 00:00;;0;30
KRO;23.12.1972 00:00;;0;30
KRO;24.12.1972 00:00;;0;30
KRO;25.12.1972 00:00;;0;30
KRO;26.12.1972 00:00;;0;30
KRO;27.12.1972 00:00;;0;20
KRO;28.12.1972 00:00;;0;20
KRO;29.12.1972 00:00;;0;20
KRO;30.12.1972 00:00;;0;20
KRO;31.12.1972 00:00;;0;20
KRO;01.01.1973 00:00;0;0;20
KRO;02.01.1973 00:00;0.6;0;20
KRO;03.01.1973 00:00;0.9;0;20
KRO;04.01.1973 00:00;0;0;20
KRO;05.01.1973 00:00;0;0;20
KRO;06.01.1973 00:00;0;0;20
KRO;07.01.1973 00:00;0;0;20
KRO;08.01.1973 00:00;0;0;20
KRO;09.01.1973 00:00;0;0;20
KRO;10.01.1973 00:00;0;0;20
KRO;11.01.1973 00:00;0;0;20
KRO;12.01.1973 00:00;0;0;20
KRO;13.01.1973 00:00;0;0;20
KRO;14.01.1973 00:00;0;0;20
KRO;15.01.1973 00:00;15.4;0;20
KRO;16.01.1973 00:00;6;10;20
KRO;17.01.1973 00:00;0;0;30
KRO;18.01.1973 00:00;2;0;30
KRO;19.01.1973 00:00;1;5;30
KRO;20.01.1973 00:00;0.1;0;30
KRO;21.01.1973 00:00;4.7;0;30
KRO;22.01.1973 00:00;2.2;5;35
KRO;23.01.1973 00:00;0;0;35
KRO;24.01.1973 00:00;0;0;35
KRO;25.01.1973 00:00;0;0;35
KRO;26.01.1973 00:00;1.6;0;35
KRO;27.01.1973 00:00;24.9;20;35
KRO;28.01.1973 00:00;16.5;10;40
KRO;29.01.1973 00:00;3.1;0;50
KRO;30.01.1973 00:00;0.6;0;50
KRO;31.01.1973 00:00;12.4;10;50
KRO;01.02.1973 00:00;2.2;0;60
KRO;02.02.1973 00:00;1.4;0;60
KRO;03.02.1973 00:00;0;0;60
KRO;04.02.1973 00:00;0;0;60
KRO;05.02.1973 00:00;0;0;60
KRO;06.02.1973 00:00;0;0;50
KRO;07.02.1973 00:00;0;0;50
KRO;08.02.1973 00:00;0;0;50
KRO;09.02.1973 00:00;5.4;0;50
KRO;10.02.1973 00:00;17.9;0;50
KRO;11.02.1973 00:00;12.6;20;50
KRO;12.02.1973 00:00;9.4;10;60
KRO;13.02.1973 00:00;6.9;10;60
KRO;14.02.1973 00:00;0;0;70
KRO;15.02.1973 00:00;0;0;70
KRO;16.02.1973 00:00;0;0;70
KRO;17.02.1973 00:00;1;0;60
KRO;18.02.1973 00:00;3.3;0;60
KRO;19.02.1973 00:00;0.9;0;60
KRO;20.02.1973 00:00;0;0;60
KRO;21.02.1973 00:00;6.6;0;60
KRO;22.02.1973 00:00;15.8;0;60
KRO;23.02.1973 00:00;16.8;20;60
KRO;24.02.1973 00:00;2.1;20;80
KRO;25.02.1973 00:00;7.7;10;90
KRO;26.02.1973 00:00;6.7;10;90
KRO;27.02.1973 00:00;3;0;90
KRO;28.02.1973 00:00;0;0;90
KRO;01.03.1973 00:00;0.5;0;90
KRO;02.03.1973 00:00;9.1;0;90
KRO;03.03.1973 00:00;0;10;90
KRO;04.03.1973 00:00;0;0;100
KRO;05.03.1973 00:00;0;0;100
KRO;06.03.1973 00:00;14.9;0;90
KRO;07.03.1973 00:00;6.5;10;80
KRO;08.03.1973 00:00;7.7;10;90
KRO;09.03.1973 00:00;9.4;10;90
KRO;10.03.1973 00:00;1.2;0;100
KRO;11.03.1973 00:00;0;0;90
KRO;12.03.1973 00:00;3.6;0;90
KRO;13.03.1973 00:00;4.2;0;90
KRO;14.03.1973 00:00;0.4;0;90
KRO;15.03.1973 00:00;0;0;90
KRO;16.03.1973 00:00;0;0;90
KRO;17.03.1973 00:00;0;0;90
KRO;18.03.1973 00:00;6.8;0;90
KRO;19.03.1973 00:00;4.8;10;80
KRO;20.03.1973 00:00;0;0;90
KRO;21.03.1973 00:00;0;0;80
KRO;22.03.1973 00:00;0;0;80
KRO;23.03.1973 00:00;0;0;80
KRO;24.03.1973 00:00;0;0;80
KRO;25.03.1973 00:00;0;0;80
KRO;26.03.1973 00:00;0;0;80
KRO;27.03.1973 00:00;0;0;80
KRO;28.03.1973 00:00;0;0;80
KRO;29.03.1973 00:00;1.2;0;70
KRO;30.03.1973 00:00;2.1;0;70
KRO;31.03.1973 00:00;5.1;0;70
KRO;01.04.1973 00:00;0;5;70
KRO;02.04.1973 00:00;19.6;0;70
KRO;03.04.1973 00:00;12.3;20;70
KRO;04.04.1973 00:00;0.9;10;80
KRO;05.04.1973 00:00;0;0;80
KRO;06.04.1973 00:00;7.8;0;70
KRO;07.04.1973 00:00;6.2;10;70
KRO;08.04.1973 00:00;5;10;70
KRO;09.04.1973 00:00;13.5;5;70
KRO;10.04.1973 00:00;20.8;10;70
KRO;11.04.1973 00:00;6.6;30;70
KRO;12.04.1973 00:00;19.7;10;100
KRO;13.04.1973 00:00;5.2;20;110
KRO;14.04.1973 00:00;0;5;120
KRO;15.04.1973 00:00;2.9;0;120
KRO;16.04.1973 00:00;0;0;120
KRO;17.04.1973 00:00;19.2;0;120
KRO;18.04.1973 00:00;24.2;20;120
KRO;19.04.1973 00:00;8.2;10;120
KRO;20.04.1973 00:00;13.4;10;130
KRO;21.04.1973 00:00;0;20;130
KRO;22.04.1973 00:00;0;0;130
KRO;23.04.1973 00:00;0;0;130
KRO;24.04.1973 00:00;5.5;0;130
KRO;25.04.1973 00:00;2.1;0;120
KRO;26.04.1973 00:00;0;0;110
KRO;27.04.1973 00:00;0;0;100
KRO;28.04.1973 00:00;0;0;90
KRO;29.04.1973 00:00;2.8;0;70
KRO;30.04.1973 00:00;0;0;60
KRO;01.05.1973 00:00;0.3;0;50
KRO;02.05.1973 00:00;0;0;50
KRO;03.05.1973 00:00;0;0;50
KRO;04.05.1973 00:00;0;0;40
KRO;05.05.1973 00:00;0;;30
KRO;06.05.1973 00:00;10;;
KRO;07.05.1973 00:00;16.8;5;
KRO;08.05.1973 00:00;15;10;20
KRO;09.05.1973 00:00;2.1;0;20
KRO;10.05.1973 00:00;12;0;20
KRO;11.05.1973 00:00;2.5;0;10
KRO;12.05.1973 00:00;0;0;0
KRO;13.05.1973 00:00;0;0;0
KRO;14.05.1973 00:00;0.4;;
KRO;15.05.1973 00:00;0;0;
KRO;16.05.1973 00:00;0;0;
KRO;17.05.1973 00:00;4.3;;
KRO;18.05.1973 00:00;0;0;
KRO;19.05.1973 00:00;0.8;;
KRO;20.05.1973 00:00;0;0;
KRO;21.05.1973 00:00;1.2;;
KRO;22.05.1973 00:00;4.5;;
KRO;23.05.1973 00:00;9;;
KRO;24.05.1973 00:00;0;0;
KRO;25.05.1973 00:00;0;0;
KRO;26.05.1973 00:00;0;0;
KRO;27.05.1973 00:00;0;0;
KRO;28.05.1973 00:00;22.3;;
KRO;29.05.1973 00:00;2.5;;
KRO;30.05.1973 00:00;0;0;
KRO;31.05.1973 00:00;0;0;
KRO;01.06.1973 00:00;1.8;;
KRO;02.06.1973 00:00;9;;
KRO;03.06.1973 00:00;0;;
KRO;04.06.1973 00:00;0;;
KRO;05.06.1973 00:00;1.6;;
KRO;06.06.1973 00:00;0.1;;
KRO;07.06.1973 00:00;1.3;;
KRO;08.06.1973 00:00;12.3;;
KRO;09.06.1973 00:00;0.3;;
KRO;10.06.1973 00:00;0;;
KRO;11.06.1973 00:00;0;;
KRO;12.06.1973 00:00;0;;
KRO;13.06.1973 00:00;13;;
KRO;14.06.1973 00:00;8;;
KRO;15.06.1973 00:00;0;;
KRO;16.06.1973 00:00;0;;
KRO;17.06.1973 00:00;4.6;;
KRO;18.06.1973 00:00;1.7;;
KRO;19.06.1973 00:00;0;;
KRO;20.06.1973 00:00;27.3;;
KRO;21.06.1973 00:00;1;;
KRO;22.06.1973 00:00;16.1;;
KRO;23.06.1973 00:00;46.2;;
KRO;24.06.1973 00:00;12.6;;
KRO;25.06.1973 00:00;0;;
KRO;26.06.1973 00:00;0;;
KRO;27.06.1973 00:00;0;;
KRO;28.06.1973 00:00;24.2;;
KRO;29.06.1973 00:00;0.5;;
KRO;30.06.1973 00:00;0;;
KRO;01.07.1973 00:00;0;;
KRO;02.07.1973 00:00;0;;
KRO;03.07.1973 00:00;0;;
KRO;04.07.1973 00:00;0;;
KRO;05.07.1973 00:00;0;;
KRO;06.07.1973 00:00;20.4;;
KRO;07.07.1973 00:00;0.4;;
KRO;08.07.1973 00:00;1.6;;
KRO;09.07.1973 00:00;23.4;;
KRO;10.07.1973 00:00;0;;
KRO;11.07.1973 00:00;16;;
KRO;12.07.1973 00:00;12.6;;
KRO;13.07.1973 00:00;0;;
KRO;14.07.1973 00:00;0.3;;
KRO;15.07.1973 00:00;3.1;;
KRO;16.07.1973 00:00;24.7;;
KRO;17.07.1973 00:00;27.5;;
