station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KSE;02.11.1945 00:00;;;16
KSE;03.11.1945 00:00;;;16
KSE;04.11.1945 00:00;;;16
KSE;05.11.1945 00:00;;;16
KSE;06.11.1945 00:00;;;16
KSE;07.11.1945 00:00;;;16
KSE;08.11.1945 00:00;;;16
KSE;09.11.1945 00:00;;;25
KSE;10.11.1945 00:00;;;56
KSE;11.11.1945 00:00;;;54
KSE;12.11.1945 00:00;;;49
KSE;13.11.1945 00:00;;;48
KSE;14.11.1945 00:00;;;46
KSE;15.11.1945 00:00;;;46
KSE;16.11.1945 00:00;;;45
KSE;17.11.1945 00:00;;;44
KSE;18.11.1945 00:00;;;44
KSE;19.11.1945 00:00;;;43
KSE;20.11.1945 00:00;;;41
KSE;21.11.1945 00:00;;;40
KSE;22.11.1945 00:00;;;40
KSE;23.11.1945 00:00;;;40
KSE;24.11.1945 00:00;;;39
KSE;25.11.1945 00:00;;;39
KSE;26.11.1945 00:00;;;39
KSE;27.11.1945 00:00;;;39
KSE;28.11.1945 00:00;;;39
KSE;29.11.1945 00:00;;;39
KSE;30.11.1945 00:00;;;39
KSE;01.12.1945 00:00;;;39
KSE;02.12.1945 00:00;;;39
KSE;03.12.1945 00:00;;;44
KSE;04.12.1945 00:00;;;64
KSE;05.12.1945 00:00;;;64
KSE;06.12.1945 00:00;;28;61
KSE;07.12.1945 00:00;;22;60
KSE;08.12.1945 00:00;;4;70
KSE;09.12.1945 00:00;;0;72
KSE;10.12.1945 00:00;;0;70
KSE;11.12.1945 00:00;;0;60
KSE;12.12.1945 00:00;;0;54
KSE;13.12.1945 00:00;;0;50
KSE;14.12.1945 00:00;;5;50
KSE;15.12.1945 00:00;;0;52
KSE;16.12.1945 00:00;;0;51
KSE;17.12.1945 00:00;;0;51
KSE;18.12.1945 00:00;;0;48
KSE;19.12.1945 00:00;;0;35
KSE;20.12.1945 00:00;;2;30
KSE;21.12.1945 00:00;;7;2
KSE;22.12.1945 00:00;;0;7
KSE;23.12.1945 00:00;;0;0
KSE;24.12.1945 00:00;;0;0
KSE;25.12.1945 00:00;;0;0
KSE;26.12.1945 00:00;;13;0
KSE;27.12.1945 00:00;;1;13
KSE;28.12.1945 00:00;;0;11
KSE;29.12.1945 00:00;;4;10
KSE;30.12.1945 00:00;;25;14
