station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
KUB;01.11.1990 00:00;0;;
KUB;02.11.1990 00:00;0;;
KUB;03.11.1990 00:00;0;;
KUB;04.11.1990 00:00;0;;
KUB;05.11.1990 00:00;0;;
KUB;06.11.1990 00:00;0;;
KUB;07.11.1990 00:00;0;;
KUB;08.11.1990 00:00;0;;
KUB;09.11.1990 00:00;0;;
KUB;10.11.1990 00:00;0;;
KUB;11.11.1990 00:00;0;;
KUB;12.11.1990 00:00;0;;
KUB;13.11.1990 00:00;0;;
KUB;14.11.1990 00:00;0;;
KUB;15.11.1990 00:00;0;;
KUB;16.11.1990 00:00;0;;
KUB;17.11.1990 00:00;0;;
KUB;18.11.1990 00:00;0;;
KUB;19.11.1990 00:00;0;;
KUB;20.11.1990 00:00;0;;
KUB;21.11.1990 00:00;0;;
KUB;22.11.1990 00:00;0;;
KUB;23.11.1990 00:00;0;;
KUB;24.11.1990 00:00;0;;9
KUB;25.11.1990 00:00;0;;
KUB;26.11.1990 00:00;0;;
KUB;27.11.1990 00:00;0;;
KUB;28.11.1990 00:00;0;;
KUB;29.11.1990 00:00;0;;25
KUB;30.11.1990 00:00;0;;
KUB;01.12.1990 00:00;0;0;
KUB;02.12.1990 00:00;0;0;0
KUB;03.12.1990 00:00;0;0;0
KUB;04.12.1990 00:00;0;0;0
KUB;05.12.1990 00:00;0;10;0
KUB;06.12.1990 00:00;0;5;2
KUB;07.12.1990 00:00;0;0;10
KUB;08.12.1990 00:00;0;0;
KUB;09.12.1990 00:00;0;0;
KUB;10.12.1990 00:00;0;13;
KUB;11.12.1990 00:00;0;3;20
KUB;12.12.1990 00:00;0;0;
KUB;13.12.1990 00:00;0;25;
KUB;14.12.1990 00:00;0;0;35
KUB;15.12.1990 00:00;0;0;
KUB;16.12.1990 00:00;0;0;
KUB;17.12.1990 00:00;0;0;
KUB;18.12.1990 00:00;0;0;
KUB;19.12.1990 00:00;0;0;
KUB;20.12.1990 00:00;0;0;
KUB;21.12.1990 00:00;0;0;
KUB;22.12.1990 00:00;0;0;
KUB;23.12.1990 00:00;0;0;
KUB;24.12.1990 00:00;0;0;
