station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LAF;01.06.1987 00:00;0.1;;
LAF;02.06.1987 00:00;0.2;;
LAF;03.06.1987 00:00;17.5;;
LAF;04.06.1987 00:00;14.5;;
LAF;05.06.1987 00:00;2.7;;
LAF;06.06.1987 00:00;3.4;;
LAF;07.06.1987 00:00;26.4;;
LAF;08.06.1987 00:00;0.6;;
LAF;09.06.1987 00:00;4.6;;
LAF;10.06.1987 00:00;1.6;;
LAF;11.06.1987 00:00;0.2;;
LAF;12.06.1987 00:00;0.9;;
LAF;13.06.1987 00:00;24.1;;
LAF;14.06.1987 00:00;35.6;;
LAF;15.06.1987 00:00;6.4;;
LAF;16.06.1987 00:00;1.5;;
LAF;17.06.1987 00:00;2.2;;
LAF;18.06.1987 00:00;7.7;;
LAF;19.06.1987 00:00;4.8;;
LAF;20.06.1987 00:00;7.2;;
LAF;21.06.1987 00:00;2.8;;
LAF;22.06.1987 00:00;0.1;;
LAF;23.06.1987 00:00;2.4;;
LAF;24.06.1987 00:00;5.4;;
LAF;25.06.1987 00:00;0;;
LAF;26.06.1987 00:00;15.9;;
LAF;27.06.1987 00:00;0.1;;
LAF;28.06.1987 00:00;0;;
LAF;29.06.1987 00:00;0;;
LAF;30.06.1987 00:00;0;;
LAF;01.07.1987 00:00;4.6;;
LAF;02.07.1987 00:00;0.4;;
LAF;03.07.1987 00:00;0;;
LAF;04.07.1987 00:00;0;;
LAF;05.07.1987 00:00;0;;
LAF;06.07.1987 00:00;0;;
LAF;07.07.1987 00:00;7.6;;
LAF;08.07.1987 00:00;2.4;;
LAF;09.07.1987 00:00;0;;
LAF;10.07.1987 00:00;0.1;;
LAF;11.07.1987 00:00;0.1;;
LAF;12.07.1987 00:00;0;;
LAF;13.07.1987 00:00;0;;
LAF;14.07.1987 00:00;12.6;;
LAF;15.07.1987 00:00;19;;
LAF;16.07.1987 00:00;14.9;;
LAF;17.07.1987 00:00;3.4;;
LAF;18.07.1987 00:00;14.5;;
LAF;19.07.1987 00:00;5.8;;
LAF;20.07.1987 00:00;2.5;;
LAF;21.07.1987 00:00;0;;
LAF;22.07.1987 00:00;15.5;;
LAF;23.07.1987 00:00;2.9;;
LAF;24.07.1987 00:00;0.2;;
LAF;25.07.1987 00:00;9.4;;
LAF;26.07.1987 00:00;0;;
LAF;27.07.1987 00:00;4.2;;
LAF;28.07.1987 00:00;0.2;;
LAF;29.07.1987 00:00;13.2;;
LAF;30.07.1987 00:00;7;;
LAF;31.07.1987 00:00;0;;
LAF;01.08.1987 00:00;2.5;;
LAF;02.08.1987 00:00;1.5;;
LAF;03.08.1987 00:00;0;;
LAF;04.08.1987 00:00;7.8;;
LAF;05.08.1987 00:00;0;;
LAF;06.08.1987 00:00;0.6;;
LAF;07.08.1987 00:00;0.3;;
LAF;08.08.1987 00:00;1.2;;
LAF;09.08.1987 00:00;5.8;;
LAF;10.08.1987 00:00;0.2;;
LAF;11.08.1987 00:00;0;;
LAF;12.08.1987 00:00;0;;
LAF;13.08.1987 00:00;0;;
LAF;14.08.1987 00:00;0;;
LAF;15.08.1987 00:00;0;;
LAF;16.08.1987 00:00;0;;
LAF;17.08.1987 00:00;36.5;;
LAF;18.08.1987 00:00;0;;
LAF;19.08.1987 00:00;0;;
LAF;20.08.1987 00:00;0;;
LAF;21.08.1987 00:00;0;;
LAF;22.08.1987 00:00;0;;
