station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LAG;01.01.1900 00:00;1.8;;
LAG;02.01.1900 00:00;0.3;;
LAG;03.01.1900 00:00;9;;
LAG;04.01.1900 00:00;9.2;;
LAG;05.01.1900 00:00;9;;
LAG;06.01.1900 00:00;0;;
LAG;07.01.1900 00:00;0.4;;
LAG;08.01.1900 00:00;4.5;;
LAG;09.01.1900 00:00;3.4;;
LAG;10.01.1900 00:00;3.1;;
LAG;11.01.1900 00:00;6.4;;
LAG;12.01.1900 00:00;2.6;;
LAG;13.01.1900 00:00;0.1;;
LAG;14.01.1900 00:00;0;;
LAG;15.01.1900 00:00;1.5;;
LAG;16.01.1900 00:00;14.3;;
LAG;17.01.1900 00:00;11.9;;
LAG;18.01.1900 00:00;10.6;;
LAG;19.01.1900 00:00;0.2;;
LAG;20.01.1900 00:00;0.9;;
LAG;21.01.1900 00:00;4.2;;
LAG;22.01.1900 00:00;6.7;;
LAG;23.01.1900 00:00;0;;
LAG;24.01.1900 00:00;9.3;;
LAG;25.01.1900 00:00;4.9;;
LAG;26.01.1900 00:00;0;;
LAG;27.01.1900 00:00;10.5;;
LAG;28.01.1900 00:00;6.4;;
LAG;29.01.1900 00:00;1.2;;
LAG;30.01.1900 00:00;0.1;;
LAG;31.01.1900 00:00;0;;
LAG;01.02.1900 00:00;0;;
LAG;02.02.1900 00:00;0.9;;
LAG;03.02.1900 00:00;0.6;;
LAG;04.02.1900 00:00;0.1;;
LAG;05.02.1900 00:00;0;;
LAG;06.02.1900 00:00;8.8;;
LAG;07.02.1900 00:00;0.3;;
LAG;08.02.1900 00:00;0.1;;
LAG;09.02.1900 00:00;3.5;;
LAG;10.02.1900 00:00;2.9;;
LAG;11.02.1900 00:00;1.8;;
LAG;12.02.1900 00:00;16.7;;
LAG;13.02.1900 00:00;10.5;;
LAG;14.02.1900 00:00;3;;
LAG;15.02.1900 00:00;0.4;;
LAG;16.02.1900 00:00;5.8;;
LAG;17.02.1900 00:00;0.1;;
LAG;18.02.1900 00:00;1.6;;
LAG;19.02.1900 00:00;13.1;;
LAG;20.02.1900 00:00;2.3;;
LAG;21.02.1900 00:00;3.6;;
LAG;22.02.1900 00:00;1.7;;
LAG;23.02.1900 00:00;0.9;;
LAG;24.02.1900 00:00;0;;
LAG;25.02.1900 00:00;0;;
LAG;26.02.1900 00:00;17.2;;
LAG;27.02.1900 00:00;1.7;;
LAG;28.02.1900 00:00;4.2;;
LAG;01.03.1900 00:00;7;;
LAG;02.03.1900 00:00;0.1;;
LAG;03.03.1900 00:00;2.8;;
LAG;04.03.1900 00:00;4.7;;
LAG;05.03.1900 00:00;0.1;;
LAG;06.03.1900 00:00;0;;
LAG;07.03.1900 00:00;0;;
