station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LAN;01.12.1908 00:00;0.2;;
LAN;02.12.1908 00:00;0;;
LAN;03.12.1908 00:00;0;;
LAN;04.12.1908 00:00;0;;
LAN;05.12.1908 00:00;0.1;;
LAN;06.12.1908 00:00;0;;
LAN;07.12.1908 00:00;0;;
LAN;08.12.1908 00:00;0;;
LAN;09.12.1908 00:00;0;;
LAN;10.12.1908 00:00;0;;
LAN;11.12.1908 00:00;4.6;;
LAN;12.12.1908 00:00;11;;
LAN;13.12.1908 00:00;0;;
LAN;14.12.1908 00:00;0;;
LAN;15.12.1908 00:00;0;;
LAN;16.12.1908 00:00;0;;
LAN;17.12.1908 00:00;0;;
LAN;18.12.1908 00:00;15;;
LAN;19.12.1908 00:00;0.5;;
LAN;20.12.1908 00:00;0.4;;
LAN;21.12.1908 00:00;0;;
LAN;22.12.1908 00:00;0;;
LAN;23.12.1908 00:00;0;;
LAN;24.12.1908 00:00;0;;
LAN;25.12.1908 00:00;0;;
LAN;26.12.1908 00:00;0.2;;
LAN;27.12.1908 00:00;0;;
LAN;28.12.1908 00:00;4.8;;
LAN;29.12.1908 00:00;1.5;;
LAN;30.12.1908 00:00;1.6;;
LAN;31.12.1908 00:00;0;;
LAN;01.01.1909 00:00;0;;
LAN;02.01.1909 00:00;0;;
LAN;03.01.1909 00:00;0.2;;
LAN;04.01.1909 00:00;0.1;;
LAN;05.01.1909 00:00;0.2;;
LAN;06.01.1909 00:00;0.1;;
LAN;07.01.1909 00:00;0;;
LAN;08.01.1909 00:00;6.1;;
LAN;09.01.1909 00:00;1;;
LAN;10.01.1909 00:00;0;;
LAN;11.01.1909 00:00;0;;
LAN;12.01.1909 00:00;8.5;;
LAN;13.01.1909 00:00;0.3;;
LAN;14.01.1909 00:00;4;;
LAN;15.01.1909 00:00;0;;
LAN;16.01.1909 00:00;5.5;;
LAN;17.01.1909 00:00;0;;
LAN;18.01.1909 00:00;0;;
LAN;19.01.1909 00:00;0;;
LAN;20.01.1909 00:00;0;;
LAN;21.01.1909 00:00;0;;
LAN;22.01.1909 00:00;0;;
LAN;23.01.1909 00:00;0;;
LAN;24.01.1909 00:00;0.1;;
LAN;25.01.1909 00:00;0;;
LAN;26.01.1909 00:00;0;;
LAN;27.01.1909 00:00;0;;
LAN;28.01.1909 00:00;0;;
LAN;29.01.1909 00:00;0;;
LAN;30.01.1909 00:00;5.7;;
LAN;31.01.1909 00:00;4.5;;
LAN;01.02.1909 00:00;16.8;;
LAN;02.02.1909 00:00;3.2;;
LAN;03.02.1909 00:00;5.3;;
LAN;04.02.1909 00:00;0;;
LAN;05.02.1909 00:00;0.8;;
LAN;06.02.1909 00:00;1.1;;
LAN;07.02.1909 00:00;1;;
LAN;08.02.1909 00:00;0;;
LAN;09.02.1909 00:00;0;;
LAN;10.02.1909 00:00;0;;
LAN;11.02.1909 00:00;0;;
LAN;12.02.1909 00:00;0;;
LAN;13.02.1909 00:00;0;;
LAN;14.02.1909 00:00;0;;
LAN;15.02.1909 00:00;8.3;;
LAN;16.02.1909 00:00;5.4;;
LAN;17.02.1909 00:00;6.7;;
LAN;18.02.1909 00:00;0;;
LAN;19.02.1909 00:00;0;;
LAN;20.02.1909 00:00;0;;
LAN;21.02.1909 00:00;0;;
LAN;22.02.1909 00:00;0;;
LAN;23.02.1909 00:00;0.3;;
LAN;24.02.1909 00:00;0;;
LAN;25.02.1909 00:00;0;;
LAN;26.02.1909 00:00;0;;
LAN;27.02.1909 00:00;0;;
LAN;28.02.1909 00:00;0.5;;
LAN;01.03.1909 00:00;5.7;;
LAN;02.03.1909 00:00;3.3;;
LAN;03.03.1909 00:00;0.6;;
LAN;04.03.1909 00:00;2;;
LAN;05.03.1909 00:00;0.8;;
LAN;06.03.1909 00:00;0;;
LAN;07.03.1909 00:00;0;;
LAN;08.03.1909 00:00;0.3;;
LAN;09.03.1909 00:00;0;;
LAN;10.03.1909 00:00;0;;
LAN;11.03.1909 00:00;5.8;;
LAN;12.03.1909 00:00;1.4;;
LAN;13.03.1909 00:00;7.8;;
LAN;14.03.1909 00:00;0.2;;
LAN;15.03.1909 00:00;1.7;;
LAN;16.03.1909 00:00;0;;
LAN;17.03.1909 00:00;0;;
LAN;18.03.1909 00:00;0;;
LAN;19.03.1909 00:00;0;;
LAN;20.03.1909 00:00;4.2;;
LAN;21.03.1909 00:00;0;;
LAN;22.03.1909 00:00;0.6;;
LAN;23.03.1909 00:00;4.5;;
LAN;24.03.1909 00:00;2.4;;
LAN;25.03.1909 00:00;3.3;;
LAN;26.03.1909 00:00;1.5;;
LAN;27.03.1909 00:00;0.1;;
LAN;28.03.1909 00:00;0;;
LAN;29.03.1909 00:00;0;;
LAN;30.03.1909 00:00;1.1;;
LAN;31.03.1909 00:00;0;;
LAN;01.04.1909 00:00;2;;
LAN;02.04.1909 00:00;0.2;;
LAN;03.04.1909 00:00;0;;
LAN;04.04.1909 00:00;0;;
LAN;05.04.1909 00:00;0;;
LAN;06.04.1909 00:00;0;;
LAN;07.04.1909 00:00;0;;
LAN;08.04.1909 00:00;0;;
LAN;09.04.1909 00:00;0;;
LAN;10.04.1909 00:00;0;;
LAN;11.04.1909 00:00;0;;
LAN;12.04.1909 00:00;10.2;;
LAN;13.04.1909 00:00;36.2;;
LAN;14.04.1909 00:00;0;;
LAN;15.04.1909 00:00;0;;
LAN;16.04.1909 00:00;0;;
LAN;17.04.1909 00:00;0;;
LAN;18.04.1909 00:00;0.3;;
LAN;19.04.1909 00:00;0;;
LAN;20.04.1909 00:00;0;;
LAN;21.04.1909 00:00;0;;
