station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LEU;01.09.1884 00:00;0;;
LEU;02.09.1884 00:00;0;;
LEU;03.09.1884 00:00;0;;
LEU;04.09.1884 00:00;32.5;;
LEU;05.09.1884 00:00;6.6;;
LEU;06.09.1884 00:00;0;;
LEU;07.09.1884 00:00;8.3;;
LEU;08.09.1884 00:00;0;;
LEU;09.09.1884 00:00;12.2;;
LEU;10.09.1884 00:00;0;;
LEU;11.09.1884 00:00;0;;
LEU;12.09.1884 00:00;0;;
LEU;13.09.1884 00:00;1.6;;
LEU;14.09.1884 00:00;0;;
LEU;15.09.1884 00:00;0;;
LEU;16.09.1884 00:00;0;;
LEU;17.09.1884 00:00;0;;
LEU;18.09.1884 00:00;0;;
LEU;19.09.1884 00:00;0;;
LEU;20.09.1884 00:00;0;;
LEU;21.09.1884 00:00;5;;
LEU;22.09.1884 00:00;14.7;;
LEU;23.09.1884 00:00;0;;
LEU;24.09.1884 00:00;0;;
LEU;25.09.1884 00:00;0.4;;
LEU;26.09.1884 00:00;0;;
LEU;27.09.1884 00:00;0;;
LEU;28.09.1884 00:00;0;;
LEU;29.09.1884 00:00;0;;
LEU;30.09.1884 00:00;0;;
LEU;01.10.1884 00:00;1.9;;
LEU;02.10.1884 00:00;0;;
LEU;03.10.1884 00:00;1.1;;
LEU;04.10.1884 00:00;4.5;;
LEU;05.10.1884 00:00;2.1;;
LEU;06.10.1884 00:00;0;;
LEU;07.10.1884 00:00;0;;
LEU;08.10.1884 00:00;0;;
LEU;09.10.1884 00:00;3.5;;
LEU;10.10.1884 00:00;8;;
LEU;11.10.1884 00:00;0;;
LEU;12.10.1884 00:00;0;;
LEU;13.10.1884 00:00;0;;
LEU;14.10.1884 00:00;0;;
LEU;15.10.1884 00:00;0;;
LEU;16.10.1884 00:00;0;;
LEU;17.10.1884 00:00;0;;
LEU;18.10.1884 00:00;0;;
LEU;19.10.1884 00:00;0;;
LEU;20.10.1884 00:00;0;;
LEU;21.10.1884 00:00;0;;
LEU;22.10.1884 00:00;0;;
LEU;23.10.1884 00:00;0;;
LEU;24.10.1884 00:00;0;;
LEU;25.10.1884 00:00;0;;
LEU;26.10.1884 00:00;0;;
LEU;27.10.1884 00:00;0;;
LEU;28.10.1884 00:00;0;;
LEU;29.10.1884 00:00;0;;
LEU;30.10.1884 00:00;0;;
LEU;31.10.1884 00:00;0;;
LEU;01.11.1884 00:00;0;;
LEU;02.11.1884 00:00;0;;
LEU;03.11.1884 00:00;0;;
LEU;04.11.1884 00:00;0;;
LEU;05.11.1884 00:00;0;;
LEU;06.11.1884 00:00;0;;
LEU;07.11.1884 00:00;0;;
LEU;08.11.1884 00:00;0;;
LEU;09.11.1884 00:00;0;;
LEU;10.11.1884 00:00;0;;
LEU;11.11.1884 00:00;0;;
LEU;12.11.1884 00:00;0;;
LEU;13.11.1884 00:00;0;;
LEU;14.11.1884 00:00;0;;
LEU;15.11.1884 00:00;0;;
LEU;16.11.1884 00:00;0;;
LEU;17.11.1884 00:00;0;;
LEU;18.11.1884 00:00;0;;
LEU;19.11.1884 00:00;0;;
LEU;20.11.1884 00:00;0;;
LEU;21.11.1884 00:00;0;;
LEU;22.11.1884 00:00;1.6;;
LEU;23.11.1884 00:00;0;;
LEU;24.11.1884 00:00;0;;
LEU;25.11.1884 00:00;0;;
LEU;26.11.1884 00:00;0;;
LEU;27.11.1884 00:00;0;;
LEU;28.11.1884 00:00;0;;
LEU;29.11.1884 00:00;5.3;;
LEU;30.11.1884 00:00;0;;
LEU;01.12.1884 00:00;0;;
LEU;02.12.1884 00:00;0;;
LEU;03.12.1884 00:00;7;;
LEU;04.12.1884 00:00;11.7;;
LEU;05.12.1884 00:00;8.2;;
LEU;06.12.1884 00:00;7.3;;
LEU;07.12.1884 00:00;0;;
LEU;08.12.1884 00:00;0;;
LEU;09.12.1884 00:00;0;;
LEU;10.12.1884 00:00;0;;
LEU;11.12.1884 00:00;1.2;;
LEU;12.12.1884 00:00;0;;
LEU;13.12.1884 00:00;0;;
LEU;14.12.1884 00:00;0;;
LEU;15.12.1884 00:00;0;;
LEU;16.12.1884 00:00;4;;
LEU;17.12.1884 00:00;25;;
