station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LFB;01.01.1914 00:00;0;;
LFB;02.01.1914 00:00;0.3;;
LFB;03.01.1914 00:00;0;;
LFB;04.01.1914 00:00;0;;
LFB;05.01.1914 00:00;7.2;;
LFB;06.01.1914 00:00;11.6;;
LFB;07.01.1914 00:00;3.7;;
LFB;08.01.1914 00:00;5.4;;
LFB;09.01.1914 00:00;45.2;;
LFB;10.01.1914 00:00;20.4;;
LFB;11.01.1914 00:00;7;;
LFB;12.01.1914 00:00;0;;
LFB;13.01.1914 00:00;0;;
LFB;14.01.1914 00:00;0;;
LFB;15.01.1914 00:00;0.4;;
LFB;16.01.1914 00:00;0;;
LFB;17.01.1914 00:00;0;;
LFB;18.01.1914 00:00;0;;
LFB;19.01.1914 00:00;0;;
LFB;20.01.1914 00:00;0;;
LFB;21.01.1914 00:00;0;;
LFB;22.01.1914 00:00;0;;
LFB;23.01.1914 00:00;0;;
LFB;24.01.1914 00:00;0;;
LFB;25.01.1914 00:00;0;;
LFB;26.01.1914 00:00;0;;
LFB;27.01.1914 00:00;5.7;;
LFB;28.01.1914 00:00;0;;
LFB;29.01.1914 00:00;0;;
LFB;30.01.1914 00:00;0;;
LFB;31.01.1914 00:00;0;;
LFB;01.02.1914 00:00;0;;
LFB;02.02.1914 00:00;0;;
LFB;03.02.1914 00:00;0;;
LFB;04.02.1914 00:00;0;;
LFB;05.02.1914 00:00;0;;
LFB;06.02.1914 00:00;0;;
LFB;07.02.1914 00:00;0;;
LFB;08.02.1914 00:00;0;;
LFB;09.02.1914 00:00;0;;
LFB;10.02.1914 00:00;0;;
LFB;11.02.1914 00:00;0;;
LFB;12.02.1914 00:00;4.5;;
LFB;13.02.1914 00:00;0;;
LFB;14.02.1914 00:00;7.6;;
LFB;15.02.1914 00:00;0;;
LFB;16.02.1914 00:00;0;;
LFB;17.02.1914 00:00;1.4;;
LFB;18.02.1914 00:00;6.7;;
LFB;19.02.1914 00:00;8;;
LFB;20.02.1914 00:00;1.6;;
LFB;21.02.1914 00:00;1;;
LFB;22.02.1914 00:00;9.2;;
LFB;23.02.1914 00:00;2.9;;
LFB;24.02.1914 00:00;0;;
LFB;25.02.1914 00:00;0;;
LFB;26.02.1914 00:00;1.9;;
LFB;27.02.1914 00:00;0;;
LFB;28.02.1914 00:00;0.3;;
LFB;01.03.1914 00:00;0;;
LFB;02.03.1914 00:00;4.4;;
LFB;03.03.1914 00:00;0.8;;
LFB;04.03.1914 00:00;30.5;;
LFB;05.03.1914 00:00;13.8;;
LFB;06.03.1914 00:00;18.3;;
LFB;07.03.1914 00:00;29.6;;
LFB;08.03.1914 00:00;0.3;;
LFB;09.03.1914 00:00;0.2;;
LFB;10.03.1914 00:00;33.9;;
LFB;11.03.1914 00:00;0.1;;
LFB;12.03.1914 00:00;11.6;;
LFB;13.03.1914 00:00;1.6;;
LFB;14.03.1914 00:00;3.7;;
LFB;15.03.1914 00:00;0.4;;
LFB;16.03.1914 00:00;18.7;;
LFB;17.03.1914 00:00;1.9;;
LFB;18.03.1914 00:00;3.9;;
LFB;19.03.1914 00:00;3.4;;
LFB;20.03.1914 00:00;4.1;;
LFB;21.03.1914 00:00;3.4;;
LFB;22.03.1914 00:00;2.7;;
LFB;23.03.1914 00:00;3.3;;
LFB;24.03.1914 00:00;12.1;;
LFB;25.03.1914 00:00;20.5;;
LFB;26.03.1914 00:00;12.8;;
LFB;27.03.1914 00:00;12.3;;
LFB;28.03.1914 00:00;0;;
LFB;29.03.1914 00:00;0;;
LFB;30.03.1914 00:00;0;;
LFB;31.03.1914 00:00;0;;
LFB;01.04.1914 00:00;0;;
LFB;02.04.1914 00:00;0;;
LFB;03.04.1914 00:00;4.4;;
LFB;04.04.1914 00:00;6.9;;
LFB;05.04.1914 00:00;6.1;;
LFB;06.04.1914 00:00;5.6;;
LFB;07.04.1914 00:00;17.2;;
LFB;08.04.1914 00:00;3;;
LFB;09.04.1914 00:00;0;;
LFB;10.04.1914 00:00;0;;
LFB;11.04.1914 00:00;0;;
LFB;12.04.1914 00:00;0;;
LFB;13.04.1914 00:00;0;;
LFB;14.04.1914 00:00;0;;
LFB;15.04.1914 00:00;0;;
LFB;16.04.1914 00:00;0;;
LFB;17.04.1914 00:00;0;;
LFB;18.04.1914 00:00;0;;
LFB;19.04.1914 00:00;0;;
LFB;20.04.1914 00:00;0;;
LFB;21.04.1914 00:00;0;;
LFB;22.04.1914 00:00;0;;
LFB;23.04.1914 00:00;0;;
LFB;24.04.1914 00:00;0;;
LFB;25.04.1914 00:00;2.4;;
LFB;26.04.1914 00:00;0;;
LFB;27.04.1914 00:00;0;;
LFB;28.04.1914 00:00;0;;
LFB;29.04.1914 00:00;0;;
LFB;30.04.1914 00:00;9.9;;
LFB;01.05.1914 00:00;10.3;;
LFB;02.05.1914 00:00;0;;
LFB;03.05.1914 00:00;4.2;;
LFB;04.05.1914 00:00;20.9;;
LFB;05.05.1914 00:00;27.6;;
LFB;06.05.1914 00:00;6.2;;
LFB;07.05.1914 00:00;7.5;;
LFB;08.05.1914 00:00;13.6;;
LFB;09.05.1914 00:00;22.3;;
LFB;10.05.1914 00:00;3.1;;
LFB;11.05.1914 00:00;2.3;;
LFB;12.05.1914 00:00;5.1;;
LFB;13.05.1914 00:00;0;;
LFB;14.05.1914 00:00;0.5;;
LFB;15.05.1914 00:00;0;;
LFB;16.05.1914 00:00;0.1;;
LFB;17.05.1914 00:00;0;;
LFB;18.05.1914 00:00;0;;
LFB;19.05.1914 00:00;0;;
LFB;20.05.1914 00:00;0;;
LFB;21.05.1914 00:00;0;;
LFB;22.05.1914 00:00;0;;
LFB;23.05.1914 00:00;4.6;;
LFB;24.05.1914 00:00;13.4;;
LFB;25.05.1914 00:00;0.3;;
LFB;26.05.1914 00:00;4.6;;
LFB;27.05.1914 00:00;1.9;;
LFB;28.05.1914 00:00;0.1;;
LFB;29.05.1914 00:00;0;;
LFB;30.05.1914 00:00;0;;
LFB;31.05.1914 00:00;0;;
LFB;01.06.1914 00:00;0;;
LFB;02.06.1914 00:00;0.3;;
LFB;03.06.1914 00:00;0;;
LFB;04.06.1914 00:00;0;;
LFB;05.06.1914 00:00;3;;
LFB;06.06.1914 00:00;0;;
LFB;07.06.1914 00:00;13.3;;
LFB;08.06.1914 00:00;5.1;;
LFB;09.06.1914 00:00;0;;
LFB;10.06.1914 00:00;1.3;;
LFB;11.06.1914 00:00;0;;
LFB;12.06.1914 00:00;12.2;;
LFB;13.06.1914 00:00;1.4;;
LFB;14.06.1914 00:00;2.1;;
LFB;15.06.1914 00:00;23.4;;
LFB;16.06.1914 00:00;11.6;;
LFB;17.06.1914 00:00;2.3;;
LFB;18.06.1914 00:00;15.2;;
LFB;19.06.1914 00:00;0;;
LFB;20.06.1914 00:00;1.3;;
LFB;21.06.1914 00:00;3.1;;
LFB;22.06.1914 00:00;4.3;;
LFB;23.06.1914 00:00;1.1;;
LFB;24.06.1914 00:00;10.3;;
LFB;25.06.1914 00:00;0;;
LFB;26.06.1914 00:00;0;;
LFB;27.06.1914 00:00;0;;
LFB;28.06.1914 00:00;0;;
LFB;29.06.1914 00:00;0;;
LFB;30.06.1914 00:00;0;;
LFB;01.07.1914 00:00;0;;
LFB;02.07.1914 00:00;0;;
LFB;03.07.1914 00:00;6.4;;
LFB;04.07.1914 00:00;1.1;;
LFB;05.07.1914 00:00;0;;
LFB;06.07.1914 00:00;13.1;;
LFB;07.07.1914 00:00;5.5;;
LFB;08.07.1914 00:00;1.3;;
LFB;09.07.1914 00:00;15.3;;
LFB;10.07.1914 00:00;0;;
LFB;11.07.1914 00:00;0;;
LFB;12.07.1914 00:00;0;;
LFB;13.07.1914 00:00;7.9;;
LFB;14.07.1914 00:00;0;;
LFB;15.07.1914 00:00;8.5;;
LFB;16.07.1914 00:00;1.9;;
LFB;17.07.1914 00:00;0;;
LFB;18.07.1914 00:00;0;;
LFB;19.07.1914 00:00;0;;
LFB;20.07.1914 00:00;3.4;;
LFB;21.07.1914 00:00;1.1;;
LFB;22.07.1914 00:00;16.7;;
LFB;23.07.1914 00:00;3.5;;
LFB;24.07.1914 00:00;0.6;;
LFB;25.07.1914 00:00;4.1;;
LFB;26.07.1914 00:00;13.9;;
LFB;27.07.1914 00:00;14.9;;
LFB;28.07.1914 00:00;1.3;;
LFB;29.07.1914 00:00;8.9;;
LFB;30.07.1914 00:00;0;;
LFB;31.07.1914 00:00;0;;
LFB;01.08.1914 00:00;0;;
LFB;02.08.1914 00:00;0;;
LFB;03.08.1914 00:00;2.5;;
LFB;04.08.1914 00:00;12.9;;
LFB;05.08.1914 00:00;5.8;;
LFB;06.08.1914 00:00;2.4;;
LFB;07.08.1914 00:00;0.5;;
LFB;08.08.1914 00:00;0;;
LFB;09.08.1914 00:00;0;;
LFB;10.08.1914 00:00;0;;
LFB;11.08.1914 00:00;0;;
LFB;12.08.1914 00:00;0;;
LFB;13.08.1914 00:00;0;;
LFB;14.08.1914 00:00;4.9;;
LFB;15.08.1914 00:00;15.2;;
LFB;16.08.1914 00:00;15.4;;
LFB;17.08.1914 00:00;4.8;;
LFB;18.08.1914 00:00;1.9;;
LFB;19.08.1914 00:00;0;;
LFB;20.08.1914 00:00;0;;
LFB;21.08.1914 00:00;11;;
LFB;22.08.1914 00:00;5;;
LFB;23.08.1914 00:00;0;;
LFB;24.08.1914 00:00;0;;
LFB;25.08.1914 00:00;1.1;;
LFB;26.08.1914 00:00;26.3;;
LFB;27.08.1914 00:00;19.1;;
LFB;28.08.1914 00:00;0;;
LFB;29.08.1914 00:00;0;;
LFB;30.08.1914 00:00;0;;
LFB;31.08.1914 00:00;0;;
LFB;01.09.1914 00:00;0;;
LFB;02.09.1914 00:00;0;;
LFB;03.09.1914 00:00;0;;
LFB;04.09.1914 00:00;0;;
LFB;05.09.1914 00:00;8.5;;
LFB;06.09.1914 00:00;0;;
LFB;07.09.1914 00:00;0;;
LFB;08.09.1914 00:00;0;;
LFB;09.09.1914 00:00;2;;
LFB;10.09.1914 00:00;0;;
LFB;11.09.1914 00:00;12;;
LFB;12.09.1914 00:00;35.9;;
LFB;13.09.1914 00:00;0.9;;
LFB;14.09.1914 00:00;0;;
LFB;15.09.1914 00:00;0;;
LFB;16.09.1914 00:00;0;;
LFB;17.09.1914 00:00;16.1;;
LFB;18.09.1914 00:00;0;;
LFB;19.09.1914 00:00;36.3;;
LFB;20.09.1914 00:00;10.7;;
LFB;21.09.1914 00:00;2.5;;
LFB;22.09.1914 00:00;4.1;;
LFB;23.09.1914 00:00;0;;
LFB;24.09.1914 00:00;0;;
LFB;25.09.1914 00:00;0;;
LFB;26.09.1914 00:00;0;;
