station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LOB;01.01.1953 00:00;0;;
LOB;02.01.1953 00:00;0;;
LOB;03.01.1953 00:00;0;;
LOB;04.01.1953 00:00;0;;
LOB;05.01.1953 00:00;2;;
LOB;06.01.1953 00:00;3;;
LOB;07.01.1953 00:00;1.5;;
LOB;08.01.1953 00:00;0.6;;
LOB;09.01.1953 00:00;1.5;;
LOB;10.01.1953 00:00;0;;
LOB;11.01.1953 00:00;0;;
LOB;12.01.1953 00:00;0;;
LOB;13.01.1953 00:00;0;;
LOB;14.01.1953 00:00;0;;
LOB;15.01.1953 00:00;0;;
LOB;16.01.1953 00:00;0;;
LOB;17.01.1953 00:00;0;;
LOB;18.01.1953 00:00;0;;
LOB;19.01.1953 00:00;0;;
LOB;20.01.1953 00:00;0;;
LOB;21.01.1953 00:00;0;;
LOB;22.01.1953 00:00;0;;
LOB;23.01.1953 00:00;0;;
LOB;24.01.1953 00:00;0;;
LOB;25.01.1953 00:00;8.5;;
LOB;26.01.1953 00:00;0;;
LOB;27.01.1953 00:00;0;;
LOB;28.01.1953 00:00;0;;
LOB;29.01.1953 00:00;0;;
LOB;30.01.1953 00:00;0;;
LOB;31.01.1953 00:00;20.2;;
LOB;01.02.1953 00:00;5.4;;
LOB;02.02.1953 00:00;15.2;;
LOB;03.02.1953 00:00;0.5;;
LOB;04.02.1953 00:00;0.4;;
LOB;05.02.1953 00:00;4.6;;
LOB;06.02.1953 00:00;3;;
LOB;07.02.1953 00:00;0;;
LOB;08.02.1953 00:00;3.2;;
LOB;09.02.1953 00:00;0.5;;
LOB;10.02.1953 00:00;4;;
LOB;11.02.1953 00:00;5.4;;
LOB;12.02.1953 00:00;6.2;;
LOB;13.02.1953 00:00;0;;
LOB;14.02.1953 00:00;0;;
LOB;15.02.1953 00:00;0;;
LOB;16.02.1953 00:00;1;;
LOB;17.02.1953 00:00;0;;
LOB;18.02.1953 00:00;0.6;;
LOB;19.02.1953 00:00;0;;
LOB;20.02.1953 00:00;0;;
LOB;21.02.1953 00:00;0;;
LOB;22.02.1953 00:00;0;;
LOB;23.02.1953 00:00;0;;
LOB;24.02.1953 00:00;0;;
LOB;25.02.1953 00:00;0;;
LOB;26.02.1953 00:00;0;;
LOB;27.02.1953 00:00;0;;
LOB;28.02.1953 00:00;0;;
LOB;01.03.1953 00:00;0;;
LOB;02.03.1953 00:00;0;;
LOB;03.03.1953 00:00;0;;
LOB;04.03.1953 00:00;0;;
LOB;05.03.1953 00:00;0;;
LOB;06.03.1953 00:00;0;;
LOB;07.03.1953 00:00;0.2;;
LOB;08.03.1953 00:00;0;;
LOB;09.03.1953 00:00;0;;
LOB;10.03.1953 00:00;0;;
LOB;11.03.1953 00:00;3.6;;
LOB;12.03.1953 00:00;0;;
LOB;13.03.1953 00:00;0.2;;
LOB;14.03.1953 00:00;0;;
LOB;15.03.1953 00:00;0;;
LOB;16.03.1953 00:00;0;;
LOB;17.03.1953 00:00;0;;
LOB;18.03.1953 00:00;0;;
LOB;19.03.1953 00:00;0;;
LOB;20.03.1953 00:00;0;;
LOB;21.03.1953 00:00;0;;
LOB;22.03.1953 00:00;0;;
LOB;23.03.1953 00:00;0;;
LOB;24.03.1953 00:00;0;;
LOB;25.03.1953 00:00;0;;
LOB;26.03.1953 00:00;0;;
LOB;27.03.1953 00:00;2;;
LOB;28.03.1953 00:00;0;;
LOB;29.03.1953 00:00;0;;
LOB;30.03.1953 00:00;1;;
LOB;31.03.1953 00:00;1.5;;
LOB;01.04.1953 00:00;2;;
LOB;02.04.1953 00:00;1.8;;
LOB;03.04.1953 00:00;0;;
LOB;04.04.1953 00:00;16.4;;
LOB;05.04.1953 00:00;0;;
LOB;06.04.1953 00:00;0.5;;
LOB;07.04.1953 00:00;0.1;;
LOB;08.04.1953 00:00;1.4;;
LOB;09.04.1953 00:00;6.4;;
LOB;10.04.1953 00:00;9.3;;
LOB;11.04.1953 00:00;0;;
LOB;12.04.1953 00:00;0;;
LOB;13.04.1953 00:00;0;;
LOB;14.04.1953 00:00;0;;
LOB;15.04.1953 00:00;8;;
LOB;16.04.1953 00:00;1.5;;
LOB;17.04.1953 00:00;0;;
LOB;18.04.1953 00:00;0;;
LOB;19.04.1953 00:00;0;;
LOB;20.04.1953 00:00;0;;
LOB;21.04.1953 00:00;0;;
LOB;22.04.1953 00:00;0;;
LOB;23.04.1953 00:00;0;;
LOB;24.04.1953 00:00;0;;
LOB;25.04.1953 00:00;0;;
LOB;26.04.1953 00:00;0;;
LOB;27.04.1953 00:00;3.7;;
LOB;28.04.1953 00:00;5;;
LOB;29.04.1953 00:00;1.5;;
LOB;30.04.1953 00:00;0;;
LOB;01.05.1953 00:00;0.8;;
LOB;02.05.1953 00:00;0;;
LOB;03.05.1953 00:00;0;;
LOB;04.05.1953 00:00;0;;
LOB;05.05.1953 00:00;0;;
LOB;06.05.1953 00:00;0;;
LOB;07.05.1953 00:00;0;;
LOB;08.05.1953 00:00;0;;
LOB;09.05.1953 00:00;4.3;;
LOB;10.05.1953 00:00;2;;
LOB;11.05.1953 00:00;0;;
LOB;12.05.1953 00:00;0;;
LOB;13.05.1953 00:00;0;;
LOB;14.05.1953 00:00;3;;
LOB;15.05.1953 00:00;0;;
LOB;16.05.1953 00:00;0;;
LOB;17.05.1953 00:00;0;;
LOB;18.05.1953 00:00;1.5;;
LOB;19.05.1953 00:00;0;;
LOB;20.05.1953 00:00;0;;
LOB;21.05.1953 00:00;0;;
LOB;22.05.1953 00:00;0;;
LOB;23.05.1953 00:00;0;;
LOB;24.05.1953 00:00;0;;
LOB;25.05.1953 00:00;0;;
LOB;26.05.1953 00:00;2;;
LOB;27.05.1953 00:00;24;;
LOB;28.05.1953 00:00;0;;
LOB;29.05.1953 00:00;2;;
LOB;30.05.1953 00:00;24.6;;
LOB;31.05.1953 00:00;3.7;;
LOB;01.06.1953 00:00;10.5;;
LOB;02.06.1953 00:00;6.8;;
LOB;03.06.1953 00:00;1;;
LOB;04.06.1953 00:00;1.2;;
LOB;05.06.1953 00:00;0;;
LOB;06.06.1953 00:00;0;;
LOB;07.06.1953 00:00;1.5;;
LOB;08.06.1953 00:00;1.8;;
LOB;09.06.1953 00:00;26;;
LOB;10.06.1953 00:00;30.2;;
LOB;11.06.1953 00:00;0.5;;
LOB;12.06.1953 00:00;1;;
LOB;13.06.1953 00:00;0.1;;
