station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LOC;01.01.1946 00:00;0;;
LOC;02.01.1946 00:00;0;;
LOC;03.01.1946 00:00;0;;
LOC;04.01.1946 00:00;0;;
LOC;05.01.1946 00:00;0;;
LOC;06.01.1946 00:00;0;;
LOC;07.01.1946 00:00;0;;
LOC;08.01.1946 00:00;0;;
LOC;09.01.1946 00:00;2.8;;
LOC;10.01.1946 00:00;20.6;;
LOC;11.01.1946 00:00;0.5;;
LOC;12.01.1946 00:00;16.4;;
LOC;13.01.1946 00:00;10.2;;
LOC;14.01.1946 00:00;0.2;;
LOC;15.01.1946 00:00;0;;
LOC;16.01.1946 00:00;0;;
LOC;17.01.1946 00:00;0;;
LOC;18.01.1946 00:00;0.8;;
LOC;19.01.1946 00:00;0.3;;
LOC;20.01.1946 00:00;0.1;;
LOC;21.01.1946 00:00;0;;
LOC;22.01.1946 00:00;0;;
LOC;23.01.1946 00:00;0;;
LOC;24.01.1946 00:00;0;;
LOC;25.01.1946 00:00;0;;
LOC;26.01.1946 00:00;0;;
LOC;27.01.1946 00:00;0;;
LOC;28.01.1946 00:00;0;;
LOC;29.01.1946 00:00;10.6;;
LOC;30.01.1946 00:00;25.7;;
LOC;31.01.1946 00:00;0.1;;
LOC;01.02.1946 00:00;0;;
LOC;02.02.1946 00:00;9.7;;
LOC;03.02.1946 00:00;0;;
LOC;04.02.1946 00:00;8.8;;
LOC;05.02.1946 00:00;14.8;;
LOC;06.02.1946 00:00;30.1;;
LOC;07.02.1946 00:00;12.1;;
LOC;08.02.1946 00:00;12;;
LOC;09.02.1946 00:00;29.8;;
LOC;10.02.1946 00:00;5.5;;
LOC;11.02.1946 00:00;3.6;;
LOC;12.02.1946 00:00;5.8;;
LOC;13.02.1946 00:00;0;;
LOC;14.02.1946 00:00;0;;
LOC;15.02.1946 00:00;0;;
LOC;16.02.1946 00:00;0.7;;
LOC;17.02.1946 00:00;2.1;;
LOC;18.02.1946 00:00;0;;
LOC;19.02.1946 00:00;4.6;;
LOC;20.02.1946 00:00;12.4;;
LOC;21.02.1946 00:00;19.5;;
LOC;22.02.1946 00:00;6.2;;
LOC;23.02.1946 00:00;15.2;;
LOC;24.02.1946 00:00;5.2;;
LOC;25.02.1946 00:00;5.5;;
LOC;26.02.1946 00:00;0;;
LOC;27.02.1946 00:00;0;;
LOC;28.02.1946 00:00;0;;
LOC;01.03.1946 00:00;5.7;;
LOC;02.03.1946 00:00;1.4;;
LOC;03.03.1946 00:00;1.3;;
LOC;04.03.1946 00:00;0.2;;
LOC;05.03.1946 00:00;0;;
LOC;06.03.1946 00:00;0;;
LOC;07.03.1946 00:00;0;;
LOC;08.03.1946 00:00;0;;
LOC;09.03.1946 00:00;0;;
LOC;10.03.1946 00:00;0;;
LOC;11.03.1946 00:00;0.5;;
LOC;12.03.1946 00:00;0;;
LOC;13.03.1946 00:00;2.1;;
LOC;14.03.1946 00:00;5.8;;
LOC;15.03.1946 00:00;0;;
LOC;16.03.1946 00:00;0;;
LOC;17.03.1946 00:00;0;;
LOC;18.03.1946 00:00;0;;
LOC;19.03.1946 00:00;0;;
LOC;20.03.1946 00:00;0;;
LOC;21.03.1946 00:00;0;;
LOC;22.03.1946 00:00;3.2;;
LOC;23.03.1946 00:00;2;;
LOC;24.03.1946 00:00;19.3;;
LOC;25.03.1946 00:00;1.1;;
LOC;26.03.1946 00:00;0;;
LOC;27.03.1946 00:00;0;;
LOC;28.03.1946 00:00;0;;
LOC;29.03.1946 00:00;0;;
LOC;30.03.1946 00:00;0;;
LOC;31.03.1946 00:00;0;;
LOC;01.04.1946 00:00;0;;
LOC;02.04.1946 00:00;0;;
LOC;03.04.1946 00:00;0;;
LOC;04.04.1946 00:00;0;;
LOC;05.04.1946 00:00;2.2;;
LOC;06.04.1946 00:00;0.2;;
LOC;07.04.1946 00:00;0;;
LOC;08.04.1946 00:00;0;;
LOC;09.04.1946 00:00;0;;
LOC;10.04.1946 00:00;0;;
LOC;11.04.1946 00:00;0;;
LOC;12.04.1946 00:00;0;;
LOC;13.04.1946 00:00;0;;
LOC;14.04.1946 00:00;2.6;;
LOC;15.04.1946 00:00;9.8;;
LOC;16.04.1946 00:00;14.5;;
LOC;17.04.1946 00:00;0;;
LOC;18.04.1946 00:00;4.2;;
LOC;19.04.1946 00:00;0;;
LOC;20.04.1946 00:00;0;;
LOC;21.04.1946 00:00;0;;
LOC;22.04.1946 00:00;0;;
LOC;23.04.1946 00:00;0;;
LOC;24.04.1946 00:00;0;;
LOC;25.04.1946 00:00;0;;
LOC;26.04.1946 00:00;0;;
LOC;27.04.1946 00:00;8.4;;
LOC;28.04.1946 00:00;6.8;;
LOC;29.04.1946 00:00;0.8;;
LOC;30.04.1946 00:00;4.4;;
LOC;01.05.1946 00:00;0;;
LOC;02.05.1946 00:00;0;;
LOC;03.05.1946 00:00;0;;
LOC;04.05.1946 00:00;8.4;;
LOC;05.05.1946 00:00;3.9;;
LOC;06.05.1946 00:00;0;;
LOC;07.05.1946 00:00;13.6;;
LOC;08.05.1946 00:00;0;;
LOC;09.05.1946 00:00;0;;
LOC;10.05.1946 00:00;0.1;;
LOC;11.05.1946 00:00;0.8;;
LOC;12.05.1946 00:00;0;;
LOC;13.05.1946 00:00;6.9;;
LOC;14.05.1946 00:00;16.9;;
LOC;15.05.1946 00:00;0.1;;
LOC;16.05.1946 00:00;0;;
LOC;17.05.1946 00:00;5.6;;
LOC;18.05.1946 00:00;0.4;;
LOC;19.05.1946 00:00;0;;
LOC;20.05.1946 00:00;24.3;;
LOC;21.05.1946 00:00;0.1;;
LOC;22.05.1946 00:00;13;;
LOC;23.05.1946 00:00;1.4;;
LOC;24.05.1946 00:00;1.8;;
LOC;25.05.1946 00:00;12;;
LOC;26.05.1946 00:00;8.9;;
LOC;27.05.1946 00:00;1.6;;
LOC;28.05.1946 00:00;0;;
LOC;29.05.1946 00:00;9.1;;
LOC;30.05.1946 00:00;6.5;;
