station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LON;01.04.1886 00:00;0;;
LON;02.04.1886 00:00;0;;
LON;03.04.1886 00:00;0;;
LON;04.04.1886 00:00;2;;
LON;05.04.1886 00:00;0;;
LON;06.04.1886 00:00;8;;
LON;07.04.1886 00:00;0;;
LON;08.04.1886 00:00;2.5;;
LON;09.04.1886 00:00;8;;
LON;10.04.1886 00:00;2.5;;
LON;11.04.1886 00:00;2.5;;
LON;12.04.1886 00:00;0;;
LON;13.04.1886 00:00;0;;
LON;14.04.1886 00:00;0;;
LON;15.04.1886 00:00;0;;
LON;16.04.1886 00:00;0;;
LON;17.04.1886 00:00;0;;
LON;18.04.1886 00:00;0;;
LON;19.04.1886 00:00;0;;
LON;20.04.1886 00:00;8;;
LON;21.04.1886 00:00;0.5;;
LON;22.04.1886 00:00;0;;
LON;23.04.1886 00:00;0;;
LON;24.04.1886 00:00;0;;
LON;25.04.1886 00:00;0;;
LON;26.04.1886 00:00;0;;
LON;27.04.1886 00:00;0;;
LON;28.04.1886 00:00;5;;
LON;29.04.1886 00:00;3.5;;
LON;30.04.1886 00:00;11.5;;
LON;01.05.1886 00:00;0;;
LON;02.05.1886 00:00;0;;
LON;03.05.1886 00:00;0;;
LON;04.05.1886 00:00;0;;
LON;05.05.1886 00:00;0;;
LON;06.05.1886 00:00;0;;
LON;07.05.1886 00:00;0;;
LON;08.05.1886 00:00;0;;
LON;09.05.1886 00:00;0;;
LON;10.05.1886 00:00;20.5;;
LON;11.05.1886 00:00;6;;
LON;12.05.1886 00:00;8.5;;
LON;13.05.1886 00:00;35;;
LON;14.05.1886 00:00;6;;
LON;15.05.1886 00:00;5;;
LON;16.05.1886 00:00;0;;
LON;17.05.1886 00:00;0;;
LON;18.05.1886 00:00;0;;
LON;19.05.1886 00:00;0;;
LON;20.05.1886 00:00;0;;
LON;21.05.1886 00:00;0;;
LON;22.05.1886 00:00;0;;
LON;23.05.1886 00:00;7;;
LON;24.05.1886 00:00;2;;
LON;25.05.1886 00:00;0;;
LON;26.05.1886 00:00;0;;
LON;27.05.1886 00:00;0;;
LON;28.05.1886 00:00;1.5;;
LON;29.05.1886 00:00;11;;
LON;30.05.1886 00:00;7.5;;
LON;31.05.1886 00:00;0;;
LON;01.06.1886 00:00;0;;
LON;02.06.1886 00:00;0;;
LON;03.06.1886 00:00;5.5;;
LON;04.06.1886 00:00;2;;
LON;05.06.1886 00:00;1;;
LON;06.06.1886 00:00;0;;
LON;07.06.1886 00:00;17;;
LON;08.06.1886 00:00;0;;
LON;09.06.1886 00:00;14;;
LON;10.06.1886 00:00;0;;
LON;11.06.1886 00:00;0;;
LON;12.06.1886 00:00;2.5;;
LON;13.06.1886 00:00;0;;
LON;14.06.1886 00:00;0;;
LON;15.06.1886 00:00;0;;
LON;16.06.1886 00:00;0;;
LON;17.06.1886 00:00;0;;
LON;18.06.1886 00:00;0;;
LON;19.06.1886 00:00;8.5;;
LON;20.06.1886 00:00;9.5;;
LON;21.06.1886 00:00;2.5;;
LON;22.06.1886 00:00;0.5;;
LON;23.06.1886 00:00;1.5;;
LON;24.06.1886 00:00;0;;
LON;25.06.1886 00:00;0;;
LON;26.06.1886 00:00;8.5;;
LON;27.06.1886 00:00;0;;
LON;28.06.1886 00:00;0;;
LON;29.06.1886 00:00;0;;
LON;30.06.1886 00:00;0;;
LON;01.07.1886 00:00;0;;
