station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LOT;01.01.1961 00:00;7.3;;
LOT;02.01.1961 00:00;0.2;;
LOT;03.01.1961 00:00;14.2;;
LOT;04.01.1961 00:00;3.6;;
LOT;05.01.1961 00:00;0.2;;
LOT;06.01.1961 00:00;5.3;;
LOT;07.01.1961 00:00;0;;
LOT;08.01.1961 00:00;0;;
LOT;09.01.1961 00:00;0;;
LOT;10.01.1961 00:00;0;;
LOT;11.01.1961 00:00;4.8;;
LOT;12.01.1961 00:00;0;;
LOT;13.01.1961 00:00;0;;
LOT;14.01.1961 00:00;0;;
LOT;15.01.1961 00:00;0;;
LOT;16.01.1961 00:00;0;;
LOT;17.01.1961 00:00;0;;
LOT;18.01.1961 00:00;0;;
LOT;19.01.1961 00:00;0;;
LOT;20.01.1961 00:00;0;;
LOT;21.01.1961 00:00;0.2;;
LOT;22.01.1961 00:00;0;;
LOT;23.01.1961 00:00;22;;
LOT;24.01.1961 00:00;6.2;;
LOT;25.01.1961 00:00;1.6;;
LOT;26.01.1961 00:00;0.8;;
LOT;27.01.1961 00:00;0;;
LOT;28.01.1961 00:00;3.6;;
LOT;29.01.1961 00:00;0;;
LOT;30.01.1961 00:00;1.3;;
LOT;31.01.1961 00:00;9.4;;
LOT;01.02.1961 00:00;4.9;;
LOT;02.02.1961 00:00;16.8;;
LOT;03.02.1961 00:00;15.3;;
LOT;04.02.1961 00:00;1.6;;
LOT;05.02.1961 00:00;9.2;;
LOT;06.02.1961 00:00;1.1;;
LOT;07.02.1961 00:00;2.2;;
LOT;08.02.1961 00:00;0;;
LOT;09.02.1961 00:00;5.3;;
LOT;10.02.1961 00:00;0;;
LOT;11.02.1961 00:00;2.3;;
LOT;12.02.1961 00:00;6.6;;
LOT;13.02.1961 00:00;0;;
LOT;14.02.1961 00:00;0;;
LOT;15.02.1961 00:00;0;;
LOT;16.02.1961 00:00;0;;
LOT;17.02.1961 00:00;0;;
LOT;18.02.1961 00:00;0;;
LOT;19.02.1961 00:00;0;;
LOT;20.02.1961 00:00;0;;
LOT;21.02.1961 00:00;0;;
LOT;22.02.1961 00:00;0;;
LOT;23.02.1961 00:00;0;;
LOT;24.02.1961 00:00;0;;
