station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LTB;01.08.1899 00:00;0;;
LTB;02.08.1899 00:00;2.9;;
LTB;03.08.1899 00:00;0;;
LTB;04.08.1899 00:00;0;;
LTB;05.08.1899 00:00;0.3;;
LTB;06.08.1899 00:00;13;;
LTB;07.08.1899 00:00;2.7;;
LTB;08.08.1899 00:00;15;;
LTB;09.08.1899 00:00;5.1;;
LTB;10.08.1899 00:00;0;;
LTB;11.08.1899 00:00;0;;
LTB;12.08.1899 00:00;0;;
LTB;13.08.1899 00:00;0;;
LTB;14.08.1899 00:00;0;;
LTB;15.08.1899 00:00;20.2;;
LTB;16.08.1899 00:00;9.7;;
LTB;17.08.1899 00:00;15.3;;
LTB;18.08.1899 00:00;0.1;;
LTB;19.08.1899 00:00;0;;
LTB;20.08.1899 00:00;0;;
LTB;21.08.1899 00:00;0;;
LTB;22.08.1899 00:00;0;;
LTB;23.08.1899 00:00;0;;
LTB;24.08.1899 00:00;0;;
LTB;25.08.1899 00:00;0;;
LTB;26.08.1899 00:00;0;;
LTB;27.08.1899 00:00;0;;
LTB;28.08.1899 00:00;0.5;;
LTB;29.08.1899 00:00;0.1;;
LTB;30.08.1899 00:00;2.7;;
LTB;31.08.1899 00:00;0.1;;
LTB;01.09.1899 00:00;0;;
LTB;02.09.1899 00:00;5.2;;
LTB;03.09.1899 00:00;0.4;;
LTB;04.09.1899 00:00;0;;
LTB;05.09.1899 00:00;8.8;;
LTB;06.09.1899 00:00;0.3;;
LTB;07.09.1899 00:00;15.6;;
LTB;08.09.1899 00:00;13;;
LTB;09.09.1899 00:00;33.8;;
LTB;10.09.1899 00:00;6.9;;
LTB;11.09.1899 00:00;17.2;;
LTB;12.09.1899 00:00;2.7;;
LTB;13.09.1899 00:00;0.1;;
LTB;14.09.1899 00:00;0;;
LTB;15.09.1899 00:00;0.1;;
LTB;16.09.1899 00:00;6.4;;
LTB;17.09.1899 00:00;0.6;;
LTB;18.09.1899 00:00;0.1;;
LTB;19.09.1899 00:00;0;;
LTB;20.09.1899 00:00;4.5;;
LTB;21.09.1899 00:00;0;;
LTB;22.09.1899 00:00;4.3;;
LTB;23.09.1899 00:00;0.4;;
LTB;24.09.1899 00:00;0.1;;
LTB;25.09.1899 00:00;0;;
LTB;26.09.1899 00:00;2.5;;
LTB;27.09.1899 00:00;0;;
LTB;28.09.1899 00:00;8.8;;
LTB;29.09.1899 00:00;0;;
LTB;30.09.1899 00:00;0.1;;
LTB;01.10.1899 00:00;0;;
LTB;02.10.1899 00:00;6;;
