station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LUG;01.01.1864 00:00;5.4;1;
LUG;02.01.1864 00:00;0;4;
LUG;03.01.1864 00:00;2.5;0;
LUG;04.01.1864 00:00;0;0;
LUG;05.01.1864 00:00;0;0;
LUG;06.01.1864 00:00;0;0;
LUG;07.01.1864 00:00;0;0;
LUG;08.01.1864 00:00;0;0;
LUG;09.01.1864 00:00;0;0;
LUG;10.01.1864 00:00;0;0;
LUG;11.01.1864 00:00;0;0;
LUG;12.01.1864 00:00;0;0;
LUG;13.01.1864 00:00;0;0;
LUG;14.01.1864 00:00;0;0;
LUG;15.01.1864 00:00;0;0;
LUG;16.01.1864 00:00;0;;
LUG;17.01.1864 00:00;0;0;
LUG;18.01.1864 00:00;0;0;
LUG;19.01.1864 00:00;0;0;
LUG;20.01.1864 00:00;0;0;
LUG;21.01.1864 00:00;0;0;
LUG;22.01.1864 00:00;0;0;
LUG;23.01.1864 00:00;0;0;
LUG;24.01.1864 00:00;0;0;
LUG;25.01.1864 00:00;0;0;
LUG;26.01.1864 00:00;0;0;
LUG;27.01.1864 00:00;0;0;
LUG;28.01.1864 00:00;0;0;
LUG;29.01.1864 00:00;0.1;0;
LUG;30.01.1864 00:00;0;0;
LUG;31.01.1864 00:00;0;0;
LUG;01.02.1864 00:00;0;0;
LUG;02.02.1864 00:00;0;0;
LUG;03.02.1864 00:00;0;0;
LUG;04.02.1864 00:00;0;0;
LUG;05.02.1864 00:00;0;0;
LUG;06.02.1864 00:00;0.4;;
LUG;07.02.1864 00:00;27.9;37;
LUG;08.02.1864 00:00;3.9;11;
LUG;09.02.1864 00:00;0;0;
LUG;10.02.1864 00:00;0;0;
LUG;11.02.1864 00:00;0;0;
LUG;12.02.1864 00:00;0;0;
LUG;13.02.1864 00:00;0;0;
LUG;14.02.1864 00:00;0;0;
LUG;15.02.1864 00:00;0;0;
LUG;16.02.1864 00:00;0;0;
LUG;17.02.1864 00:00;1;0;
LUG;18.02.1864 00:00;0;0;
LUG;19.02.1864 00:00;0;0;
LUG;20.02.1864 00:00;1.5;4;
LUG;21.02.1864 00:00;23.4;34;
LUG;22.02.1864 00:00;13.8;0;
LUG;23.02.1864 00:00;10.9;0;
LUG;24.02.1864 00:00;3.5;0;
LUG;25.02.1864 00:00;1.1;0;
LUG;26.02.1864 00:00;0;0;
LUG;27.02.1864 00:00;0;0;
LUG;28.02.1864 00:00;0;0;
LUG;29.02.1864 00:00;12.1;0;
LUG;01.03.1864 00:00;0;0;
LUG;02.03.1864 00:00;0;0;
LUG;03.03.1864 00:00;0;0;
LUG;04.03.1864 00:00;0;0;
LUG;05.03.1864 00:00;0;0;
LUG;06.03.1864 00:00;20.1;0;
LUG;07.03.1864 00:00;0.1;0;
LUG;08.03.1864 00:00;14.3;0;
LUG;09.03.1864 00:00;23.8;0;
LUG;10.03.1864 00:00;8.5;0;
LUG;11.03.1864 00:00;1;0;
LUG;12.03.1864 00:00;0;0;
LUG;13.03.1864 00:00;0;0;
LUG;14.03.1864 00:00;0;0;
LUG;15.03.1864 00:00;0;0;
LUG;16.03.1864 00:00;0;0;
LUG;17.03.1864 00:00;0;0;
LUG;18.03.1864 00:00;0;0;
LUG;19.03.1864 00:00;0;0;
LUG;20.03.1864 00:00;0;0;
LUG;21.03.1864 00:00;0;0;
LUG;22.03.1864 00:00;1.2;0;
LUG;23.03.1864 00:00;0;0;
LUG;24.03.1864 00:00;0;0;
LUG;25.03.1864 00:00;0.6;0;
LUG;26.03.1864 00:00;0;0;
LUG;27.03.1864 00:00;6.7;0;
LUG;28.03.1864 00:00;10;0;
LUG;29.03.1864 00:00;0;0;
LUG;30.03.1864 00:00;0;0;
LUG;31.03.1864 00:00;0;0;
LUG;01.04.1864 00:00;0;0;
LUG;02.04.1864 00:00;0;0;
LUG;03.04.1864 00:00;0;0;
LUG;04.04.1864 00:00;0;0;
LUG;05.04.1864 00:00;0;0;
LUG;06.04.1864 00:00;0;0;
LUG;07.04.1864 00:00;0;0;
LUG;08.04.1864 00:00;0;0;
LUG;09.04.1864 00:00;0;0;
LUG;10.04.1864 00:00;0;0;
LUG;11.04.1864 00:00;0;0;
LUG;12.04.1864 00:00;0;0;
LUG;13.04.1864 00:00;0;0;
LUG;14.04.1864 00:00;0;0;
LUG;15.04.1864 00:00;0;0;
LUG;16.04.1864 00:00;0;0;
LUG;17.04.1864 00:00;3.4;0;
LUG;18.04.1864 00:00;8.6;0;
LUG;19.04.1864 00:00;0;0;
LUG;20.04.1864 00:00;0;0;
LUG;21.04.1864 00:00;0;0;
LUG;22.04.1864 00:00;1;0;
LUG;23.04.1864 00:00;0;0;
LUG;24.04.1864 00:00;0;0;
LUG;25.04.1864 00:00;0;0;
LUG;26.04.1864 00:00;0;0;
LUG;27.04.1864 00:00;0;0;
LUG;28.04.1864 00:00;0;0;
LUG;29.04.1864 00:00;0.7;0;
LUG;30.04.1864 00:00;0;0;
LUG;01.05.1864 00:00;0;0;
LUG;02.05.1864 00:00;0;0;
LUG;03.05.1864 00:00;0;0;
LUG;04.05.1864 00:00;0;0;
LUG;05.05.1864 00:00;2.1;0;
LUG;06.05.1864 00:00;0;0;
LUG;07.05.1864 00:00;0;0;
LUG;08.05.1864 00:00;0;0;
LUG;09.05.1864 00:00;1.9;0;
LUG;10.05.1864 00:00;35;0;
LUG;11.05.1864 00:00;4;0;
LUG;12.05.1864 00:00;6.3;0;
LUG;13.05.1864 00:00;19.1;0;
LUG;14.05.1864 00:00;0;0;
LUG;15.05.1864 00:00;0;0;
LUG;16.05.1864 00:00;9.5;0;
LUG;17.05.1864 00:00;1;0;
LUG;18.05.1864 00:00;0;0;
LUG;19.05.1864 00:00;0;0;
LUG;20.05.1864 00:00;0;0;
LUG;21.05.1864 00:00;1.1;0;
LUG;22.05.1864 00:00;16.1;0;
LUG;23.05.1864 00:00;0;0;
LUG;24.05.1864 00:00;0;0;
LUG;25.05.1864 00:00;0;0;
LUG;26.05.1864 00:00;0;0;
LUG;27.05.1864 00:00;14.3;0;
LUG;28.05.1864 00:00;0;0;
