station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LUN;01.05.1904 00:00;0;;
LUN;02.05.1904 00:00;0;;
LUN;03.05.1904 00:00;10.6;;
LUN;04.05.1904 00:00;15.9;;
LUN;05.05.1904 00:00;0;;
LUN;06.05.1904 00:00;6.6;;
LUN;07.05.1904 00:00;1.5;;
LUN;08.05.1904 00:00;5.6;;
LUN;09.05.1904 00:00;0;;
LUN;10.05.1904 00:00;14.4;;
LUN;11.05.1904 00:00;6.8;;
LUN;12.05.1904 00:00;0;;
LUN;13.05.1904 00:00;0;;
LUN;14.05.1904 00:00;0;;
LUN;15.05.1904 00:00;0;;
LUN;16.05.1904 00:00;0;;
LUN;17.05.1904 00:00;0;;
LUN;18.05.1904 00:00;16.5;;
LUN;19.05.1904 00:00;20.6;;
LUN;20.05.1904 00:00;0;;
LUN;21.05.1904 00:00;21;;
LUN;22.05.1904 00:00;2.1;;
LUN;23.05.1904 00:00;26;;
LUN;24.05.1904 00:00;0;;
LUN;25.05.1904 00:00;0;;
LUN;26.05.1904 00:00;0;;
LUN;27.05.1904 00:00;2.3;;
LUN;28.05.1904 00:00;4.4;;
LUN;29.05.1904 00:00;0;;
LUN;30.05.1904 00:00;0;;
LUN;31.05.1904 00:00;5.2;;
LUN;01.06.1904 00:00;11.3;;
LUN;02.06.1904 00:00;3.9;;
LUN;03.06.1904 00:00;0;;
LUN;04.06.1904 00:00;0;;
LUN;05.06.1904 00:00;0;;
LUN;06.06.1904 00:00;4.1;;
LUN;07.06.1904 00:00;6.3;;
LUN;08.06.1904 00:00;4.4;;
LUN;09.06.1904 00:00;17;;
LUN;10.06.1904 00:00;11.2;;
LUN;11.06.1904 00:00;1.4;;
LUN;12.06.1904 00:00;11.1;;
LUN;13.06.1904 00:00;0;;
LUN;14.06.1904 00:00;0;;
LUN;15.06.1904 00:00;3.9;;
LUN;16.06.1904 00:00;0;;
LUN;17.06.1904 00:00;3.3;;
LUN;18.06.1904 00:00;15.8;;
LUN;19.06.1904 00:00;0;;
LUN;20.06.1904 00:00;0;;
LUN;21.06.1904 00:00;7.3;;
LUN;22.06.1904 00:00;0;;
LUN;23.06.1904 00:00;0;;
LUN;24.06.1904 00:00;4.1;;
LUN;25.06.1904 00:00;14.3;;
LUN;26.06.1904 00:00;29.3;;
LUN;27.06.1904 00:00;0;;
LUN;28.06.1904 00:00;0;;
LUN;29.06.1904 00:00;0;;
LUN;30.06.1904 00:00;4.1;;
LUN;01.07.1904 00:00;2.9;;
LUN;02.07.1904 00:00;1.9;;
LUN;03.07.1904 00:00;0;;
LUN;04.07.1904 00:00;4.8;;
LUN;05.07.1904 00:00;7;;
LUN;06.07.1904 00:00;0;;
LUN;07.07.1904 00:00;0;;
LUN;08.07.1904 00:00;0;;
LUN;09.07.1904 00:00;0;;
LUN;10.07.1904 00:00;0;;
LUN;11.07.1904 00:00;0;;
LUN;12.07.1904 00:00;8.8;;
LUN;13.07.1904 00:00;0;;
LUN;14.07.1904 00:00;0.4;;
LUN;15.07.1904 00:00;0;;
LUN;16.07.1904 00:00;0;;
LUN;17.07.1904 00:00;0;;
LUN;18.07.1904 00:00;1;;
LUN;19.07.1904 00:00;0;;
LUN;20.07.1904 00:00;0;;
LUN;21.07.1904 00:00;0;;
LUN;22.07.1904 00:00;1.5;;
LUN;23.07.1904 00:00;14;;
LUN;24.07.1904 00:00;0.1;;
