station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
LUZ;13.07.1880 00:00;2.6;;
LUZ;14.07.1880 00:00;0;;
LUZ;15.07.1880 00:00;0;;
LUZ;16.07.1880 00:00;0;;
LUZ;17.07.1880 00:00;0;;
LUZ;18.07.1880 00:00;0;;
LUZ;19.07.1880 00:00;2.3;;
LUZ;20.07.1880 00:00;25.7;;
LUZ;21.07.1880 00:00;22.4;;
LUZ;22.07.1880 00:00;1.6;;
LUZ;23.07.1880 00:00;0;;
LUZ;24.07.1880 00:00;0;;
LUZ;25.07.1880 00:00;1.5;;
LUZ;26.07.1880 00:00;1.9;;
LUZ;27.07.1880 00:00;0;;
LUZ;28.07.1880 00:00;0;;
LUZ;29.07.1880 00:00;5.7;;
LUZ;30.07.1880 00:00;24.7;;
LUZ;31.07.1880 00:00;0.1;;
LUZ;01.08.1880 00:00;14;;
LUZ;02.08.1880 00:00;4.8;;
LUZ;03.08.1880 00:00;34;;
LUZ;04.08.1880 00:00;0;;
LUZ;05.08.1880 00:00;0;;
LUZ;06.08.1880 00:00;20.6;;
LUZ;07.08.1880 00:00;4.1;;
LUZ;08.08.1880 00:00;1.3;;
LUZ;09.08.1880 00:00;3.1;;
LUZ;10.08.1880 00:00;0;;
LUZ;11.08.1880 00:00;0;;
LUZ;12.08.1880 00:00;0;;
LUZ;13.08.1880 00:00;4.6;;
LUZ;14.08.1880 00:00;4.2;;
LUZ;15.08.1880 00:00;0;;
LUZ;16.08.1880 00:00;0;;
LUZ;17.08.1880 00:00;1.2;;
LUZ;18.08.1880 00:00;12.2;;
LUZ;19.08.1880 00:00;0;;
LUZ;20.08.1880 00:00;11;;
LUZ;21.08.1880 00:00;9.2;;
LUZ;22.08.1880 00:00;54.4;;
LUZ;23.08.1880 00:00;0;;
LUZ;24.08.1880 00:00;8;;
LUZ;25.08.1880 00:00;0;;
LUZ;26.08.1880 00:00;31.5;;
LUZ;27.08.1880 00:00;0;;
LUZ;28.08.1880 00:00;0;;
LUZ;29.08.1880 00:00;0;;
LUZ;30.08.1880 00:00;0;;
LUZ;31.08.1880 00:00;0;;
LUZ;01.09.1880 00:00;0;;
LUZ;02.09.1880 00:00;0;;
LUZ;03.09.1880 00:00;0;;
LUZ;04.09.1880 00:00;0;;
LUZ;05.09.1880 00:00;5.5;;
LUZ;06.09.1880 00:00;0;;
LUZ;07.09.1880 00:00;5.2;;
LUZ;08.09.1880 00:00;17.3;;
LUZ;09.09.1880 00:00;0;;
LUZ;10.09.1880 00:00;0.1;;
LUZ;11.09.1880 00:00;0;;
LUZ;12.09.1880 00:00;8.4;;
LUZ;13.09.1880 00:00;2.5;;
LUZ;14.09.1880 00:00;0;;
LUZ;15.09.1880 00:00;12.6;;
LUZ;16.09.1880 00:00;0;;
LUZ;17.09.1880 00:00;1;;
LUZ;18.09.1880 00:00;1.5;;
LUZ;19.09.1880 00:00;13;;
LUZ;20.09.1880 00:00;6.9;;
LUZ;21.09.1880 00:00;15.2;;
LUZ;22.09.1880 00:00;0;;
LUZ;23.09.1880 00:00;0;;
LUZ;24.09.1880 00:00;0;;
LUZ;25.09.1880 00:00;0;;
LUZ;26.09.1880 00:00;0;;
LUZ;27.09.1880 00:00;0;;
LUZ;28.09.1880 00:00;0;;
LUZ;29.09.1880 00:00;0;;
LUZ;30.09.1880 00:00;0;;
LUZ;01.10.1880 00:00;0;;
LUZ;02.10.1880 00:00;0;;
LUZ;03.10.1880 00:00;28.3;;
LUZ;04.10.1880 00:00;4;;
LUZ;05.10.1880 00:00;3.5;;
LUZ;06.10.1880 00:00;0.2;;
LUZ;07.10.1880 00:00;0.7;;
LUZ;08.10.1880 00:00;6;;
LUZ;09.10.1880 00:00;0;;
LUZ;10.10.1880 00:00;0.2;;
LUZ;11.10.1880 00:00;4.5;;
LUZ;12.10.1880 00:00;8.4;;
LUZ;13.10.1880 00:00;0;;
LUZ;14.10.1880 00:00;0;;
LUZ;15.10.1880 00:00;0;;
LUZ;16.10.1880 00:00;0.1;;
LUZ;17.10.1880 00:00;12.1;;
LUZ;18.10.1880 00:00;4.6;;
LUZ;19.10.1880 00:00;0.8;;
LUZ;20.10.1880 00:00;5.1;;
LUZ;21.10.1880 00:00;30.6;;
LUZ;22.10.1880 00:00;24.1;;
LUZ;23.10.1880 00:00;12.6;;
LUZ;24.10.1880 00:00;12.1;;
LUZ;25.10.1880 00:00;0;;
LUZ;26.10.1880 00:00;15.4;;
LUZ;27.10.1880 00:00;30.9;;
LUZ;28.10.1880 00:00;4.2;;
LUZ;29.10.1880 00:00;4;;
LUZ;30.10.1880 00:00;0;;
LUZ;31.10.1880 00:00;0;;
LUZ;01.11.1880 00:00;0;;
LUZ;02.11.1880 00:00;0;;
LUZ;03.11.1880 00:00;2.6;;
LUZ;04.11.1880 00:00;1.8;;
LUZ;05.11.1880 00:00;0;;
LUZ;06.11.1880 00:00;0;;
LUZ;07.11.1880 00:00;0;;
LUZ;08.11.1880 00:00;2.6;;
LUZ;09.11.1880 00:00;0;;
LUZ;10.11.1880 00:00;0;;
LUZ;11.11.1880 00:00;0;;
LUZ;12.11.1880 00:00;0;;
LUZ;13.11.1880 00:00;0.4;;
LUZ;14.11.1880 00:00;0;;
LUZ;15.11.1880 00:00;0;;
LUZ;16.11.1880 00:00;3.9;;
LUZ;17.11.1880 00:00;7;;
LUZ;18.11.1880 00:00;2.9;;
LUZ;19.11.1880 00:00;2.3;;
LUZ;20.11.1880 00:00;0;;
LUZ;21.11.1880 00:00;0.5;;
LUZ;22.11.1880 00:00;0;;
LUZ;23.11.1880 00:00;0;;
LUZ;24.11.1880 00:00;0;;
LUZ;25.11.1880 00:00;0.1;;
LUZ;26.11.1880 00:00;0;;
LUZ;27.11.1880 00:00;10.8;;
LUZ;28.11.1880 00:00;0;;
LUZ;29.11.1880 00:00;0;;
LUZ;30.11.1880 00:00;0;;
LUZ;01.12.1880 00:00;0;;
LUZ;02.12.1880 00:00;0;;
LUZ;03.12.1880 00:00;0;;
LUZ;04.12.1880 00:00;0.6;;
LUZ;05.12.1880 00:00;0;;
LUZ;06.12.1880 00:00;0.1;;
LUZ;07.12.1880 00:00;0;;
LUZ;08.12.1880 00:00;0;;
LUZ;09.12.1880 00:00;10.2;;
LUZ;10.12.1880 00:00;1.6;;
LUZ;11.12.1880 00:00;0;;
LUZ;12.12.1880 00:00;0;;
LUZ;13.12.1880 00:00;0;;
LUZ;14.12.1880 00:00;2.1;;
LUZ;15.12.1880 00:00;5;;
LUZ;16.12.1880 00:00;0.1;;
LUZ;17.12.1880 00:00;2.8;;
LUZ;18.12.1880 00:00;0.6;;
LUZ;19.12.1880 00:00;0;;
LUZ;20.12.1880 00:00;0.8;;
LUZ;21.12.1880 00:00;6.1;;
LUZ;22.12.1880 00:00;1.3;;
LUZ;23.12.1880 00:00;0;;
LUZ;24.12.1880 00:00;3.4;;
LUZ;25.12.1880 00:00;5.5;;
LUZ;26.12.1880 00:00;1.2;;
LUZ;27.12.1880 00:00;0.5;;
LUZ;28.12.1880 00:00;0;;
LUZ;29.12.1880 00:00;0;;
LUZ;30.12.1880 00:00;11.7;;
LUZ;31.12.1880 00:00;6.6;;
LUZ;01.01.1881 00:00;1.8;;
LUZ;02.01.1881 00:00;0;;
LUZ;03.01.1881 00:00;0;;
LUZ;04.01.1881 00:00;0;;
LUZ;05.01.1881 00:00;0.1;;
LUZ;06.01.1881 00:00;0;;
LUZ;07.01.1881 00:00;0;;
LUZ;08.01.1881 00:00;0;;
LUZ;09.01.1881 00:00;0;;
LUZ;10.01.1881 00:00;0;;
LUZ;11.01.1881 00:00;0;;
LUZ;12.01.1881 00:00;0.8;;
LUZ;13.01.1881 00:00;2.7;;
LUZ;14.01.1881 00:00;0;;
LUZ;15.01.1881 00:00;0.4;;
LUZ;16.01.1881 00:00;0;;
LUZ;17.01.1881 00:00;0;;
LUZ;18.01.1881 00:00;6.2;;
LUZ;19.01.1881 00:00;6.8;;
LUZ;20.01.1881 00:00;1;;
LUZ;21.01.1881 00:00;0.7;;
LUZ;22.01.1881 00:00;0;;
LUZ;23.01.1881 00:00;0;;
LUZ;24.01.1881 00:00;0;;
LUZ;25.01.1881 00:00;4.7;;
LUZ;26.01.1881 00:00;1.8;;
LUZ;27.01.1881 00:00;4.1;;
LUZ;28.01.1881 00:00;0;;
LUZ;29.01.1881 00:00;0.8;;
LUZ;30.01.1881 00:00;4.5;;
LUZ;31.01.1881 00:00;0;;
LUZ;01.02.1881 00:00;1.5;;
LUZ;02.02.1881 00:00;0;;
LUZ;03.02.1881 00:00;0;;
LUZ;04.02.1881 00:00;0;;
LUZ;05.02.1881 00:00;4;;
LUZ;06.02.1881 00:00;2.7;;
LUZ;07.02.1881 00:00;4.9;;
LUZ;08.02.1881 00:00;4.4;;
LUZ;09.02.1881 00:00;1.4;;
LUZ;10.02.1881 00:00;7.2;;
LUZ;11.02.1881 00:00;1.5;;
LUZ;12.02.1881 00:00;5.1;;
LUZ;13.02.1881 00:00;0;;
LUZ;14.02.1881 00:00;0;;
LUZ;15.02.1881 00:00;0;;
LUZ;16.02.1881 00:00;0;;
LUZ;17.02.1881 00:00;0;;
LUZ;18.02.1881 00:00;0;;
LUZ;19.02.1881 00:00;0;;
LUZ;20.02.1881 00:00;0;;
LUZ;21.02.1881 00:00;0;;
LUZ;22.02.1881 00:00;0.3;;
LUZ;23.02.1881 00:00;0;;
LUZ;24.02.1881 00:00;0;;
LUZ;25.02.1881 00:00;0;;
LUZ;26.02.1881 00:00;0;;
LUZ;27.02.1881 00:00;0;;
LUZ;28.02.1881 00:00;1.5;;
LUZ;01.03.1881 00:00;2.8;;
LUZ;02.03.1881 00:00;0;;
LUZ;03.03.1881 00:00;0;;
LUZ;04.03.1881 00:00;2.9;;
LUZ;05.03.1881 00:00;1.8;;
LUZ;06.03.1881 00:00;8.2;;
LUZ;07.03.1881 00:00;9.5;;
LUZ;08.03.1881 00:00;18.6;;
LUZ;09.03.1881 00:00;0.1;;
LUZ;10.03.1881 00:00;8.6;;
