station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MAC;01.01.1961 00:00;1.2;;
MAC;02.01.1961 00:00;5.7;;
MAC;03.01.1961 00:00;16.1;;
MAC;04.01.1961 00:00;4.5;;
MAC;05.01.1961 00:00;0;;
MAC;06.01.1961 00:00;4.3;;
MAC;07.01.1961 00:00;0.1;;
MAC;08.01.1961 00:00;3;;
MAC;09.01.1961 00:00;3.8;;
MAC;10.01.1961 00:00;16.2;;
MAC;11.01.1961 00:00;0;;
MAC;12.01.1961 00:00;0;;
MAC;13.01.1961 00:00;0;;
MAC;14.01.1961 00:00;0;;
MAC;15.01.1961 00:00;0;;
MAC;16.01.1961 00:00;0;;
MAC;17.01.1961 00:00;0;;
MAC;18.01.1961 00:00;0;;
MAC;19.01.1961 00:00;0;;
MAC;20.01.1961 00:00;0.2;;
MAC;21.01.1961 00:00;0;;
MAC;22.01.1961 00:00;2.2;;
MAC;23.01.1961 00:00;9.2;;
MAC;24.01.1961 00:00;7.4;;
MAC;25.01.1961 00:00;3.7;;
MAC;26.01.1961 00:00;0;;
MAC;27.01.1961 00:00;0;;
MAC;28.01.1961 00:00;8.5;;
MAC;29.01.1961 00:00;0;;
MAC;30.01.1961 00:00;5.3;;
MAC;31.01.1961 00:00;12.1;;
MAC;01.02.1961 00:00;3.6;;
MAC;02.02.1961 00:00;19.6;;
MAC;03.02.1961 00:00;12.1;;
MAC;04.02.1961 00:00;6.5;;
MAC;05.02.1961 00:00;2.6;;
MAC;06.02.1961 00:00;2.1;;
MAC;07.02.1961 00:00;2.4;;
MAC;08.02.1961 00:00;0;;
MAC;09.02.1961 00:00;1.1;;
MAC;10.02.1961 00:00;0;;
MAC;11.02.1961 00:00;2.5;;
MAC;12.02.1961 00:00;0.9;;
MAC;13.02.1961 00:00;0;;
MAC;14.02.1961 00:00;0;;
MAC;15.02.1961 00:00;0;;
MAC;16.02.1961 00:00;0;;
MAC;17.02.1961 00:00;0;;
MAC;18.02.1961 00:00;0;;
MAC;19.02.1961 00:00;0;;
MAC;20.02.1961 00:00;0;;
MAC;21.02.1961 00:00;0;;
MAC;22.02.1961 00:00;0;;
MAC;23.02.1961 00:00;0;;
MAC;24.02.1961 00:00;0;;
MAC;25.02.1961 00:00;0;;
MAC;26.02.1961 00:00;0;;
MAC;27.02.1961 00:00;0;;
MAC;28.02.1961 00:00;5.1;;
MAC;01.03.1961 00:00;0;;
MAC;02.03.1961 00:00;0;;
MAC;03.03.1961 00:00;0;;
MAC;04.03.1961 00:00;0;;
MAC;05.03.1961 00:00;0;;
MAC;06.03.1961 00:00;0;;
MAC;07.03.1961 00:00;0;;
MAC;08.03.1961 00:00;0;;
MAC;09.03.1961 00:00;0;;
MAC;10.03.1961 00:00;0;;
MAC;11.03.1961 00:00;0;;
MAC;12.03.1961 00:00;0;;
MAC;13.03.1961 00:00;0;;
MAC;14.03.1961 00:00;0;;
MAC;15.03.1961 00:00;0;;
MAC;16.03.1961 00:00;0;;
MAC;17.03.1961 00:00;0;;
MAC;18.03.1961 00:00;3.2;;
MAC;19.03.1961 00:00;1.2;;
MAC;20.03.1961 00:00;0;;
MAC;21.03.1961 00:00;0;;
MAC;22.03.1961 00:00;0;;
MAC;23.03.1961 00:00;0;;
MAC;24.03.1961 00:00;0;;
MAC;25.03.1961 00:00;0;;
MAC;26.03.1961 00:00;0;;
MAC;27.03.1961 00:00;0;;
MAC;28.03.1961 00:00;0;;
MAC;29.03.1961 00:00;0;;
MAC;30.03.1961 00:00;0;;
MAC;31.03.1961 00:00;0;;
MAC;01.04.1961 00:00;5.4;;
MAC;02.04.1961 00:00;0.2;;
MAC;03.04.1961 00:00;0;;
MAC;04.04.1961 00:00;0;;
MAC;05.04.1961 00:00;0;;
MAC;06.04.1961 00:00;0;;
MAC;07.04.1961 00:00;0;;
MAC;08.04.1961 00:00;0;;
MAC;09.04.1961 00:00;0;;
MAC;10.04.1961 00:00;1.7;;
MAC;11.04.1961 00:00;1.6;;
MAC;12.04.1961 00:00;0;;
MAC;13.04.1961 00:00;0.5;;
MAC;14.04.1961 00:00;17.2;;
MAC;15.04.1961 00:00;0.8;;
MAC;16.04.1961 00:00;6.6;;
MAC;17.04.1961 00:00;0.2;;
MAC;18.04.1961 00:00;4.2;;
MAC;19.04.1961 00:00;0.8;;
MAC;20.04.1961 00:00;4.5;;
MAC;21.04.1961 00:00;9.1;;
MAC;22.04.1961 00:00;7.2;;
MAC;23.04.1961 00:00;4.5;;
MAC;24.04.1961 00:00;0.2;;
MAC;25.04.1961 00:00;7.2;;
MAC;26.04.1961 00:00;8.8;;
MAC;27.04.1961 00:00;0;;
MAC;28.04.1961 00:00;0.5;;
MAC;29.04.1961 00:00;5.2;;
MAC;30.04.1961 00:00;3.3;;
MAC;01.05.1961 00:00;0.1;;
MAC;02.05.1961 00:00;0.2;;
MAC;03.05.1961 00:00;1.7;;
MAC;04.05.1961 00:00;0;;
MAC;05.05.1961 00:00;6.1;;
