station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MAD;01.11.1971 00:00;;0;
MAD;02.11.1971 00:00;;0;
MAD;03.11.1971 00:00;;0;
MAD;04.11.1971 00:00;;0;
MAD;05.11.1971 00:00;;0;
MAD;06.11.1971 00:00;;0;
MAD;12.11.1971 00:00;;0;
MAD;13.11.1971 00:00;;0;
MAD;14.11.1971 00:00;;0;
MAD;15.11.1971 00:00;;0;
MAD;16.11.1971 00:00;;0;
MAD;24.11.1971 00:00;;0;
MAD;25.11.1971 00:00;;0;
MAD;26.11.1971 00:00;;0;
MAD;27.11.1971 00:00;;0;
MAD;30.11.1971 00:00;;0;
MAD;02.12.1971 00:00;;0;
MAD;03.12.1971 00:00;;0;
MAD;04.12.1971 00:00;;0;
MAD;05.12.1971 00:00;;0;
MAD;06.12.1971 00:00;;0;
MAD;07.12.1971 00:00;;0;
MAD;08.12.1971 00:00;;0;
MAD;11.12.1971 00:00;;0;
MAD;12.12.1971 00:00;;0;
MAD;13.12.1971 00:00;;0;
MAD;14.12.1971 00:00;;0;
MAD;15.12.1971 00:00;;0;
MAD;16.12.1971 00:00;;0;
MAD;17.12.1971 00:00;;0;
MAD;18.12.1971 00:00;;0;
MAD;20.12.1971 00:00;;0;
MAD;21.12.1971 00:00;;0;
MAD;24.12.1971 00:00;;0;
MAD;25.12.1971 00:00;;0;
MAD;26.12.1971 00:00;;0;
MAD;30.12.1971 00:00;;0;
MAD;31.12.1971 00:00;;0;
MAD;01.01.1972 00:00;0;0;
MAD;02.01.1972 00:00;0;0;
MAD;03.01.1972 00:00;2.2;;
MAD;04.01.1972 00:00;0;0;
MAD;05.01.1972 00:00;0;0;
MAD;06.01.1972 00:00;0;0;
MAD;07.01.1972 00:00;0;0;
MAD;08.01.1972 00:00;0;0;
MAD;09.01.1972 00:00;0;0;
MAD;10.01.1972 00:00;0.7;;
MAD;11.01.1972 00:00;0;0;
MAD;12.01.1972 00:00;0;0;
MAD;13.01.1972 00:00;0.7;;
MAD;14.01.1972 00:00;0;0;
MAD;15.01.1972 00:00;0;0;
MAD;16.01.1972 00:00;0;0;
MAD;17.01.1972 00:00;0;0;
MAD;18.01.1972 00:00;0;0;
MAD;19.01.1972 00:00;0;0;
MAD;20.01.1972 00:00;0;0;
MAD;21.01.1972 00:00;5.1;;
MAD;22.01.1972 00:00;0;0;
MAD;23.01.1972 00:00;0;0;
MAD;24.01.1972 00:00;3.3;;
MAD;25.01.1972 00:00;0.3;;
MAD;26.01.1972 00:00;1.7;;
MAD;27.01.1972 00:00;2.6;;
MAD;28.01.1972 00:00;2.2;;
MAD;29.01.1972 00:00;0.6;;
MAD;30.01.1972 00:00;1.2;;
MAD;31.01.1972 00:00;0.5;;
MAD;01.02.1972 00:00;0;0;
MAD;02.02.1972 00:00;0.4;;
MAD;03.02.1972 00:00;0;0;
MAD;04.02.1972 00:00;0;0;
MAD;05.02.1972 00:00;0;0;
MAD;06.02.1972 00:00;0;0;
MAD;07.02.1972 00:00;0;0;
MAD;08.02.1972 00:00;0;0;
MAD;09.02.1972 00:00;3.3;;
MAD;10.02.1972 00:00;1.6;;
MAD;11.02.1972 00:00;9.7;;
MAD;12.02.1972 00:00;2.3;;
MAD;13.02.1972 00:00;5.8;;
MAD;14.02.1972 00:00;1.3;;
MAD;15.02.1972 00:00;0;0;
MAD;16.02.1972 00:00;0;0;
MAD;17.02.1972 00:00;0;0;
MAD;18.02.1972 00:00;0;0;
MAD;19.02.1972 00:00;0;0;
MAD;20.02.1972 00:00;0;0;
MAD;21.02.1972 00:00;0;0;
MAD;22.02.1972 00:00;0;0;
MAD;23.02.1972 00:00;0;0;
MAD;24.02.1972 00:00;0;0;
MAD;25.02.1972 00:00;0;0;
MAD;26.02.1972 00:00;0;0;
MAD;27.02.1972 00:00;0;0;
MAD;28.02.1972 00:00;0;0;
MAD;29.02.1972 00:00;0;0;
MAD;01.03.1972 00:00;0;0;
MAD;02.03.1972 00:00;0;0;
MAD;03.03.1972 00:00;0;0;
MAD;04.03.1972 00:00;7.3;;
MAD;05.03.1972 00:00;0.5;;
MAD;06.03.1972 00:00;6.3;;
MAD;07.03.1972 00:00;7.2;;
MAD;08.03.1972 00:00;0;0;
MAD;09.03.1972 00:00;1.3;;
MAD;10.03.1972 00:00;0.4;;
MAD;11.03.1972 00:00;1.3;;
MAD;12.03.1972 00:00;0;0;
MAD;13.03.1972 00:00;0;0;
MAD;14.03.1972 00:00;0;0;
MAD;15.03.1972 00:00;0;0;
MAD;16.03.1972 00:00;0;0;
MAD;17.03.1972 00:00;0;0;
MAD;18.03.1972 00:00;0;0;
