station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MBA;01.01.1901 00:00;2.3;;
MBA;02.01.1901 00:00;0.8;;
MBA;03.01.1901 00:00;0;;
MBA;04.01.1901 00:00;0.1;;
MBA;05.01.1901 00:00;0.2;;
MBA;06.01.1901 00:00;0;;
MBA;07.01.1901 00:00;0;;
MBA;08.01.1901 00:00;0;;
MBA;09.01.1901 00:00;0;;
MBA;10.01.1901 00:00;0;;
MBA;11.01.1901 00:00;0;;
MBA;12.01.1901 00:00;0;;
MBA;13.01.1901 00:00;0;;
MBA;14.01.1901 00:00;0;;
MBA;15.01.1901 00:00;0;;
MBA;16.01.1901 00:00;0;;
MBA;17.01.1901 00:00;0;;
MBA;18.01.1901 00:00;0;;
MBA;19.01.1901 00:00;0;;
MBA;20.01.1901 00:00;9.2;;
MBA;21.01.1901 00:00;15.5;;
MBA;22.01.1901 00:00;0;;
MBA;23.01.1901 00:00;0;;
MBA;24.01.1901 00:00;0;;
MBA;25.01.1901 00:00;0.4;;
MBA;26.01.1901 00:00;14.1;;
MBA;27.01.1901 00:00;22.3;;
MBA;28.01.1901 00:00;16.3;;
MBA;29.01.1901 00:00;13.1;;
MBA;30.01.1901 00:00;0;;
MBA;31.01.1901 00:00;0;;
MBA;01.02.1901 00:00;4.9;;
MBA;02.02.1901 00:00;3.6;;
MBA;03.02.1901 00:00;0;;
MBA;04.02.1901 00:00;0;;
MBA;05.02.1901 00:00;3.5;;
MBA;06.02.1901 00:00;0.6;;
MBA;07.02.1901 00:00;1.2;;
MBA;08.02.1901 00:00;0;;
MBA;09.02.1901 00:00;0;;
MBA;10.02.1901 00:00;0;;
MBA;11.02.1901 00:00;2.1;;
MBA;12.02.1901 00:00;0.6;;
MBA;13.02.1901 00:00;4.1;;
MBA;14.02.1901 00:00;0;;
MBA;15.02.1901 00:00;0;;
MBA;16.02.1901 00:00;5.5;;
MBA;17.02.1901 00:00;14.5;;
MBA;18.02.1901 00:00;0.5;;
MBA;19.02.1901 00:00;0.2;;
MBA;20.02.1901 00:00;0;;
MBA;21.02.1901 00:00;0;;
MBA;22.02.1901 00:00;0;;
MBA;23.02.1901 00:00;0;;
MBA;24.02.1901 00:00;0;;
MBA;25.02.1901 00:00;0;;
MBA;26.02.1901 00:00;0;;
MBA;27.02.1901 00:00;0;;
MBA;28.02.1901 00:00;0.2;;
MBA;01.03.1901 00:00;0.9;;
MBA;02.03.1901 00:00;14;;
MBA;03.03.1901 00:00;14.8;;
MBA;04.03.1901 00:00;7.5;;
MBA;05.03.1901 00:00;4.4;;
MBA;06.03.1901 00:00;4.5;;
MBA;07.03.1901 00:00;0.4;;
MBA;08.03.1901 00:00;0;;
MBA;09.03.1901 00:00;0;;
MBA;10.03.1901 00:00;3.1;;
MBA;11.03.1901 00:00;3.4;;
MBA;12.03.1901 00:00;1.4;;
MBA;13.03.1901 00:00;0;;
MBA;14.03.1901 00:00;0;;
MBA;15.03.1901 00:00;0;;
MBA;16.03.1901 00:00;0;;
MBA;17.03.1901 00:00;0;;
MBA;18.03.1901 00:00;0;;
MBA;19.03.1901 00:00;0;;
MBA;20.03.1901 00:00;29.2;;
MBA;21.03.1901 00:00;9.5;;
MBA;22.03.1901 00:00;0;;
MBA;23.03.1901 00:00;0.3;;
MBA;24.03.1901 00:00;0;;
MBA;25.03.1901 00:00;3.1;;
MBA;26.03.1901 00:00;10.2;;
MBA;27.03.1901 00:00;0.5;;
MBA;28.03.1901 00:00;8.8;;
MBA;29.03.1901 00:00;0.3;;
MBA;30.03.1901 00:00;0;;
MBA;31.03.1901 00:00;0;;
MBA;01.04.1901 00:00;11.2;;
MBA;02.04.1901 00:00;0;;
MBA;03.04.1901 00:00;0;;
MBA;04.04.1901 00:00;4.5;;
MBA;05.04.1901 00:00;52.8;;
MBA;06.04.1901 00:00;8.9;;
MBA;07.04.1901 00:00;32.5;;
MBA;08.04.1901 00:00;0;;
MBA;09.04.1901 00:00;10.6;;
MBA;10.04.1901 00:00;14;;
MBA;11.04.1901 00:00;0.5;;
MBA;12.04.1901 00:00;29.1;;
MBA;13.04.1901 00:00;11.6;;
MBA;14.04.1901 00:00;5.5;;
MBA;15.04.1901 00:00;4;;
MBA;16.04.1901 00:00;13.2;;
MBA;17.04.1901 00:00;18.2;;
MBA;18.04.1901 00:00;0;;
MBA;19.04.1901 00:00;0;;
MBA;20.04.1901 00:00;0;;
MBA;21.04.1901 00:00;0;;
MBA;22.04.1901 00:00;0;;
MBA;23.04.1901 00:00;0;;
MBA;24.04.1901 00:00;0;;
MBA;25.04.1901 00:00;0;;
MBA;26.04.1901 00:00;0.5;;
MBA;27.04.1901 00:00;0;;
MBA;28.04.1901 00:00;14.3;;
MBA;29.04.1901 00:00;11.4;;
MBA;30.04.1901 00:00;7.6;;
MBA;01.05.1901 00:00;0;;
MBA;02.05.1901 00:00;0;;
MBA;03.05.1901 00:00;22;;
MBA;04.05.1901 00:00;0;;
MBA;05.05.1901 00:00;0;;
MBA;06.05.1901 00:00;15;;
MBA;07.05.1901 00:00;6.5;;
MBA;08.05.1901 00:00;10.3;;
MBA;09.05.1901 00:00;0.7;;
MBA;10.05.1901 00:00;13.8;;
MBA;11.05.1901 00:00;1.2;;
MBA;12.05.1901 00:00;0;;
MBA;13.05.1901 00:00;0;;
MBA;14.05.1901 00:00;0;;
MBA;15.05.1901 00:00;0;;
MBA;16.05.1901 00:00;4.3;;
MBA;17.05.1901 00:00;0;;
MBA;18.05.1901 00:00;4.6;;
MBA;19.05.1901 00:00;0;;
MBA;20.05.1901 00:00;0;;
MBA;21.05.1901 00:00;0;;
MBA;22.05.1901 00:00;4.1;;
MBA;23.05.1901 00:00;0;;
MBA;24.05.1901 00:00;0;;
MBA;25.05.1901 00:00;1.5;;
MBA;26.05.1901 00:00;0.8;;
MBA;27.05.1901 00:00;12.4;;
MBA;28.05.1901 00:00;7.1;;
MBA;29.05.1901 00:00;0.3;;
MBA;30.05.1901 00:00;4.6;;
MBA;31.05.1901 00:00;0.7;;
MBA;01.06.1901 00:00;0;;
MBA;02.06.1901 00:00;13;;
MBA;03.06.1901 00:00;8.2;;
MBA;04.06.1901 00:00;10.2;;
MBA;05.06.1901 00:00;0;;
MBA;06.06.1901 00:00;0;;
MBA;07.06.1901 00:00;0;;
MBA;08.06.1901 00:00;14.7;;
MBA;09.06.1901 00:00;39.7;;
MBA;10.06.1901 00:00;5.2;;
MBA;11.06.1901 00:00;0.9;;
MBA;12.06.1901 00:00;0;;
MBA;13.06.1901 00:00;1.3;;
MBA;14.06.1901 00:00;18.1;;
MBA;15.06.1901 00:00;42.2;;
MBA;16.06.1901 00:00;9.6;;
MBA;17.06.1901 00:00;8.2;;
MBA;18.06.1901 00:00;10;;
MBA;19.06.1901 00:00;2.8;;
MBA;20.06.1901 00:00;0;;
MBA;21.06.1901 00:00;0;;
MBA;22.06.1901 00:00;0;;
MBA;23.06.1901 00:00;20.9;;
MBA;24.06.1901 00:00;15;;
MBA;25.06.1901 00:00;0;;
MBA;26.06.1901 00:00;0;;
MBA;27.06.1901 00:00;0;;
MBA;28.06.1901 00:00;1.9;;
MBA;29.06.1901 00:00;3.4;;
MBA;30.06.1901 00:00;15.5;;
MBA;01.07.1901 00:00;17.5;;
MBA;02.07.1901 00:00;1.7;;
MBA;03.07.1901 00:00;0;;
MBA;04.07.1901 00:00;8;;
MBA;05.07.1901 00:00;3.8;;
MBA;06.07.1901 00:00;3.1;;
MBA;07.07.1901 00:00;0;;
MBA;08.07.1901 00:00;0;;
MBA;09.07.1901 00:00;0;;
MBA;10.07.1901 00:00;0;;
MBA;11.07.1901 00:00;0;;
MBA;12.07.1901 00:00;0;;
MBA;13.07.1901 00:00;0;;
MBA;14.07.1901 00:00;10.9;;
MBA;15.07.1901 00:00;0.6;;
MBA;16.07.1901 00:00;0;;
MBA;17.07.1901 00:00;0;;
MBA;18.07.1901 00:00;0;;
MBA;19.07.1901 00:00;0;;
MBA;20.07.1901 00:00;4.7;;
MBA;21.07.1901 00:00;11.5;;
MBA;22.07.1901 00:00;23.6;;
MBA;23.07.1901 00:00;1.4;;
MBA;24.07.1901 00:00;2.4;;
MBA;25.07.1901 00:00;0;;
MBA;26.07.1901 00:00;1.4;;
MBA;27.07.1901 00:00;14.3;;
MBA;28.07.1901 00:00;15;;
MBA;29.07.1901 00:00;7.5;;
MBA;30.07.1901 00:00;0;;
