station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MDO;01.01.1901 00:00;6.2;;
MDO;02.01.1901 00:00;0;;
MDO;03.01.1901 00:00;0;;
MDO;04.01.1901 00:00;0;;
MDO;05.01.1901 00:00;0;;
MDO;06.01.1901 00:00;0;;
MDO;07.01.1901 00:00;0;;
MDO;08.01.1901 00:00;0;;
MDO;09.01.1901 00:00;0;;
MDO;10.01.1901 00:00;0;;
MDO;11.01.1901 00:00;0;;
MDO;12.01.1901 00:00;0;;
MDO;13.01.1901 00:00;0;;
MDO;14.01.1901 00:00;0;;
MDO;15.01.1901 00:00;0;;
MDO;16.01.1901 00:00;0;;
MDO;17.01.1901 00:00;0;;
MDO;18.01.1901 00:00;0;;
MDO;19.01.1901 00:00;0;;
MDO;20.01.1901 00:00;1.5;;
MDO;21.01.1901 00:00;0.9;;
MDO;22.01.1901 00:00;0.2;;
MDO;23.01.1901 00:00;0;;
MDO;24.01.1901 00:00;0;;
MDO;25.01.1901 00:00;0;;
MDO;26.01.1901 00:00;17;;
MDO;27.01.1901 00:00;9;;
MDO;28.01.1901 00:00;14.8;;
MDO;29.01.1901 00:00;7.3;;
MDO;30.01.1901 00:00;0;;
MDO;31.01.1901 00:00;0;;
MDO;01.02.1901 00:00;6.3;;
MDO;02.02.1901 00:00;2;;
MDO;03.02.1901 00:00;0;;
MDO;04.02.1901 00:00;9.5;;
MDO;05.02.1901 00:00;5.5;;
MDO;06.02.1901 00:00;2.2;;
MDO;07.02.1901 00:00;1.3;;
MDO;08.02.1901 00:00;0;;
MDO;09.02.1901 00:00;0;;
MDO;10.02.1901 00:00;0;;
MDO;11.02.1901 00:00;0;;
MDO;12.02.1901 00:00;0;;
MDO;13.02.1901 00:00;10.2;;
MDO;14.02.1901 00:00;0;;
MDO;15.02.1901 00:00;0;;
MDO;16.02.1901 00:00;3.2;;
MDO;17.02.1901 00:00;1.4;;
MDO;18.02.1901 00:00;0;;
MDO;19.02.1901 00:00;0;;
MDO;20.02.1901 00:00;0;;
MDO;21.02.1901 00:00;0;;
MDO;22.02.1901 00:00;0;;
MDO;23.02.1901 00:00;0;;
