station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MER;01.07.1889 00:00;3.8;;
MER;02.07.1889 00:00;0;;
MER;03.07.1889 00:00;0;;
MER;04.07.1889 00:00;0;;
MER;05.07.1889 00:00;14.8;;
MER;06.07.1889 00:00;4.7;;
MER;07.07.1889 00:00;0.1;;
MER;08.07.1889 00:00;9.5;;
MER;09.07.1889 00:00;0;;
MER;10.07.1889 00:00;0;;
MER;11.07.1889 00:00;3;;
MER;12.07.1889 00:00;18.5;;
MER;13.07.1889 00:00;32.2;;
MER;14.07.1889 00:00;14.5;;
MER;15.07.1889 00:00;0.2;;
MER;16.07.1889 00:00;0;;
MER;17.07.1889 00:00;14.2;;
MER;18.07.1889 00:00;0;;
MER;19.07.1889 00:00;4.2;;
MER;20.07.1889 00:00;0.5;;
MER;21.07.1889 00:00;0.1;;
MER;22.07.1889 00:00;2.1;;
MER;23.07.1889 00:00;16.2;;
MER;24.07.1889 00:00;1;;
MER;25.07.1889 00:00;0;;
MER;26.07.1889 00:00;9.7;;
MER;27.07.1889 00:00;19.8;;
MER;28.07.1889 00:00;7;;
MER;29.07.1889 00:00;0;;
MER;30.07.1889 00:00;0;;
MER;31.07.1889 00:00;0;;
MER;01.08.1889 00:00;0;;
MER;02.08.1889 00:00;5.2;;
MER;03.08.1889 00:00;0;;
MER;04.08.1889 00:00;0;;
MER;05.08.1889 00:00;2.2;;
MER;06.08.1889 00:00;1;;
MER;07.08.1889 00:00;0;;
MER;08.08.1889 00:00;2.2;;
MER;09.08.1889 00:00;1.3;;
MER;10.08.1889 00:00;6.3;;
MER;11.08.1889 00:00;4.4;;
MER;12.08.1889 00:00;9.6;;
MER;13.08.1889 00:00;7;;
MER;14.08.1889 00:00;0.1;;
MER;15.08.1889 00:00;1;;
MER;16.08.1889 00:00;0;;
MER;17.08.1889 00:00;0;;
MER;18.08.1889 00:00;0;;
MER;19.08.1889 00:00;17;;
MER;20.08.1889 00:00;1;;
MER;21.08.1889 00:00;0;;
MER;22.08.1889 00:00;7.4;;
MER;23.08.1889 00:00;20.6;;
MER;24.08.1889 00:00;6.8;;
MER;25.08.1889 00:00;3.1;;
MER;26.08.1889 00:00;11.5;;
MER;27.08.1889 00:00;1.2;;
MER;28.08.1889 00:00;0;;
MER;29.08.1889 00:00;0;;
MER;30.08.1889 00:00;0;;
MER;31.08.1889 00:00;0;;
MER;01.09.1889 00:00;0;;
MER;02.09.1889 00:00;0;;
MER;03.09.1889 00:00;6.7;;
MER;04.09.1889 00:00;4.9;;
MER;05.09.1889 00:00;7.5;;
MER;06.09.1889 00:00;0;;
MER;07.09.1889 00:00;0;;
MER;08.09.1889 00:00;1.5;;
MER;09.09.1889 00:00;0;;
MER;10.09.1889 00:00;0;;
MER;11.09.1889 00:00;0;;
MER;12.09.1889 00:00;0;;
MER;13.09.1889 00:00;0;;
MER;14.09.1889 00:00;0;;
MER;15.09.1889 00:00;0;;
MER;16.09.1889 00:00;0;;
MER;17.09.1889 00:00;0;;
MER;18.09.1889 00:00;0.5;;
MER;19.09.1889 00:00;0;;
MER;20.09.1889 00:00;12.7;;
MER;21.09.1889 00:00;10.6;;
MER;22.09.1889 00:00;18.7;;
MER;23.09.1889 00:00;0;;
MER;24.09.1889 00:00;0;;
MER;25.09.1889 00:00;10.6;;
MER;26.09.1889 00:00;0;;
MER;27.09.1889 00:00;0;;
MER;28.09.1889 00:00;15.1;;
MER;29.09.1889 00:00;4;;
MER;30.09.1889 00:00;1;;
MER;01.10.1889 00:00;5.1;;
MER;02.10.1889 00:00;7.3;;
MER;03.10.1889 00:00;0;;
MER;04.10.1889 00:00;0;;
MER;05.10.1889 00:00;0;;
MER;06.10.1889 00:00;0;;
MER;07.10.1889 00:00;0;;
MER;08.10.1889 00:00;0.6;;
MER;09.10.1889 00:00;2.6;;
MER;10.10.1889 00:00;39;;
MER;11.10.1889 00:00;50.2;;
MER;12.10.1889 00:00;0;;
MER;13.10.1889 00:00;22.5;;
MER;14.10.1889 00:00;1.1;;
