station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MES;01.01.1900 00:00;4.4;;
MES;02.01.1900 00:00;20.8;;
MES;03.01.1900 00:00;25.2;;
MES;04.01.1900 00:00;16.2;;
MES;05.01.1900 00:00;5.3;;
MES;06.01.1900 00:00;8.6;;
MES;07.01.1900 00:00;4.8;;
MES;08.01.1900 00:00;0;;
MES;09.01.1900 00:00;0;;
MES;10.01.1900 00:00;0;;
MES;11.01.1900 00:00;0;;
MES;12.01.1900 00:00;0;;
MES;13.01.1900 00:00;0;;
MES;14.01.1900 00:00;0;;
MES;15.01.1900 00:00;0;;
MES;16.01.1900 00:00;2.5;;
MES;17.01.1900 00:00;1.4;;
MES;18.01.1900 00:00;0;;
MES;19.01.1900 00:00;0;;
MES;20.01.1900 00:00;0;;
MES;21.01.1900 00:00;0;;
MES;22.01.1900 00:00;0;;
MES;23.01.1900 00:00;0;;
MES;24.01.1900 00:00;0;;
MES;25.01.1900 00:00;0;;
MES;26.01.1900 00:00;0;;
MES;27.01.1900 00:00;0;;
MES;28.01.1900 00:00;0;;
MES;29.01.1900 00:00;0;;
MES;30.01.1900 00:00;0;;
MES;31.01.1900 00:00;0;;
MES;01.02.1900 00:00;16.4;;
MES;02.02.1900 00:00;7.8;;
MES;03.02.1900 00:00;0.7;;
MES;04.02.1900 00:00;0.8;;
MES;05.02.1900 00:00;0;;
MES;06.02.1900 00:00;13.8;;
MES;07.02.1900 00:00;0;;
MES;08.02.1900 00:00;0;;
MES;09.02.1900 00:00;0;;
MES;10.02.1900 00:00;0;;
MES;11.02.1900 00:00;1.5;;
MES;12.02.1900 00:00;5.2;;
MES;13.02.1900 00:00;13.8;;
MES;14.02.1900 00:00;0;;
MES;15.02.1900 00:00;0;;
MES;16.02.1900 00:00;0;;
MES;17.02.1900 00:00;0;;
MES;18.02.1900 00:00;0;;
MES;19.02.1900 00:00;40.9;;
MES;20.02.1900 00:00;11;;
MES;21.02.1900 00:00;0;;
MES;22.02.1900 00:00;0;;
MES;23.02.1900 00:00;0;;
MES;24.02.1900 00:00;0;;
MES;25.02.1900 00:00;0;;
MES;26.02.1900 00:00;17.6;;
MES;27.02.1900 00:00;0.9;;
MES;28.02.1900 00:00;0;;
MES;01.03.1900 00:00;0;;
MES;02.03.1900 00:00;0;;
MES;03.03.1900 00:00;0;;
MES;04.03.1900 00:00;0;;
MES;05.03.1900 00:00;0;;
MES;06.03.1900 00:00;0;;
MES;07.03.1900 00:00;0;;
MES;08.03.1900 00:00;0;;
MES;09.03.1900 00:00;0;;
MES;10.03.1900 00:00;0;;
MES;11.03.1900 00:00;0;;
MES;12.03.1900 00:00;0;;
MES;13.03.1900 00:00;0;;
MES;14.03.1900 00:00;0;;
MES;15.03.1900 00:00;0;;
MES;16.03.1900 00:00;0.6;;
MES;17.03.1900 00:00;17.8;;
MES;18.03.1900 00:00;0;;
MES;19.03.1900 00:00;0;;
MES;20.03.1900 00:00;7.6;;
MES;21.03.1900 00:00;9.4;;
MES;22.03.1900 00:00;13.8;;
MES;23.03.1900 00:00;0;;
MES;24.03.1900 00:00;4.7;;
MES;25.03.1900 00:00;0;;
MES;26.03.1900 00:00;0;;
MES;27.03.1900 00:00;30.6;;
MES;28.03.1900 00:00;1.4;;
MES;29.03.1900 00:00;0;;
MES;30.03.1900 00:00;0;;
MES;31.03.1900 00:00;0;;
MES;01.04.1900 00:00;0;;
MES;02.04.1900 00:00;0;;
MES;03.04.1900 00:00;0.4;;
MES;04.04.1900 00:00;3.4;;
MES;05.04.1900 00:00;1.3;;
MES;06.04.1900 00:00;0;;
MES;07.04.1900 00:00;0;;
MES;08.04.1900 00:00;0;;
MES;09.04.1900 00:00;0;;
MES;10.04.1900 00:00;0;;
MES;11.04.1900 00:00;0;;
MES;12.04.1900 00:00;0;;
MES;13.04.1900 00:00;0;;
MES;14.04.1900 00:00;0;;
MES;15.04.1900 00:00;0;;
MES;16.04.1900 00:00;0;;
MES;17.04.1900 00:00;0;;
MES;18.04.1900 00:00;0;;
MES;19.04.1900 00:00;0;;
MES;20.04.1900 00:00;0;;
MES;21.04.1900 00:00;0;;
MES;22.04.1900 00:00;0;;
MES;23.04.1900 00:00;0;;
MES;24.04.1900 00:00;0.5;;
MES;25.04.1900 00:00;0;;
MES;26.04.1900 00:00;0;;
MES;27.04.1900 00:00;4.2;;
MES;28.04.1900 00:00;4.3;;
MES;29.04.1900 00:00;1.3;;
MES;30.04.1900 00:00;11.5;;
MES;01.05.1900 00:00;0;;
MES;02.05.1900 00:00;1;;
MES;03.05.1900 00:00;0.4;;
MES;04.05.1900 00:00;0;;
MES;05.05.1900 00:00;0;;
MES;06.05.1900 00:00;0.5;;
MES;07.05.1900 00:00;29.3;;
MES;08.05.1900 00:00;4.4;;
MES;09.05.1900 00:00;0;;
MES;10.05.1900 00:00;0;;
MES;11.05.1900 00:00;0;;
MES;12.05.1900 00:00;0;;
MES;13.05.1900 00:00;13;;
MES;14.05.1900 00:00;29.3;;
MES;15.05.1900 00:00;2.7;;
MES;16.05.1900 00:00;0;;
MES;17.05.1900 00:00;0;;
MES;18.05.1900 00:00;0;;
MES;19.05.1900 00:00;0;;
MES;20.05.1900 00:00;1.7;;
MES;21.05.1900 00:00;0;;
MES;22.05.1900 00:00;0;;
MES;23.05.1900 00:00;2.3;;
MES;24.05.1900 00:00;62.6;;
MES;25.05.1900 00:00;19.4;;
MES;26.05.1900 00:00;0;;
MES;27.05.1900 00:00;0;;
MES;28.05.1900 00:00;0;;
MES;29.05.1900 00:00;0;;
MES;30.05.1900 00:00;0;;
MES;31.05.1900 00:00;0;;
MES;01.06.1900 00:00;0;;
MES;02.06.1900 00:00;5.1;;
MES;03.06.1900 00:00;0.3;;
MES;04.06.1900 00:00;0;;
MES;05.06.1900 00:00;3.3;;
MES;06.06.1900 00:00;0;;
MES;07.06.1900 00:00;0;;
MES;08.06.1900 00:00;0;;
MES;09.06.1900 00:00;0;;
MES;10.06.1900 00:00;0;;
MES;11.06.1900 00:00;0;;
MES;12.06.1900 00:00;2.3;;
MES;13.06.1900 00:00;1.8;;
