station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MMO;01.01.1889 00:00;0;;
MMO;02.01.1889 00:00;0;;
MMO;03.01.1889 00:00;0;;
MMO;04.01.1889 00:00;0;;
MMO;05.01.1889 00:00;0;;
MMO;06.01.1889 00:00;1.5;;
MMO;07.01.1889 00:00;14;;
MMO;08.01.1889 00:00;0;;
MMO;09.01.1889 00:00;0;;
MMO;10.01.1889 00:00;0;;
MMO;11.01.1889 00:00;0.5;;
MMO;12.01.1889 00:00;0;;
MMO;13.01.1889 00:00;0;;
MMO;14.01.1889 00:00;0;;
MMO;15.01.1889 00:00;0;;
MMO;16.01.1889 00:00;0;;
MMO;17.01.1889 00:00;0;;
MMO;18.01.1889 00:00;0;;
MMO;19.01.1889 00:00;0.3;;
MMO;20.01.1889 00:00;0;;
MMO;21.01.1889 00:00;0;;
MMO;22.01.1889 00:00;0;;
MMO;23.01.1889 00:00;0;;
MMO;24.01.1889 00:00;0;;
MMO;25.01.1889 00:00;0;;
MMO;26.01.1889 00:00;0;;
MMO;27.01.1889 00:00;0.7;;
MMO;28.01.1889 00:00;0;;
MMO;29.01.1889 00:00;4;;
MMO;30.01.1889 00:00;8.5;;
MMO;31.01.1889 00:00;6.5;;
MMO;01.02.1889 00:00;24;;
MMO;02.02.1889 00:00;3.7;;
MMO;03.02.1889 00:00;11;;
MMO;04.02.1889 00:00;4;;
MMO;05.02.1889 00:00;3.5;;
MMO;06.02.1889 00:00;12;;
MMO;07.02.1889 00:00;7;;
MMO;08.02.1889 00:00;8;;
MMO;09.02.1889 00:00;4.7;;
MMO;10.02.1889 00:00;5.3;;
MMO;11.02.1889 00:00;2.6;;
MMO;12.02.1889 00:00;0.6;;
MMO;13.02.1889 00:00;0.5;;
MMO;14.02.1889 00:00;50;;
MMO;15.02.1889 00:00;5.5;;
MMO;16.02.1889 00:00;7.9;;
MMO;17.02.1889 00:00;0;;
MMO;18.02.1889 00:00;8.3;;
MMO;19.02.1889 00:00;34;;
MMO;20.02.1889 00:00;0.3;;
MMO;21.02.1889 00:00;0;;
MMO;22.02.1889 00:00;4.3;;
MMO;23.02.1889 00:00;1.7;;
MMO;24.02.1889 00:00;0.2;;
MMO;25.02.1889 00:00;0;;
MMO;26.02.1889 00:00;0;;
MMO;27.02.1889 00:00;3.3;;
MMO;28.02.1889 00:00;1.9;;
MMO;01.03.1889 00:00;1;;
MMO;02.03.1889 00:00;0.5;;
MMO;03.03.1889 00:00;0.1;;
MMO;04.03.1889 00:00;0;;
MMO;05.03.1889 00:00;0;;
MMO;06.03.1889 00:00;0;;
MMO;07.03.1889 00:00;0;;
MMO;08.03.1889 00:00;0.5;;
MMO;09.03.1889 00:00;0.4;;
MMO;10.03.1889 00:00;0;;
MMO;11.03.1889 00:00;4.8;;
MMO;12.03.1889 00:00;3.5;;
MMO;13.03.1889 00:00;0;;
MMO;14.03.1889 00:00;1;;
MMO;15.03.1889 00:00;4;;
MMO;16.03.1889 00:00;0.5;;
MMO;17.03.1889 00:00;0;;
MMO;18.03.1889 00:00;0;;
MMO;19.03.1889 00:00;0;;
MMO;20.03.1889 00:00;27.9;;
MMO;21.03.1889 00:00;6;;
MMO;22.03.1889 00:00;11.5;;
MMO;23.03.1889 00:00;0;;
MMO;24.03.1889 00:00;0;;
MMO;25.03.1889 00:00;19;;
MMO;26.03.1889 00:00;5.3;;
MMO;27.03.1889 00:00;8.5;;
MMO;28.03.1889 00:00;0;;
MMO;29.03.1889 00:00;0;;
MMO;30.03.1889 00:00;1.6;;
MMO;31.03.1889 00:00;0;;
MMO;01.04.1889 00:00;0.3;;
MMO;02.04.1889 00:00;16.5;;
MMO;03.04.1889 00:00;3;;
MMO;04.04.1889 00:00;1.2;;
MMO;05.04.1889 00:00;8;;
MMO;06.04.1889 00:00;0.5;;
MMO;07.04.1889 00:00;0;;
MMO;08.04.1889 00:00;0;;
MMO;09.04.1889 00:00;0;;
MMO;10.04.1889 00:00;2.5;;
MMO;11.04.1889 00:00;0;;
MMO;12.04.1889 00:00;0.4;;
MMO;13.04.1889 00:00;2.7;;
MMO;14.04.1889 00:00;17;;
MMO;15.04.1889 00:00;0;;
MMO;16.04.1889 00:00;0;;
MMO;17.04.1889 00:00;0;;
MMO;18.04.1889 00:00;0;;
MMO;19.04.1889 00:00;0;;
MMO;20.04.1889 00:00;0;;
MMO;21.04.1889 00:00;8;;
MMO;22.04.1889 00:00;0;;
MMO;23.04.1889 00:00;4.6;;
MMO;24.04.1889 00:00;0;;
MMO;25.04.1889 00:00;1.1;;
MMO;26.04.1889 00:00;0.7;;
MMO;27.04.1889 00:00;0;;
MMO;28.04.1889 00:00;0;;
MMO;29.04.1889 00:00;4.5;;
MMO;30.04.1889 00:00;0;;
MMO;01.05.1889 00:00;1.5;;
MMO;02.05.1889 00:00;0.5;;
MMO;03.05.1889 00:00;0;;
MMO;04.05.1889 00:00;0;;
MMO;05.05.1889 00:00;1;;
MMO;06.05.1889 00:00;21;;
MMO;07.05.1889 00:00;1.5;;
MMO;08.05.1889 00:00;0;;
MMO;09.05.1889 00:00;1.3;;
MMO;10.05.1889 00:00;7.5;;
MMO;11.05.1889 00:00;0;;
MMO;12.05.1889 00:00;0;;
