station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MOA;01.01.1901 00:00;1;;
MOA;02.01.1901 00:00;0;;
MOA;03.01.1901 00:00;0;;
MOA;04.01.1901 00:00;0;;
MOA;05.01.1901 00:00;0;;
MOA;06.01.1901 00:00;0;;
MOA;07.01.1901 00:00;0;;
MOA;08.01.1901 00:00;0;;
MOA;09.01.1901 00:00;0;;
MOA;10.01.1901 00:00;0;;
MOA;11.01.1901 00:00;0;;
MOA;12.01.1901 00:00;0;;
MOA;13.01.1901 00:00;0;;
MOA;14.01.1901 00:00;0;;
MOA;15.01.1901 00:00;0;;
MOA;16.01.1901 00:00;0;;
MOA;17.01.1901 00:00;0;;
MOA;18.01.1901 00:00;0;;
MOA;19.01.1901 00:00;0;;
MOA;20.01.1901 00:00;4.1;;
MOA;21.01.1901 00:00;3.8;;
MOA;22.01.1901 00:00;0.3;;
MOA;23.01.1901 00:00;0;;
MOA;24.01.1901 00:00;0;;
MOA;25.01.1901 00:00;0;;
MOA;26.01.1901 00:00;13.6;;
MOA;27.01.1901 00:00;15.8;;
MOA;28.01.1901 00:00;7.5;;
MOA;29.01.1901 00:00;3.9;;
MOA;30.01.1901 00:00;0;;
MOA;31.01.1901 00:00;0;;
MOA;01.02.1901 00:00;5.9;;
MOA;02.02.1901 00:00;6.1;;
MOA;03.02.1901 00:00;0;;
MOA;04.02.1901 00:00;0;;
MOA;05.02.1901 00:00;1.8;;
MOA;06.02.1901 00:00;1;;
MOA;07.02.1901 00:00;1.8;;
MOA;08.02.1901 00:00;1.2;;
MOA;09.02.1901 00:00;0;;
MOA;10.02.1901 00:00;0;;
MOA;11.02.1901 00:00;3.5;;
MOA;12.02.1901 00:00;0;;
MOA;13.02.1901 00:00;2;;
MOA;14.02.1901 00:00;0;;
MOA;15.02.1901 00:00;0;;
MOA;16.02.1901 00:00;5.8;;
MOA;17.02.1901 00:00;5;;
MOA;18.02.1901 00:00;0.7;;
MOA;19.02.1901 00:00;0;;
MOA;20.02.1901 00:00;0;;
MOA;21.02.1901 00:00;0;;
MOA;22.02.1901 00:00;0;;
MOA;23.02.1901 00:00;0;;
MOA;24.02.1901 00:00;0;;
MOA;25.02.1901 00:00;0;;
MOA;26.02.1901 00:00;0;;
MOA;27.02.1901 00:00;0;;
MOA;28.02.1901 00:00;1.6;;
MOA;01.03.1901 00:00;3.6;;
MOA;02.03.1901 00:00;6.6;;
MOA;03.03.1901 00:00;9.4;;
MOA;04.03.1901 00:00;2.5;;
MOA;05.03.1901 00:00;3.1;;
MOA;06.03.1901 00:00;1.5;;
MOA;07.03.1901 00:00;0;;
MOA;08.03.1901 00:00;0;;
MOA;09.03.1901 00:00;0;;
MOA;10.03.1901 00:00;0;;
MOA;11.03.1901 00:00;0;;
MOA;12.03.1901 00:00;1;;
MOA;13.03.1901 00:00;0;;
MOA;14.03.1901 00:00;0;;
MOA;15.03.1901 00:00;0;;
MOA;16.03.1901 00:00;0;;
MOA;17.03.1901 00:00;0;;
MOA;18.03.1901 00:00;0;;
MOA;19.03.1901 00:00;0;;
MOA;20.03.1901 00:00;24.2;;
MOA;21.03.1901 00:00;7.4;;
MOA;22.03.1901 00:00;0;;
MOA;23.03.1901 00:00;0;;
MOA;24.03.1901 00:00;0;;
MOA;25.03.1901 00:00;1.1;;
MOA;26.03.1901 00:00;9.8;;
MOA;27.03.1901 00:00;0;;
MOA;28.03.1901 00:00;1.6;;
MOA;29.03.1901 00:00;0;;
MOA;30.03.1901 00:00;0;;
MOA;31.03.1901 00:00;0;;
MOA;01.04.1901 00:00;4.1;;
MOA;02.04.1901 00:00;0;;
MOA;03.04.1901 00:00;0;;
MOA;04.04.1901 00:00;0;;
MOA;05.04.1901 00:00;53.4;;
MOA;06.04.1901 00:00;2.6;;
MOA;07.04.1901 00:00;25.8;;
MOA;08.04.1901 00:00;8.7;;
MOA;09.04.1901 00:00;33.5;;
MOA;10.04.1901 00:00;11.2;;
MOA;11.04.1901 00:00;2.8;;
MOA;12.04.1901 00:00;18.2;;
MOA;13.04.1901 00:00;1.5;;
MOA;14.04.1901 00:00;16.1;;
MOA;15.04.1901 00:00;8.5;;
MOA;16.04.1901 00:00;9.5;;
MOA;17.04.1901 00:00;1.7;;
MOA;18.04.1901 00:00;0;;
MOA;19.04.1901 00:00;0;;
MOA;20.04.1901 00:00;0;;
MOA;21.04.1901 00:00;0;;
MOA;22.04.1901 00:00;0;;
MOA;23.04.1901 00:00;0;;
MOA;24.04.1901 00:00;0;;
MOA;25.04.1901 00:00;0;;
MOA;26.04.1901 00:00;0;;
MOA;27.04.1901 00:00;0;;
MOA;28.04.1901 00:00;3.1;;
MOA;29.04.1901 00:00;2.5;;
MOA;30.04.1901 00:00;0.1;;
MOA;01.05.1901 00:00;0;;
MOA;02.05.1901 00:00;0;;
MOA;03.05.1901 00:00;0;;
MOA;04.05.1901 00:00;0;;
MOA;05.05.1901 00:00;0;;
MOA;06.05.1901 00:00;4.8;;
MOA;07.05.1901 00:00;2;;
MOA;08.05.1901 00:00;2;;
MOA;09.05.1901 00:00;2.8;;
MOA;10.05.1901 00:00;7.8;;
MOA;11.05.1901 00:00;0.6;;
MOA;12.05.1901 00:00;0;;
MOA;13.05.1901 00:00;0;;
MOA;14.05.1901 00:00;0;;
MOA;15.05.1901 00:00;0;;
MOA;16.05.1901 00:00;0.5;;
MOA;17.05.1901 00:00;0;;
MOA;18.05.1901 00:00;0;;
MOA;19.05.1901 00:00;0;;
MOA;20.05.1901 00:00;0;;
MOA;21.05.1901 00:00;0;;
MOA;22.05.1901 00:00;0;;
MOA;23.05.1901 00:00;0;;
MOA;24.05.1901 00:00;0;;
MOA;25.05.1901 00:00;0;;
MOA;26.05.1901 00:00;14.5;;
MOA;27.05.1901 00:00;0;;
MOA;28.05.1901 00:00;0;;
MOA;29.05.1901 00:00;0;;
MOA;30.05.1901 00:00;2.4;;
MOA;31.05.1901 00:00;0;;
MOA;01.06.1901 00:00;0;;
MOA;02.06.1901 00:00;8.9;;
MOA;03.06.1901 00:00;0;;
MOA;04.06.1901 00:00;0;;
MOA;05.06.1901 00:00;0;;
MOA;06.06.1901 00:00;0;;
MOA;07.06.1901 00:00;0;;
MOA;08.06.1901 00:00;3.5;;
MOA;09.06.1901 00:00;8.7;;
MOA;10.06.1901 00:00;3.2;;
MOA;11.06.1901 00:00;1.5;;
MOA;12.06.1901 00:00;0;;
MOA;13.06.1901 00:00;3.5;;
MOA;14.06.1901 00:00;25;;
MOA;15.06.1901 00:00;39;;
MOA;16.06.1901 00:00;4;;
MOA;17.06.1901 00:00;9.6;;
MOA;18.06.1901 00:00;4.6;;
MOA;19.06.1901 00:00;2.7;;
MOA;20.06.1901 00:00;0;;
MOA;21.06.1901 00:00;0;;
MOA;22.06.1901 00:00;0;;
MOA;23.06.1901 00:00;8.2;;
MOA;24.06.1901 00:00;5.1;;
MOA;25.06.1901 00:00;0;;
MOA;26.06.1901 00:00;0;;
MOA;27.06.1901 00:00;0;;
