station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MOD;01.08.1994 00:00;3.6;;
MOD;02.08.1994 00:00;0;;
MOD;03.08.1994 00:00;0;;
MOD;04.08.1994 00:00;0;;
MOD;05.08.1994 00:00;0;;
MOD;06.08.1994 00:00;0.1;;
MOD;07.08.1994 00:00;43.3;;
MOD;08.08.1994 00:00;0.2;;
MOD;09.08.1994 00:00;0;;
MOD;10.08.1994 00:00;0.3;;
MOD;11.08.1994 00:00;3.9;;
MOD;12.08.1994 00:00;0.4;;
MOD;13.08.1994 00:00;0.4;;
MOD;14.08.1994 00:00;0;;
MOD;15.08.1994 00:00;0;;
MOD;16.08.1994 00:00;0.1;;
MOD;17.08.1994 00:00;6.6;;
MOD;18.08.1994 00:00;0.9;;
MOD;19.08.1994 00:00;0;;
MOD;20.08.1994 00:00;0;;
MOD;21.08.1994 00:00;0.2;;
MOD;22.08.1994 00:00;0;;
MOD;23.08.1994 00:00;4;;
MOD;24.08.1994 00:00;4.9;;
MOD;25.08.1994 00:00;0;;
MOD;26.08.1994 00:00;1.7;;
MOD;27.08.1994 00:00;0;;
MOD;28.08.1994 00:00;0;;
MOD;29.08.1994 00:00;0;;
MOD;30.08.1994 00:00;0.6;;
MOD;31.08.1994 00:00;20.2;;
MOD;01.09.1994 00:00;2.7;;
MOD;02.09.1994 00:00;3.8;;
MOD;03.09.1994 00:00;0;;
MOD;04.09.1994 00:00;0;;
MOD;05.09.1994 00:00;0;;
MOD;06.09.1994 00:00;0;;
MOD;07.09.1994 00:00;22.6;;
MOD;08.09.1994 00:00;25;;
MOD;09.09.1994 00:00;4.3;;
MOD;10.09.1994 00:00;2.8;;
MOD;11.09.1994 00:00;6.2;;
MOD;12.09.1994 00:00;35.9;;
MOD;13.09.1994 00:00;1.4;;
MOD;14.09.1994 00:00;5.4;;
MOD;15.09.1994 00:00;20.8;;
MOD;16.09.1994 00:00;4.3;;
MOD;17.09.1994 00:00;2.2;;
MOD;18.09.1994 00:00;6.3;;
MOD;19.09.1994 00:00;0.1;;
MOD;20.09.1994 00:00;5;;
MOD;21.09.1994 00:00;1.8;;
MOD;22.09.1994 00:00;0;;
MOD;23.09.1994 00:00;0;;
MOD;24.09.1994 00:00;0.1;;
MOD;25.09.1994 00:00;2.4;;
MOD;26.09.1994 00:00;10.6;;
MOD;27.09.1994 00:00;0;;
MOD;28.09.1994 00:00;0;;
MOD;29.09.1994 00:00;0;;
MOD;30.09.1994 00:00;0.4;;
MOD;01.10.1994 00:00;3.5;;
MOD;02.10.1994 00:00;10.5;;
MOD;03.10.1994 00:00;25.3;;
MOD;04.10.1994 00:00;0.1;;
MOD;05.10.1994 00:00;0;;
MOD;06.10.1994 00:00;0;;
MOD;07.10.1994 00:00;0;;
MOD;08.10.1994 00:00;0;;
MOD;09.10.1994 00:00;0;;
MOD;10.10.1994 00:00;0;;
MOD;11.10.1994 00:00;0;;
MOD;12.10.1994 00:00;0;;
MOD;13.10.1994 00:00;0;;
MOD;14.10.1994 00:00;0;;
MOD;15.10.1994 00:00;0;;
MOD;16.10.1994 00:00;0;;
MOD;17.10.1994 00:00;0;;
MOD;18.10.1994 00:00;0;;
MOD;19.10.1994 00:00;0;;
MOD;20.10.1994 00:00;0;;
MOD;21.10.1994 00:00;0;;
MOD;22.10.1994 00:00;17.6;;
MOD;23.10.1994 00:00;6;;
MOD;24.10.1994 00:00;1.9;;
MOD;25.10.1994 00:00;9.6;;
MOD;26.10.1994 00:00;8.4;;
MOD;27.10.1994 00:00;2;;
MOD;28.10.1994 00:00;9.2;;
MOD;29.10.1994 00:00;6.6;;
MOD;30.10.1994 00:00;0.7;;
MOD;31.10.1994 00:00;5.1;;
MOD;01.11.1994 00:00;0.8;;
MOD;02.11.1994 00:00;0;;
MOD;03.11.1994 00:00;0;;
MOD;04.11.1994 00:00;0;;
MOD;05.11.1994 00:00;0.7;;
MOD;06.11.1994 00:00;2.2;;
