station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MOS;01.01.1974 00:00;4.4;;
MOS;02.01.1974 00:00;2.8;;
MOS;03.01.1974 00:00;7.7;;
MOS;04.01.1974 00:00;0;;
MOS;05.01.1974 00:00;4.1;;
MOS;06.01.1974 00:00;0.5;;
MOS;07.01.1974 00:00;0;;
MOS;08.01.1974 00:00;0;;
MOS;09.01.1974 00:00;31.1;;
MOS;10.01.1974 00:00;0.9;;
MOS;11.01.1974 00:00;0;;
MOS;12.01.1974 00:00;0;;
MOS;13.01.1974 00:00;0;;
MOS;14.01.1974 00:00;0;;
MOS;15.01.1974 00:00;0;;
MOS;16.01.1974 00:00;0.6;;
MOS;17.01.1974 00:00;0;;
MOS;18.01.1974 00:00;0;;
MOS;19.01.1974 00:00;0;;
MOS;20.01.1974 00:00;0;;
MOS;21.01.1974 00:00;0;;
MOS;22.01.1974 00:00;0;;
MOS;23.01.1974 00:00;0;;
MOS;24.01.1974 00:00;0;;
MOS;25.01.1974 00:00;0;;
MOS;26.01.1974 00:00;1.3;;
MOS;27.01.1974 00:00;0.8;;
MOS;28.01.1974 00:00;0;;
MOS;29.01.1974 00:00;5.6;;
MOS;30.01.1974 00:00;13.6;;
MOS;31.01.1974 00:00;9.6;;
MOS;01.02.1974 00:00;17.1;;
MOS;02.02.1974 00:00;54.9;;
MOS;03.02.1974 00:00;28.9;;
MOS;04.02.1974 00:00;0;;
MOS;05.02.1974 00:00;1.8;;
MOS;06.02.1974 00:00;7.1;;
MOS;07.02.1974 00:00;0;;
MOS;08.02.1974 00:00;0;;
MOS;09.02.1974 00:00;0;;
MOS;10.02.1974 00:00;0;;
MOS;11.02.1974 00:00;8.7;;
MOS;12.02.1974 00:00;49.3;;
MOS;13.02.1974 00:00;0;;
MOS;14.02.1974 00:00;0;;
MOS;15.02.1974 00:00;3.8;;
MOS;16.02.1974 00:00;18.1;;
MOS;17.02.1974 00:00;8.6;;
MOS;18.02.1974 00:00;21.4;;
MOS;19.02.1974 00:00;0.5;;
MOS;20.02.1974 00:00;0;;
MOS;21.02.1974 00:00;0;;
MOS;22.02.1974 00:00;0;;
MOS;23.02.1974 00:00;0;;
MOS;24.02.1974 00:00;0;;
MOS;25.02.1974 00:00;0;;
MOS;26.02.1974 00:00;0;;
MOS;27.02.1974 00:00;0.2;;
MOS;28.02.1974 00:00;7.9;;
MOS;01.03.1974 00:00;8.1;;
MOS;02.03.1974 00:00;0;;
MOS;03.03.1974 00:00;30.1;;
MOS;04.03.1974 00:00;10.7;;
MOS;05.03.1974 00:00;0;;
MOS;06.03.1974 00:00;0;;
MOS;07.03.1974 00:00;0;;
MOS;08.03.1974 00:00;0;;
MOS;09.03.1974 00:00;0;;
MOS;10.03.1974 00:00;0;;
MOS;11.03.1974 00:00;0;;
MOS;12.03.1974 00:00;0;;
MOS;13.03.1974 00:00;0;;
MOS;14.03.1974 00:00;0;;
MOS;15.03.1974 00:00;0;;
MOS;16.03.1974 00:00;0;;
MOS;17.03.1974 00:00;0;;
MOS;18.03.1974 00:00;4.8;;
MOS;19.03.1974 00:00;0.4;;
MOS;20.03.1974 00:00;10.9;;
MOS;21.03.1974 00:00;0;;
MOS;22.03.1974 00:00;0;;
MOS;23.03.1974 00:00;0;;
MOS;24.03.1974 00:00;0.2;;
MOS;25.03.1974 00:00;6.3;;
MOS;26.03.1974 00:00;23.2;;
MOS;27.03.1974 00:00;15.3;;
MOS;28.03.1974 00:00;0.6;;
MOS;29.03.1974 00:00;2.8;;
MOS;30.03.1974 00:00;0;;
MOS;31.03.1974 00:00;7.9;;
MOS;01.04.1974 00:00;0;;
MOS;02.04.1974 00:00;0;;
MOS;03.04.1974 00:00;0;;
MOS;04.04.1974 00:00;0.8;;
MOS;05.04.1974 00:00;0;;
MOS;06.04.1974 00:00;0;;
MOS;07.04.1974 00:00;0;;
MOS;08.04.1974 00:00;0;;
MOS;09.04.1974 00:00;0;;
MOS;10.04.1974 00:00;0;;
MOS;11.04.1974 00:00;0;;
MOS;12.04.1974 00:00;0.8;;
MOS;13.04.1974 00:00;5.6;;
MOS;14.04.1974 00:00;0;;
MOS;15.04.1974 00:00;0;;
MOS;16.04.1974 00:00;0;;
MOS;17.04.1974 00:00;0;;
MOS;18.04.1974 00:00;0;;
MOS;19.04.1974 00:00;0;;
MOS;20.04.1974 00:00;0;;
MOS;21.04.1974 00:00;0;;
MOS;22.04.1974 00:00;3.9;;
MOS;23.04.1974 00:00;20.4;;
MOS;24.04.1974 00:00;7.8;;
MOS;25.04.1974 00:00;9.4;;
MOS;26.04.1974 00:00;4.9;;
MOS;27.04.1974 00:00;45.9;;
MOS;28.04.1974 00:00;11.8;;
MOS;29.04.1974 00:00;19.1;;
MOS;30.04.1974 00:00;3.9;;
MOS;01.05.1974 00:00;0;;
MOS;02.05.1974 00:00;2.3;;
MOS;03.05.1974 00:00;30.6;;
MOS;04.05.1974 00:00;0.2;;
MOS;05.05.1974 00:00;0;;
MOS;06.05.1974 00:00;1.6;;
MOS;07.05.1974 00:00;15.6;;
MOS;08.05.1974 00:00;0;;
MOS;09.05.1974 00:00;0;;
MOS;10.05.1974 00:00;4.3;;
MOS;11.05.1974 00:00;11.3;;
MOS;12.05.1974 00:00;0;;
MOS;13.05.1974 00:00;0;;
MOS;14.05.1974 00:00;0;;
MOS;15.05.1974 00:00;0;;
MOS;16.05.1974 00:00;0;;
MOS;17.05.1974 00:00;0;;
MOS;18.05.1974 00:00;0;;
MOS;19.05.1974 00:00;0;;
MOS;20.05.1974 00:00;0;;
MOS;21.05.1974 00:00;0;;
MOS;22.05.1974 00:00;0;;
MOS;23.05.1974 00:00;0;;
MOS;24.05.1974 00:00;19.2;;
MOS;25.05.1974 00:00;0;;
MOS;26.05.1974 00:00;0;;
MOS;27.05.1974 00:00;21.3;;
MOS;28.05.1974 00:00;13.8;;
