station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MOU;01.01.1969 00:00;2;3;
MOU;02.01.1969 00:00;11;9;15
MOU;03.01.1969 00:00;0.3;0;23
MOU;04.01.1969 00:00;0;0;21
MOU;05.01.1969 00:00;0;0;20
MOU;06.01.1969 00:00;0;0;19
MOU;07.01.1969 00:00;0;0;19
MOU;08.01.1969 00:00;3;2;18
MOU;09.01.1969 00:00;0;0;20
MOU;10.01.1969 00:00;0;0;20
MOU;11.01.1969 00:00;0;0;20
MOU;12.01.1969 00:00;4.9;0;20
MOU;13.01.1969 00:00;0;0;13
MOU;14.01.1969 00:00;3.3;0;4
MOU;15.01.1969 00:00;0.3;0;3
MOU;16.01.1969 00:00;3.8;3;0
MOU;17.01.1969 00:00;0.1;0;3
MOU;18.01.1969 00:00;11.5;0;0
MOU;19.01.1969 00:00;0;0;0
MOU;20.01.1969 00:00;0;0;0
MOU;21.01.1969 00:00;0;0;0
MOU;22.01.1969 00:00;0;0;0
MOU;23.01.1969 00:00;3.5;0;0
MOU;24.01.1969 00:00;0;0;0
MOU;25.01.1969 00:00;0;0;0
MOU;26.01.1969 00:00;0;0;0
MOU;27.01.1969 00:00;0;0;0
MOU;28.01.1969 00:00;4;0;0
MOU;29.01.1969 00:00;12.3;0;0
MOU;30.01.1969 00:00;0;0;0
MOU;31.01.1969 00:00;0.8;0;0
MOU;01.02.1969 00:00;0;0;0
MOU;02.02.1969 00:00;3.1;0;0
MOU;03.02.1969 00:00;0;0;0
MOU;04.02.1969 00:00;1.2;3;0
MOU;05.02.1969 00:00;0;0;3
MOU;06.02.1969 00:00;0;0;0
MOU;07.02.1969 00:00;3.5;9;0
MOU;08.02.1969 00:00;0.5;0;9
MOU;09.02.1969 00:00;0.1;0;7
MOU;10.02.1969 00:00;2.4;8;7
MOU;11.02.1969 00:00;2.2;5;14
MOU;12.02.1969 00:00;6.8;8;12
MOU;13.02.1969 00:00;1.7;3;13
MOU;14.02.1969 00:00;0;0;16
MOU;15.02.1969 00:00;3.2;3;16
MOU;16.02.1969 00:00;7.6;2;15
MOU;17.02.1969 00:00;0;0;16
MOU;18.02.1969 00:00;4.4;7;13
MOU;19.02.1969 00:00;11.7;0;20
MOU;20.02.1969 00:00;2.5;0;8
MOU;21.02.1969 00:00;0;0;3
MOU;22.02.1969 00:00;0;0;0
MOU;23.02.1969 00:00;1.9;0;0
MOU;24.02.1969 00:00;19.3;0;0
MOU;25.02.1969 00:00;5.5;0;0
MOU;26.02.1969 00:00;1.8;0;0
MOU;27.02.1969 00:00;2.2;0;0
MOU;28.02.1969 00:00;0;0;0
MOU;01.03.1969 00:00;0;0;0
MOU;02.03.1969 00:00;0;0;0
MOU;03.03.1969 00:00;0;0;
MOU;04.03.1969 00:00;0;0;
MOU;05.03.1969 00:00;0;0;
MOU;06.03.1969 00:00;0;0;
MOU;07.03.1969 00:00;0;0;
MOU;08.03.1969 00:00;0;0;
MOU;09.03.1969 00:00;0;0;
MOU;10.03.1969 00:00;0;0;
MOU;11.03.1969 00:00;2.7;;
MOU;12.03.1969 00:00;4.9;;
MOU;13.03.1969 00:00;26.3;;
MOU;14.03.1969 00:00;8;;
MOU;15.03.1969 00:00;0;0;
MOU;16.03.1969 00:00;3.2;;
MOU;17.03.1969 00:00;5;;
MOU;18.03.1969 00:00;0;0;
MOU;19.03.1969 00:00;0;0;
MOU;20.03.1969 00:00;0;0;
MOU;21.03.1969 00:00;0;0;
MOU;22.03.1969 00:00;2.5;;
MOU;23.03.1969 00:00;6.6;0;
MOU;24.03.1969 00:00;4.7;3;0
MOU;25.03.1969 00:00;2.3;0;3
MOU;26.03.1969 00:00;3.2;1;0
MOU;27.03.1969 00:00;1.3;1;1
MOU;28.03.1969 00:00;0.5;1;2
MOU;29.03.1969 00:00;0.9;0;2
MOU;30.03.1969 00:00;3.9;;1
MOU;31.03.1969 00:00;4.2;;0
MOU;01.04.1969 00:00;1.1;;0
MOU;02.04.1969 00:00;0;0;
MOU;03.04.1969 00:00;0;0;
MOU;04.04.1969 00:00;0;0;
MOU;05.04.1969 00:00;0;0;
MOU;06.04.1969 00:00;0;0;
MOU;07.04.1969 00:00;0;0;
MOU;08.04.1969 00:00;0;0;
MOU;09.04.1969 00:00;0;0;
MOU;10.04.1969 00:00;0;0;
MOU;11.04.1969 00:00;0;0;
MOU;12.04.1969 00:00;6.6;;
MOU;13.04.1969 00:00;2.2;;
MOU;14.04.1969 00:00;1.5;;
MOU;15.04.1969 00:00;18.4;;
MOU;16.04.1969 00:00;3;;
MOU;17.04.1969 00:00;6.1;;
MOU;18.04.1969 00:00;1.8;;
MOU;19.04.1969 00:00;0.2;;
MOU;20.04.1969 00:00;3;;
MOU;21.04.1969 00:00;17.5;;
MOU;22.04.1969 00:00;30;;
MOU;23.04.1969 00:00;9.8;;
MOU;24.04.1969 00:00;0;0;
MOU;25.04.1969 00:00;0;0;
MOU;26.04.1969 00:00;1;;
MOU;27.04.1969 00:00;19.3;;
MOU;28.04.1969 00:00;1.8;;
MOU;29.04.1969 00:00;1.1;;
MOU;30.04.1969 00:00;0;0;
MOU;01.05.1969 00:00;4.3;;
MOU;02.05.1969 00:00;0;0;
MOU;03.05.1969 00:00;10.9;;
MOU;04.05.1969 00:00;8.8;0;
MOU;05.05.1969 00:00;0;;
MOU;06.05.1969 00:00;8.5;0;
MOU;07.05.1969 00:00;0;;
MOU;08.05.1969 00:00;0.5;;
MOU;09.05.1969 00:00;4.9;;
MOU;10.05.1969 00:00;1.1;0;
MOU;11.05.1969 00:00;0;0;
MOU;12.05.1969 00:00;0;0;
MOU;13.05.1969 00:00;0;0;
MOU;14.05.1969 00:00;0;;
MOU;15.05.1969 00:00;0.1;;
MOU;16.05.1969 00:00;3.5;;
MOU;17.05.1969 00:00;0;0;
MOU;18.05.1969 00:00;3.4;;
MOU;19.05.1969 00:00;0.1;;
MOU;20.05.1969 00:00;0;0;
MOU;21.05.1969 00:00;0;0;
