station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MOW;01.07.1999 00:00;0;;
MOW;02.07.1999 00:00;0;;
MOW;03.07.1999 00:00;0;;
MOW;04.07.1999 00:00;0;;
MOW;05.07.1999 00:00;0;;
MOW;06.07.1999 00:00;15.7;;
MOW;07.07.1999 00:00;11.7;;
MOW;08.07.1999 00:00;2.6;;
MOW;09.07.1999 00:00;0.1;;
MOW;10.07.1999 00:00;26.4;;
MOW;11.07.1999 00:00;1.6;;
MOW;12.07.1999 00:00;2.9;;
MOW;13.07.1999 00:00;16.9;;
MOW;14.07.1999 00:00;0.8;;
MOW;15.07.1999 00:00;0;;
MOW;16.07.1999 00:00;0;;
MOW;17.07.1999 00:00;0;;
MOW;18.07.1999 00:00;0;;
MOW;19.07.1999 00:00;0;;
MOW;20.07.1999 00:00;0;;
MOW;21.07.1999 00:00;0;;
MOW;22.07.1999 00:00;0.6;;
MOW;23.07.1999 00:00;0;;
MOW;24.07.1999 00:00;0;;
MOW;25.07.1999 00:00;0;;
MOW;26.07.1999 00:00;0;;
MOW;27.07.1999 00:00;0;;
MOW;28.07.1999 00:00;3.1;;
MOW;29.07.1999 00:00;0;;
MOW;30.07.1999 00:00;0;;
MOW;31.07.1999 00:00;0;;
MOW;01.08.1999 00:00;0;;
MOW;02.08.1999 00:00;0;;
MOW;03.08.1999 00:00;3.7;;
MOW;04.08.1999 00:00;1.3;;
MOW;05.08.1999 00:00;5.2;;
MOW;06.08.1999 00:00;18;;
MOW;07.08.1999 00:00;0;;
MOW;08.08.1999 00:00;5.2;;
MOW;09.08.1999 00:00;15.8;;
MOW;10.08.1999 00:00;5.4;;
MOW;11.08.1999 00:00;2.2;;
MOW;12.08.1999 00:00;16.6;;
MOW;13.08.1999 00:00;0;;
MOW;14.08.1999 00:00;11.2;;
MOW;15.08.1999 00:00;0;;
MOW;16.08.1999 00:00;4.8;;
MOW;17.08.1999 00:00;0.4;;
MOW;18.08.1999 00:00;2.4;;
MOW;19.08.1999 00:00;0.4;;
MOW;20.08.1999 00:00;0;;
MOW;21.08.1999 00:00;0;;
MOW;22.08.1999 00:00;0;;
MOW;23.08.1999 00:00;2.1;;
MOW;24.08.1999 00:00;2.8;;
MOW;25.08.1999 00:00;0;;
MOW;26.08.1999 00:00;3.3;;
MOW;27.08.1999 00:00;0;;
MOW;28.08.1999 00:00;2.4;;
MOW;29.08.1999 00:00;0;;
MOW;30.08.1999 00:00;0;;
MOW;31.08.1999 00:00;0;;
MOW;01.09.1999 00:00;0;;
MOW;02.09.1999 00:00;0;;
MOW;03.09.1999 00:00;0;;
MOW;04.09.1999 00:00;0;;
MOW;05.09.1999 00:00;0;;
MOW;06.09.1999 00:00;0;;
