station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MSG;01.01.1901 00:00;0;;
MSG;02.01.1901 00:00;0;;
MSG;03.01.1901 00:00;0;;
MSG;04.01.1901 00:00;0;;
MSG;05.01.1901 00:00;0.1;;
MSG;06.01.1901 00:00;0;;
MSG;07.01.1901 00:00;0;;
MSG;08.01.1901 00:00;0;;
MSG;09.01.1901 00:00;0;;
MSG;10.01.1901 00:00;0;;
MSG;11.01.1901 00:00;0;;
MSG;12.01.1901 00:00;0;;
MSG;13.01.1901 00:00;0;;
MSG;14.01.1901 00:00;0;;
MSG;15.01.1901 00:00;0;;
MSG;16.01.1901 00:00;0;;
MSG;17.01.1901 00:00;0;;
MSG;18.01.1901 00:00;0;;
MSG;19.01.1901 00:00;0;;
MSG;20.01.1901 00:00;0;;
MSG;21.01.1901 00:00;0;;
MSG;22.01.1901 00:00;0;;
MSG;23.01.1901 00:00;0;;
MSG;24.01.1901 00:00;0;;
MSG;25.01.1901 00:00;0;;
MSG;26.01.1901 00:00;0;;
MSG;27.01.1901 00:00;0;;
MSG;28.01.1901 00:00;0;;
MSG;29.01.1901 00:00;0;;
MSG;30.01.1901 00:00;0.9;;
MSG;31.01.1901 00:00;0;;
MSG;01.02.1901 00:00;17.2;;
MSG;02.02.1901 00:00;1.1;;
MSG;03.02.1901 00:00;3;;
MSG;04.02.1901 00:00;16.1;;
MSG;05.02.1901 00:00;5.2;;
MSG;06.02.1901 00:00;0;;
MSG;07.02.1901 00:00;0.2;;
MSG;08.02.1901 00:00;0;;
MSG;09.02.1901 00:00;0;;
MSG;10.02.1901 00:00;0;;
MSG;11.02.1901 00:00;0;;
MSG;12.02.1901 00:00;0;;
MSG;13.02.1901 00:00;0;;
MSG;14.02.1901 00:00;0;;
MSG;15.02.1901 00:00;0;;
MSG;16.02.1901 00:00;0;;
MSG;17.02.1901 00:00;0.8;;
MSG;18.02.1901 00:00;0;;
MSG;19.02.1901 00:00;0;;
MSG;20.02.1901 00:00;0;;
MSG;21.02.1901 00:00;0;;
MSG;22.02.1901 00:00;0;;
MSG;23.02.1901 00:00;0;;
MSG;24.02.1901 00:00;0;;
MSG;25.02.1901 00:00;0;;
MSG;26.02.1901 00:00;0;;
MSG;27.02.1901 00:00;0;;
MSG;28.02.1901 00:00;0;;
MSG;01.03.1901 00:00;0.8;;
MSG;02.03.1901 00:00;2.7;;
MSG;03.03.1901 00:00;0.7;;
MSG;04.03.1901 00:00;0.1;;
MSG;05.03.1901 00:00;0;;
MSG;06.03.1901 00:00;10;;
MSG;07.03.1901 00:00;0;;
MSG;08.03.1901 00:00;0;;
MSG;09.03.1901 00:00;3.4;;
MSG;10.03.1901 00:00;63.9;;
MSG;11.03.1901 00:00;26;;
MSG;12.03.1901 00:00;7.9;;
MSG;13.03.1901 00:00;1.3;;
MSG;14.03.1901 00:00;11.8;;
MSG;15.03.1901 00:00;55.4;;
MSG;16.03.1901 00:00;0.9;;
MSG;17.03.1901 00:00;29;;
MSG;18.03.1901 00:00;38.2;;
MSG;19.03.1901 00:00;78.5;;
MSG;20.03.1901 00:00;16.3;;
MSG;21.03.1901 00:00;0;;
MSG;22.03.1901 00:00;0;;
MSG;23.03.1901 00:00;0;;
MSG;24.03.1901 00:00;0;;
MSG;25.03.1901 00:00;0;;
MSG;26.03.1901 00:00;0.4;;
MSG;27.03.1901 00:00;0;;
MSG;28.03.1901 00:00;0;;
MSG;29.03.1901 00:00;0;;
MSG;30.03.1901 00:00;4.1;;
MSG;31.03.1901 00:00;14.6;;
MSG;01.04.1901 00:00;7.9;;
MSG;02.04.1901 00:00;0;;
MSG;03.04.1901 00:00;0;;
MSG;04.04.1901 00:00;5;;
MSG;05.04.1901 00:00;0;;
MSG;06.04.1901 00:00;4;;
MSG;07.04.1901 00:00;0;;
MSG;08.04.1901 00:00;0;;
MSG;09.04.1901 00:00;21.1;;
MSG;10.04.1901 00:00;18.6;;
MSG;11.04.1901 00:00;12.4;;
MSG;12.04.1901 00:00;43.5;;
MSG;13.04.1901 00:00;0;;
MSG;14.04.1901 00:00;0;;
MSG;15.04.1901 00:00;0;;
MSG;16.04.1901 00:00;0;;
MSG;17.04.1901 00:00;0;;
MSG;18.04.1901 00:00;0;;
MSG;19.04.1901 00:00;0;;
MSG;20.04.1901 00:00;0;;
MSG;21.04.1901 00:00;0;;
MSG;22.04.1901 00:00;0;;
MSG;23.04.1901 00:00;0;;
MSG;24.04.1901 00:00;0;;
MSG;25.04.1901 00:00;0;;
MSG;26.04.1901 00:00;24.5;;
MSG;27.04.1901 00:00;57.3;;
MSG;28.04.1901 00:00;21.3;;
MSG;29.04.1901 00:00;37.3;;
MSG;30.04.1901 00:00;2.2;;
MSG;01.05.1901 00:00;0;;
MSG;02.05.1901 00:00;0;;
MSG;03.05.1901 00:00;0;;
MSG;04.05.1901 00:00;0;;
MSG;05.05.1901 00:00;0;;
MSG;06.05.1901 00:00;19;;
MSG;07.05.1901 00:00;1.4;;
MSG;08.05.1901 00:00;34.6;;
MSG;09.05.1901 00:00;0.4;;
MSG;10.05.1901 00:00;0.2;;
MSG;11.05.1901 00:00;0;;
MSG;12.05.1901 00:00;0;;
MSG;13.05.1901 00:00;0;;
MSG;14.05.1901 00:00;0;;
MSG;15.05.1901 00:00;0;;
MSG;16.05.1901 00:00;1;;
MSG;17.05.1901 00:00;7.5;;
MSG;18.05.1901 00:00;0;;
MSG;19.05.1901 00:00;0;;
MSG;20.05.1901 00:00;2.5;;
MSG;21.05.1901 00:00;0.4;;
MSG;22.05.1901 00:00;32.5;;
MSG;23.05.1901 00:00;0;;
MSG;24.05.1901 00:00;1.5;;
MSG;25.05.1901 00:00;3.3;;
MSG;26.05.1901 00:00;0.8;;
MSG;27.05.1901 00:00;0;;
MSG;28.05.1901 00:00;0.1;;
MSG;29.05.1901 00:00;4.5;;
MSG;30.05.1901 00:00;0;;
MSG;31.05.1901 00:00;0;;
MSG;01.06.1901 00:00;0;;
MSG;02.06.1901 00:00;84.8;;
MSG;03.06.1901 00:00;1.2;;
MSG;04.06.1901 00:00;0;;
MSG;05.06.1901 00:00;0;;
MSG;06.06.1901 00:00;0;;
MSG;07.06.1901 00:00;4.8;;
MSG;08.06.1901 00:00;2.1;;
MSG;09.06.1901 00:00;6.6;;
MSG;10.06.1901 00:00;0.3;;
MSG;11.06.1901 00:00;0;;
MSG;12.06.1901 00:00;0.3;;
MSG;13.06.1901 00:00;0;;
MSG;14.06.1901 00:00;83;;
MSG;15.06.1901 00:00;45.2;;
MSG;16.06.1901 00:00;0;;
MSG;17.06.1901 00:00;0;;
MSG;18.06.1901 00:00;0.2;;
MSG;19.06.1901 00:00;0;;
MSG;20.06.1901 00:00;0;;
MSG;21.06.1901 00:00;0;;
MSG;22.06.1901 00:00;0;;
MSG;23.06.1901 00:00;0;;
MSG;24.06.1901 00:00;27.3;;
MSG;25.06.1901 00:00;0;;
MSG;26.06.1901 00:00;0;;
MSG;27.06.1901 00:00;0;;
MSG;28.06.1901 00:00;10;;
MSG;29.06.1901 00:00;36;;
MSG;30.06.1901 00:00;40;;
MSG;01.07.1901 00:00;13.5;;
MSG;02.07.1901 00:00;18.7;;
MSG;03.07.1901 00:00;9;;
MSG;04.07.1901 00:00;0.5;;
MSG;05.07.1901 00:00;1;;
MSG;06.07.1901 00:00;0;;
MSG;07.07.1901 00:00;0;;
MSG;08.07.1901 00:00;4.8;;
MSG;09.07.1901 00:00;0;;
MSG;10.07.1901 00:00;0;;
MSG;11.07.1901 00:00;0;;
MSG;12.07.1901 00:00;0;;
MSG;13.07.1901 00:00;18.3;;
MSG;14.07.1901 00:00;36.4;;
MSG;15.07.1901 00:00;2.8;;
MSG;16.07.1901 00:00;0;;
MSG;17.07.1901 00:00;0;;
MSG;18.07.1901 00:00;0;;
MSG;19.07.1901 00:00;0;;
MSG;20.07.1901 00:00;12;;
MSG;21.07.1901 00:00;0;;
MSG;22.07.1901 00:00;2.2;;
MSG;23.07.1901 00:00;5.1;;
MSG;24.07.1901 00:00;11.3;;
MSG;25.07.1901 00:00;40;;
MSG;26.07.1901 00:00;4.8;;
MSG;27.07.1901 00:00;3.8;;
MSG;28.07.1901 00:00;35;;
MSG;29.07.1901 00:00;15;;
MSG;30.07.1901 00:00;15.4;;
MSG;31.07.1901 00:00;33.7;;
MSG;01.08.1901 00:00;1;;
MSG;02.08.1901 00:00;0;;
MSG;03.08.1901 00:00;0;;
MSG;04.08.1901 00:00;0;;
MSG;05.08.1901 00:00;0;;
MSG;06.08.1901 00:00;0;;
MSG;07.08.1901 00:00;0;;
MSG;08.08.1901 00:00;0;;
MSG;09.08.1901 00:00;0;;
MSG;10.08.1901 00:00;0;;
MSG;11.08.1901 00:00;1.3;;
MSG;12.08.1901 00:00;0.1;;
MSG;13.08.1901 00:00;6.5;;
MSG;14.08.1901 00:00;0;;
MSG;15.08.1901 00:00;0;;
MSG;16.08.1901 00:00;0;;
MSG;17.08.1901 00:00;0;;
MSG;18.08.1901 00:00;0;;
MSG;19.08.1901 00:00;0;;
MSG;20.08.1901 00:00;0;;
MSG;21.08.1901 00:00;0;;
MSG;22.08.1901 00:00;0;;
MSG;23.08.1901 00:00;0;;
MSG;24.08.1901 00:00;0;;
MSG;25.08.1901 00:00;33.2;;
MSG;26.08.1901 00:00;107;;
MSG;27.08.1901 00:00;0;;
MSG;28.08.1901 00:00;1.2;;
MSG;29.08.1901 00:00;0;;
MSG;30.08.1901 00:00;0;;
MSG;31.08.1901 00:00;0;;
MSG;01.09.1901 00:00;1.2;;
MSG;02.09.1901 00:00;0;;
MSG;03.09.1901 00:00;12.8;;
MSG;04.09.1901 00:00;11;;
MSG;05.09.1901 00:00;0;;
MSG;06.09.1901 00:00;0.2;;
MSG;07.09.1901 00:00;0.4;;
MSG;08.09.1901 00:00;0;;
MSG;09.09.1901 00:00;0;;
MSG;10.09.1901 00:00;17.4;;
MSG;11.09.1901 00:00;29.3;;
MSG;12.09.1901 00:00;26;;
MSG;13.09.1901 00:00;0.4;;
MSG;14.09.1901 00:00;0;;
MSG;15.09.1901 00:00;2.2;;
MSG;16.09.1901 00:00;0.1;;
MSG;17.09.1901 00:00;3.1;;
MSG;18.09.1901 00:00;0;;
MSG;19.09.1901 00:00;0;;
MSG;20.09.1901 00:00;0;;
MSG;21.09.1901 00:00;4;;
