station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MST;01.01.1973 00:00;0;;
MST;02.01.1973 00:00;0;;
MST;03.01.1973 00:00;2.7;;
MST;04.01.1973 00:00;0;;
MST;05.01.1973 00:00;0;;
MST;06.01.1973 00:00;0;;
MST;07.01.1973 00:00;0;;
MST;08.01.1973 00:00;0;;
MST;09.01.1973 00:00;0;;
MST;10.01.1973 00:00;0;;
MST;11.01.1973 00:00;0;;
MST;12.01.1973 00:00;0;;
MST;13.01.1973 00:00;0;;
MST;14.01.1973 00:00;0;;
MST;15.01.1973 00:00;8.2;;
MST;16.01.1973 00:00;0;;
MST;17.01.1973 00:00;0;;
MST;18.01.1973 00:00;0;;
MST;19.01.1973 00:00;0;;
MST;20.01.1973 00:00;0;;
MST;21.01.1973 00:00;5.2;;
MST;22.01.1973 00:00;4.4;;
MST;23.01.1973 00:00;0;;
MST;24.01.1973 00:00;0;;
MST;25.01.1973 00:00;0;;
MST;26.01.1973 00:00;0;;
MST;27.01.1973 00:00;14.8;;
MST;28.01.1973 00:00;7.2;;
MST;29.01.1973 00:00;0.5;;
MST;30.01.1973 00:00;0;;
MST;31.01.1973 00:00;2.8;;
MST;01.02.1973 00:00;0.6;;
MST;02.02.1973 00:00;0;;
MST;03.02.1973 00:00;0;;
MST;04.02.1973 00:00;0;;
MST;05.02.1973 00:00;0;;
MST;06.02.1973 00:00;0;;
MST;07.02.1973 00:00;0;;
MST;08.02.1973 00:00;0;;
MST;09.02.1973 00:00;0;;
MST;10.02.1973 00:00;4;;
MST;11.02.1973 00:00;7.7;;
MST;12.02.1973 00:00;0;;
MST;13.02.1973 00:00;2.6;;
MST;14.02.1973 00:00;0;;
MST;15.02.1973 00:00;0;;
MST;16.02.1973 00:00;0;;
MST;17.02.1973 00:00;0;;
MST;18.02.1973 00:00;0;;
MST;19.02.1973 00:00;0;;
MST;20.02.1973 00:00;0;;
MST;21.02.1973 00:00;0.7;;
MST;22.02.1973 00:00;11.3;;
MST;23.02.1973 00:00;14.6;;
MST;24.02.1973 00:00;3.7;;
