station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MTO;01.10.1997 00:00;0;;
MTO;02.10.1997 00:00;0;;
MTO;03.10.1997 00:00;0;;
MTO;04.10.1997 00:00;0;;
MTO;05.10.1997 00:00;0;;
MTO;06.10.1997 00:00;0;;
MTO;07.10.1997 00:00;6.4;;
MTO;08.10.1997 00:00;0;;
MTO;09.10.1997 00:00;0;;
MTO;10.10.1997 00:00;11.3;;
MTO;11.10.1997 00:00;20.2;;
MTO;12.10.1997 00:00;16.5;;
MTO;13.10.1997 00:00;3.4;;
MTO;14.10.1997 00:00;2.8;;
MTO;15.10.1997 00:00;1.9;;
MTO;16.10.1997 00:00;0.7;;
MTO;17.10.1997 00:00;0.1;;
MTO;18.10.1997 00:00;0.1;;
MTO;19.10.1997 00:00;0.1;;
MTO;20.10.1997 00:00;0;;
MTO;21.10.1997 00:00;0;;
MTO;22.10.1997 00:00;0;;
MTO;23.10.1997 00:00;0;;
MTO;24.10.1997 00:00;0;;
MTO;25.10.1997 00:00;0;;
MTO;26.10.1997 00:00;0;;
MTO;27.10.1997 00:00;0;;
MTO;28.10.1997 00:00;0;;
MTO;29.10.1997 00:00;0;;
MTO;30.10.1997 00:00;0;;
MTO;31.10.1997 00:00;0;;
MTO;01.11.1997 00:00;0;;
MTO;02.11.1997 00:00;0;;
MTO;03.11.1997 00:00;0;;
MTO;04.11.1997 00:00;6.8;;
MTO;05.11.1997 00:00;3.9;;
MTO;06.11.1997 00:00;0.1;;
MTO;07.11.1997 00:00;0;;
MTO;08.11.1997 00:00;4;;
MTO;09.11.1997 00:00;5.7;;
MTO;10.11.1997 00:00;4.8;;
MTO;11.11.1997 00:00;3.9;;
MTO;12.11.1997 00:00;15.7;;
MTO;13.11.1997 00:00;0.2;;
MTO;14.11.1997 00:00;0.1;;
MTO;15.11.1997 00:00;8.5;;
MTO;16.11.1997 00:00;0.3;;
MTO;17.11.1997 00:00;0;;
MTO;18.11.1997 00:00;0;;
MTO;19.11.1997 00:00;4.1;;
MTO;20.11.1997 00:00;1.3;;
MTO;21.11.1997 00:00;0.1;;
MTO;22.11.1997 00:00;0;;
