station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MUE;02.11.1960 00:00;;;0
MUE;03.11.1960 00:00;;;0
MUE;04.11.1960 00:00;;;0
MUE;05.11.1960 00:00;;;0
MUE;06.11.1960 00:00;;;26
MUE;07.11.1960 00:00;;;34
MUE;08.11.1960 00:00;;;35
MUE;09.11.1960 00:00;;;42
MUE;10.11.1960 00:00;;;38
MUE;11.11.1960 00:00;;;33
MUE;12.11.1960 00:00;;;22
MUE;13.11.1960 00:00;;;15
MUE;14.11.1960 00:00;;;19
MUE;15.11.1960 00:00;;;21
MUE;16.11.1960 00:00;;;14
MUE;17.11.1960 00:00;;;25
MUE;18.11.1960 00:00;;;34
MUE;19.11.1960 00:00;;;38
MUE;20.11.1960 00:00;;;47
MUE;21.11.1960 00:00;;;54
MUE;22.11.1960 00:00;;;46
MUE;23.11.1960 00:00;;;35
MUE;24.11.1960 00:00;;;39
MUE;25.11.1960 00:00;;;40
MUE;26.11.1960 00:00;;;35
MUE;27.11.1960 00:00;;;28
MUE;28.11.1960 00:00;;;25
MUE;29.11.1960 00:00;;;23
MUE;30.11.1960 00:00;;;42
MUE;01.12.1960 00:00;;;39
MUE;02.12.1960 00:00;;;35
MUE;03.12.1960 00:00;;;30
MUE;04.12.1960 00:00;;;26
MUE;05.12.1960 00:00;;;20
MUE;06.12.1960 00:00;;;16
MUE;07.12.1960 00:00;;;14
MUE;08.12.1960 00:00;;;56
MUE;09.12.1960 00:00;;;69
MUE;10.12.1960 00:00;;;65
MUE;11.12.1960 00:00;;;63
MUE;12.12.1960 00:00;;;61
MUE;13.12.1960 00:00;;;59
MUE;14.12.1960 00:00;;;57
MUE;15.12.1960 00:00;;;55
MUE;16.12.1960 00:00;;;51
MUE;17.12.1960 00:00;;;50
MUE;18.12.1960 00:00;;;48
MUE;19.12.1960 00:00;;;44
MUE;20.12.1960 00:00;;;45
MUE;21.12.1960 00:00;;;38
MUE;22.12.1960 00:00;;;71
MUE;23.12.1960 00:00;;;68
MUE;24.12.1960 00:00;;;63
MUE;25.12.1960 00:00;;;59
MUE;26.12.1960 00:00;;;58
MUE;27.12.1960 00:00;;;55
MUE;28.12.1960 00:00;;;52
MUE;29.12.1960 00:00;;;59
MUE;30.12.1960 00:00;;;56
MUE;31.12.1960 00:00;;;53
MUE;01.01.1961 00:00;5.6;8;54
MUE;02.01.1961 00:00;0;0;48
MUE;03.01.1961 00:00;12;12;44
MUE;04.01.1961 00:00;4.2;6;56
MUE;05.01.1961 00:00;1;3;63
MUE;06.01.1961 00:00;1.8;3;58
MUE;07.01.1961 00:00;0;0;57
MUE;08.01.1961 00:00;1.2;3;54
MUE;09.01.1961 00:00;0;0;56
MUE;10.01.1961 00:00;0;0;56
MUE;11.01.1961 00:00;3.5;2;56
MUE;12.01.1961 00:00;0;0;55
MUE;13.01.1961 00:00;0;0;55
MUE;14.01.1961 00:00;0;0;50
MUE;15.01.1961 00:00;0;0;50
MUE;16.01.1961 00:00;0;0;48
MUE;17.01.1961 00:00;0;0;47
MUE;18.01.1961 00:00;0;0;47
MUE;19.01.1961 00:00;0;0;45
MUE;20.01.1961 00:00;0;0;43
MUE;21.01.1961 00:00;0;0;43
MUE;22.01.1961 00:00;0;0;43
MUE;23.01.1961 00:00;5.3;9;43
MUE;24.01.1961 00:00;5;9;52
MUE;25.01.1961 00:00;5;10;57
MUE;26.01.1961 00:00;0;0;66
MUE;27.01.1961 00:00;0;0;58
MUE;28.01.1961 00:00;3.8;6;58
MUE;29.01.1961 00:00;0;0;62
MUE;30.01.1961 00:00;2.8;;56
MUE;31.01.1961 00:00;12.1;6;54
MUE;01.02.1961 00:00;10.1;10;58
MUE;02.02.1961 00:00;24;28;67
MUE;03.02.1961 00:00;20.5;26;93
MUE;04.02.1961 00:00;19.2;10;113
MUE;05.02.1961 00:00;10.8;6;112
MUE;06.02.1961 00:00;3.4;7;116
MUE;07.02.1961 00:00;10.5;10;121
MUE;08.02.1961 00:00;0;0;108
MUE;09.02.1961 00:00;7.5;4;102
MUE;10.02.1961 00:00;0;0;100
MUE;11.02.1961 00:00;7.8;10;97
MUE;12.02.1961 00:00;18.7;30;107
MUE;13.02.1961 00:00;0;0;130
MUE;14.02.1961 00:00;0;0;108
MUE;15.02.1961 00:00;0;0;101
MUE;16.02.1961 00:00;0;0;96
MUE;17.02.1961 00:00;0;0;92
MUE;18.02.1961 00:00;0;0;85
MUE;19.02.1961 00:00;0;0;82
MUE;20.02.1961 00:00;0;0;80
MUE;21.02.1961 00:00;0;0;79
