station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MUL;01.03.1996 00:00;0.4;;
MUL;02.03.1996 00:00;0;;
MUL;03.03.1996 00:00;0;;
MUL;04.03.1996 00:00;0;;
MUL;05.03.1996 00:00;0;;
MUL;06.03.1996 00:00;0;;
MUL;07.03.1996 00:00;0;;
MUL;08.03.1996 00:00;0;;
MUL;09.03.1996 00:00;0;;
MUL;10.03.1996 00:00;0;;
MUL;11.03.1996 00:00;0.3;;
MUL;12.03.1996 00:00;0;;
MUL;13.03.1996 00:00;0;;
MUL;14.03.1996 00:00;0;;
MUL;15.03.1996 00:00;0;;
MUL;16.03.1996 00:00;0;;
MUL;17.03.1996 00:00;0;;
MUL;18.03.1996 00:00;0;;
MUL;19.03.1996 00:00;0;;
MUL;20.03.1996 00:00;1.7;;
MUL;21.03.1996 00:00;4.8;;
MUL;22.03.1996 00:00;7.3;;
MUL;23.03.1996 00:00;0;;
MUL;24.03.1996 00:00;0;;
MUL;25.03.1996 00:00;3.1;;
MUL;26.03.1996 00:00;14.5;;
MUL;27.03.1996 00:00;1;;
MUL;28.03.1996 00:00;0;;
MUL;29.03.1996 00:00;0;;
MUL;30.03.1996 00:00;0;;
MUL;31.03.1996 00:00;0;;
MUL;01.04.1996 00:00;0;;
MUL;02.04.1996 00:00;0;;
MUL;03.04.1996 00:00;0;;
MUL;04.04.1996 00:00;0;;
MUL;05.04.1996 00:00;0;;
MUL;06.04.1996 00:00;0;;
MUL;07.04.1996 00:00;0;;
MUL;08.04.1996 00:00;0.2;;
MUL;09.04.1996 00:00;0;;
MUL;10.04.1996 00:00;0;;
MUL;11.04.1996 00:00;12.1;;
MUL;12.04.1996 00:00;3;;
MUL;13.04.1996 00:00;2.1;;
MUL;14.04.1996 00:00;0;;
MUL;15.04.1996 00:00;0;;
MUL;16.04.1996 00:00;0;;
MUL;17.04.1996 00:00;0;;
MUL;18.04.1996 00:00;0;;
MUL;19.04.1996 00:00;0;;
MUL;20.04.1996 00:00;0;;
MUL;21.04.1996 00:00;0;;
MUL;22.04.1996 00:00;0;;
MUL;23.04.1996 00:00;0.8;;
MUL;24.04.1996 00:00;0;;
