station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MUS;01.11.1972 00:00;;0;
MUS;02.11.1972 00:00;;0;
MUS;03.11.1972 00:00;;0;
MUS;04.11.1972 00:00;;0;
MUS;05.11.1972 00:00;;0;
MUS;06.11.1972 00:00;;0;
MUS;07.11.1972 00:00;;0;
MUS;08.11.1972 00:00;;0;
MUS;09.11.1972 00:00;;0;
MUS;16.11.1972 00:00;;60;
MUS;17.11.1972 00:00;;;60
MUS;18.11.1972 00:00;;0;
MUS;19.11.1972 00:00;;80;
MUS;20.11.1972 00:00;;0;80
MUS;21.11.1972 00:00;;0;
MUS;24.11.1972 00:00;;0;
MUS;25.11.1972 00:00;;0;
MUS;26.11.1972 00:00;;0;
MUS;27.11.1972 00:00;;0;
MUS;28.11.1972 00:00;;0;
MUS;29.11.1972 00:00;;0;
MUS;01.12.1972 00:00;;0;
MUS;02.12.1972 00:00;;0;
MUS;03.12.1972 00:00;;0;
MUS;04.12.1972 00:00;;0;
MUS;06.12.1972 00:00;;0;
MUS;07.12.1972 00:00;;0;
MUS;08.12.1972 00:00;;50;
MUS;09.12.1972 00:00;;;50
MUS;10.12.1972 00:00;;0;
MUS;11.12.1972 00:00;;0;
MUS;12.12.1972 00:00;;0;
MUS;13.12.1972 00:00;;0;
MUS;14.12.1972 00:00;;0;
MUS;15.12.1972 00:00;;0;
MUS;16.12.1972 00:00;;0;
MUS;17.12.1972 00:00;;0;
MUS;18.12.1972 00:00;;0;
MUS;19.12.1972 00:00;;0;
MUS;20.12.1972 00:00;;0;
MUS;21.12.1972 00:00;;0;
MUS;22.12.1972 00:00;;0;
MUS;23.12.1972 00:00;;0;
MUS;24.12.1972 00:00;;0;
MUS;25.12.1972 00:00;;0;
MUS;26.12.1972 00:00;;0;
MUS;27.12.1972 00:00;;0;
MUS;28.12.1972 00:00;;0;
MUS;29.12.1972 00:00;;0;
MUS;30.12.1972 00:00;;0;
MUS;31.12.1972 00:00;;40;
MUS;01.01.1973 00:00;2;50;70
MUS;02.01.1973 00:00;3.3;;90
MUS;03.01.1973 00:00;1.5;;
MUS;04.01.1973 00:00;0;0;
MUS;05.01.1973 00:00;0;0;
MUS;06.01.1973 00:00;0;0;
MUS;07.01.1973 00:00;0;0;
MUS;08.01.1973 00:00;0;0;
MUS;09.01.1973 00:00;0;0;
MUS;10.01.1973 00:00;0;0;
MUS;11.01.1973 00:00;0;0;
MUS;12.01.1973 00:00;0;0;
MUS;13.01.1973 00:00;0;0;
MUS;14.01.1973 00:00;0;0;
MUS;15.01.1973 00:00;2;3;
MUS;16.01.1973 00:00;2.1;2;12
MUS;17.01.1973 00:00;0;0;14
MUS;18.01.1973 00:00;0;0;
MUS;19.01.1973 00:00;0;0;
MUS;20.01.1973 00:00;0;0;
MUS;21.01.1973 00:00;9.3;12;
MUS;22.01.1973 00:00;0;0;21
MUS;23.01.1973 00:00;0;0;
MUS;24.01.1973 00:00;0;0;
MUS;25.01.1973 00:00;0;0;
MUS;26.01.1973 00:00;0;0;
MUS;27.01.1973 00:00;0;0;
MUS;28.01.1973 00:00;0;0;
MUS;29.01.1973 00:00;0;0;
MUS;30.01.1973 00:00;0;0;
MUS;31.01.1973 00:00;0;0;
MUS;01.02.1973 00:00;0;0;
MUS;02.02.1973 00:00;0;0;
MUS;03.02.1973 00:00;0;0;
MUS;04.02.1973 00:00;0;0;
MUS;05.02.1973 00:00;0;0;
MUS;06.02.1973 00:00;0;0;
MUS;07.02.1973 00:00;0;0;
MUS;08.02.1973 00:00;0;0;
MUS;09.02.1973 00:00;1.2;2;
MUS;10.02.1973 00:00;2.1;3;8
MUS;11.02.1973 00:00;0;0;9
MUS;12.02.1973 00:00;0;4;
MUS;13.02.1973 00:00;3.4;;12
MUS;14.02.1973 00:00;0;0;
