station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MUT;01.01.1901 00:00;0.9;;
MUT;02.01.1901 00:00;3;;
MUT;03.01.1901 00:00;0;;
MUT;04.01.1901 00:00;0;;
MUT;05.01.1901 00:00;0;;
MUT;06.01.1901 00:00;0;;
MUT;07.01.1901 00:00;0;;
MUT;08.01.1901 00:00;0;;
MUT;09.01.1901 00:00;0;;
MUT;10.01.1901 00:00;0;;
MUT;11.01.1901 00:00;0;;
MUT;12.01.1901 00:00;0;;
MUT;13.01.1901 00:00;0;;
MUT;14.01.1901 00:00;0;;
MUT;15.01.1901 00:00;0;;
MUT;16.01.1901 00:00;0;;
MUT;17.01.1901 00:00;0;;
MUT;18.01.1901 00:00;0;;
MUT;19.01.1901 00:00;0.3;;
MUT;20.01.1901 00:00;2.7;;
MUT;21.01.1901 00:00;1.3;;
MUT;22.01.1901 00:00;0.2;;
MUT;23.01.1901 00:00;0;;
MUT;24.01.1901 00:00;0;;
MUT;25.01.1901 00:00;0;;
MUT;26.01.1901 00:00;8.5;;
MUT;27.01.1901 00:00;6.8;;
MUT;28.01.1901 00:00;6.2;;
MUT;29.01.1901 00:00;1.4;;
MUT;30.01.1901 00:00;0.2;;
MUT;31.01.1901 00:00;0;;
MUT;01.02.1901 00:00;6.9;;
MUT;02.02.1901 00:00;0.4;;
MUT;03.02.1901 00:00;0;;
MUT;04.02.1901 00:00;4.4;;
MUT;05.02.1901 00:00;2.2;;
MUT;06.02.1901 00:00;0.1;;
MUT;07.02.1901 00:00;0.4;;
MUT;08.02.1901 00:00;0;;
MUT;09.02.1901 00:00;0;;
MUT;10.02.1901 00:00;0;;
MUT;11.02.1901 00:00;0;;
MUT;12.02.1901 00:00;0;;
MUT;13.02.1901 00:00;1.1;;
MUT;14.02.1901 00:00;0;;
MUT;15.02.1901 00:00;0;;
MUT;16.02.1901 00:00;2.3;;
MUT;17.02.1901 00:00;1.8;;
MUT;18.02.1901 00:00;0;;
MUT;19.02.1901 00:00;0;;
MUT;20.02.1901 00:00;0;;
MUT;21.02.1901 00:00;0;;
MUT;22.02.1901 00:00;0;;
MUT;23.02.1901 00:00;0;;
MUT;24.02.1901 00:00;0;;
MUT;25.02.1901 00:00;0;;
MUT;26.02.1901 00:00;0;;
MUT;27.02.1901 00:00;0;;
MUT;28.02.1901 00:00;0.2;;
MUT;01.03.1901 00:00;4.3;;
MUT;02.03.1901 00:00;13.7;;
MUT;03.03.1901 00:00;13.9;;
MUT;04.03.1901 00:00;6.9;;
MUT;05.03.1901 00:00;3.2;;
MUT;06.03.1901 00:00;2.1;;
MUT;07.03.1901 00:00;0.2;;
MUT;08.03.1901 00:00;0;;
