station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
MVE;31.12.1930 00:00;;0;
MVE;01.01.1931 00:00;10.7;20;43
MVE;02.01.1931 00:00;1.5;1;54
MVE;03.01.1931 00:00;0;0;47
MVE;04.01.1931 00:00;13.6;0;37
MVE;05.01.1931 00:00;0;0;34
MVE;06.01.1931 00:00;0;0;33
MVE;07.01.1931 00:00;0;0;33
MVE;08.01.1931 00:00;0;0;32
MVE;09.01.1931 00:00;0;0;32
MVE;10.01.1931 00:00;0;0;32
MVE;11.01.1931 00:00;0;0;32
MVE;12.01.1931 00:00;0;0;32
MVE;13.01.1931 00:00;0;0;32
MVE;14.01.1931 00:00;0.3;1;32
MVE;15.01.1931 00:00;0;0;32
MVE;16.01.1931 00:00;1.2;2;32
MVE;17.01.1931 00:00;24.8;33;33
MVE;18.01.1931 00:00;26.5;35;62
MVE;19.01.1931 00:00;0.7;2;96
MVE;20.01.1931 00:00;0;0;80
MVE;21.01.1931 00:00;0;0;65
MVE;22.01.1931 00:00;0;0;64
MVE;23.01.1931 00:00;15.5;25;61
MVE;24.01.1931 00:00;14.9;13;86
MVE;25.01.1931 00:00;14.7;15;83
MVE;26.01.1931 00:00;29.8;44;95
MVE;27.01.1931 00:00;4.1;5;120
MVE;28.01.1931 00:00;29.1;45;123
MVE;29.01.1931 00:00;9.7;10;143
MVE;30.01.1931 00:00;1.6;2;150
MVE;31.01.1931 00:00;0;0;140
MVE;01.02.1931 00:00;0;0;125
MVE;02.02.1931 00:00;0;0;124
MVE;03.02.1931 00:00;0;0;123
MVE;04.02.1931 00:00;3.7;5;122
MVE;05.02.1931 00:00;0;0;124
MVE;06.02.1931 00:00;0;0;123
MVE;07.02.1931 00:00;0;0;122
MVE;08.02.1931 00:00;0;0;121
MVE;09.02.1931 00:00;0;0;120
MVE;10.02.1931 00:00;0;0;120
MVE;11.02.1931 00:00;10.2;18;117
MVE;12.02.1931 00:00;19.8;34;125
MVE;13.02.1931 00:00;0.3;1;154
MVE;14.02.1931 00:00;4.7;9;154
MVE;15.02.1931 00:00;0;0;155
MVE;16.02.1931 00:00;1.9;2;154
MVE;17.02.1931 00:00;4.8;5;150
MVE;18.02.1931 00:00;0.1;0;156
MVE;19.02.1931 00:00;4;4;152
MVE;20.02.1931 00:00;27;36;152
MVE;21.02.1931 00:00;2.2;2;165
MVE;22.02.1931 00:00;1.6;1;161
MVE;23.02.1931 00:00;0;0;161
MVE;24.02.1931 00:00;0;0;158
MVE;25.02.1931 00:00;0;0;154
MVE;26.02.1931 00:00;1.6;0;152
MVE;27.02.1931 00:00;0.6;0;148
MVE;28.02.1931 00:00;32.4;34;144
MVE;01.03.1931 00:00;22.9;10;174
MVE;02.03.1931 00:00;1.6;1;178
MVE;03.03.1931 00:00;25.7;2;178
MVE;04.03.1931 00:00;21.9;12;176
MVE;05.03.1931 00:00;0;0;160
MVE;06.03.1931 00:00;8.5;3;156
MVE;07.03.1931 00:00;4.2;4;157
MVE;08.03.1931 00:00;9.5;16;154
MVE;09.03.1931 00:00;18.2;26;158
MVE;10.03.1931 00:00;34.5;41;162
MVE;11.03.1931 00:00;0;0;188
MVE;12.03.1931 00:00;0;0;187
MVE;13.03.1931 00:00;0;0;185
MVE;14.03.1931 00:00;0;0;180
MVE;15.03.1931 00:00;0;0;176
MVE;16.03.1931 00:00;0;0;168
MVE;17.03.1931 00:00;0;0;160
MVE;18.03.1931 00:00;0;0;155
MVE;19.03.1931 00:00;0;0;150
MVE;20.03.1931 00:00;0;0;146
MVE;21.03.1931 00:00;0;0;140
MVE;22.03.1931 00:00;0;0;135
MVE;23.03.1931 00:00;0;0;128
MVE;24.03.1931 00:00;0;0;118
MVE;25.03.1931 00:00;0;0;110
MVE;26.03.1931 00:00;0;0;102
MVE;27.03.1931 00:00;0;0;94
MVE;28.03.1931 00:00;0;0;87
MVE;29.03.1931 00:00;0;0;84
MVE;30.03.1931 00:00;0;0;80
MVE;31.03.1931 00:00;0;0;78
MVE;01.04.1931 00:00;0;0;72
MVE;02.04.1931 00:00;0;0;68
MVE;03.04.1931 00:00;0;0;66
MVE;04.04.1931 00:00;0;0;64
MVE;05.04.1931 00:00;0;0;63
MVE;06.04.1931 00:00;0;0;61
MVE;07.04.1931 00:00;0;0;60
MVE;08.04.1931 00:00;0;0;60
MVE;09.04.1931 00:00;0;0;55
MVE;10.04.1931 00:00;0;0;48
MVE;11.04.1931 00:00;0;0;44
MVE;12.04.1931 00:00;0;0;38
MVE;13.04.1931 00:00;0;0;29
MVE;14.04.1931 00:00;0;0;23
MVE;15.04.1931 00:00;5.9;0;18
MVE;16.04.1931 00:00;0;0;17
MVE;17.04.1931 00:00;0;0;16
MVE;18.04.1931 00:00;0;0;16
MVE;19.04.1931 00:00;0;0;15
MVE;20.04.1931 00:00;0;0;15
MVE;21.04.1931 00:00;0;0;13
MVE;22.04.1931 00:00;0;0;10
MVE;23.04.1931 00:00;0;0;10
MVE;24.04.1931 00:00;0;0;7
MVE;25.04.1931 00:00;11.5;0;4
MVE;26.04.1931 00:00;2.4;0;3
MVE;27.04.1931 00:00;12.7;23;2
MVE;28.04.1931 00:00;5.3;0;23
MVE;29.04.1931 00:00;0;0;7
MVE;30.04.1931 00:00;0;0;0
MVE;01.05.1931 00:00;0;0;0
MVE;02.05.1931 00:00;0;0;0
MVE;03.05.1931 00:00;0;0;0
MVE;04.05.1931 00:00;14.4;2;0
MVE;05.05.1931 00:00;0.1;0;2
MVE;06.05.1931 00:00;3.2;0;0
MVE;07.05.1931 00:00;0;0;0
MVE;08.05.1931 00:00;0;0;0
MVE;09.05.1931 00:00;1;0;0
MVE;10.05.1931 00:00;0;0;0
MVE;11.05.1931 00:00;0;0;0
MVE;12.05.1931 00:00;0;0;0
MVE;13.05.1931 00:00;0;0;0
MVE;14.05.1931 00:00;0;0;0
MVE;15.05.1931 00:00;0;0;0
MVE;16.05.1931 00:00;0;0;0
MVE;17.05.1931 00:00;0;0;0
MVE;18.05.1931 00:00;1;0;0
MVE;19.05.1931 00:00;0;0;0
MVE;20.05.1931 00:00;8.4;0;0
MVE;21.05.1931 00:00;0;0;0
MVE;22.05.1931 00:00;0;0;0
MVE;23.05.1931 00:00;0;0;0
MVE;24.05.1931 00:00;0;0;0
MVE;25.05.1931 00:00;0;0;0
MVE;26.05.1931 00:00;0;0;0
MVE;27.05.1931 00:00;0;0;0
MVE;28.05.1931 00:00;3.9;0;0
MVE;29.05.1931 00:00;0;0;0
MVE;30.05.1931 00:00;0.6;0;0
MVE;31.05.1931 00:00;1.9;0;0
MVE;01.06.1931 00:00;0;0;0
MVE;02.06.1931 00:00;0;0;0
MVE;03.06.1931 00:00;0;0;0
MVE;04.06.1931 00:00;0;0;0
MVE;05.06.1931 00:00;0;0;0
MVE;06.06.1931 00:00;2;0;0
MVE;07.06.1931 00:00;1.5;0;0
MVE;08.06.1931 00:00;0;0;0
MVE;09.06.1931 00:00;0;0;0
MVE;10.06.1931 00:00;0.1;0;0
MVE;11.06.1931 00:00;1.5;0;0
MVE;12.06.1931 00:00;0;0;0
MVE;13.06.1931 00:00;0;0;0
MVE;14.06.1931 00:00;0;0;0
MVE;15.06.1931 00:00;0;0;0
MVE;16.06.1931 00:00;0;0;0
MVE;17.06.1931 00:00;2.8;0;0
MVE;18.06.1931 00:00;0;0;0
MVE;19.06.1931 00:00;0;0;0
MVE;20.06.1931 00:00;5.4;0;0
MVE;21.06.1931 00:00;0;0;0
MVE;22.06.1931 00:00;0;0;0
MVE;23.06.1931 00:00;1.2;0;0
MVE;24.06.1931 00:00;15.2;0;0
MVE;25.06.1931 00:00;3.8;0;0
MVE;26.06.1931 00:00;0;0;0
MVE;27.06.1931 00:00;0.1;0;0
MVE;28.06.1931 00:00;0.7;0;0
MVE;29.06.1931 00:00;0;0;0
MVE;30.06.1931 00:00;0;0;0
MVE;01.07.1931 00:00;14.3;0;0
MVE;02.07.1931 00:00;0;0;0
MVE;03.07.1931 00:00;0.2;0;0
MVE;04.07.1931 00:00;0;0;0
MVE;05.07.1931 00:00;0;0;0
MVE;06.07.1931 00:00;2.6;0;0
MVE;07.07.1931 00:00;13;0;0
MVE;08.07.1931 00:00;0;0;0
MVE;09.07.1931 00:00;0.2;0;0
MVE;10.07.1931 00:00;0;0;0
MVE;11.07.1931 00:00;0;0;0
MVE;12.07.1931 00:00;0;0;0
MVE;13.07.1931 00:00;10.5;0;0
MVE;14.07.1931 00:00;0;0;0
MVE;15.07.1931 00:00;5.4;0;0
MVE;16.07.1931 00:00;0;0;0
MVE;17.07.1931 00:00;0;0;0
MVE;18.07.1931 00:00;0;0;0
MVE;19.07.1931 00:00;5.5;0;0
MVE;20.07.1931 00:00;0.7;0;0
MVE;21.07.1931 00:00;0.7;0;0
MVE;22.07.1931 00:00;0;0;0
MVE;23.07.1931 00:00;0;0;0
MVE;24.07.1931 00:00;1.9;0;0
MVE;25.07.1931 00:00;0.4;0;0
MVE;26.07.1931 00:00;0;0;0
MVE;27.07.1931 00:00;18.8;0;0
MVE;28.07.1931 00:00;0.1;0;0
MVE;29.07.1931 00:00;0;0;0
MVE;30.07.1931 00:00;0;0;0
MVE;31.07.1931 00:00;0;0;0
MVE;01.08.1931 00:00;0.7;0;0
MVE;02.08.1931 00:00;14.5;0;0
MVE;03.08.1931 00:00;0;0;0
MVE;04.08.1931 00:00;0;0;0
MVE;05.08.1931 00:00;0.9;0;0
MVE;06.08.1931 00:00;12.1;0;0
MVE;07.08.1931 00:00;0.2;0;0
MVE;08.08.1931 00:00;10.1;0;0
MVE;09.08.1931 00:00;1.8;0;0
MVE;10.08.1931 00:00;1.5;0;0
MVE;11.08.1931 00:00;1.5;0;0
MVE;12.08.1931 00:00;0;0;0
MVE;13.08.1931 00:00;0;0;0
MVE;14.08.1931 00:00;0.8;0;0
MVE;15.08.1931 00:00;7.6;0;0
MVE;16.08.1931 00:00;0;0;0
MVE;17.08.1931 00:00;0.6;0;0
MVE;18.08.1931 00:00;8.3;0;0
MVE;19.08.1931 00:00;2.6;0;0
MVE;20.08.1931 00:00;28.7;0;0
MVE;21.08.1931 00:00;0.1;0;0
MVE;22.08.1931 00:00;7.2;0;0
MVE;23.08.1931 00:00;3.3;0;0
MVE;24.08.1931 00:00;18.4;0;0
MVE;25.08.1931 00:00;8.6;0;0
MVE;26.08.1931 00:00;0;0;0
MVE;27.08.1931 00:00;0;0;0
MVE;28.08.1931 00:00;0;0;0
MVE;29.08.1931 00:00;0;0;0
MVE;30.08.1931 00:00;5.6;0;0
MVE;31.08.1931 00:00;1.5;0;0
MVE;01.09.1931 00:00;0;0;0
MVE;02.09.1931 00:00;0;0;0
MVE;03.09.1931 00:00;16.5;0;0
MVE;04.09.1931 00:00;3.4;0;0
MVE;05.09.1931 00:00;4.4;0;0
MVE;06.09.1931 00:00;0;0;0
MVE;07.09.1931 00:00;0;0;0
MVE;08.09.1931 00:00;0;0;0
MVE;09.09.1931 00:00;0;0;0
MVE;10.09.1931 00:00;13.1;0;0
MVE;11.09.1931 00:00;14.9;0;0
MVE;12.09.1931 00:00;0.1;0;0
MVE;13.09.1931 00:00;0;0;0
MVE;14.09.1931 00:00;0;0;0
MVE;15.09.1931 00:00;0;0;0
MVE;16.09.1931 00:00;0;0;0
MVE;17.09.1931 00:00;0;0;0
MVE;18.09.1931 00:00;0;0;0
MVE;19.09.1931 00:00;0;0;0
MVE;20.09.1931 00:00;0;0;0
MVE;21.09.1931 00:00;0;0;0
MVE;22.09.1931 00:00;0;0;0
MVE;23.09.1931 00:00;0;0;0
MVE;24.09.1931 00:00;0;0;0
MVE;25.09.1931 00:00;0;0;0
MVE;26.09.1931 00:00;0;0;0
MVE;27.09.1931 00:00;0;0;0
MVE;28.09.1931 00:00;0;0;0
MVE;29.09.1931 00:00;0;0;0
MVE;30.09.1931 00:00;0;0;0
MVE;01.10.1931 00:00;0;0;0
MVE;02.10.1931 00:00;0;0;0
MVE;03.10.1931 00:00;0;0;0
MVE;04.10.1931 00:00;0;0;0
MVE;05.10.1931 00:00;0;0;0
MVE;06.10.1931 00:00;0;0;0
MVE;07.10.1931 00:00;3.6;0;0
MVE;08.10.1931 00:00;0;0;0
MVE;09.10.1931 00:00;0;0;0
MVE;10.10.1931 00:00;0;0;0
MVE;11.10.1931 00:00;0;0;0
MVE;12.10.1931 00:00;0;0;0
MVE;13.10.1931 00:00;0;0;0
MVE;14.10.1931 00:00;0;0;0
MVE;15.10.1931 00:00;0;0;0
MVE;16.10.1931 00:00;0;0;0
MVE;17.10.1931 00:00;0;0;0
MVE;18.10.1931 00:00;0;0;0
MVE;19.10.1931 00:00;0;0;0
MVE;20.10.1931 00:00;0;0;0
MVE;21.10.1931 00:00;0;0;0
MVE;22.10.1931 00:00;0;0;0
MVE;23.10.1931 00:00;13.6;0;0
MVE;24.10.1931 00:00;6;0;0
MVE;25.10.1931 00:00;7.4;0;0
MVE;26.10.1931 00:00;2.5;0;0
MVE;27.10.1931 00:00;0;0;0
MVE;28.10.1931 00:00;0.1;0;0
MVE;29.10.1931 00:00;0;0;0
MVE;30.10.1931 00:00;1.3;0;0
MVE;31.10.1931 00:00;0;0;0
MVE;01.11.1931 00:00;0;0;0
MVE;02.11.1931 00:00;0;0;0
MVE;03.11.1931 00:00;0;0;0
MVE;04.11.1931 00:00;0;0;0
MVE;05.11.1931 00:00;0;0;0
MVE;06.11.1931 00:00;0;0;0
MVE;07.11.1931 00:00;1.7;0;0
MVE;08.11.1931 00:00;0.3;0;0
MVE;09.11.1931 00:00;11.5;0;0
MVE;10.11.1931 00:00;10.4;8;0
MVE;11.11.1931 00:00;19.7;17;8
MVE;12.11.1931 00:00;0;0;22
MVE;13.11.1931 00:00;1.4;0;8
MVE;14.11.1931 00:00;0.6;0;6
MVE;15.11.1931 00:00;0;0;4
MVE;16.11.1931 00:00;0.1;0;0
MVE;17.11.1931 00:00;2.1;0;0
MVE;18.11.1931 00:00;0;0;0
MVE;19.11.1931 00:00;0;0;0
MVE;20.11.1931 00:00;0;0;0
MVE;21.11.1931 00:00;0;0;0
MVE;22.11.1931 00:00;0;0;0
MVE;23.11.1931 00:00;0;0;0
MVE;24.11.1931 00:00;0;0;0
MVE;25.11.1931 00:00;0;0;0
MVE;26.11.1931 00:00;0;0;0
MVE;27.11.1931 00:00;2.6;3;0
MVE;28.11.1931 00:00;0;0;3
MVE;29.11.1931 00:00;0;0;0
MVE;30.11.1931 00:00;0;0;0
MVE;01.12.1931 00:00;0;0;0
MVE;02.12.1931 00:00;0;0;0
MVE;03.12.1931 00:00;6.4;0;0
MVE;04.12.1931 00:00;11.8;0;0
MVE;05.12.1931 00:00;0;0;0
MVE;06.12.1931 00:00;3.4;0;0
MVE;07.12.1931 00:00;5.4;0;0
MVE;08.12.1931 00:00;0;0;0
MVE;09.12.1931 00:00;0;0;0
MVE;10.12.1931 00:00;2.4;6;0
MVE;11.12.1931 00:00;3.3;6;6
MVE;12.12.1931 00:00;0;0;7
MVE;13.12.1931 00:00;0;0;2
MVE;14.12.1931 00:00;0;0;1
MVE;15.12.1931 00:00;0;0;1
MVE;16.12.1931 00:00;0;0;1
MVE;17.12.1931 00:00;0;0;1
MVE;18.12.1931 00:00;0;0;1
MVE;19.12.1931 00:00;0;0;1
MVE;20.12.1931 00:00;0;0;1
MVE;21.12.1931 00:00;0;0;0
MVE;22.12.1931 00:00;0;0;0
MVE;23.12.1931 00:00;0;0;0
MVE;24.12.1931 00:00;0;0;0
MVE;25.12.1931 00:00;0;0;0
MVE;26.12.1931 00:00;0;0;0
MVE;27.12.1931 00:00;0;0;0
MVE;28.12.1931 00:00;0;0;0
MVE;29.12.1931 00:00;11.5;9;0
MVE;30.12.1931 00:00;0;0;9
MVE;31.12.1931 00:00;0;0;9
MVE;01.01.1932 00:00;0;0;9
MVE;02.01.1932 00:00;18.4;17;9
MVE;03.01.1932 00:00;12.3;0;25
MVE;04.01.1932 00:00;0;0;9
MVE;05.01.1932 00:00;0;0;8
MVE;06.01.1932 00:00;2.1;0;8
MVE;07.01.1932 00:00;29.7;0;8
MVE;08.01.1932 00:00;5.7;2;5
MVE;09.01.1932 00:00;0.1;0;6
MVE;10.01.1932 00:00;0;0;6
MVE;11.01.1932 00:00;0;0;6
MVE;12.01.1932 00:00;0;0;5
MVE;13.01.1932 00:00;0;0;5
MVE;14.01.1932 00:00;0;0;5
MVE;15.01.1932 00:00;0;0;5
MVE;16.01.1932 00:00;0;0;3
MVE;17.01.1932 00:00;0;0;3
MVE;18.01.1932 00:00;0;0;3
MVE;19.01.1932 00:00;0;0;3
MVE;20.01.1932 00:00;0;0;3
MVE;21.01.1932 00:00;0;0;3
MVE;22.01.1932 00:00;0;0;3
MVE;23.01.1932 00:00;0;0;3
MVE;24.01.1932 00:00;0;0;3
MVE;25.01.1932 00:00;0;0;3
MVE;26.01.1932 00:00;0;0;3
MVE;27.01.1932 00:00;0;0;3
MVE;28.01.1932 00:00;0;0;3
MVE;29.01.1932 00:00;0;0;3
MVE;30.01.1932 00:00;0;0;0
MVE;31.01.1932 00:00;0;0;0
MVE;01.02.1932 00:00;0;0;0
MVE;02.02.1932 00:00;0;0;0
MVE;03.02.1932 00:00;0;0;0
MVE;04.02.1932 00:00;0;0;0
MVE;05.02.1932 00:00;0;0;0
MVE;06.02.1932 00:00;0;0;0
MVE;07.02.1932 00:00;0;0;0
MVE;08.02.1932 00:00;0;0;0
MVE;09.02.1932 00:00;0.1;0;0
MVE;10.02.1932 00:00;0.9;3;0
MVE;11.02.1932 00:00;0.1;0;3
MVE;12.02.1932 00:00;0;0;3
MVE;13.02.1932 00:00;0;0;3
MVE;14.02.1932 00:00;0;0;3
MVE;15.02.1932 00:00;0;0;3
MVE;16.02.1932 00:00;0;0;3
MVE;17.02.1932 00:00;0;0;3
MVE;18.02.1932 00:00;0;0;3
MVE;19.02.1932 00:00;0;0;3
MVE;20.02.1932 00:00;0;0;3
MVE;21.02.1932 00:00;0;0;3
MVE;22.02.1932 00:00;0;0;3
MVE;23.02.1932 00:00;0;0;3
MVE;24.02.1932 00:00;0;0;3
MVE;25.02.1932 00:00;0;0;3
MVE;26.02.1932 00:00;0;0;3
MVE;27.02.1932 00:00;0;0;3
MVE;28.02.1932 00:00;0;0;3
MVE;29.02.1932 00:00;0;0;3
MVE;01.03.1932 00:00;0;0;3
MVE;02.03.1932 00:00;0;0;3
MVE;03.03.1932 00:00;0;0;2
MVE;04.03.1932 00:00;0;0;2
MVE;05.03.1932 00:00;0;0;1
MVE;06.03.1932 00:00;0;0;1
MVE;07.03.1932 00:00;14.1;17;1
MVE;08.03.1932 00:00;30.6;39;18
MVE;09.03.1932 00:00;31.1;40;57
MVE;10.03.1932 00:00;1.1;1;90
MVE;11.03.1932 00:00;4.3;5;70
MVE;12.03.1932 00:00;10.9;14;72
MVE;13.03.1932 00:00;0;0;85
MVE;14.03.1932 00:00;0;0;65
MVE;15.03.1932 00:00;0;0;55
MVE;16.03.1932 00:00;3.2;0;45
MVE;17.03.1932 00:00;4.1;1;35
MVE;18.03.1932 00:00;0;0;30
MVE;19.03.1932 00:00;0;0;24
MVE;20.03.1932 00:00;0;0;20
MVE;21.03.1932 00:00;0;0;20
MVE;22.03.1932 00:00;0;0;19
MVE;23.03.1932 00:00;0;0;19
MVE;24.03.1932 00:00;0;0;18
MVE;25.03.1932 00:00;0;0;18
MVE;26.03.1932 00:00;0;0;16
MVE;27.03.1932 00:00;2.4;4;14
MVE;28.03.1932 00:00;20.6;23;14
MVE;29.03.1932 00:00;1.4;2;34
MVE;30.03.1932 00:00;0;0;26
MVE;31.03.1932 00:00;4.8;6;18
MVE;01.04.1932 00:00;3.3;5;24
MVE;02.04.1932 00:00;0;0;22
MVE;03.04.1932 00:00;0;0;20
MVE;04.04.1932 00:00;7.7;0;17
MVE;05.04.1932 00:00;5.7;0;16
MVE;06.04.1932 00:00;1.1;0;16
MVE;07.04.1932 00:00;2.2;1;15
MVE;08.04.1932 00:00;24.9;12;10
MVE;09.04.1932 00:00;0;0;19
MVE;10.04.1932 00:00;0;0;13
MVE;11.04.1932 00:00;11.2;7;10
MVE;12.04.1932 00:00;0;0;16
MVE;13.04.1932 00:00;0.3;1;12
MVE;14.04.1932 00:00;0;0;12
MVE;15.04.1932 00:00;0;0;12
MVE;16.04.1932 00:00;0;0;10
MVE;17.04.1932 00:00;0;0;8
MVE;18.04.1932 00:00;1.1;3;4
MVE;19.04.1932 00:00;0;0;5
MVE;20.04.1932 00:00;0;0;3
MVE;21.04.1932 00:00;0;0;2
MVE;22.04.1932 00:00;0;0;1
MVE;23.04.1932 00:00;1.4;0;0
MVE;24.04.1932 00:00;0.2;0;0
MVE;25.04.1932 00:00;0;0;0
MVE;26.04.1932 00:00;0;0;0
MVE;27.04.1932 00:00;0;0;0
MVE;28.04.1932 00:00;0;0;0
MVE;29.04.1932 00:00;0;0;0
MVE;30.04.1932 00:00;2.5;0;0
MVE;01.05.1932 00:00;29.9;0;0
MVE;02.05.1932 00:00;2;0;0
MVE;03.05.1932 00:00;11.2;4;0
MVE;04.05.1932 00:00;5.1;0;4
MVE;05.05.1932 00:00;0.5;0;0
MVE;06.05.1932 00:00;1.5;0;0
MVE;07.05.1932 00:00;9;0;0
MVE;08.05.1932 00:00;0.1;0;0
MVE;09.05.1932 00:00;14.8;5;0
MVE;10.05.1932 00:00;0.1;0;5
MVE;11.05.1932 00:00;18.1;0;0
MVE;12.05.1932 00:00;0;0;0
MVE;13.05.1932 00:00;0;0;0
MVE;14.05.1932 00:00;0;0;0
