station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
NEU;01.01.1864 00:00;7.6;;
NEU;02.01.1864 00:00;3.3;;
NEU;03.01.1864 00:00;0;;
NEU;04.01.1864 00:00;0;;
NEU;05.01.1864 00:00;0;;
NEU;06.01.1864 00:00;0;;
NEU;07.01.1864 00:00;0;;
NEU;08.01.1864 00:00;0;;
NEU;09.01.1864 00:00;0;;
NEU;10.01.1864 00:00;0;;
NEU;11.01.1864 00:00;0;;
NEU;12.01.1864 00:00;0;;
NEU;13.01.1864 00:00;0;;
NEU;14.01.1864 00:00;0;;
NEU;15.01.1864 00:00;0;;
NEU;16.01.1864 00:00;0;;
NEU;17.01.1864 00:00;0;;
NEU;18.01.1864 00:00;0;;
NEU;19.01.1864 00:00;0;;
NEU;20.01.1864 00:00;0;;
NEU;21.01.1864 00:00;0;;
NEU;22.01.1864 00:00;0;;
NEU;23.01.1864 00:00;0;;
NEU;24.01.1864 00:00;0;;
NEU;25.01.1864 00:00;3;;
NEU;26.01.1864 00:00;0;;
NEU;27.01.1864 00:00;0;;
NEU;28.01.1864 00:00;0.5;;
NEU;29.01.1864 00:00;8.5;;
NEU;30.01.1864 00:00;0.2;;
NEU;31.01.1864 00:00;0;;
NEU;01.02.1864 00:00;0;;
NEU;02.02.1864 00:00;0;;
NEU;03.02.1864 00:00;0;;
NEU;04.02.1864 00:00;1;;
NEU;05.02.1864 00:00;0;;
NEU;06.02.1864 00:00;0;;
NEU;07.02.1864 00:00;2.8;;
NEU;08.02.1864 00:00;0;;
NEU;09.02.1864 00:00;0;;
NEU;10.02.1864 00:00;0;;
NEU;11.02.1864 00:00;0;;
NEU;12.02.1864 00:00;0;;
NEU;13.02.1864 00:00;8;;
NEU;14.02.1864 00:00;0;;
NEU;15.02.1864 00:00;0;;
NEU;16.02.1864 00:00;0;;
NEU;17.02.1864 00:00;7;;
NEU;18.02.1864 00:00;5.3;;
NEU;19.02.1864 00:00;0.2;;
NEU;20.02.1864 00:00;0;;
NEU;21.02.1864 00:00;0;;
NEU;22.02.1864 00:00;0;;
NEU;23.02.1864 00:00;0;;
NEU;24.02.1864 00:00;0;;
NEU;25.02.1864 00:00;0;;
NEU;26.02.1864 00:00;0.1;;
NEU;27.02.1864 00:00;0;;
NEU;28.02.1864 00:00;0;;
NEU;29.02.1864 00:00;0;;
NEU;01.03.1864 00:00;0;;
NEU;02.03.1864 00:00;0.7;;
NEU;03.03.1864 00:00;5.1;;
NEU;04.03.1864 00:00;0.6;;
NEU;05.03.1864 00:00;0.1;;
NEU;06.03.1864 00:00;6.9;;
NEU;07.03.1864 00:00;0.6;;
NEU;08.03.1864 00:00;0.7;;
NEU;09.03.1864 00:00;14;;
NEU;10.03.1864 00:00;3.1;;
NEU;11.03.1864 00:00;0;;
NEU;12.03.1864 00:00;2.1;;
NEU;13.03.1864 00:00;0;;
NEU;14.03.1864 00:00;0;;
NEU;15.03.1864 00:00;0;;
NEU;16.03.1864 00:00;0;;
NEU;17.03.1864 00:00;0;;
NEU;18.03.1864 00:00;0;;
NEU;19.03.1864 00:00;0;;
NEU;20.03.1864 00:00;4;;
NEU;21.03.1864 00:00;3;;
NEU;22.03.1864 00:00;1.4;;
NEU;23.03.1864 00:00;14.9;;
NEU;24.03.1864 00:00;3;;
NEU;25.03.1864 00:00;0;;
NEU;26.03.1864 00:00;2.9;;
NEU;27.03.1864 00:00;1.5;;
NEU;28.03.1864 00:00;0;;
NEU;29.03.1864 00:00;6.5;;
NEU;30.03.1864 00:00;0;;
NEU;31.03.1864 00:00;0;;
NEU;01.04.1864 00:00;0;;
NEU;02.04.1864 00:00;7.1;;
NEU;03.04.1864 00:00;0.9;;
NEU;04.04.1864 00:00;1.4;;
NEU;05.04.1864 00:00;3.6;;
NEU;06.04.1864 00:00;0.8;;
NEU;07.04.1864 00:00;0;;
NEU;08.04.1864 00:00;0;;
NEU;09.04.1864 00:00;0;;
NEU;10.04.1864 00:00;0;;
NEU;11.04.1864 00:00;0;;
NEU;12.04.1864 00:00;0;;
NEU;13.04.1864 00:00;0;;
NEU;14.04.1864 00:00;0;;
NEU;15.04.1864 00:00;0;;
NEU;16.04.1864 00:00;0;;
NEU;17.04.1864 00:00;11.8;;
NEU;18.04.1864 00:00;0.6;;
NEU;19.04.1864 00:00;0;;
NEU;20.04.1864 00:00;0;;
NEU;21.04.1864 00:00;0;;
NEU;22.04.1864 00:00;0;;
NEU;23.04.1864 00:00;0;;
NEU;24.04.1864 00:00;0;;
NEU;25.04.1864 00:00;0;;
NEU;26.04.1864 00:00;0;;
NEU;27.04.1864 00:00;0;;
NEU;28.04.1864 00:00;1.6;;
NEU;29.04.1864 00:00;4.2;;
NEU;30.04.1864 00:00;3;;
NEU;01.05.1864 00:00;0;;
NEU;02.05.1864 00:00;0;;
NEU;03.05.1864 00:00;23.4;;
NEU;04.05.1864 00:00;3.1;;
NEU;05.05.1864 00:00;9.6;;
NEU;06.05.1864 00:00;1.3;;
NEU;07.05.1864 00:00;0;;
NEU;08.05.1864 00:00;0;;
NEU;09.05.1864 00:00;0;;
NEU;10.05.1864 00:00;1.1;;
NEU;11.05.1864 00:00;0;;
NEU;12.05.1864 00:00;13.5;;
NEU;13.05.1864 00:00;4.8;;
NEU;14.05.1864 00:00;9.9;;
NEU;15.05.1864 00:00;2.1;;
NEU;16.05.1864 00:00;0;;
NEU;17.05.1864 00:00;0;;
NEU;18.05.1864 00:00;0;;
NEU;19.05.1864 00:00;0;;
NEU;20.05.1864 00:00;0;;
NEU;21.05.1864 00:00;0;;
NEU;22.05.1864 00:00;0;;
