station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
OBD;01.01.1901 00:00;1.8;;
OBD;02.01.1901 00:00;0;;
OBD;03.01.1901 00:00;0;;
OBD;04.01.1901 00:00;0;;
OBD;05.01.1901 00:00;0.1;;
OBD;06.01.1901 00:00;0;;
OBD;07.01.1901 00:00;0;;
OBD;08.01.1901 00:00;0;;
OBD;09.01.1901 00:00;0;;
OBD;10.01.1901 00:00;0;;
OBD;11.01.1901 00:00;1.4;;
OBD;12.01.1901 00:00;0;;
OBD;13.01.1901 00:00;0;;
OBD;14.01.1901 00:00;0;;
OBD;15.01.1901 00:00;0;;
OBD;16.01.1901 00:00;0;;
OBD;17.01.1901 00:00;0.1;;
OBD;18.01.1901 00:00;0;;
OBD;19.01.1901 00:00;0;;
OBD;20.01.1901 00:00;8;;
OBD;21.01.1901 00:00;11.5;;
OBD;22.01.1901 00:00;0;;
OBD;23.01.1901 00:00;0.1;;
OBD;24.01.1901 00:00;0;;
OBD;25.01.1901 00:00;1.2;;
OBD;26.01.1901 00:00;16.7;;
OBD;27.01.1901 00:00;25.1;;
OBD;28.01.1901 00:00;16.8;;
OBD;29.01.1901 00:00;6.5;;
OBD;30.01.1901 00:00;0;;
OBD;31.01.1901 00:00;0;;
OBD;01.02.1901 00:00;0.2;;
OBD;02.02.1901 00:00;3.3;;
OBD;03.02.1901 00:00;0;;
OBD;04.02.1901 00:00;0;;
OBD;05.02.1901 00:00;1.1;;
OBD;06.02.1901 00:00;0.2;;
OBD;07.02.1901 00:00;1.6;;
OBD;08.02.1901 00:00;0.1;;
OBD;09.02.1901 00:00;0;;
OBD;10.02.1901 00:00;0;;
OBD;11.02.1901 00:00;5.4;;
OBD;12.02.1901 00:00;1;;
OBD;13.02.1901 00:00;6;;
OBD;14.02.1901 00:00;0.5;;
OBD;15.02.1901 00:00;0;;
OBD;16.02.1901 00:00;7.6;;
OBD;17.02.1901 00:00;14;;
OBD;18.02.1901 00:00;2.7;;
OBD;19.02.1901 00:00;0.5;;
OBD;20.02.1901 00:00;0;;
OBD;21.02.1901 00:00;0;;
OBD;22.02.1901 00:00;0;;
OBD;23.02.1901 00:00;0;;
OBD;24.02.1901 00:00;0;;
OBD;25.02.1901 00:00;0;;
OBD;26.02.1901 00:00;0;;
OBD;27.02.1901 00:00;0;;
OBD;28.02.1901 00:00;0;;
OBD;01.03.1901 00:00;0;;
OBD;02.03.1901 00:00;3.2;;
OBD;03.03.1901 00:00;15.6;;
OBD;04.03.1901 00:00;9.3;;
OBD;05.03.1901 00:00;14.3;;
OBD;06.03.1901 00:00;1.7;;
OBD;07.03.1901 00:00;0.5;;
OBD;08.03.1901 00:00;0;;
OBD;09.03.1901 00:00;0;;
OBD;10.03.1901 00:00;3.5;;
OBD;11.03.1901 00:00;0.6;;
OBD;12.03.1901 00:00;2;;
OBD;13.03.1901 00:00;0;;
OBD;14.03.1901 00:00;0;;
OBD;15.03.1901 00:00;0;;
OBD;16.03.1901 00:00;0;;
OBD;17.03.1901 00:00;0;;
OBD;18.03.1901 00:00;0;;
OBD;19.03.1901 00:00;0;;
OBD;20.03.1901 00:00;34.5;;
OBD;21.03.1901 00:00;10;;
OBD;22.03.1901 00:00;0.3;;
OBD;23.03.1901 00:00;0.5;;
OBD;24.03.1901 00:00;0.1;;
OBD;25.03.1901 00:00;1.3;;
OBD;26.03.1901 00:00;7.4;;
OBD;27.03.1901 00:00;0;;
OBD;28.03.1901 00:00;4.1;;
OBD;29.03.1901 00:00;0;;
OBD;30.03.1901 00:00;0;;
OBD;31.03.1901 00:00;0;;
OBD;01.04.1901 00:00;0.8;;
OBD;02.04.1901 00:00;0;;
OBD;03.04.1901 00:00;0;;
OBD;04.04.1901 00:00;6.2;;
OBD;05.04.1901 00:00;57;;
OBD;06.04.1901 00:00;9.7;;
OBD;07.04.1901 00:00;40;;
OBD;08.04.1901 00:00;9.1;;
OBD;09.04.1901 00:00;1.1;;
OBD;10.04.1901 00:00;21.3;;
OBD;11.04.1901 00:00;0;;
OBD;12.04.1901 00:00;22;;
OBD;13.04.1901 00:00;19.6;;
OBD;14.04.1901 00:00;20;;
OBD;15.04.1901 00:00;6.6;;
OBD;16.04.1901 00:00;12;;
OBD;17.04.1901 00:00;8;;
OBD;18.04.1901 00:00;0;;
OBD;19.04.1901 00:00;0;;
OBD;20.04.1901 00:00;0;;
OBD;21.04.1901 00:00;0;;
OBD;22.04.1901 00:00;0;;
OBD;23.04.1901 00:00;0;;
OBD;24.04.1901 00:00;0;;
OBD;25.04.1901 00:00;0;;
OBD;26.04.1901 00:00;0;;
OBD;27.04.1901 00:00;0;;
OBD;28.04.1901 00:00;2;;
OBD;29.04.1901 00:00;7.2;;
OBD;30.04.1901 00:00;1.5;;
OBD;01.05.1901 00:00;0;;
OBD;02.05.1901 00:00;0;;
OBD;03.05.1901 00:00;2.9;;
OBD;04.05.1901 00:00;0;;
OBD;05.05.1901 00:00;0;;
OBD;06.05.1901 00:00;0;;
OBD;07.05.1901 00:00;3;;
OBD;08.05.1901 00:00;13.5;;
OBD;09.05.1901 00:00;0.1;;
OBD;10.05.1901 00:00;7;;
OBD;11.05.1901 00:00;0;;
OBD;12.05.1901 00:00;0.7;;
OBD;13.05.1901 00:00;0;;
OBD;14.05.1901 00:00;0;;
OBD;15.05.1901 00:00;0;;
OBD;16.05.1901 00:00;16.5;;
OBD;17.05.1901 00:00;0;;
OBD;18.05.1901 00:00;0.6;;
OBD;19.05.1901 00:00;0;;
OBD;20.05.1901 00:00;0;;
OBD;21.05.1901 00:00;0;;
OBD;22.05.1901 00:00;0;;
OBD;23.05.1901 00:00;0.2;;
OBD;24.05.1901 00:00;0;;
OBD;25.05.1901 00:00;0;;
OBD;26.05.1901 00:00;0.5;;
OBD;27.05.1901 00:00;0.1;;
OBD;28.05.1901 00:00;0;;
OBD;29.05.1901 00:00;1;;
OBD;30.05.1901 00:00;1;;
OBD;31.05.1901 00:00;0;;
OBD;01.06.1901 00:00;0;;
OBD;02.06.1901 00:00;5.2;;
OBD;03.06.1901 00:00;6;;
OBD;04.06.1901 00:00;4.6;;
OBD;05.06.1901 00:00;0;;
OBD;06.06.1901 00:00;0;;
OBD;07.06.1901 00:00;0;;
OBD;08.06.1901 00:00;4;;
OBD;09.06.1901 00:00;4.8;;
OBD;10.06.1901 00:00;3.7;;
OBD;11.06.1901 00:00;5.3;;
OBD;12.06.1901 00:00;0;;
OBD;13.06.1901 00:00;3.8;;
OBD;14.06.1901 00:00;28.5;;
OBD;15.06.1901 00:00;55.5;;
OBD;16.06.1901 00:00;7.4;;
OBD;17.06.1901 00:00;14.3;;
OBD;18.06.1901 00:00;7.9;;
OBD;19.06.1901 00:00;4;;
OBD;20.06.1901 00:00;0.2;;
OBD;21.06.1901 00:00;0;;
OBD;22.06.1901 00:00;0;;
OBD;23.06.1901 00:00;5.3;;
OBD;24.06.1901 00:00;13.2;;
OBD;25.06.1901 00:00;0.1;;
OBD;26.06.1901 00:00;0;;
OBD;27.06.1901 00:00;0;;
OBD;28.06.1901 00:00;2.6;;
OBD;29.06.1901 00:00;10;;
OBD;30.06.1901 00:00;6.3;;
OBD;01.07.1901 00:00;15.4;;
OBD;02.07.1901 00:00;13.8;;
OBD;03.07.1901 00:00;0.6;;
OBD;04.07.1901 00:00;3.1;;
OBD;05.07.1901 00:00;0.9;;
OBD;06.07.1901 00:00;5;;
OBD;07.07.1901 00:00;0;;
OBD;08.07.1901 00:00;0;;
OBD;09.07.1901 00:00;0;;
OBD;10.07.1901 00:00;0;;
OBD;11.07.1901 00:00;0;;
OBD;12.07.1901 00:00;0;;
OBD;13.07.1901 00:00;0;;
OBD;14.07.1901 00:00;7.8;;
OBD;15.07.1901 00:00;26.6;;
OBD;16.07.1901 00:00;0;;
OBD;17.07.1901 00:00;0;;
OBD;18.07.1901 00:00;0;;
OBD;19.07.1901 00:00;0;;
OBD;20.07.1901 00:00;0.1;;
OBD;21.07.1901 00:00;0;;
OBD;22.07.1901 00:00;6.9;;
OBD;23.07.1901 00:00;25;;
