station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ORZ;01.11.1972 00:00;;0;
ORZ;02.11.1972 00:00;;0;
ORZ;15.11.1972 00:00;;0;
ORZ;18.11.1972 00:00;;0;
ORZ;24.11.1972 00:00;;2;
ORZ;25.11.1972 00:00;;0;
ORZ;26.11.1972 00:00;;0;0
ORZ;27.11.1972 00:00;;0;
ORZ;28.11.1972 00:00;;0;
ORZ;29.11.1972 00:00;;0;
ORZ;30.11.1972 00:00;;0;
ORZ;01.12.1972 00:00;;0;
ORZ;02.12.1972 00:00;;0;
ORZ;05.12.1972 00:00;;0;
ORZ;06.12.1972 00:00;;0;
ORZ;08.12.1972 00:00;;3;
ORZ;09.12.1972 00:00;;0;
ORZ;10.12.1972 00:00;;0;
ORZ;11.12.1972 00:00;;0;
ORZ;12.12.1972 00:00;;0;
ORZ;13.12.1972 00:00;;0;
ORZ;14.12.1972 00:00;;0;
ORZ;15.12.1972 00:00;;0;
ORZ;16.12.1972 00:00;;0;
ORZ;17.12.1972 00:00;;0;
ORZ;18.12.1972 00:00;;0;
ORZ;19.12.1972 00:00;;0;
ORZ;20.12.1972 00:00;;0;
ORZ;21.12.1972 00:00;;0;
ORZ;25.12.1972 00:00;;0;
ORZ;26.12.1972 00:00;;0;
ORZ;27.12.1972 00:00;;0;
ORZ;29.12.1972 00:00;;0;
ORZ;30.12.1972 00:00;;0;0
ORZ;31.12.1972 00:00;;0;
ORZ;01.01.1973 00:00;0;0;
ORZ;02.01.1973 00:00;0;0;
ORZ;03.01.1973 00:00;0;0;
ORZ;04.01.1973 00:00;0;0;
ORZ;05.01.1973 00:00;0;0;
ORZ;06.01.1973 00:00;0;0;
ORZ;07.01.1973 00:00;0;0;
ORZ;08.01.1973 00:00;0;0;
ORZ;09.01.1973 00:00;0;0;
ORZ;10.01.1973 00:00;0;0;
ORZ;11.01.1973 00:00;0.1;;
ORZ;12.01.1973 00:00;0.2;;
ORZ;13.01.1973 00:00;0;0;
ORZ;14.01.1973 00:00;0.2;;
ORZ;15.01.1973 00:00;8.8;;
ORZ;16.01.1973 00:00;0;0;
ORZ;17.01.1973 00:00;0;0;
ORZ;18.01.1973 00:00;3.5;;
ORZ;19.01.1973 00:00;0;0;
ORZ;20.01.1973 00:00;0.2;;
ORZ;21.01.1973 00:00;2.8;2;
ORZ;22.01.1973 00:00;0;0;
ORZ;23.01.1973 00:00;0;0;
ORZ;24.01.1973 00:00;0;0;
ORZ;25.01.1973 00:00;0;0;
ORZ;26.01.1973 00:00;3;4;
ORZ;27.01.1973 00:00;12.4;5;
ORZ;28.01.1973 00:00;0;0;6
ORZ;29.01.1973 00:00;0;0;
ORZ;30.01.1973 00:00;0.2;;
ORZ;31.01.1973 00:00;4.1;;
ORZ;01.02.1973 00:00;0.1;;
ORZ;02.02.1973 00:00;0;0;
ORZ;03.02.1973 00:00;0;0;
ORZ;04.02.1973 00:00;0;0;
ORZ;05.02.1973 00:00;0;0;
ORZ;06.02.1973 00:00;0;0;
ORZ;07.02.1973 00:00;0;0;
ORZ;08.02.1973 00:00;0;0;
ORZ;09.02.1973 00:00;3.5;;
ORZ;10.02.1973 00:00;5.2;11;
