station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
OTE;01.01.1961 00:00;0;;
OTE;02.01.1961 00:00;0;;
OTE;03.01.1961 00:00;14.2;;
OTE;04.01.1961 00:00;4;;
OTE;05.01.1961 00:00;0;;
OTE;06.01.1961 00:00;2.4;;
OTE;07.01.1961 00:00;3.2;;
OTE;08.01.1961 00:00;0;;
OTE;09.01.1961 00:00;8.7;;
OTE;10.01.1961 00:00;1.9;;
OTE;11.01.1961 00:00;0;;
OTE;12.01.1961 00:00;0;;
OTE;13.01.1961 00:00;0;;
OTE;14.01.1961 00:00;0;;
OTE;15.01.1961 00:00;0;;
OTE;16.01.1961 00:00;0;;
OTE;17.01.1961 00:00;0;;
OTE;18.01.1961 00:00;0;;
OTE;19.01.1961 00:00;0;;
OTE;20.01.1961 00:00;3.8;;
OTE;21.01.1961 00:00;0;;
OTE;22.01.1961 00:00;0;;
OTE;23.01.1961 00:00;16;;
OTE;24.01.1961 00:00;11.4;;
OTE;25.01.1961 00:00;3.1;;
OTE;26.01.1961 00:00;0;;
OTE;27.01.1961 00:00;0;;
OTE;28.01.1961 00:00;9.5;;
OTE;29.01.1961 00:00;0;;
OTE;30.01.1961 00:00;4.5;;
OTE;31.01.1961 00:00;14.2;;
OTE;01.02.1961 00:00;1.5;;
OTE;02.02.1961 00:00;30.1;;
OTE;03.02.1961 00:00;14.1;;
OTE;04.02.1961 00:00;5.6;;
OTE;05.02.1961 00:00;5.7;;
OTE;06.02.1961 00:00;2.7;;
OTE;07.02.1961 00:00;5;;
OTE;08.02.1961 00:00;0;;
OTE;09.02.1961 00:00;6.3;;
OTE;10.02.1961 00:00;0;;
OTE;11.02.1961 00:00;5.2;;
OTE;12.02.1961 00:00;2.4;;
OTE;13.02.1961 00:00;0;;
OTE;14.02.1961 00:00;0;;
OTE;15.02.1961 00:00;0;;
OTE;16.02.1961 00:00;0;;
OTE;17.02.1961 00:00;0;;
OTE;18.02.1961 00:00;0;;
OTE;19.02.1961 00:00;0;;
OTE;20.02.1961 00:00;0;;
OTE;21.02.1961 00:00;0;;
OTE;22.02.1961 00:00;0;;
OTE;23.02.1961 00:00;0;;
OTE;24.02.1961 00:00;0;;
OTE;25.02.1961 00:00;0.9;;
