station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
PAV;01.01.1900 00:00;0;;
PAV;02.01.1900 00:00;5.5;;
PAV;03.01.1900 00:00;20.8;;
PAV;04.01.1900 00:00;14.1;;
PAV;05.01.1900 00:00;3.2;;
PAV;06.01.1900 00:00;0;;
PAV;07.01.1900 00:00;0;;
PAV;08.01.1900 00:00;1.7;;
PAV;09.01.1900 00:00;0.4;;
PAV;10.01.1900 00:00;3.3;;
PAV;11.01.1900 00:00;0.7;;
PAV;12.01.1900 00:00;0;;
PAV;13.01.1900 00:00;0;;
PAV;14.01.1900 00:00;0;;
PAV;15.01.1900 00:00;3.8;;
PAV;16.01.1900 00:00;13;;
PAV;17.01.1900 00:00;11.3;;
PAV;18.01.1900 00:00;1;;
PAV;19.01.1900 00:00;0;;
PAV;20.01.1900 00:00;0;;
PAV;21.01.1900 00:00;3;;
PAV;22.01.1900 00:00;0;;
PAV;23.01.1900 00:00;0;;
PAV;24.01.1900 00:00;7.7;;
PAV;25.01.1900 00:00;3.1;;
PAV;26.01.1900 00:00;0;;
PAV;27.01.1900 00:00;5.8;;
PAV;28.01.1900 00:00;0;;
PAV;29.01.1900 00:00;1.1;;
PAV;30.01.1900 00:00;0;;
PAV;31.01.1900 00:00;0;;
PAV;01.02.1900 00:00;0;;
PAV;02.02.1900 00:00;3.4;;
PAV;03.02.1900 00:00;0;;
PAV;04.02.1900 00:00;0;;
PAV;05.02.1900 00:00;1.7;;
PAV;06.02.1900 00:00;3.2;;
PAV;07.02.1900 00:00;0;;
PAV;08.02.1900 00:00;0;;
PAV;09.02.1900 00:00;3.6;;
PAV;10.02.1900 00:00;0;;
PAV;11.02.1900 00:00;0;;
PAV;12.02.1900 00:00;34.7;;
PAV;13.02.1900 00:00;4.1;;
PAV;14.02.1900 00:00;3.7;;
PAV;15.02.1900 00:00;0.8;;
PAV;16.02.1900 00:00;0;;
PAV;17.02.1900 00:00;2.7;;
PAV;18.02.1900 00:00;4.2;;
PAV;19.02.1900 00:00;18.6;;
PAV;20.02.1900 00:00;3.2;;
PAV;21.02.1900 00:00;0;;
PAV;22.02.1900 00:00;3;;
PAV;23.02.1900 00:00;0;;
PAV;24.02.1900 00:00;0;;
PAV;25.02.1900 00:00;0;;
PAV;26.02.1900 00:00;9.6;;
PAV;27.02.1900 00:00;1.6;;
PAV;28.02.1900 00:00;0;;
PAV;01.03.1900 00:00;2.5;;
PAV;02.03.1900 00:00;0;;
PAV;03.03.1900 00:00;0;;
PAV;04.03.1900 00:00;1.5;;
PAV;05.03.1900 00:00;0;;
PAV;06.03.1900 00:00;0;;
PAV;07.03.1900 00:00;0;;
PAV;08.03.1900 00:00;0;;
PAV;09.03.1900 00:00;0;;
PAV;10.03.1900 00:00;0;;
PAV;11.03.1900 00:00;0;;
PAV;12.03.1900 00:00;0;;
PAV;13.03.1900 00:00;0;;
PAV;14.03.1900 00:00;0;;
PAV;15.03.1900 00:00;0;;
PAV;16.03.1900 00:00;0;;
PAV;17.03.1900 00:00;0;;
PAV;18.03.1900 00:00;0;;
PAV;19.03.1900 00:00;0;;
PAV;20.03.1900 00:00;0;;
PAV;21.03.1900 00:00;0;;
PAV;22.03.1900 00:00;0;;
PAV;23.03.1900 00:00;0.3;;
PAV;24.03.1900 00:00;3;;
PAV;25.03.1900 00:00;5.7;;
PAV;26.03.1900 00:00;0;;
PAV;27.03.1900 00:00;12.2;;
PAV;28.03.1900 00:00;0;;
PAV;29.03.1900 00:00;2.3;;
PAV;30.03.1900 00:00;2;;
PAV;31.03.1900 00:00;0;;
PAV;01.04.1900 00:00;0;;
PAV;02.04.1900 00:00;0;;
PAV;03.04.1900 00:00;0;;
PAV;04.04.1900 00:00;0;;
PAV;05.04.1900 00:00;4.7;;
PAV;06.04.1900 00:00;1.7;;
PAV;07.04.1900 00:00;2.1;;
PAV;08.04.1900 00:00;0;;
PAV;09.04.1900 00:00;0;;
PAV;10.04.1900 00:00;0;;
PAV;11.04.1900 00:00;0;;
PAV;12.04.1900 00:00;3.4;;
PAV;13.04.1900 00:00;0.5;;
PAV;14.04.1900 00:00;0;;
PAV;15.04.1900 00:00;0;;
PAV;16.04.1900 00:00;5;;
PAV;17.04.1900 00:00;0;;
PAV;18.04.1900 00:00;0;;
PAV;19.04.1900 00:00;0;;
PAV;20.04.1900 00:00;0;;
PAV;21.04.1900 00:00;0;;
PAV;22.04.1900 00:00;0;;
PAV;23.04.1900 00:00;0;;
PAV;24.04.1900 00:00;1.6;;
PAV;25.04.1900 00:00;0;;
PAV;26.04.1900 00:00;0;;
PAV;27.04.1900 00:00;1.1;;
PAV;28.04.1900 00:00;0;;
PAV;29.04.1900 00:00;5.3;;
PAV;30.04.1900 00:00;5.5;;
PAV;01.05.1900 00:00;0;;
PAV;02.05.1900 00:00;0;;
PAV;03.05.1900 00:00;2.5;;
PAV;04.05.1900 00:00;0;;
PAV;05.05.1900 00:00;0;;
PAV;06.05.1900 00:00;0;;
PAV;07.05.1900 00:00;9;;
PAV;08.05.1900 00:00;0.3;;
PAV;09.05.1900 00:00;3.1;;
PAV;10.05.1900 00:00;0;;
PAV;11.05.1900 00:00;0;;
PAV;12.05.1900 00:00;0;;
PAV;13.05.1900 00:00;8.7;;
PAV;14.05.1900 00:00;11.5;;
PAV;15.05.1900 00:00;5.7;;
PAV;16.05.1900 00:00;0;;
PAV;17.05.1900 00:00;0;;
PAV;18.05.1900 00:00;0;;
PAV;19.05.1900 00:00;0;;
PAV;20.05.1900 00:00;0;;
PAV;21.05.1900 00:00;0;;
PAV;22.05.1900 00:00;0;;
PAV;23.05.1900 00:00;0;;
PAV;24.05.1900 00:00;17.4;;
PAV;25.05.1900 00:00;0;;
PAV;26.05.1900 00:00;4.6;;
PAV;27.05.1900 00:00;0;;
PAV;28.05.1900 00:00;0;;
PAV;29.05.1900 00:00;0;;
PAV;30.05.1900 00:00;0;;
PAV;31.05.1900 00:00;0;;
PAV;01.06.1900 00:00;0;;
PAV;02.06.1900 00:00;0;;
PAV;03.06.1900 00:00;0;;
PAV;04.06.1900 00:00;0;;
PAV;05.06.1900 00:00;8.2;;
PAV;06.06.1900 00:00;0;;
PAV;07.06.1900 00:00;4.2;;
PAV;08.06.1900 00:00;0;;
PAV;09.06.1900 00:00;0;;
PAV;10.06.1900 00:00;0;;
PAV;11.06.1900 00:00;0;;
PAV;12.06.1900 00:00;1.3;;
PAV;13.06.1900 00:00;20.4;;
PAV;14.06.1900 00:00;0;;
PAV;15.06.1900 00:00;0;;
PAV;16.06.1900 00:00;0;;
PAV;17.06.1900 00:00;0;;
PAV;18.06.1900 00:00;0.8;;
PAV;19.06.1900 00:00;0;;
PAV;20.06.1900 00:00;3.2;;
PAV;21.06.1900 00:00;0;;
PAV;22.06.1900 00:00;13.6;;
PAV;23.06.1900 00:00;0;;
PAV;24.06.1900 00:00;0;;
PAV;25.06.1900 00:00;0;;
PAV;26.06.1900 00:00;2.7;;
PAV;27.06.1900 00:00;0;;
PAV;28.06.1900 00:00;0;;
PAV;29.06.1900 00:00;0;;
PAV;30.06.1900 00:00;0;;
PAV;01.07.1900 00:00;0;;
PAV;02.07.1900 00:00;0;;
PAV;03.07.1900 00:00;29.6;;
PAV;04.07.1900 00:00;6.7;;
PAV;05.07.1900 00:00;0;;
PAV;06.07.1900 00:00;13.6;;
PAV;07.07.1900 00:00;0;;
PAV;08.07.1900 00:00;0;;
PAV;09.07.1900 00:00;0;;
PAV;10.07.1900 00:00;0;;
PAV;11.07.1900 00:00;0;;
PAV;12.07.1900 00:00;0;;
PAV;13.07.1900 00:00;0;;
PAV;14.07.1900 00:00;0;;
PAV;15.07.1900 00:00;0;;
PAV;16.07.1900 00:00;0;;
PAV;17.07.1900 00:00;0;;
PAV;18.07.1900 00:00;0;;
PAV;19.07.1900 00:00;0;;
PAV;20.07.1900 00:00;0;;
PAV;21.07.1900 00:00;20.6;;
PAV;22.07.1900 00:00;0;;
PAV;23.07.1900 00:00;0;;
PAV;24.07.1900 00:00;0;;
PAV;25.07.1900 00:00;0;;
PAV;26.07.1900 00:00;0;;
PAV;27.07.1900 00:00;0;;
PAV;28.07.1900 00:00;0;;
PAV;29.07.1900 00:00;6.6;;
PAV;30.07.1900 00:00;0;;
PAV;31.07.1900 00:00;0;;
PAV;01.08.1900 00:00;0;;
PAV;02.08.1900 00:00;0;;
PAV;03.08.1900 00:00;0;;
PAV;04.08.1900 00:00;0;;
PAV;05.08.1900 00:00;0;;
PAV;06.08.1900 00:00;0;;
PAV;07.08.1900 00:00;82.3;;
PAV;08.08.1900 00:00;0;;
PAV;09.08.1900 00:00;0;;
PAV;10.08.1900 00:00;0;;
PAV;11.08.1900 00:00;0;;
PAV;12.08.1900 00:00;0;;
PAV;13.08.1900 00:00;0;;
PAV;14.08.1900 00:00;0;;
PAV;15.08.1900 00:00;0;;
PAV;16.08.1900 00:00;0;;
PAV;17.08.1900 00:00;0;;
PAV;18.08.1900 00:00;0;;
PAV;19.08.1900 00:00;0;;
PAV;20.08.1900 00:00;1;;
PAV;21.08.1900 00:00;15.1;;
PAV;22.08.1900 00:00;32;;
PAV;23.08.1900 00:00;5.2;;
PAV;24.08.1900 00:00;9;;
PAV;25.08.1900 00:00;0;;
PAV;26.08.1900 00:00;29.6;;
PAV;27.08.1900 00:00;0;;
PAV;28.08.1900 00:00;0.2;;
PAV;29.08.1900 00:00;0;;
PAV;30.08.1900 00:00;0;;
PAV;31.08.1900 00:00;0;;
PAV;01.09.1900 00:00;0;;
PAV;02.09.1900 00:00;0;;
PAV;03.09.1900 00:00;3.3;;
PAV;04.09.1900 00:00;0;;
PAV;05.09.1900 00:00;0;;
PAV;06.09.1900 00:00;0;;
PAV;07.09.1900 00:00;0;;
PAV;08.09.1900 00:00;4.5;;
PAV;09.09.1900 00:00;0.6;;
PAV;10.09.1900 00:00;0;;
PAV;11.09.1900 00:00;0;;
PAV;12.09.1900 00:00;0;;
PAV;13.09.1900 00:00;0;;
PAV;14.09.1900 00:00;0;;
PAV;15.09.1900 00:00;0;;
PAV;16.09.1900 00:00;0;;
PAV;17.09.1900 00:00;0;;
PAV;18.09.1900 00:00;0;;
PAV;19.09.1900 00:00;0;;
PAV;20.09.1900 00:00;0;;
PAV;21.09.1900 00:00;0;;
PAV;22.09.1900 00:00;0;;
PAV;23.09.1900 00:00;0;;
PAV;24.09.1900 00:00;0;;
PAV;25.09.1900 00:00;4.5;;
PAV;26.09.1900 00:00;0;;
PAV;27.09.1900 00:00;2;;
PAV;28.09.1900 00:00;18.7;;
PAV;29.09.1900 00:00;0;;
PAV;30.09.1900 00:00;0;;
PAV;01.10.1900 00:00;0;;
PAV;02.10.1900 00:00;0;;
PAV;03.10.1900 00:00;16.5;;
PAV;04.10.1900 00:00;0;;
PAV;05.10.1900 00:00;6.6;;
PAV;06.10.1900 00:00;0;;
PAV;07.10.1900 00:00;0;;
PAV;08.10.1900 00:00;0;;
PAV;09.10.1900 00:00;0;;
PAV;10.10.1900 00:00;2.6;;
PAV;11.10.1900 00:00;0;;
PAV;12.10.1900 00:00;0;;
PAV;13.10.1900 00:00;0;;
PAV;14.10.1900 00:00;0.8;;
PAV;15.10.1900 00:00;0;;
PAV;16.10.1900 00:00;0;;
PAV;17.10.1900 00:00;3;;
PAV;18.10.1900 00:00;0;;
PAV;19.10.1900 00:00;0;;
PAV;20.10.1900 00:00;0;;
PAV;21.10.1900 00:00;0;;
PAV;22.10.1900 00:00;1.7;;
PAV;23.10.1900 00:00;0;;
PAV;24.10.1900 00:00;0;;
PAV;25.10.1900 00:00;0;;
PAV;26.10.1900 00:00;2.6;;
PAV;27.10.1900 00:00;0;;
PAV;28.10.1900 00:00;0;;
PAV;29.10.1900 00:00;6.1;;
PAV;30.10.1900 00:00;0;;
PAV;31.10.1900 00:00;0;;
PAV;01.11.1900 00:00;4;;
PAV;02.11.1900 00:00;0;;
PAV;03.11.1900 00:00;2;;
PAV;04.11.1900 00:00;1.8;;
PAV;05.11.1900 00:00;0;;
PAV;06.11.1900 00:00;3;;
PAV;07.11.1900 00:00;6.1;;
PAV;08.11.1900 00:00;0;;
PAV;09.11.1900 00:00;0;;
PAV;10.11.1900 00:00;8.5;;
PAV;11.11.1900 00:00;0;;
PAV;12.11.1900 00:00;0;;
PAV;13.11.1900 00:00;0;;
PAV;14.11.1900 00:00;4;;
PAV;15.11.1900 00:00;0;;
PAV;16.11.1900 00:00;5.2;;
PAV;17.11.1900 00:00;6.5;;
PAV;18.11.1900 00:00;7.2;;
PAV;19.11.1900 00:00;0;;
PAV;20.11.1900 00:00;0;;
PAV;21.11.1900 00:00;0;;
PAV;22.11.1900 00:00;0;;
PAV;23.11.1900 00:00;0.9;;
PAV;24.11.1900 00:00;0;;
PAV;25.11.1900 00:00;5.4;;
PAV;26.11.1900 00:00;0;;
PAV;27.11.1900 00:00;0;;
PAV;28.11.1900 00:00;0;;
PAV;29.11.1900 00:00;0;;
PAV;30.11.1900 00:00;0;;
PAV;01.12.1900 00:00;0;;
PAV;02.12.1900 00:00;0.5;;
PAV;03.12.1900 00:00;0;;
PAV;04.12.1900 00:00;21;;
PAV;05.12.1900 00:00;11.8;;
PAV;06.12.1900 00:00;14.3;;
PAV;07.12.1900 00:00;4;;
PAV;08.12.1900 00:00;0;;
PAV;09.12.1900 00:00;0;;
PAV;10.12.1900 00:00;0;;
PAV;11.12.1900 00:00;0;;
PAV;12.12.1900 00:00;0;;
PAV;13.12.1900 00:00;0;;
PAV;14.12.1900 00:00;0.6;;
PAV;15.12.1900 00:00;0;;
PAV;16.12.1900 00:00;0;;
PAV;17.12.1900 00:00;0;;
PAV;18.12.1900 00:00;0;;
PAV;19.12.1900 00:00;0;;
PAV;20.12.1900 00:00;0;;
PAV;21.12.1900 00:00;0.4;;
PAV;22.12.1900 00:00;1.8;;
PAV;23.12.1900 00:00;2.6;;
PAV;24.12.1900 00:00;0;;
PAV;25.12.1900 00:00;0;;
PAV;26.12.1900 00:00;0;;
PAV;27.12.1900 00:00;1.6;;
PAV;28.12.1900 00:00;9.2;;
PAV;29.12.1900 00:00;1;;
PAV;30.12.1900 00:00;0;;
PAV;31.12.1900 00:00;3;;
PAV;01.01.1901 00:00;0.5;;
PAV;02.01.1901 00:00;0;;
PAV;03.01.1901 00:00;0;;
PAV;04.01.1901 00:00;0;;
PAV;05.01.1901 00:00;0;;
PAV;06.01.1901 00:00;0;;
PAV;07.01.1901 00:00;0;;
PAV;08.01.1901 00:00;0;;
PAV;09.01.1901 00:00;0;;
PAV;10.01.1901 00:00;0;;
PAV;11.01.1901 00:00;0;;
PAV;12.01.1901 00:00;0;;
PAV;13.01.1901 00:00;0;;
PAV;14.01.1901 00:00;0;;
PAV;15.01.1901 00:00;0;;
PAV;16.01.1901 00:00;0;;
PAV;17.01.1901 00:00;0;;
PAV;18.01.1901 00:00;0;;
PAV;19.01.1901 00:00;0;;
PAV;20.01.1901 00:00;13.6;;
PAV;21.01.1901 00:00;0.3;;
PAV;22.01.1901 00:00;0;;
PAV;23.01.1901 00:00;0;;
PAV;24.01.1901 00:00;0;;
PAV;25.01.1901 00:00;0;;
PAV;26.01.1901 00:00;10.1;;
PAV;27.01.1901 00:00;9;;
PAV;28.01.1901 00:00;9.9;;
PAV;29.01.1901 00:00;0.6;;
PAV;30.01.1901 00:00;0;;
PAV;31.01.1901 00:00;0;;
PAV;01.02.1901 00:00;4.6;;
PAV;02.02.1901 00:00;0;;
PAV;03.02.1901 00:00;0;;
PAV;04.02.1901 00:00;4;;
PAV;05.02.1901 00:00;2.5;;
PAV;06.02.1901 00:00;0.6;;
PAV;07.02.1901 00:00;0;;
PAV;08.02.1901 00:00;0.2;;
PAV;09.02.1901 00:00;0;;
PAV;10.02.1901 00:00;0;;
PAV;11.02.1901 00:00;0;;
PAV;12.02.1901 00:00;0;;
PAV;13.02.1901 00:00;5;;
PAV;14.02.1901 00:00;0;;
PAV;15.02.1901 00:00;0;;
PAV;16.02.1901 00:00;1.5;;
PAV;17.02.1901 00:00;0.7;;
PAV;18.02.1901 00:00;0;;
PAV;19.02.1901 00:00;0;;
PAV;20.02.1901 00:00;0;;
PAV;21.02.1901 00:00;0;;
PAV;22.02.1901 00:00;0;;
PAV;23.02.1901 00:00;0;;
PAV;24.02.1901 00:00;0;;
PAV;25.02.1901 00:00;0;;
PAV;26.02.1901 00:00;0;;
PAV;27.02.1901 00:00;0;;
PAV;28.02.1901 00:00;0.4;;
PAV;01.03.1901 00:00;0.8;;
PAV;02.03.1901 00:00;13.3;;
PAV;03.03.1901 00:00;4.3;;
PAV;04.03.1901 00:00;6.5;;
PAV;05.03.1901 00:00;2.3;;
PAV;06.03.1901 00:00;0;;
PAV;07.03.1901 00:00;0;;
PAV;08.03.1901 00:00;0;;
PAV;09.03.1901 00:00;0;;
PAV;10.03.1901 00:00;0.2;;
PAV;11.03.1901 00:00;0;;
PAV;12.03.1901 00:00;2.5;;
PAV;13.03.1901 00:00;0;;
PAV;14.03.1901 00:00;0;;
PAV;15.03.1901 00:00;0.6;;
PAV;16.03.1901 00:00;0;;
PAV;17.03.1901 00:00;0.6;;
PAV;18.03.1901 00:00;0;;
PAV;19.03.1901 00:00;0;;
PAV;20.03.1901 00:00;15.3;;
PAV;21.03.1901 00:00;1.3;;
PAV;22.03.1901 00:00;0;;
PAV;23.03.1901 00:00;0;;
PAV;24.03.1901 00:00;0;;
PAV;25.03.1901 00:00;0;;
PAV;26.03.1901 00:00;1;;
PAV;27.03.1901 00:00;2.2;;
PAV;28.03.1901 00:00;0.5;;
PAV;29.03.1901 00:00;0.7;;
PAV;30.03.1901 00:00;0;;
PAV;31.03.1901 00:00;0;;
PAV;01.04.1901 00:00;11.2;;
PAV;02.04.1901 00:00;0;;
PAV;03.04.1901 00:00;0.6;;
