station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
PDM;01.01.1900 00:00;3.1;;
PDM;02.01.1900 00:00;3.7;;
PDM;03.01.1900 00:00;8.1;;
PDM;04.01.1900 00:00;9.2;;
PDM;05.01.1900 00:00;0;;
PDM;06.01.1900 00:00;2.2;;
PDM;07.01.1900 00:00;0.6;;
PDM;08.01.1900 00:00;3.8;;
PDM;09.01.1900 00:00;6.9;;
PDM;10.01.1900 00:00;15.2;;
PDM;11.01.1900 00:00;5.6;;
PDM;12.01.1900 00:00;0;;
PDM;13.01.1900 00:00;0;;
PDM;14.01.1900 00:00;0;;
PDM;15.01.1900 00:00;6.5;;
PDM;16.01.1900 00:00;10.7;;
PDM;17.01.1900 00:00;23.1;;
PDM;18.01.1900 00:00;7.6;;
PDM;19.01.1900 00:00;0.7;;
PDM;20.01.1900 00:00;3.6;;
PDM;21.01.1900 00:00;0;;
PDM;22.01.1900 00:00;0;;
PDM;23.01.1900 00:00;0;;
PDM;24.01.1900 00:00;10.3;;
PDM;25.01.1900 00:00;0;;
PDM;26.01.1900 00:00;9.5;;
PDM;27.01.1900 00:00;8.9;;
PDM;28.01.1900 00:00;0;;
PDM;29.01.1900 00:00;0;;
PDM;30.01.1900 00:00;1.6;;
PDM;31.01.1900 00:00;0;;
PDM;01.02.1900 00:00;1.1;;
PDM;02.02.1900 00:00;2.7;;
PDM;03.02.1900 00:00;0;;
PDM;04.02.1900 00:00;0;;
PDM;05.02.1900 00:00;0.8;;
PDM;06.02.1900 00:00;2.6;;
PDM;07.02.1900 00:00;0;;
PDM;08.02.1900 00:00;2.7;;
PDM;09.02.1900 00:00;1.9;;
PDM;10.02.1900 00:00;0;;
PDM;11.02.1900 00:00;14.3;;
PDM;12.02.1900 00:00;5.8;;
PDM;13.02.1900 00:00;1.1;;
PDM;14.02.1900 00:00;2.6;;
PDM;15.02.1900 00:00;4.1;;
PDM;16.02.1900 00:00;0;;
PDM;17.02.1900 00:00;0.6;;
PDM;18.02.1900 00:00;0;;
PDM;19.02.1900 00:00;15.1;;
PDM;20.02.1900 00:00;4.6;;
PDM;21.02.1900 00:00;3.5;;
PDM;22.02.1900 00:00;2.3;;
PDM;23.02.1900 00:00;0;;
PDM;24.02.1900 00:00;0;;
PDM;25.02.1900 00:00;0;;
PDM;26.02.1900 00:00;9.8;;
PDM;27.02.1900 00:00;0;;
PDM;28.02.1900 00:00;1.7;;
PDM;01.03.1900 00:00;3.2;;
PDM;02.03.1900 00:00;1.8;;
PDM;03.03.1900 00:00;4.4;;
PDM;04.03.1900 00:00;2.5;;
PDM;05.03.1900 00:00;0;;
PDM;06.03.1900 00:00;0;;
PDM;07.03.1900 00:00;0;;
PDM;08.03.1900 00:00;0;;
PDM;09.03.1900 00:00;0;;
PDM;10.03.1900 00:00;0;;
PDM;11.03.1900 00:00;0.2;;
PDM;12.03.1900 00:00;0;;
PDM;13.03.1900 00:00;1.3;;
PDM;14.03.1900 00:00;1.1;;
PDM;15.03.1900 00:00;0.9;;
PDM;16.03.1900 00:00;0;;
PDM;17.03.1900 00:00;0.8;;
PDM;18.03.1900 00:00;0;;
PDM;19.03.1900 00:00;0;;
PDM;20.03.1900 00:00;2.1;;
PDM;21.03.1900 00:00;0;;
PDM;22.03.1900 00:00;5;;
PDM;23.03.1900 00:00;4.9;;
PDM;24.03.1900 00:00;0;;
PDM;25.03.1900 00:00;0.6;;
PDM;26.03.1900 00:00;0;;
PDM;27.03.1900 00:00;9;;
PDM;28.03.1900 00:00;0;;
PDM;29.03.1900 00:00;0;;
PDM;30.03.1900 00:00;2.1;;
PDM;31.03.1900 00:00;0;;
PDM;01.04.1900 00:00;0;;
PDM;02.04.1900 00:00;2.6;;
PDM;03.04.1900 00:00;0;;
PDM;04.04.1900 00:00;6.8;;
PDM;05.04.1900 00:00;1;;
PDM;06.04.1900 00:00;0;;
PDM;07.04.1900 00:00;1.7;;
PDM;08.04.1900 00:00;10.3;;
PDM;09.04.1900 00:00;0;;
PDM;10.04.1900 00:00;0.2;;
PDM;11.04.1900 00:00;2.6;;
PDM;12.04.1900 00:00;0;;
PDM;13.04.1900 00:00;4.6;;
PDM;14.04.1900 00:00;3.2;;
PDM;15.04.1900 00:00;0;;
PDM;16.04.1900 00:00;6.2;;
PDM;17.04.1900 00:00;0.5;;
PDM;18.04.1900 00:00;0;;
PDM;19.04.1900 00:00;0;;
PDM;20.04.1900 00:00;0;;
PDM;21.04.1900 00:00;0;;
PDM;22.04.1900 00:00;0;;
PDM;23.04.1900 00:00;0;;
PDM;24.04.1900 00:00;0;;
PDM;25.04.1900 00:00;0;;
PDM;26.04.1900 00:00;0;;
PDM;27.04.1900 00:00;8.1;;
PDM;28.04.1900 00:00;0;;
PDM;29.04.1900 00:00;4.6;;
PDM;30.04.1900 00:00;0;;
PDM;01.05.1900 00:00;0;;
PDM;02.05.1900 00:00;0;;
PDM;03.05.1900 00:00;0;;
PDM;04.05.1900 00:00;0;;
PDM;05.05.1900 00:00;0;;
PDM;06.05.1900 00:00;0;;
PDM;07.05.1900 00:00;14.8;;
PDM;08.05.1900 00:00;6.7;;
PDM;09.05.1900 00:00;2.6;;
PDM;10.05.1900 00:00;0;;
PDM;11.05.1900 00:00;0;;
PDM;12.05.1900 00:00;0;;
PDM;13.05.1900 00:00;6.5;;
PDM;14.05.1900 00:00;23.1;;
PDM;15.05.1900 00:00;4.9;;
PDM;16.05.1900 00:00;0;;
PDM;17.05.1900 00:00;0;;
PDM;18.05.1900 00:00;0;;
PDM;19.05.1900 00:00;0;;
PDM;20.05.1900 00:00;0;;
PDM;21.05.1900 00:00;0;;
PDM;22.05.1900 00:00;0;;
PDM;23.05.1900 00:00;18.1;;
PDM;24.05.1900 00:00;1.7;;
PDM;25.05.1900 00:00;4.6;;
PDM;26.05.1900 00:00;0.4;;
PDM;27.05.1900 00:00;0;;
PDM;28.05.1900 00:00;0;;
PDM;29.05.1900 00:00;0;;
PDM;30.05.1900 00:00;2.7;;
PDM;31.05.1900 00:00;3.5;;
PDM;01.06.1900 00:00;0;;
PDM;02.06.1900 00:00;0;;
PDM;03.06.1900 00:00;0;;
PDM;04.06.1900 00:00;0;;
PDM;05.06.1900 00:00;0;;
PDM;06.06.1900 00:00;1.3;;
PDM;07.06.1900 00:00;0;;
PDM;08.06.1900 00:00;0;;
PDM;09.06.1900 00:00;0;;
PDM;10.06.1900 00:00;0;;
PDM;11.06.1900 00:00;0;;
PDM;12.06.1900 00:00;16.1;;
PDM;13.06.1900 00:00;2.3;;
PDM;14.06.1900 00:00;0;;
PDM;15.06.1900 00:00;0.5;;
PDM;16.06.1900 00:00;0;;
PDM;17.06.1900 00:00;0;;
PDM;18.06.1900 00:00;0;;
PDM;19.06.1900 00:00;0;;
PDM;20.06.1900 00:00;1.9;;
PDM;21.06.1900 00:00;2.1;;
PDM;22.06.1900 00:00;7.1;;
PDM;23.06.1900 00:00;0;;
PDM;24.06.1900 00:00;0;;
PDM;25.06.1900 00:00;3.4;;
PDM;26.06.1900 00:00;9.8;;
PDM;27.06.1900 00:00;0;;
PDM;28.06.1900 00:00;0;;
PDM;29.06.1900 00:00;0;;
PDM;30.06.1900 00:00;0;;
PDM;01.07.1900 00:00;0;;
PDM;02.07.1900 00:00;9.1;;
PDM;03.07.1900 00:00;0;;
PDM;04.07.1900 00:00;7.5;;
PDM;05.07.1900 00:00;3.1;;
PDM;06.07.1900 00:00;6.4;;
PDM;07.07.1900 00:00;17.7;;
PDM;08.07.1900 00:00;1.5;;
PDM;09.07.1900 00:00;0;;
PDM;10.07.1900 00:00;0;;
PDM;11.07.1900 00:00;0;;
PDM;12.07.1900 00:00;0;;
PDM;13.07.1900 00:00;10;;
PDM;14.07.1900 00:00;0;;
PDM;15.07.1900 00:00;0;;
PDM;16.07.1900 00:00;0;;
PDM;17.07.1900 00:00;0;;
PDM;18.07.1900 00:00;0;;
PDM;19.07.1900 00:00;3.5;;
PDM;20.07.1900 00:00;0;;
PDM;21.07.1900 00:00;3.5;;
PDM;22.07.1900 00:00;0.4;;
PDM;23.07.1900 00:00;0;;
PDM;24.07.1900 00:00;0;;
PDM;25.07.1900 00:00;0;;
PDM;26.07.1900 00:00;0;;
PDM;27.07.1900 00:00;0;;
PDM;28.07.1900 00:00;1.3;;
PDM;29.07.1900 00:00;7.8;;
PDM;30.07.1900 00:00;4.6;;
PDM;31.07.1900 00:00;4.3;;
PDM;01.08.1900 00:00;0;;
PDM;02.08.1900 00:00;0;;
PDM;03.08.1900 00:00;1.5;;
PDM;04.08.1900 00:00;0.7;;
PDM;05.08.1900 00:00;0.9;;
PDM;06.08.1900 00:00;0;;
PDM;07.08.1900 00:00;6.2;;
PDM;08.08.1900 00:00;42.7;;
PDM;09.08.1900 00:00;1.9;;
PDM;10.08.1900 00:00;0;;
PDM;11.08.1900 00:00;0;;
PDM;12.08.1900 00:00;0;;
PDM;13.08.1900 00:00;0;;
PDM;14.08.1900 00:00;0;;
PDM;15.08.1900 00:00;0;;
PDM;16.08.1900 00:00;0;;
PDM;17.08.1900 00:00;4.3;;
PDM;18.08.1900 00:00;11.1;;
PDM;19.08.1900 00:00;0;;
PDM;20.08.1900 00:00;17.1;;
PDM;21.08.1900 00:00;18.4;;
PDM;22.08.1900 00:00;6.8;;
PDM;23.08.1900 00:00;11.5;;
PDM;24.08.1900 00:00;22.7;;
PDM;25.08.1900 00:00;1.2;;
PDM;26.08.1900 00:00;10.1;;
PDM;27.08.1900 00:00;7.6;;
PDM;28.08.1900 00:00;18.2;;
PDM;29.08.1900 00:00;0;;
PDM;30.08.1900 00:00;0;;
PDM;31.08.1900 00:00;0;;
PDM;01.09.1900 00:00;0;;
PDM;02.09.1900 00:00;8.8;;
PDM;03.09.1900 00:00;0;;
PDM;04.09.1900 00:00;0;;
PDM;05.09.1900 00:00;0;;
PDM;06.09.1900 00:00;0;;
PDM;07.09.1900 00:00;0;;
PDM;08.09.1900 00:00;14.5;;
PDM;09.09.1900 00:00;0;;
PDM;10.09.1900 00:00;0;;
PDM;11.09.1900 00:00;0;;
PDM;12.09.1900 00:00;0;;
PDM;13.09.1900 00:00;0;;
PDM;14.09.1900 00:00;0;;
PDM;15.09.1900 00:00;0;;
PDM;16.09.1900 00:00;0;;
PDM;17.09.1900 00:00;17.8;;
PDM;18.09.1900 00:00;26.3;;
PDM;19.09.1900 00:00;5.7;;
PDM;20.09.1900 00:00;0;;
PDM;21.09.1900 00:00;0;;
PDM;22.09.1900 00:00;0;;
PDM;23.09.1900 00:00;1;;
PDM;24.09.1900 00:00;0.8;;
PDM;25.09.1900 00:00;10.1;;
PDM;26.09.1900 00:00;0.7;;
PDM;27.09.1900 00:00;1.1;;
PDM;28.09.1900 00:00;16;;
PDM;29.09.1900 00:00;0.3;;
PDM;30.09.1900 00:00;1.2;;
PDM;01.10.1900 00:00;0;;
PDM;02.10.1900 00:00;20.7;;
PDM;03.10.1900 00:00;3.2;;
PDM;04.10.1900 00:00;5;;
PDM;05.10.1900 00:00;5.6;;
PDM;06.10.1900 00:00;0;;
PDM;07.10.1900 00:00;0;;
PDM;08.10.1900 00:00;0;;
PDM;09.10.1900 00:00;0;;
PDM;10.10.1900 00:00;6.7;;
PDM;11.10.1900 00:00;0;;
PDM;12.10.1900 00:00;0;;
PDM;13.10.1900 00:00;0;;
PDM;14.10.1900 00:00;4.9;;
PDM;15.10.1900 00:00;0;;
PDM;16.10.1900 00:00;0;;
PDM;17.10.1900 00:00;8.7;;
PDM;18.10.1900 00:00;13.2;;
PDM;19.10.1900 00:00;1.1;;
PDM;20.10.1900 00:00;0;;
PDM;21.10.1900 00:00;0;;
PDM;22.10.1900 00:00;0.7;;
PDM;23.10.1900 00:00;0;;
PDM;24.10.1900 00:00;0;;
PDM;25.10.1900 00:00;0;;
PDM;26.10.1900 00:00;5.7;;
PDM;27.10.1900 00:00;0.9;;
PDM;28.10.1900 00:00;0.5;;
PDM;29.10.1900 00:00;7.9;;
PDM;30.10.1900 00:00;0;;
PDM;31.10.1900 00:00;0;;
PDM;01.11.1900 00:00;7.5;;
PDM;02.11.1900 00:00;0.3;;
PDM;03.11.1900 00:00;0.5;;
PDM;04.11.1900 00:00;1.2;;
PDM;05.11.1900 00:00;0;;
PDM;06.11.1900 00:00;4.6;;
PDM;07.11.1900 00:00;13.4;;
PDM;08.11.1900 00:00;0;;
PDM;09.11.1900 00:00;0;;
PDM;10.11.1900 00:00;1.5;;
PDM;11.11.1900 00:00;0;;
PDM;12.11.1900 00:00;0;;
PDM;13.11.1900 00:00;0;;
PDM;14.11.1900 00:00;6.4;;
PDM;15.11.1900 00:00;0.8;;
PDM;16.11.1900 00:00;1.2;;
PDM;17.11.1900 00:00;8.4;;
PDM;18.11.1900 00:00;10.5;;
PDM;19.11.1900 00:00;0;;
PDM;20.11.1900 00:00;0;;
PDM;21.11.1900 00:00;0;;
PDM;22.11.1900 00:00;0;;
PDM;23.11.1900 00:00;0.5;;
PDM;24.11.1900 00:00;0;;
PDM;25.11.1900 00:00;13.3;;
PDM;26.11.1900 00:00;0.4;;
PDM;27.11.1900 00:00;0;;
PDM;28.11.1900 00:00;0;;
PDM;29.11.1900 00:00;0;;
PDM;30.11.1900 00:00;0;;
PDM;01.12.1900 00:00;0;;
PDM;02.12.1900 00:00;0.2;;
PDM;03.12.1900 00:00;0;;
PDM;04.12.1900 00:00;25.9;;
PDM;05.12.1900 00:00;19.5;;
PDM;06.12.1900 00:00;13.2;;
PDM;07.12.1900 00:00;11.4;;
PDM;08.12.1900 00:00;0;;
PDM;09.12.1900 00:00;0;;
PDM;10.12.1900 00:00;0;;
PDM;11.12.1900 00:00;0;;
PDM;12.12.1900 00:00;0;;
PDM;13.12.1900 00:00;0;;
PDM;14.12.1900 00:00;0;;
PDM;15.12.1900 00:00;0;;
PDM;16.12.1900 00:00;0;;
PDM;17.12.1900 00:00;0;;
PDM;18.12.1900 00:00;0;;
PDM;19.12.1900 00:00;0;;
PDM;20.12.1900 00:00;0;;
PDM;21.12.1900 00:00;1.4;;
PDM;22.12.1900 00:00;2.4;;
PDM;23.12.1900 00:00;2.8;;
PDM;24.12.1900 00:00;0.4;;
PDM;25.12.1900 00:00;0;;
PDM;26.12.1900 00:00;0;;
PDM;27.12.1900 00:00;2.3;;
PDM;28.12.1900 00:00;5.1;;
PDM;29.12.1900 00:00;3.4;;
PDM;30.12.1900 00:00;2.1;;
PDM;31.12.1900 00:00;0;;
PDM;01.01.1901 00:00;1.1;;
PDM;02.01.1901 00:00;3.4;;
PDM;03.01.1901 00:00;0;;
PDM;04.01.1901 00:00;0;;
PDM;05.01.1901 00:00;0;;
PDM;06.01.1901 00:00;0;;
PDM;07.01.1901 00:00;0;;
PDM;08.01.1901 00:00;0;;
PDM;09.01.1901 00:00;0;;
PDM;10.01.1901 00:00;0;;
PDM;11.01.1901 00:00;0;;
PDM;12.01.1901 00:00;0;;
PDM;13.01.1901 00:00;0;;
PDM;14.01.1901 00:00;0;;
PDM;15.01.1901 00:00;0;;
PDM;16.01.1901 00:00;0;;
PDM;17.01.1901 00:00;0;;
PDM;18.01.1901 00:00;0;;
PDM;19.01.1901 00:00;0;;
PDM;20.01.1901 00:00;3;;
PDM;21.01.1901 00:00;1.8;;
PDM;22.01.1901 00:00;0;;
PDM;23.01.1901 00:00;0;;
PDM;24.01.1901 00:00;0;;
PDM;25.01.1901 00:00;0.5;;
PDM;26.01.1901 00:00;10.3;;
PDM;27.01.1901 00:00;19.7;;
PDM;28.01.1901 00:00;8.8;;
PDM;29.01.1901 00:00;2.5;;
PDM;30.01.1901 00:00;0;;
PDM;31.01.1901 00:00;0;;
PDM;01.02.1901 00:00;10;;
PDM;02.02.1901 00:00;0;;
PDM;03.02.1901 00:00;0.8;;
PDM;04.02.1901 00:00;8.2;;
PDM;05.02.1901 00:00;2.1;;
PDM;06.02.1901 00:00;3.5;;
PDM;07.02.1901 00:00;0.1;;
PDM;08.02.1901 00:00;0;;
PDM;09.02.1901 00:00;0;;
PDM;10.02.1901 00:00;0;;
PDM;11.02.1901 00:00;0.2;;
PDM;12.02.1901 00:00;1.6;;
PDM;13.02.1901 00:00;6.9;;
PDM;14.02.1901 00:00;0;;
PDM;15.02.1901 00:00;0;;
PDM;16.02.1901 00:00;7.3;;
PDM;17.02.1901 00:00;4.9;;
PDM;18.02.1901 00:00;0.4;;
PDM;19.02.1901 00:00;0;;
PDM;20.02.1901 00:00;0;;
PDM;21.02.1901 00:00;0;;
PDM;22.02.1901 00:00;0;;
PDM;23.02.1901 00:00;0;;
PDM;24.02.1901 00:00;0;;
PDM;25.02.1901 00:00;0;;
PDM;26.02.1901 00:00;0;;
PDM;27.02.1901 00:00;0;;
PDM;28.02.1901 00:00;2.9;;
PDM;01.03.1901 00:00;2.9;;
PDM;02.03.1901 00:00;11.4;;
PDM;03.03.1901 00:00;6.8;;
PDM;04.03.1901 00:00;8.9;;
PDM;05.03.1901 00:00;3.9;;
PDM;06.03.1901 00:00;4.6;;
PDM;07.03.1901 00:00;2.9;;
PDM;08.03.1901 00:00;0;;
PDM;09.03.1901 00:00;0;;
PDM;10.03.1901 00:00;0;;
PDM;11.03.1901 00:00;0.9;;
PDM;12.03.1901 00:00;3.2;;
PDM;13.03.1901 00:00;0;;
PDM;14.03.1901 00:00;0;;
PDM;15.03.1901 00:00;1.4;;
PDM;16.03.1901 00:00;0;;
PDM;17.03.1901 00:00;2.3;;
PDM;18.03.1901 00:00;0;;
PDM;19.03.1901 00:00;0;;
PDM;20.03.1901 00:00;12;;
PDM;21.03.1901 00:00;1.1;;
PDM;22.03.1901 00:00;0.1;;
PDM;23.03.1901 00:00;0;;
PDM;24.03.1901 00:00;0;;
PDM;25.03.1901 00:00;0;;
PDM;26.03.1901 00:00;1.9;;
PDM;27.03.1901 00:00;1.7;;
PDM;28.03.1901 00:00;1.4;;
PDM;29.03.1901 00:00;0;;
PDM;30.03.1901 00:00;0;;
PDM;31.03.1901 00:00;0;;
PDM;01.04.1901 00:00;10.1;;
PDM;02.04.1901 00:00;0;;
PDM;03.04.1901 00:00;0;;
PDM;04.04.1901 00:00;1.3;;
PDM;05.04.1901 00:00;34.4;;
PDM;06.04.1901 00:00;5;;
PDM;07.04.1901 00:00;15.3;;
PDM;08.04.1901 00:00;6.2;;
PDM;09.04.1901 00:00;18.1;;
PDM;10.04.1901 00:00;0;;
PDM;11.04.1901 00:00;0;;
PDM;12.04.1901 00:00;3.7;;
PDM;13.04.1901 00:00;5.5;;
PDM;14.04.1901 00:00;16.4;;
PDM;15.04.1901 00:00;7.7;;
PDM;16.04.1901 00:00;4.9;;
PDM;17.04.1901 00:00;4.2;;
PDM;18.04.1901 00:00;0;;
PDM;19.04.1901 00:00;0;;
PDM;20.04.1901 00:00;0;;
PDM;21.04.1901 00:00;0;;
PDM;22.04.1901 00:00;0;;
PDM;23.04.1901 00:00;0;;
PDM;24.04.1901 00:00;0;;
PDM;25.04.1901 00:00;0;;
PDM;26.04.1901 00:00;7.2;;
PDM;27.04.1901 00:00;6;;
PDM;28.04.1901 00:00;1.7;;
PDM;29.04.1901 00:00;7.7;;
PDM;30.04.1901 00:00;2.4;;
PDM;01.05.1901 00:00;0;;
PDM;02.05.1901 00:00;2.5;;
PDM;03.05.1901 00:00;3.9;;
PDM;04.05.1901 00:00;0;;
PDM;05.05.1901 00:00;0;;
PDM;06.05.1901 00:00;9.4;;
PDM;07.05.1901 00:00;3.4;;
PDM;08.05.1901 00:00;3.5;;
PDM;09.05.1901 00:00;1.5;;
PDM;10.05.1901 00:00;1.3;;
PDM;11.05.1901 00:00;0;;
PDM;12.05.1901 00:00;0;;
PDM;13.05.1901 00:00;0;;
PDM;14.05.1901 00:00;0;;
PDM;15.05.1901 00:00;0;;
PDM;16.05.1901 00:00;0;;
PDM;17.05.1901 00:00;0;;
PDM;18.05.1901 00:00;0;;
PDM;19.05.1901 00:00;0;;
PDM;20.05.1901 00:00;0;;
PDM;21.05.1901 00:00;0;;
PDM;22.05.1901 00:00;18.8;;
PDM;23.05.1901 00:00;0;;
PDM;24.05.1901 00:00;0;;
PDM;25.05.1901 00:00;1.7;;
PDM;26.05.1901 00:00;3;;
PDM;27.05.1901 00:00;1.1;;
PDM;28.05.1901 00:00;0;;
PDM;29.05.1901 00:00;6.2;;
PDM;30.05.1901 00:00;1.2;;
PDM;31.05.1901 00:00;0;;
PDM;01.06.1901 00:00;0;;
PDM;02.06.1901 00:00;12.5;;
PDM;03.06.1901 00:00;1.5;;
PDM;04.06.1901 00:00;0;;
PDM;05.06.1901 00:00;0;;
PDM;06.06.1901 00:00;0;;
PDM;07.06.1901 00:00;0;;
PDM;08.06.1901 00:00;4.9;;
PDM;09.06.1901 00:00;12.9;;
PDM;10.06.1901 00:00;1;;
PDM;11.06.1901 00:00;0;;
PDM;12.06.1901 00:00;0;;
PDM;13.06.1901 00:00;0.7;;
PDM;14.06.1901 00:00;38;;
PDM;15.06.1901 00:00;27.9;;
PDM;16.06.1901 00:00;3.6;;
PDM;17.06.1901 00:00;13.2;;
PDM;18.06.1901 00:00;8.5;;
PDM;19.06.1901 00:00;0.4;;
PDM;20.06.1901 00:00;0;;
PDM;21.06.1901 00:00;0;;
PDM;22.06.1901 00:00;0;;
PDM;23.06.1901 00:00;0;;
PDM;24.06.1901 00:00;3.4;;
PDM;25.06.1901 00:00;0;;
PDM;26.06.1901 00:00;0;;
PDM;27.06.1901 00:00;0;;
PDM;28.06.1901 00:00;1.6;;
PDM;29.06.1901 00:00;0;;
PDM;30.06.1901 00:00;8.1;;
PDM;01.07.1901 00:00;1.2;;
PDM;02.07.1901 00:00;11;;
PDM;03.07.1901 00:00;8;;
PDM;04.07.1901 00:00;1.7;;
PDM;05.07.1901 00:00;0;;
PDM;06.07.1901 00:00;0;;
PDM;07.07.1901 00:00;0;;
PDM;08.07.1901 00:00;19.1;;
PDM;09.07.1901 00:00;0;;
PDM;10.07.1901 00:00;0;;
PDM;11.07.1901 00:00;0;;
PDM;12.07.1901 00:00;0;;
PDM;13.07.1901 00:00;0;;
PDM;14.07.1901 00:00;0;;
PDM;15.07.1901 00:00;0;;
PDM;16.07.1901 00:00;0;;
PDM;17.07.1901 00:00;0;;
PDM;18.07.1901 00:00;0;;
PDM;19.07.1901 00:00;0;;
PDM;20.07.1901 00:00;0;;
PDM;21.07.1901 00:00;3.8;;
PDM;22.07.1901 00:00;6.5;;
PDM;23.07.1901 00:00;2.8;;
PDM;24.07.1901 00:00;5.3;;
PDM;25.07.1901 00:00;5.8;;
PDM;26.07.1901 00:00;4.2;;
PDM;27.07.1901 00:00;5.2;;
PDM;28.07.1901 00:00;56.2;;
PDM;29.07.1901 00:00;5.2;;
PDM;30.07.1901 00:00;0.6;;
PDM;31.07.1901 00:00;24.5;;
PDM;01.08.1901 00:00;24.1;;
PDM;02.08.1901 00:00;17.1;;
PDM;03.08.1901 00:00;0;;
PDM;04.08.1901 00:00;0;;
PDM;05.08.1901 00:00;0;;
PDM;06.08.1901 00:00;5.5;;
PDM;07.08.1901 00:00;0;;
