station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
PIG;01.01.1901 00:00;1.6;;
PIG;02.01.1901 00:00;2.2;;
PIG;03.01.1901 00:00;2.2;;
PIG;04.01.1901 00:00;0;;
PIG;05.01.1901 00:00;0;;
PIG;06.01.1901 00:00;0;;
PIG;07.01.1901 00:00;0;;
PIG;08.01.1901 00:00;0;;
PIG;09.01.1901 00:00;0;;
PIG;10.01.1901 00:00;0;;
PIG;11.01.1901 00:00;1.1;;
PIG;12.01.1901 00:00;0;;
PIG;13.01.1901 00:00;0;;
PIG;14.01.1901 00:00;0;;
PIG;15.01.1901 00:00;0;;
PIG;16.01.1901 00:00;0;;
PIG;17.01.1901 00:00;0;;
PIG;18.01.1901 00:00;0;;
PIG;19.01.1901 00:00;0;;
PIG;20.01.1901 00:00;3;;
PIG;21.01.1901 00:00;12.7;;
PIG;22.01.1901 00:00;0;;
PIG;23.01.1901 00:00;0;;
PIG;24.01.1901 00:00;0;;
PIG;25.01.1901 00:00;1.1;;
PIG;26.01.1901 00:00;15;;
PIG;27.01.1901 00:00;12.2;;
PIG;28.01.1901 00:00;10.2;;
PIG;29.01.1901 00:00;9.2;;
PIG;30.01.1901 00:00;0;;
PIG;31.01.1901 00:00;0;;
PIG;01.02.1901 00:00;2;;
PIG;02.02.1901 00:00;1.4;;
PIG;03.02.1901 00:00;0;;
PIG;04.02.1901 00:00;0;;
PIG;05.02.1901 00:00;5.9;;
PIG;06.02.1901 00:00;3.1;;
PIG;07.02.1901 00:00;2.1;;
PIG;08.02.1901 00:00;0.7;;
PIG;09.02.1901 00:00;0;;
PIG;10.02.1901 00:00;0;;
PIG;11.02.1901 00:00;3;;
PIG;12.02.1901 00:00;0;;
PIG;13.02.1901 00:00;4.2;;
PIG;14.02.1901 00:00;0;;
PIG;15.02.1901 00:00;0;;
PIG;16.02.1901 00:00;4.7;;
PIG;17.02.1901 00:00;2.2;;
PIG;18.02.1901 00:00;1.3;;
PIG;19.02.1901 00:00;0;;
PIG;20.02.1901 00:00;0;;
PIG;21.02.1901 00:00;0;;
PIG;22.02.1901 00:00;0;;
PIG;23.02.1901 00:00;0;;
PIG;24.02.1901 00:00;0;;
PIG;25.02.1901 00:00;0;;
PIG;26.02.1901 00:00;0;;
PIG;27.02.1901 00:00;0;;
PIG;28.02.1901 00:00;1.1;;
PIG;01.03.1901 00:00;0;;
PIG;02.03.1901 00:00;4.1;;
PIG;03.03.1901 00:00;7.4;;
PIG;04.03.1901 00:00;11.8;;
PIG;05.03.1901 00:00;17;;
PIG;06.03.1901 00:00;0;;
PIG;07.03.1901 00:00;2.1;;
PIG;08.03.1901 00:00;0;;
PIG;09.03.1901 00:00;0;;
PIG;10.03.1901 00:00;10;;
PIG;11.03.1901 00:00;7.8;;
PIG;12.03.1901 00:00;4.8;;
PIG;13.03.1901 00:00;0;;
PIG;14.03.1901 00:00;0;;
PIG;15.03.1901 00:00;9.3;;
PIG;16.03.1901 00:00;0;;
PIG;17.03.1901 00:00;0.5;;
PIG;18.03.1901 00:00;0;;
PIG;19.03.1901 00:00;13.8;;
PIG;20.03.1901 00:00;2.9;;
PIG;21.03.1901 00:00;4.8;;
PIG;22.03.1901 00:00;2.8;;
PIG;23.03.1901 00:00;1.5;;
PIG;24.03.1901 00:00;1;;
PIG;25.03.1901 00:00;0.2;;
PIG;26.03.1901 00:00;0.4;;
PIG;27.03.1901 00:00;0;;
PIG;28.03.1901 00:00;0.1;;
PIG;29.03.1901 00:00;0;;
PIG;30.03.1901 00:00;0;;
PIG;31.03.1901 00:00;0;;
PIG;01.04.1901 00:00;0;;
PIG;02.04.1901 00:00;0;;
PIG;03.04.1901 00:00;0;;
PIG;04.04.1901 00:00;0.3;;
PIG;05.04.1901 00:00;42.4;;
PIG;06.04.1901 00:00;7.1;;
PIG;07.04.1901 00:00;33.8;;
PIG;08.04.1901 00:00;0;;
PIG;09.04.1901 00:00;0.6;;
PIG;10.04.1901 00:00;9;;
PIG;11.04.1901 00:00;0;;
PIG;12.04.1901 00:00;19.2;;
PIG;13.04.1901 00:00;12.1;;
PIG;14.04.1901 00:00;9.2;;
PIG;15.04.1901 00:00;0;;
PIG;16.04.1901 00:00;7.6;;
PIG;17.04.1901 00:00;5;;
PIG;18.04.1901 00:00;0;;
PIG;19.04.1901 00:00;0;;
PIG;20.04.1901 00:00;0;;
PIG;21.04.1901 00:00;0;;
PIG;22.04.1901 00:00;0;;
PIG;23.04.1901 00:00;0;;
PIG;24.04.1901 00:00;0;;
PIG;25.04.1901 00:00;0;;
PIG;26.04.1901 00:00;4.8;;
PIG;27.04.1901 00:00;7.2;;
PIG;28.04.1901 00:00;0.3;;
PIG;29.04.1901 00:00;2.9;;
PIG;30.04.1901 00:00;0;;
PIG;01.05.1901 00:00;0;;
PIG;02.05.1901 00:00;0;;
PIG;03.05.1901 00:00;3.3;;
PIG;04.05.1901 00:00;0;;
PIG;05.05.1901 00:00;0;;
PIG;06.05.1901 00:00;0;;
PIG;07.05.1901 00:00;0;;
PIG;08.05.1901 00:00;23.7;;
PIG;09.05.1901 00:00;5.6;;
PIG;10.05.1901 00:00;0;;
PIG;11.05.1901 00:00;0;;
PIG;12.05.1901 00:00;0;;
PIG;13.05.1901 00:00;0;;
PIG;14.05.1901 00:00;0;;
PIG;15.05.1901 00:00;0;;
PIG;16.05.1901 00:00;13.9;;
PIG;17.05.1901 00:00;0;;
PIG;18.05.1901 00:00;1.1;;
PIG;19.05.1901 00:00;0;;
PIG;20.05.1901 00:00;0;;
PIG;21.05.1901 00:00;0;;
PIG;22.05.1901 00:00;6.3;;
PIG;23.05.1901 00:00;0.3;;
PIG;24.05.1901 00:00;0;;
PIG;25.05.1901 00:00;0.7;;
PIG;26.05.1901 00:00;1.8;;
PIG;27.05.1901 00:00;0.1;;
PIG;28.05.1901 00:00;0;;
PIG;29.05.1901 00:00;3.5;;
PIG;30.05.1901 00:00;0;;
PIG;31.05.1901 00:00;0;;
PIG;01.06.1901 00:00;0;;
PIG;02.06.1901 00:00;0;;
PIG;03.06.1901 00:00;2.8;;
PIG;04.06.1901 00:00;0;;
PIG;05.06.1901 00:00;0;;
PIG;06.06.1901 00:00;0;;
PIG;07.06.1901 00:00;0;;
PIG;08.06.1901 00:00;2.5;;
PIG;09.06.1901 00:00;3.4;;
PIG;10.06.1901 00:00;3.7;;
PIG;11.06.1901 00:00;2.4;;
PIG;12.06.1901 00:00;0;;
PIG;13.06.1901 00:00;0;;
PIG;14.06.1901 00:00;42.5;;
PIG;15.06.1901 00:00;60.1;;
PIG;16.06.1901 00:00;0.7;;
PIG;17.06.1901 00:00;2;;
PIG;18.06.1901 00:00;1.1;;
PIG;19.06.1901 00:00;0;;
PIG;20.06.1901 00:00;0;;
PIG;21.06.1901 00:00;0;;
PIG;22.06.1901 00:00;0;;
PIG;23.06.1901 00:00;0;;
PIG;24.06.1901 00:00;9.6;;
PIG;25.06.1901 00:00;0;;
PIG;26.06.1901 00:00;0;;
PIG;27.06.1901 00:00;0;;
PIG;28.06.1901 00:00;5.5;;
PIG;29.06.1901 00:00;5.6;;
PIG;30.06.1901 00:00;4.2;;
PIG;01.07.1901 00:00;19.3;;
PIG;02.07.1901 00:00;26;;
PIG;03.07.1901 00:00;0.7;;
PIG;04.07.1901 00:00;2.3;;
PIG;05.07.1901 00:00;19.4;;
PIG;06.07.1901 00:00;3.9;;
PIG;07.07.1901 00:00;0.1;;
PIG;08.07.1901 00:00;0;;
PIG;09.07.1901 00:00;0;;
PIG;10.07.1901 00:00;0;;
PIG;11.07.1901 00:00;0;;
PIG;12.07.1901 00:00;0;;
PIG;13.07.1901 00:00;0;;
PIG;14.07.1901 00:00;2.7;;
PIG;15.07.1901 00:00;2.3;;
PIG;16.07.1901 00:00;0;;
PIG;17.07.1901 00:00;0;;
PIG;18.07.1901 00:00;0;;
PIG;19.07.1901 00:00;0;;
PIG;20.07.1901 00:00;0;;
PIG;21.07.1901 00:00;0;;
PIG;22.07.1901 00:00;2.5;;
PIG;23.07.1901 00:00;22.1;;
PIG;24.07.1901 00:00;0;;
PIG;25.07.1901 00:00;19.5;;
PIG;26.07.1901 00:00;0;;
PIG;27.07.1901 00:00;1.1;;
PIG;28.07.1901 00:00;9.9;;
PIG;29.07.1901 00:00;13.6;;
PIG;30.07.1901 00:00;1.4;;
PIG;31.07.1901 00:00;36;;
PIG;01.08.1901 00:00;3.8;;
PIG;02.08.1901 00:00;22.2;;
PIG;03.08.1901 00:00;0;;
PIG;04.08.1901 00:00;0;;
PIG;05.08.1901 00:00;0.4;;
PIG;06.08.1901 00:00;7.9;;
PIG;07.08.1901 00:00;2.4;;
PIG;08.08.1901 00:00;0;;
PIG;09.08.1901 00:00;0;;
PIG;10.08.1901 00:00;0;;
PIG;11.08.1901 00:00;12.1;;
PIG;12.08.1901 00:00;13.5;;
PIG;13.08.1901 00:00;2;;
PIG;14.08.1901 00:00;2.1;;
PIG;15.08.1901 00:00;20;;
PIG;16.08.1901 00:00;5.2;;
PIG;17.08.1901 00:00;0;;
PIG;18.08.1901 00:00;0;;
PIG;19.08.1901 00:00;0;;
PIG;20.08.1901 00:00;0;;
PIG;21.08.1901 00:00;0;;
PIG;22.08.1901 00:00;0;;
PIG;23.08.1901 00:00;0;;
PIG;24.08.1901 00:00;0;;
PIG;25.08.1901 00:00;16.1;;
PIG;26.08.1901 00:00;25.1;;
PIG;27.08.1901 00:00;0;;
PIG;28.08.1901 00:00;6.4;;
PIG;29.08.1901 00:00;0;;
PIG;30.08.1901 00:00;0;;
PIG;31.08.1901 00:00;1.1;;
PIG;01.09.1901 00:00;19.3;;
PIG;02.09.1901 00:00;13.1;;
PIG;03.09.1901 00:00;4.1;;
PIG;04.09.1901 00:00;1.9;;
PIG;05.09.1901 00:00;1.2;;
PIG;06.09.1901 00:00;0;;
PIG;07.09.1901 00:00;0;;
PIG;08.09.1901 00:00;0;;
PIG;09.09.1901 00:00;0;;
PIG;10.09.1901 00:00;4.6;;
PIG;11.09.1901 00:00;9.7;;
PIG;12.09.1901 00:00;34.5;;
PIG;13.09.1901 00:00;3.7;;
PIG;14.09.1901 00:00;2.1;;
PIG;15.09.1901 00:00;1.1;;
PIG;16.09.1901 00:00;0.3;;
PIG;17.09.1901 00:00;3.9;;
PIG;18.09.1901 00:00;0;;
PIG;19.09.1901 00:00;0;;
PIG;20.09.1901 00:00;0;;
PIG;21.09.1901 00:00;0;;
PIG;22.09.1901 00:00;0;;
PIG;23.09.1901 00:00;0;;
PIG;24.09.1901 00:00;0;;
PIG;25.09.1901 00:00;18;;
PIG;26.09.1901 00:00;6.2;;
PIG;27.09.1901 00:00;0;;
PIG;28.09.1901 00:00;0;;
PIG;29.09.1901 00:00;0;;
PIG;30.09.1901 00:00;0;;
PIG;01.10.1901 00:00;0;;
PIG;02.10.1901 00:00;0;;
PIG;03.10.1901 00:00;1.2;;
PIG;04.10.1901 00:00;6.8;;
PIG;05.10.1901 00:00;0;;
PIG;06.10.1901 00:00;16.8;;
PIG;07.10.1901 00:00;17.2;;
PIG;08.10.1901 00:00;4.1;;
PIG;09.10.1901 00:00;40.4;;
PIG;10.10.1901 00:00;2.9;;
PIG;11.10.1901 00:00;0;;
PIG;12.10.1901 00:00;0;;
PIG;13.10.1901 00:00;0;;
PIG;14.10.1901 00:00;0;;
PIG;15.10.1901 00:00;0;;
PIG;16.10.1901 00:00;0;;
PIG;17.10.1901 00:00;0;;
PIG;18.10.1901 00:00;0;;
PIG;19.10.1901 00:00;0;;
PIG;20.10.1901 00:00;3.8;;
PIG;21.10.1901 00:00;8;;
PIG;22.10.1901 00:00;9.1;;
PIG;23.10.1901 00:00;1.3;;
PIG;24.10.1901 00:00;0;;
PIG;25.10.1901 00:00;0;;
PIG;26.10.1901 00:00;0;;
PIG;27.10.1901 00:00;0;;
PIG;28.10.1901 00:00;0;;
PIG;29.10.1901 00:00;0;;
PIG;30.10.1901 00:00;0;;
PIG;31.10.1901 00:00;0;;
PIG;01.11.1901 00:00;0;;
PIG;02.11.1901 00:00;0;;
PIG;03.11.1901 00:00;0;;
PIG;04.11.1901 00:00;0;;
PIG;05.11.1901 00:00;0;;
PIG;06.11.1901 00:00;0;;
PIG;07.11.1901 00:00;0;;
PIG;08.11.1901 00:00;0;;
PIG;09.11.1901 00:00;0;;
PIG;10.11.1901 00:00;0;;
PIG;11.11.1901 00:00;0;;
PIG;12.11.1901 00:00;0;;
PIG;13.11.1901 00:00;0;;
PIG;14.11.1901 00:00;0.8;;
PIG;15.11.1901 00:00;1.4;;
PIG;16.11.1901 00:00;4.7;;
PIG;17.11.1901 00:00;0;;
PIG;18.11.1901 00:00;0;;
PIG;19.11.1901 00:00;3.2;;
PIG;20.11.1901 00:00;0;;
PIG;21.11.1901 00:00;0;;
PIG;22.11.1901 00:00;3.6;;
PIG;23.11.1901 00:00;2.2;;
PIG;24.11.1901 00:00;0;;
PIG;25.11.1901 00:00;0;;
PIG;26.11.1901 00:00;0;;
PIG;27.11.1901 00:00;0;;
PIG;28.11.1901 00:00;2.1;;
PIG;29.11.1901 00:00;4;;
PIG;30.11.1901 00:00;0;;
PIG;01.12.1901 00:00;0;;
PIG;02.12.1901 00:00;0;;
PIG;03.12.1901 00:00;1.6;;
PIG;04.12.1901 00:00;0;;
PIG;05.12.1901 00:00;0;;
PIG;06.12.1901 00:00;0;;
PIG;07.12.1901 00:00;0;;
PIG;08.12.1901 00:00;2.8;;
PIG;09.12.1901 00:00;27;;
PIG;10.12.1901 00:00;17.9;;
PIG;11.12.1901 00:00;15.5;;
PIG;12.12.1901 00:00;1.7;;
PIG;13.12.1901 00:00;20.8;;
PIG;14.12.1901 00:00;2.4;;
PIG;15.12.1901 00:00;0;;
PIG;16.12.1901 00:00;0;;
PIG;17.12.1901 00:00;0;;
PIG;18.12.1901 00:00;0;;
PIG;19.12.1901 00:00;2.5;;
PIG;20.12.1901 00:00;2.3;;
PIG;21.12.1901 00:00;0;;
PIG;22.12.1901 00:00;0;;
PIG;23.12.1901 00:00;0;;
PIG;24.12.1901 00:00;0;;
PIG;25.12.1901 00:00;8.8;;
PIG;26.12.1901 00:00;0;;
PIG;27.12.1901 00:00;0;;
PIG;28.12.1901 00:00;0;;
PIG;29.12.1901 00:00;2.9;;
PIG;30.12.1901 00:00;0;;
PIG;31.12.1901 00:00;0;;
PIG;01.01.1902 00:00;0;;
PIG;02.01.1902 00:00;10.1;;
PIG;03.01.1902 00:00;6.5;;
PIG;04.01.1902 00:00;0;;
PIG;05.01.1902 00:00;0;;
PIG;06.01.1902 00:00;0;;
PIG;07.01.1902 00:00;0;;
PIG;08.01.1902 00:00;0;;
PIG;09.01.1902 00:00;0;;
PIG;10.01.1902 00:00;0;;
PIG;11.01.1902 00:00;0;;
PIG;12.01.1902 00:00;0;;
PIG;13.01.1902 00:00;1.1;;
PIG;14.01.1902 00:00;1.6;;
PIG;15.01.1902 00:00;0.8;;
PIG;16.01.1902 00:00;0.9;;
PIG;17.01.1902 00:00;0;;
PIG;18.01.1902 00:00;0;;
PIG;19.01.1902 00:00;0;;
PIG;20.01.1902 00:00;0;;
PIG;21.01.1902 00:00;0;;
PIG;22.01.1902 00:00;0;;
PIG;23.01.1902 00:00;0;;
PIG;24.01.1902 00:00;0;;
PIG;25.01.1902 00:00;0;;
PIG;26.01.1902 00:00;7.1;;
PIG;27.01.1902 00:00;27.5;;
PIG;28.01.1902 00:00;1.9;;
PIG;29.01.1902 00:00;2.1;;
PIG;30.01.1902 00:00;3.5;;
PIG;31.01.1902 00:00;6;;
PIG;01.02.1902 00:00;1.1;;
PIG;02.02.1902 00:00;2.9;;
PIG;03.02.1902 00:00;3.4;;
PIG;04.02.1902 00:00;2.1;;
PIG;05.02.1902 00:00;0;;
PIG;06.02.1902 00:00;0;;
PIG;07.02.1902 00:00;0;;
PIG;08.02.1902 00:00;0;;
PIG;09.02.1902 00:00;0;;
PIG;10.02.1902 00:00;0;;
PIG;11.02.1902 00:00;4.3;;
PIG;12.02.1902 00:00;0;;
PIG;13.02.1902 00:00;0.5;;
PIG;14.02.1902 00:00;7.8;;
PIG;15.02.1902 00:00;4.1;;
PIG;16.02.1902 00:00;0;;
PIG;17.02.1902 00:00;2.2;;
PIG;18.02.1902 00:00;0.7;;
PIG;19.02.1902 00:00;0;;
PIG;20.02.1902 00:00;0;;
PIG;21.02.1902 00:00;0;;
PIG;22.02.1902 00:00;0;;
PIG;23.02.1902 00:00;0;;
PIG;24.02.1902 00:00;0;;
PIG;25.02.1902 00:00;0;;
PIG;26.02.1902 00:00;0;;
PIG;27.02.1902 00:00;0;;
PIG;28.02.1902 00:00;2.5;;
PIG;01.03.1902 00:00;6.7;;
PIG;02.03.1902 00:00;1.5;;
PIG;03.03.1902 00:00;0;;
PIG;04.03.1902 00:00;0;;
PIG;05.03.1902 00:00;0;;
PIG;06.03.1902 00:00;0;;
PIG;07.03.1902 00:00;0;;
PIG;08.03.1902 00:00;9.7;;
PIG;09.03.1902 00:00;17.7;;
PIG;10.03.1902 00:00;1.3;;
PIG;11.03.1902 00:00;0;;
PIG;12.03.1902 00:00;0;;
PIG;13.03.1902 00:00;0;;
PIG;14.03.1902 00:00;0;;
PIG;15.03.1902 00:00;3.7;;
PIG;16.03.1902 00:00;21.9;;
PIG;17.03.1902 00:00;0;;
PIG;18.03.1902 00:00;0;;
PIG;19.03.1902 00:00;0;;
PIG;20.03.1902 00:00;0;;
PIG;21.03.1902 00:00;8;;
PIG;22.03.1902 00:00;30.1;;
PIG;23.03.1902 00:00;3.3;;
PIG;24.03.1902 00:00;4.1;;
PIG;25.03.1902 00:00;3.6;;
PIG;26.03.1902 00:00;4.1;;
PIG;27.03.1902 00:00;15.4;;
PIG;28.03.1902 00:00;0.8;;
PIG;29.03.1902 00:00;22.2;;
PIG;30.03.1902 00:00;42.2;;
PIG;31.03.1902 00:00;9.8;;
PIG;01.04.1902 00:00;0;;
PIG;02.04.1902 00:00;0;;
PIG;03.04.1902 00:00;0;;
PIG;04.04.1902 00:00;3.1;;
PIG;05.04.1902 00:00;1.5;;
PIG;06.04.1902 00:00;0;;
PIG;07.04.1902 00:00;0;;
PIG;08.04.1902 00:00;0;;
PIG;09.04.1902 00:00;0;;
PIG;10.04.1902 00:00;0;;
PIG;11.04.1902 00:00;0;;
PIG;12.04.1902 00:00;0;;
PIG;13.04.1902 00:00;0;;
PIG;14.04.1902 00:00;0;;
PIG;15.04.1902 00:00;0;;
PIG;16.04.1902 00:00;0;;
PIG;17.04.1902 00:00;2.4;;
PIG;18.04.1902 00:00;0;;
PIG;19.04.1902 00:00;0;;
PIG;20.04.1902 00:00;0;;
PIG;21.04.1902 00:00;0;;
PIG;22.04.1902 00:00;0;;
PIG;23.04.1902 00:00;0;;
PIG;24.04.1902 00:00;0;;
PIG;25.04.1902 00:00;0;;
PIG;26.04.1902 00:00;0;;
PIG;27.04.1902 00:00;0;;
PIG;28.04.1902 00:00;16.8;;
PIG;29.04.1902 00:00;0.3;;
PIG;30.04.1902 00:00;6.4;;
PIG;01.05.1902 00:00;10.5;;
PIG;02.05.1902 00:00;2.4;;
PIG;03.05.1902 00:00;9.1;;
PIG;04.05.1902 00:00;2.9;;
PIG;05.05.1902 00:00;1.7;;
PIG;06.05.1902 00:00;7.2;;
PIG;07.05.1902 00:00;6;;
PIG;08.05.1902 00:00;6.1;;
PIG;09.05.1902 00:00;0;;
PIG;10.05.1902 00:00;0;;
PIG;11.05.1902 00:00;7.7;;
PIG;12.05.1902 00:00;1.6;;
PIG;13.05.1902 00:00;8.5;;
PIG;14.05.1902 00:00;3.6;;
PIG;15.05.1902 00:00;1.8;;
PIG;16.05.1902 00:00;15.3;;
PIG;17.05.1902 00:00;17.3;;
PIG;18.05.1902 00:00;4.7;;
PIG;19.05.1902 00:00;2.7;;
PIG;20.05.1902 00:00;0;;
PIG;21.05.1902 00:00;0;;
PIG;22.05.1902 00:00;1.5;;
PIG;23.05.1902 00:00;0;;
PIG;24.05.1902 00:00;4.1;;
PIG;25.05.1902 00:00;0.8;;
PIG;26.05.1902 00:00;0;;
PIG;27.05.1902 00:00;0;;
PIG;28.05.1902 00:00;0;;
PIG;29.05.1902 00:00;0;;
PIG;30.05.1902 00:00;0;;
PIG;31.05.1902 00:00;0;;
PIG;01.06.1902 00:00;0;;
PIG;02.06.1902 00:00;0;;
PIG;03.06.1902 00:00;11;;
PIG;04.06.1902 00:00;5.2;;
PIG;05.06.1902 00:00;1.1;;
PIG;06.06.1902 00:00;2;;
PIG;07.06.1902 00:00;3.1;;
PIG;08.06.1902 00:00;0;;
PIG;09.06.1902 00:00;2.3;;
PIG;10.06.1902 00:00;2.8;;
PIG;11.06.1902 00:00;0;;
PIG;12.06.1902 00:00;0;;
PIG;13.06.1902 00:00;32.2;;
PIG;14.06.1902 00:00;3.6;;
PIG;15.06.1902 00:00;14;;
PIG;16.06.1902 00:00;0.8;;
PIG;17.06.1902 00:00;0;;
PIG;18.06.1902 00:00;0;;
PIG;19.06.1902 00:00;0;;
PIG;20.06.1902 00:00;7.5;;
PIG;21.06.1902 00:00;12.2;;
PIG;22.06.1902 00:00;0;;
PIG;23.06.1902 00:00;0;;
PIG;24.06.1902 00:00;1.5;;
PIG;25.06.1902 00:00;0;;
PIG;26.06.1902 00:00;0;;
PIG;27.06.1902 00:00;0;;
PIG;28.06.1902 00:00;0;;
PIG;29.06.1902 00:00;0;;
PIG;30.06.1902 00:00;0;;
PIG;01.07.1902 00:00;7.4;;
PIG;02.07.1902 00:00;2.3;;
PIG;03.07.1902 00:00;0;;
PIG;04.07.1902 00:00;0;;
PIG;05.07.1902 00:00;0;;
PIG;06.07.1902 00:00;0;;
PIG;07.07.1902 00:00;10.5;;
PIG;08.07.1902 00:00;0;;
PIG;09.07.1902 00:00;2;;
PIG;10.07.1902 00:00;7.9;;
PIG;11.07.1902 00:00;1.5;;
PIG;12.07.1902 00:00;0;;
PIG;13.07.1902 00:00;3.6;;
PIG;14.07.1902 00:00;0;;
PIG;15.07.1902 00:00;4.5;;
PIG;16.07.1902 00:00;1.5;;
PIG;17.07.1902 00:00;10;;
PIG;18.07.1902 00:00;0;;
PIG;19.07.1902 00:00;3;;
PIG;20.07.1902 00:00;8;;
PIG;21.07.1902 00:00;11.3;;
PIG;22.07.1902 00:00;1.5;;
PIG;23.07.1902 00:00;0;;
PIG;24.07.1902 00:00;10.4;;
PIG;25.07.1902 00:00;0.6;;
PIG;26.07.1902 00:00;0;;
PIG;27.07.1902 00:00;8.6;;
PIG;28.07.1902 00:00;0;;
PIG;29.07.1902 00:00;0;;
PIG;30.07.1902 00:00;0;;
PIG;31.07.1902 00:00;3.5;;
PIG;01.08.1902 00:00;4.3;;
PIG;02.08.1902 00:00;46;;
PIG;03.08.1902 00:00;2.5;;
PIG;04.08.1902 00:00;0;;
PIG;05.08.1902 00:00;0.7;;
PIG;06.08.1902 00:00;0;;
PIG;07.08.1902 00:00;7;;
PIG;08.08.1902 00:00;2;;
PIG;09.08.1902 00:00;0;;
PIG;10.08.1902 00:00;2.3;;
PIG;11.08.1902 00:00;6.1;;
PIG;12.08.1902 00:00;18;;
PIG;13.08.1902 00:00;6.1;;
PIG;14.08.1902 00:00;0;;
PIG;15.08.1902 00:00;0;;
PIG;16.08.1902 00:00;8.1;;
PIG;17.08.1902 00:00;4;;
PIG;18.08.1902 00:00;0;;
PIG;19.08.1902 00:00;6.8;;
PIG;20.08.1902 00:00;4.3;;
PIG;21.08.1902 00:00;0;;
PIG;22.08.1902 00:00;0;;
PIG;23.08.1902 00:00;0;;
PIG;24.08.1902 00:00;0;;
PIG;25.08.1902 00:00;1.4;;
PIG;26.08.1902 00:00;2.5;;
PIG;27.08.1902 00:00;4.2;;
