station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
PON;01.01.1972 00:00;0;;
PON;02.01.1972 00:00;5.4;;
PON;03.01.1972 00:00;8.5;;
PON;04.01.1972 00:00;0;;
PON;05.01.1972 00:00;0;;
PON;06.01.1972 00:00;0;;
PON;07.01.1972 00:00;0;;
PON;08.01.1972 00:00;0;;
PON;09.01.1972 00:00;0;;
PON;10.01.1972 00:00;0;;
PON;11.01.1972 00:00;0;;
PON;12.01.1972 00:00;0;;
PON;13.01.1972 00:00;0;;
PON;14.01.1972 00:00;0;;
PON;15.01.1972 00:00;0;;
PON;16.01.1972 00:00;0.6;;
PON;17.01.1972 00:00;0;;
PON;18.01.1972 00:00;0;;
PON;19.01.1972 00:00;0;;
PON;20.01.1972 00:00;0;;
PON;21.01.1972 00:00;0;;
PON;22.01.1972 00:00;0;;
PON;23.01.1972 00:00;0;;
PON;24.01.1972 00:00;0.2;;
PON;25.01.1972 00:00;0.6;;
PON;26.01.1972 00:00;0.2;;
PON;27.01.1972 00:00;6.7;;
PON;28.01.1972 00:00;2.7;;
PON;29.01.1972 00:00;0;;
PON;30.01.1972 00:00;0.5;;
PON;31.01.1972 00:00;0.5;;
PON;01.02.1972 00:00;0;;
PON;02.02.1972 00:00;0;;
PON;03.02.1972 00:00;0;;
PON;04.02.1972 00:00;0.5;;
PON;05.02.1972 00:00;0;;
PON;06.02.1972 00:00;0;;
PON;07.02.1972 00:00;0;;
PON;08.02.1972 00:00;1.5;;
PON;09.02.1972 00:00;4.5;;
PON;10.02.1972 00:00;5.2;;
PON;11.02.1972 00:00;0;;
PON;12.02.1972 00:00;0;;
PON;13.02.1972 00:00;1.6;;
PON;14.02.1972 00:00;0;;
PON;15.02.1972 00:00;0;;
PON;16.02.1972 00:00;0;;
PON;17.02.1972 00:00;2.9;;
PON;18.02.1972 00:00;2.8;;
PON;19.02.1972 00:00;5.1;;
PON;20.02.1972 00:00;2.1;;
PON;21.02.1972 00:00;0;;
PON;22.02.1972 00:00;0;;
PON;23.02.1972 00:00;0;;
PON;24.02.1972 00:00;0;;
PON;25.02.1972 00:00;0.3;;
PON;26.02.1972 00:00;0;;
PON;27.02.1972 00:00;0;;
PON;28.02.1972 00:00;0;;
PON;29.02.1972 00:00;0;;
PON;01.03.1972 00:00;2.2;;
PON;02.03.1972 00:00;0;;
PON;03.03.1972 00:00;0;;
PON;04.03.1972 00:00;3.8;;
PON;05.03.1972 00:00;1.8;;
PON;06.03.1972 00:00;0;;
PON;07.03.1972 00:00;13.5;;
PON;08.03.1972 00:00;1.3;;
PON;09.03.1972 00:00;7.9;;
PON;10.03.1972 00:00;0;;
PON;11.03.1972 00:00;0.9;;
PON;12.03.1972 00:00;0;;
PON;13.03.1972 00:00;0;;
PON;14.03.1972 00:00;0;;
PON;15.03.1972 00:00;0;;
PON;16.03.1972 00:00;0;;
PON;17.03.1972 00:00;0;;
