station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
POT;01.01.1901 00:00;0;;
POT;02.01.1901 00:00;0;;
POT;03.01.1901 00:00;0;;
POT;04.01.1901 00:00;0;;
POT;05.01.1901 00:00;0;;
POT;06.01.1901 00:00;0;;
POT;07.01.1901 00:00;0;;
POT;08.01.1901 00:00;0;;
POT;09.01.1901 00:00;0;;
POT;10.01.1901 00:00;0;;
POT;11.01.1901 00:00;0;;
POT;12.01.1901 00:00;0;;
POT;13.01.1901 00:00;0;;
POT;14.01.1901 00:00;0;;
POT;15.01.1901 00:00;0;;
POT;16.01.1901 00:00;0;;
POT;17.01.1901 00:00;0;;
POT;18.01.1901 00:00;0;;
POT;19.01.1901 00:00;0;;
POT;20.01.1901 00:00;0;;
POT;21.01.1901 00:00;0;;
POT;22.01.1901 00:00;0;;
POT;23.01.1901 00:00;0;;
POT;24.01.1901 00:00;0;;
POT;25.01.1901 00:00;0;;
POT;26.01.1901 00:00;0;;
POT;27.01.1901 00:00;0;;
POT;28.01.1901 00:00;0;;
POT;29.01.1901 00:00;0;;
POT;30.01.1901 00:00;0.8;;
POT;31.01.1901 00:00;0;;
POT;01.02.1901 00:00;13.9;;
POT;02.02.1901 00:00;2.7;;
POT;03.02.1901 00:00;8.7;;
POT;04.02.1901 00:00;20.3;;
POT;05.02.1901 00:00;10.5;;
POT;06.02.1901 00:00;0;;
POT;07.02.1901 00:00;0;;
POT;08.02.1901 00:00;0;;
POT;09.02.1901 00:00;0;;
POT;10.02.1901 00:00;0;;
POT;11.02.1901 00:00;0;;
POT;12.02.1901 00:00;0;;
POT;13.02.1901 00:00;0;;
POT;14.02.1901 00:00;0;;
POT;15.02.1901 00:00;0;;
POT;16.02.1901 00:00;0;;
POT;17.02.1901 00:00;1.7;;
POT;18.02.1901 00:00;0;;
POT;19.02.1901 00:00;0;;
POT;20.02.1901 00:00;0;;
POT;21.02.1901 00:00;0;;
POT;22.02.1901 00:00;0;;
POT;23.02.1901 00:00;0;;
POT;24.02.1901 00:00;0;;
POT;25.02.1901 00:00;0;;
POT;26.02.1901 00:00;0;;
POT;27.02.1901 00:00;0;;
POT;28.02.1901 00:00;0;;
POT;01.03.1901 00:00;2.7;;
POT;02.03.1901 00:00;5.5;;
POT;03.03.1901 00:00;1.7;;
POT;04.03.1901 00:00;0;;
POT;05.03.1901 00:00;0;;
POT;06.03.1901 00:00;4.7;;
POT;07.03.1901 00:00;0;;
POT;08.03.1901 00:00;0;;
POT;09.03.1901 00:00;2.3;;
POT;10.03.1901 00:00;35.3;;
POT;11.03.1901 00:00;16.2;;
POT;12.03.1901 00:00;0.4;;
POT;13.03.1901 00:00;0.7;;
POT;14.03.1901 00:00;12.2;;
POT;15.03.1901 00:00;54.2;;
POT;16.03.1901 00:00;6.3;;
POT;17.03.1901 00:00;31.7;;
POT;18.03.1901 00:00;37.6;;
POT;19.03.1901 00:00;19.5;;
POT;20.03.1901 00:00;0;;
POT;21.03.1901 00:00;0;;
POT;22.03.1901 00:00;0;;
POT;23.03.1901 00:00;0;;
POT;24.03.1901 00:00;0;;
POT;25.03.1901 00:00;0;;
POT;26.03.1901 00:00;0;;
POT;27.03.1901 00:00;0;;
POT;28.03.1901 00:00;0;;
POT;29.03.1901 00:00;0;;
POT;30.03.1901 00:00;2.2;;
POT;31.03.1901 00:00;29.1;;
POT;01.04.1901 00:00;13.1;;
POT;02.04.1901 00:00;5.3;;
POT;03.04.1901 00:00;1.7;;
POT;04.04.1901 00:00;0;;
POT;05.04.1901 00:00;0;;
POT;06.04.1901 00:00;0;;
POT;07.04.1901 00:00;0;;
POT;08.04.1901 00:00;0;;
POT;09.04.1901 00:00;11.9;;
POT;10.04.1901 00:00;17.8;;
POT;11.04.1901 00:00;0;;
POT;12.04.1901 00:00;75.6;;
POT;13.04.1901 00:00;0;;
POT;14.04.1901 00:00;0;;
POT;15.04.1901 00:00;0;;
POT;16.04.1901 00:00;0;;
POT;17.04.1901 00:00;0;;
POT;18.04.1901 00:00;0;;
POT;19.04.1901 00:00;0;;
POT;20.04.1901 00:00;0;;
POT;21.04.1901 00:00;0;;
POT;22.04.1901 00:00;0;;
POT;23.04.1901 00:00;0;;
POT;24.04.1901 00:00;0;;
POT;25.04.1901 00:00;0;;
POT;26.04.1901 00:00;50;;
POT;27.04.1901 00:00;36.5;;
POT;28.04.1901 00:00;13.6;;
POT;29.04.1901 00:00;17.6;;
POT;30.04.1901 00:00;14.8;;
POT;01.05.1901 00:00;0;;
POT;02.05.1901 00:00;0;;
POT;03.05.1901 00:00;0;;
POT;04.05.1901 00:00;0;;
POT;05.05.1901 00:00;0;;
POT;06.05.1901 00:00;21.3;;
POT;07.05.1901 00:00;3.3;;
POT;08.05.1901 00:00;7.2;;
POT;09.05.1901 00:00;3.5;;
POT;10.05.1901 00:00;0;;
POT;11.05.1901 00:00;3;;
POT;12.05.1901 00:00;0;;
POT;13.05.1901 00:00;0;;
POT;14.05.1901 00:00;0;;
POT;15.05.1901 00:00;0;;
POT;16.05.1901 00:00;5;;
POT;17.05.1901 00:00;0;;
POT;18.05.1901 00:00;5.2;;
POT;19.05.1901 00:00;0;;
POT;20.05.1901 00:00;11;;
POT;21.05.1901 00:00;0;;
POT;22.05.1901 00:00;0;;
POT;23.05.1901 00:00;0;;
POT;24.05.1901 00:00;0;;
POT;25.05.1901 00:00;3;;
POT;26.05.1901 00:00;0;;
POT;27.05.1901 00:00;0;;
POT;28.05.1901 00:00;0;;
POT;29.05.1901 00:00;6.5;;
POT;30.05.1901 00:00;0;;
POT;31.05.1901 00:00;0;;
POT;01.06.1901 00:00;0;;
POT;02.06.1901 00:00;0;;
POT;03.06.1901 00:00;0;;
POT;04.06.1901 00:00;0;;
POT;05.06.1901 00:00;0;;
POT;06.06.1901 00:00;0;;
POT;07.06.1901 00:00;3.4;;
POT;08.06.1901 00:00;3.2;;
POT;09.06.1901 00:00;2.5;;
POT;10.06.1901 00:00;0;;
POT;11.06.1901 00:00;0;;
POT;12.06.1901 00:00;0.7;;
POT;13.06.1901 00:00;4.6;;
POT;14.06.1901 00:00;45.6;;
POT;15.06.1901 00:00;117.1;;
POT;16.06.1901 00:00;0;;
POT;17.06.1901 00:00;0;;
POT;18.06.1901 00:00;1.9;;
POT;19.06.1901 00:00;0;;
POT;20.06.1901 00:00;0;;
