station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
PUD;01.01.1974 00:00;2;;
PUD;02.01.1974 00:00;0.4;;
PUD;03.01.1974 00:00;0;;
PUD;04.01.1974 00:00;0;;
PUD;05.01.1974 00:00;4.4;;
PUD;06.01.1974 00:00;2.1;;
PUD;07.01.1974 00:00;0;;
PUD;08.01.1974 00:00;0;;
PUD;09.01.1974 00:00;2.1;;
PUD;10.01.1974 00:00;0.8;;
PUD;11.01.1974 00:00;0;;
PUD;12.01.1974 00:00;0;;
PUD;13.01.1974 00:00;0;;
PUD;14.01.1974 00:00;0.7;;
PUD;15.01.1974 00:00;1.4;;
PUD;16.01.1974 00:00;16.3;;
PUD;17.01.1974 00:00;12.5;;
PUD;18.01.1974 00:00;10.1;;
PUD;19.01.1974 00:00;0;;
PUD;20.01.1974 00:00;0;;
PUD;21.01.1974 00:00;0;;
PUD;22.01.1974 00:00;0;;
PUD;23.01.1974 00:00;0;;
PUD;24.01.1974 00:00;0;;
PUD;25.01.1974 00:00;0;;
PUD;26.01.1974 00:00;0;;
PUD;27.01.1974 00:00;0;;
PUD;28.01.1974 00:00;0;;
PUD;29.01.1974 00:00;0;;
PUD;30.01.1974 00:00;0;;
PUD;31.01.1974 00:00;0.1;;
PUD;01.02.1974 00:00;3;;
PUD;02.02.1974 00:00;0.4;;
PUD;03.02.1974 00:00;2.4;;
PUD;04.02.1974 00:00;0;;
PUD;05.02.1974 00:00;4.5;;
PUD;06.02.1974 00:00;6.9;;
PUD;07.02.1974 00:00;9.8;;
PUD;08.02.1974 00:00;1.2;;
PUD;09.02.1974 00:00;0;;
PUD;10.02.1974 00:00;0;;
PUD;11.02.1974 00:00;0;;
PUD;12.02.1974 00:00;6.6;;
PUD;13.02.1974 00:00;0.5;;
PUD;14.02.1974 00:00;0;;
PUD;15.02.1974 00:00;0;;
PUD;16.02.1974 00:00;0;;
PUD;17.02.1974 00:00;0;;
PUD;18.02.1974 00:00;1.9;;
PUD;19.02.1974 00:00;0;;
PUD;20.02.1974 00:00;0;;
PUD;21.02.1974 00:00;0;;
PUD;22.02.1974 00:00;1.7;;
PUD;23.02.1974 00:00;0;;
PUD;24.02.1974 00:00;0;;
PUD;25.02.1974 00:00;0;;
PUD;26.02.1974 00:00;0;;
PUD;27.02.1974 00:00;0;;
PUD;28.02.1974 00:00;0;;
PUD;01.03.1974 00:00;1.2;;
PUD;02.03.1974 00:00;0;;
PUD;03.03.1974 00:00;5.6;;
PUD;04.03.1974 00:00;22.4;;
PUD;05.03.1974 00:00;0;;
PUD;06.03.1974 00:00;0;;
PUD;07.03.1974 00:00;0;;
PUD;08.03.1974 00:00;0;;
PUD;09.03.1974 00:00;0;;
PUD;10.03.1974 00:00;0;;
PUD;11.03.1974 00:00;0;;
PUD;12.03.1974 00:00;0;;
PUD;13.03.1974 00:00;0;;
PUD;14.03.1974 00:00;0;;
PUD;15.03.1974 00:00;1.7;;
PUD;16.03.1974 00:00;10.3;;
PUD;17.03.1974 00:00;0;;
PUD;18.03.1974 00:00;0;;
PUD;19.03.1974 00:00;0;;
PUD;20.03.1974 00:00;0;;
PUD;21.03.1974 00:00;0;;
PUD;22.03.1974 00:00;0;;
PUD;23.03.1974 00:00;0;;
PUD;24.03.1974 00:00;0;;
PUD;25.03.1974 00:00;0;;
PUD;26.03.1974 00:00;0;;
PUD;27.03.1974 00:00;0;;
PUD;28.03.1974 00:00;0;;
PUD;29.03.1974 00:00;0;;
PUD;30.03.1974 00:00;0;;
PUD;31.03.1974 00:00;0;;
