station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
RIC;01.01.1901 00:00;3;;
RIC;02.01.1901 00:00;0;;
RIC;03.01.1901 00:00;0;;
RIC;04.01.1901 00:00;0;;
RIC;05.01.1901 00:00;0;;
RIC;06.01.1901 00:00;0;;
RIC;07.01.1901 00:00;0;;
RIC;08.01.1901 00:00;0;;
RIC;09.01.1901 00:00;0;;
RIC;10.01.1901 00:00;0;;
RIC;11.01.1901 00:00;4;;
RIC;12.01.1901 00:00;0;;
RIC;13.01.1901 00:00;0;;
RIC;14.01.1901 00:00;0;;
RIC;15.01.1901 00:00;0;;
RIC;16.01.1901 00:00;0;;
RIC;17.01.1901 00:00;0;;
RIC;18.01.1901 00:00;0;;
RIC;19.01.1901 00:00;0;;
RIC;20.01.1901 00:00;13;;
RIC;21.01.1901 00:00;6.1;;
RIC;22.01.1901 00:00;0;;
RIC;23.01.1901 00:00;0;;
RIC;24.01.1901 00:00;0;;
RIC;25.01.1901 00:00;0;;
RIC;26.01.1901 00:00;10.4;;
RIC;27.01.1901 00:00;30.7;;
RIC;28.01.1901 00:00;17.9;;
RIC;29.01.1901 00:00;10.2;;
RIC;30.01.1901 00:00;0;;
RIC;31.01.1901 00:00;0;;
RIC;01.02.1901 00:00;0;;
RIC;02.02.1901 00:00;3.5;;
RIC;03.02.1901 00:00;0;;
RIC;04.02.1901 00:00;0;;
RIC;05.02.1901 00:00;1.5;;
RIC;06.02.1901 00:00;0;;
RIC;07.02.1901 00:00;7.5;;
RIC;08.02.1901 00:00;4.2;;
RIC;09.02.1901 00:00;0;;
RIC;10.02.1901 00:00;0;;
RIC;11.02.1901 00:00;6.5;;
RIC;12.02.1901 00:00;0;;
RIC;13.02.1901 00:00;4;;
RIC;14.02.1901 00:00;0;;
RIC;15.02.1901 00:00;0;;
RIC;16.02.1901 00:00;6.1;;
RIC;17.02.1901 00:00;6;;
RIC;18.02.1901 00:00;1.9;;
RIC;19.02.1901 00:00;0;;
RIC;20.02.1901 00:00;0;;
RIC;21.02.1901 00:00;0;;
RIC;22.02.1901 00:00;0;;
RIC;23.02.1901 00:00;0;;
RIC;24.02.1901 00:00;0;;
RIC;25.02.1901 00:00;0;;
RIC;26.02.1901 00:00;0;;
RIC;27.02.1901 00:00;0;;
RIC;28.02.1901 00:00;0;;
RIC;01.03.1901 00:00;2.1;;
RIC;02.03.1901 00:00;21;;
RIC;03.03.1901 00:00;10.5;;
RIC;04.03.1901 00:00;9;;
RIC;05.03.1901 00:00;6.8;;
RIC;06.03.1901 00:00;0;;
RIC;07.03.1901 00:00;0;;
RIC;08.03.1901 00:00;0;;
RIC;09.03.1901 00:00;0;;
RIC;10.03.1901 00:00;0;;
RIC;11.03.1901 00:00;0;;
RIC;12.03.1901 00:00;0;;
RIC;13.03.1901 00:00;0;;
RIC;14.03.1901 00:00;0;;
RIC;15.03.1901 00:00;0;;
RIC;16.03.1901 00:00;0;;
RIC;17.03.1901 00:00;0;;
RIC;18.03.1901 00:00;0;;
RIC;19.03.1901 00:00;0;;
RIC;20.03.1901 00:00;24.7;;
RIC;21.03.1901 00:00;8.3;;
RIC;22.03.1901 00:00;0;;
RIC;23.03.1901 00:00;0;;
RIC;24.03.1901 00:00;0;;
RIC;25.03.1901 00:00;8.2;;
RIC;26.03.1901 00:00;6.7;;
RIC;27.03.1901 00:00;0;;
RIC;28.03.1901 00:00;4.3;;
RIC;29.03.1901 00:00;0;;
RIC;30.03.1901 00:00;0;;
