station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
RIH;01.01.1900 00:00;1;;
RIH;02.01.1900 00:00;2.5;;
RIH;03.01.1900 00:00;9.8;;
RIH;04.01.1900 00:00;7.6;;
RIH;05.01.1900 00:00;6.3;;
RIH;06.01.1900 00:00;0;;
RIH;07.01.1900 00:00;0;;
RIH;08.01.1900 00:00;2.6;;
RIH;09.01.1900 00:00;4.9;;
RIH;10.01.1900 00:00;2.9;;
RIH;11.01.1900 00:00;6.8;;
RIH;12.01.1900 00:00;0.2;;
RIH;13.01.1900 00:00;0;;
RIH;14.01.1900 00:00;0;;
RIH;15.01.1900 00:00;2.6;;
RIH;16.01.1900 00:00;8.1;;
RIH;17.01.1900 00:00;19.3;;
RIH;18.01.1900 00:00;12.6;;
RIH;19.01.1900 00:00;0.5;;
RIH;20.01.1900 00:00;3.1;;
RIH;21.01.1900 00:00;4.7;;
RIH;22.01.1900 00:00;8;;
RIH;23.01.1900 00:00;0;;
RIH;24.01.1900 00:00;7.5;;
RIH;25.01.1900 00:00;1.5;;
RIH;26.01.1900 00:00;0;;
RIH;27.01.1900 00:00;6;;
RIH;28.01.1900 00:00;1.5;;
RIH;29.01.1900 00:00;6.5;;
RIH;30.01.1900 00:00;3.5;;
RIH;31.01.1900 00:00;0;;
RIH;01.02.1900 00:00;0;;
RIH;02.02.1900 00:00;0;;
RIH;03.02.1900 00:00;0;;
RIH;04.02.1900 00:00;0;;
RIH;05.02.1900 00:00;0;;
RIH;06.02.1900 00:00;7.3;;
RIH;07.02.1900 00:00;0.3;;
RIH;08.02.1900 00:00;0;;
RIH;09.02.1900 00:00;1.6;;
RIH;10.02.1900 00:00;0;;
RIH;11.02.1900 00:00;0.8;;
RIH;12.02.1900 00:00;19.7;;
RIH;13.02.1900 00:00;14;;
RIH;14.02.1900 00:00;1.7;;
RIH;15.02.1900 00:00;1.1;;
RIH;16.02.1900 00:00;0;;
RIH;17.02.1900 00:00;0;;
RIH;18.02.1900 00:00;1.8;;
RIH;19.02.1900 00:00;3.6;;
