station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
ROB;01.01.1959 00:00;0;;
ROB;02.01.1959 00:00;0.6;;
ROB;03.01.1959 00:00;0;;
ROB;04.01.1959 00:00;0;;
ROB;05.01.1959 00:00;0;;
ROB;06.01.1959 00:00;0;;
ROB;07.01.1959 00:00;0;;
ROB;08.01.1959 00:00;0;;
ROB;09.01.1959 00:00;0;;
ROB;10.01.1959 00:00;0;;
ROB;11.01.1959 00:00;0;;
ROB;12.01.1959 00:00;0;;
ROB;13.01.1959 00:00;0;;
ROB;14.01.1959 00:00;2;;
ROB;15.01.1959 00:00;0;;
ROB;16.01.1959 00:00;0;;
ROB;17.01.1959 00:00;0;;
ROB;18.01.1959 00:00;0;;
ROB;19.01.1959 00:00;0;;
ROB;20.01.1959 00:00;6.9;;
ROB;21.01.1959 00:00;6.4;;
ROB;22.01.1959 00:00;7;;
ROB;23.01.1959 00:00;4.6;;
ROB;24.01.1959 00:00;0;;
ROB;25.01.1959 00:00;0;;
ROB;26.01.1959 00:00;0;;
ROB;27.01.1959 00:00;0;;
ROB;28.01.1959 00:00;0;;
ROB;29.01.1959 00:00;0;;
ROB;30.01.1959 00:00;0;;
ROB;31.01.1959 00:00;0;;
ROB;01.02.1959 00:00;0;;
ROB;02.02.1959 00:00;1.7;;
ROB;03.02.1959 00:00;0;;
ROB;04.02.1959 00:00;0;;
ROB;05.02.1959 00:00;0;;
ROB;06.02.1959 00:00;0;;
ROB;07.02.1959 00:00;0;;
ROB;08.02.1959 00:00;0;;
ROB;09.02.1959 00:00;0;;
ROB;10.02.1959 00:00;0;;
ROB;11.02.1959 00:00;0;;
ROB;12.02.1959 00:00;0;;
ROB;13.02.1959 00:00;0;;
ROB;14.02.1959 00:00;0;;
ROB;15.02.1959 00:00;0;;
ROB;16.02.1959 00:00;0;;
ROB;17.02.1959 00:00;0;;
ROB;18.02.1959 00:00;0;;
ROB;19.02.1959 00:00;0;;
ROB;20.02.1959 00:00;0;;
ROB;21.02.1959 00:00;0;;
ROB;22.02.1959 00:00;0;;
ROB;23.02.1959 00:00;0;;
ROB;24.02.1959 00:00;0;;
ROB;25.02.1959 00:00;0;;
ROB;26.02.1959 00:00;0;;
ROB;27.02.1959 00:00;0;;
ROB;28.02.1959 00:00;0;;
ROB;01.03.1959 00:00;0;;
ROB;02.03.1959 00:00;0;;
ROB;03.03.1959 00:00;0.6;;
ROB;04.03.1959 00:00;19.7;;
ROB;05.03.1959 00:00;3;;
ROB;06.03.1959 00:00;21.7;;
ROB;07.03.1959 00:00;22.5;;
ROB;08.03.1959 00:00;0;;
ROB;09.03.1959 00:00;0;;
ROB;10.03.1959 00:00;4.8;;
ROB;11.03.1959 00:00;3.1;;
ROB;12.03.1959 00:00;0;;
ROB;13.03.1959 00:00;0;;
ROB;14.03.1959 00:00;0;;
ROB;15.03.1959 00:00;0;;
ROB;16.03.1959 00:00;0;;
ROB;17.03.1959 00:00;0;;
ROB;18.03.1959 00:00;4.2;;
ROB;19.03.1959 00:00;1.8;;
ROB;20.03.1959 00:00;0;;
ROB;21.03.1959 00:00;0;;
ROB;22.03.1959 00:00;0;;
ROB;23.03.1959 00:00;0;;
ROB;24.03.1959 00:00;0;;
ROB;25.03.1959 00:00;6.7;;
ROB;26.03.1959 00:00;1;;
ROB;27.03.1959 00:00;0;;
ROB;28.03.1959 00:00;0;;
ROB;29.03.1959 00:00;1.2;;
ROB;30.03.1959 00:00;10;;
ROB;31.03.1959 00:00;0;;
