station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SAB;01.08.1995 00:00;0;;
SAB;02.08.1995 00:00;0;;
SAB;03.08.1995 00:00;0;;
SAB;04.08.1995 00:00;0;;
SAB;05.08.1995 00:00;0;;
SAB;06.08.1995 00:00;22.7;;
SAB;07.08.1995 00:00;16.1;;
SAB;08.08.1995 00:00;5.6;;
SAB;09.08.1995 00:00;0.2;;
SAB;10.08.1995 00:00;0;;
SAB;11.08.1995 00:00;21.8;;
SAB;12.08.1995 00:00;7.9;;
SAB;13.08.1995 00:00;11.7;;
SAB;14.08.1995 00:00;7.2;;
SAB;15.08.1995 00:00;0;;
SAB;16.08.1995 00:00;0;;
SAB;17.08.1995 00:00;0;;
SAB;18.08.1995 00:00;0;;
SAB;19.08.1995 00:00;1;;
SAB;20.08.1995 00:00;0.1;;
SAB;21.08.1995 00:00;0;;
SAB;22.08.1995 00:00;14.9;;
SAB;23.08.1995 00:00;12;;
SAB;24.08.1995 00:00;0.8;;
SAB;25.08.1995 00:00;8.2;;
SAB;26.08.1995 00:00;2.4;;
SAB;27.08.1995 00:00;25.3;;
SAB;28.08.1995 00:00;22.2;;
SAB;29.08.1995 00:00;3.5;;
SAB;30.08.1995 00:00;1.3;;
SAB;31.08.1995 00:00;0;;
SAB;01.09.1995 00:00;0;;
SAB;02.09.1995 00:00;0;;
SAB;03.09.1995 00:00;26.1;;
SAB;04.09.1995 00:00;7.1;;
SAB;05.09.1995 00:00;0;;
SAB;06.09.1995 00:00;0;;
SAB;07.09.1995 00:00;31.6;;
SAB;08.09.1995 00:00;7.7;;
SAB;09.09.1995 00:00;0;;
SAB;10.09.1995 00:00;0.3;;
SAB;11.09.1995 00:00;8.5;;
SAB;12.09.1995 00:00;12.1;;
SAB;13.09.1995 00:00;37.4;;
SAB;14.09.1995 00:00;2;;
SAB;15.09.1995 00:00;1.8;;
SAB;16.09.1995 00:00;2;;
SAB;17.09.1995 00:00;0;;
SAB;18.09.1995 00:00;0;;
SAB;19.09.1995 00:00;15.3;;
SAB;20.09.1995 00:00;9;;
