station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SAE;01.09.1882 00:00;3.2;;
SAE;02.09.1882 00:00;0;;
SAE;03.09.1882 00:00;2;;
SAE;04.09.1882 00:00;12.9;;
SAE;05.09.1882 00:00;11.2;;
SAE;06.09.1882 00:00;0;;
SAE;07.09.1882 00:00;0;;
SAE;08.09.1882 00:00;0;;
SAE;09.09.1882 00:00;0;;
SAE;10.09.1882 00:00;2.8;;
SAE;11.09.1882 00:00;0;;
SAE;12.09.1882 00:00;2;;
SAE;13.09.1882 00:00;11;;
SAE;14.09.1882 00:00;0;;
SAE;15.09.1882 00:00;1.1;;
SAE;16.09.1882 00:00;0;;
SAE;17.09.1882 00:00;2.8;;
SAE;18.09.1882 00:00;4.2;;
SAE;19.09.1882 00:00;4.6;;
SAE;20.09.1882 00:00;1;;
SAE;21.09.1882 00:00;3;;
SAE;22.09.1882 00:00;11.1;;
SAE;23.09.1882 00:00;3;;
SAE;24.09.1882 00:00;1;;
SAE;25.09.1882 00:00;0;;
SAE;26.09.1882 00:00;0.8;;
SAE;27.09.1882 00:00;5.7;;
SAE;28.09.1882 00:00;4.5;;
SAE;29.09.1882 00:00;13.2;;
SAE;30.09.1882 00:00;9.7;;
SAE;01.10.1882 00:00;0;;
SAE;02.10.1882 00:00;16;;
SAE;03.10.1882 00:00;26;;
SAE;04.10.1882 00:00;8.3;;
SAE;05.10.1882 00:00;0;;
SAE;06.10.1882 00:00;0.4;;
SAE;07.10.1882 00:00;0;;
SAE;08.10.1882 00:00;0;;
SAE;09.10.1882 00:00;0;;
SAE;10.10.1882 00:00;0;;
SAE;11.10.1882 00:00;0;;
SAE;12.10.1882 00:00;7.4;;
SAE;13.10.1882 00:00;4.3;;
SAE;14.10.1882 00:00;6.6;;
SAE;15.10.1882 00:00;2.4;;
SAE;16.10.1882 00:00;0;;
SAE;17.10.1882 00:00;6.3;;
SAE;18.10.1882 00:00;5.3;;
SAE;19.10.1882 00:00;0;;
