station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SAG;01.01.1901 00:00;2.8;;
SAG;02.01.1901 00:00;0;;
SAG;03.01.1901 00:00;0;;
SAG;04.01.1901 00:00;0;;
SAG;05.01.1901 00:00;0;;
SAG;06.01.1901 00:00;0;;
SAG;07.01.1901 00:00;0;;
SAG;08.01.1901 00:00;0;;
SAG;09.01.1901 00:00;0;;
SAG;10.01.1901 00:00;0;;
SAG;11.01.1901 00:00;1;;
SAG;12.01.1901 00:00;0.6;;
SAG;13.01.1901 00:00;0;;
SAG;14.01.1901 00:00;0;;
SAG;15.01.1901 00:00;0;;
SAG;16.01.1901 00:00;0;;
SAG;17.01.1901 00:00;0;;
SAG;18.01.1901 00:00;0;;
SAG;19.01.1901 00:00;0;;
SAG;20.01.1901 00:00;7.2;;
SAG;21.01.1901 00:00;11.8;;
SAG;22.01.1901 00:00;0;;
SAG;23.01.1901 00:00;0;;
SAG;24.01.1901 00:00;0;;
SAG;25.01.1901 00:00;0.2;;
SAG;26.01.1901 00:00;10.9;;
SAG;27.01.1901 00:00;24;;
SAG;28.01.1901 00:00;10.6;;
SAG;29.01.1901 00:00;2;;
SAG;30.01.1901 00:00;0;;
SAG;31.01.1901 00:00;0;;
SAG;01.02.1901 00:00;0;;
SAG;02.02.1901 00:00;4.5;;
SAG;03.02.1901 00:00;0;;
SAG;04.02.1901 00:00;0;;
SAG;05.02.1901 00:00;1.7;;
SAG;06.02.1901 00:00;1;;
SAG;07.02.1901 00:00;4.2;;
SAG;08.02.1901 00:00;1.5;;
SAG;09.02.1901 00:00;0;;
SAG;10.02.1901 00:00;0;;
SAG;11.02.1901 00:00;5.2;;
SAG;12.02.1901 00:00;0.6;;
SAG;13.02.1901 00:00;6.3;;
SAG;14.02.1901 00:00;0;;
SAG;15.02.1901 00:00;0;;
SAG;16.02.1901 00:00;6.5;;
SAG;17.02.1901 00:00;15;;
SAG;18.02.1901 00:00;2.6;;
SAG;19.02.1901 00:00;0;;
SAG;20.02.1901 00:00;0;;
SAG;21.02.1901 00:00;0;;
SAG;22.02.1901 00:00;0;;
SAG;23.02.1901 00:00;0;;
SAG;24.02.1901 00:00;0;;
SAG;25.02.1901 00:00;0;;
SAG;26.02.1901 00:00;0;;
SAG;27.02.1901 00:00;0;;
SAG;28.02.1901 00:00;0;;
SAG;01.03.1901 00:00;0;;
SAG;02.03.1901 00:00;4.7;;
SAG;03.03.1901 00:00;18.5;;
SAG;04.03.1901 00:00;10.5;;
SAG;05.03.1901 00:00;11.7;;
SAG;06.03.1901 00:00;2.8;;
SAG;07.03.1901 00:00;0;;
SAG;08.03.1901 00:00;0;;
SAG;09.03.1901 00:00;0;;
SAG;10.03.1901 00:00;0;;
SAG;11.03.1901 00:00;0;;
SAG;12.03.1901 00:00;1.9;;
SAG;13.03.1901 00:00;0;;
SAG;14.03.1901 00:00;0;;
SAG;15.03.1901 00:00;0;;
SAG;16.03.1901 00:00;0;;
SAG;17.03.1901 00:00;0;;
SAG;18.03.1901 00:00;0;;
SAG;19.03.1901 00:00;0;;
SAG;20.03.1901 00:00;32.6;;
SAG;21.03.1901 00:00;10.6;;
SAG;22.03.1901 00:00;0.2;;
SAG;23.03.1901 00:00;1.5;;
SAG;24.03.1901 00:00;0;;
SAG;25.03.1901 00:00;3.4;;
SAG;26.03.1901 00:00;11.6;;
SAG;27.03.1901 00:00;0;;
SAG;28.03.1901 00:00;4.5;;
SAG;29.03.1901 00:00;0;;
SAG;30.03.1901 00:00;0;;
SAG;31.03.1901 00:00;0;;
SAG;01.04.1901 00:00;2.7;;
SAG;02.04.1901 00:00;0;;
SAG;03.04.1901 00:00;0;;
SAG;04.04.1901 00:00;4.9;;
SAG;05.04.1901 00:00;61.7;;
SAG;06.04.1901 00:00;3.8;;
SAG;07.04.1901 00:00;48.2;;
SAG;08.04.1901 00:00;9.3;;
SAG;09.04.1901 00:00;3.3;;
SAG;10.04.1901 00:00;15.6;;
SAG;11.04.1901 00:00;0.6;;
SAG;12.04.1901 00:00;26.8;;
SAG;13.04.1901 00:00;14.1;;
SAG;14.04.1901 00:00;15.8;;
SAG;15.04.1901 00:00;5.9;;
SAG;16.04.1901 00:00;14.5;;
SAG;17.04.1901 00:00;13.1;;
SAG;18.04.1901 00:00;1.5;;
SAG;19.04.1901 00:00;0;;
SAG;20.04.1901 00:00;0;;
SAG;21.04.1901 00:00;0;;
SAG;22.04.1901 00:00;0;;
SAG;23.04.1901 00:00;0;;
SAG;24.04.1901 00:00;0;;
SAG;25.04.1901 00:00;0;;
SAG;26.04.1901 00:00;0;;
SAG;27.04.1901 00:00;0;;
SAG;28.04.1901 00:00;3.8;;
SAG;29.04.1901 00:00;3.7;;
SAG;30.04.1901 00:00;2;;
SAG;01.05.1901 00:00;0.1;;
SAG;02.05.1901 00:00;0;;
SAG;03.05.1901 00:00;1.5;;
SAG;04.05.1901 00:00;0;;
SAG;05.05.1901 00:00;0;;
SAG;06.05.1901 00:00;0.2;;
SAG;07.05.1901 00:00;0.8;;
SAG;08.05.1901 00:00;7.2;;
SAG;09.05.1901 00:00;0;;
SAG;10.05.1901 00:00;10;;
SAG;11.05.1901 00:00;0.4;;
SAG;12.05.1901 00:00;1.5;;
SAG;13.05.1901 00:00;0;;
SAG;14.05.1901 00:00;0;;
SAG;15.05.1901 00:00;0;;
SAG;16.05.1901 00:00;19.1;;
SAG;17.05.1901 00:00;0;;
SAG;18.05.1901 00:00;1.8;;
