station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SAM;18.12.1979 00:00;;3;
SAM;19.12.1979 00:00;;0;60
SAM;20.12.1979 00:00;;4;60
SAM;21.12.1979 00:00;;0;64
SAM;22.12.1979 00:00;;14;60
SAM;23.12.1979 00:00;;12;71
SAM;24.12.1979 00:00;;0;80
SAM;25.12.1979 00:00;;0;79
SAM;26.12.1979 00:00;;0;79
SAM;27.12.1979 00:00;;3;79
SAM;28.12.1979 00:00;;0;82
SAM;29.12.1979 00:00;;2;82
SAM;30.12.1979 00:00;;3;80
SAM;31.12.1979 00:00;;4;83
SAM;01.01.1980 00:00;0.1;0;99
SAM;02.01.1980 00:00;2.4;8;99
SAM;03.01.1980 00:00;0.8;2;107
SAM;04.01.1980 00:00;6.4;17;109
SAM;05.01.1980 00:00;0.8;8;125
SAM;06.01.1980 00:00;0.6;3;130
SAM;07.01.1980 00:00;0.4;2;131
SAM;08.01.1980 00:00;0;0;129
SAM;09.01.1980 00:00;0;0;126
SAM;10.01.1980 00:00;0;0;125
SAM;11.01.1980 00:00;0;0;124
SAM;12.01.1980 00:00;0;0;120
SAM;13.01.1980 00:00;0;0;115
SAM;14.01.1980 00:00;0;0;109
SAM;15.01.1980 00:00;0;0;105
SAM;16.01.1980 00:00;0;0;101
SAM;17.01.1980 00:00;0.2;2;94
SAM;18.01.1980 00:00;0;0;92
SAM;19.01.1980 00:00;0;0;91
SAM;20.01.1980 00:00;0;0;90
SAM;21.01.1980 00:00;0.1;2;90
SAM;22.01.1980 00:00;2.9;25;90
SAM;23.01.1980 00:00;0.5;1;112
SAM;24.01.1980 00:00;0.1;3;104
SAM;25.01.1980 00:00;0;0;91
SAM;26.01.1980 00:00;0.1;1;86
SAM;27.01.1980 00:00;0.1;1;86
SAM;28.01.1980 00:00;0;0;85
SAM;29.01.1980 00:00;0;0;81
SAM;30.01.1980 00:00;0;0;80
SAM;31.01.1980 00:00;10.7;25;80
SAM;01.02.1980 00:00;0.7;3;104
SAM;02.02.1980 00:00;0.1;1;104
SAM;03.02.1980 00:00;0.3;3;105
SAM;04.02.1980 00:00;2.6;6;105
SAM;05.02.1980 00:00;0.2;1;101
SAM;06.02.1980 00:00;0;0;93
SAM;07.02.1980 00:00;0;0;91
SAM;08.02.1980 00:00;0;0;90
SAM;09.02.1980 00:00;0;0;90
SAM;10.02.1980 00:00;0.2;1;89
SAM;11.02.1980 00:00;0;0;88
SAM;12.02.1980 00:00;0;0;84
SAM;13.02.1980 00:00;0.1;1;83
SAM;14.02.1980 00:00;0;0;81
SAM;15.02.1980 00:00;0;0;80
SAM;16.02.1980 00:00;0.1;1;80
SAM;17.02.1980 00:00;0.2;2;80
SAM;18.02.1980 00:00;0;0;80
SAM;19.02.1980 00:00;0;0;78
SAM;20.02.1980 00:00;0;0;78
SAM;21.02.1980 00:00;0;0;78
SAM;22.02.1980 00:00;0;0;78
SAM;23.02.1980 00:00;0;0;78
SAM;24.02.1980 00:00;0;0;77
SAM;25.02.1980 00:00;0;0;77
SAM;26.02.1980 00:00;0;0;76
SAM;27.02.1980 00:00;0;0;73
SAM;28.02.1980 00:00;0;0;72
SAM;29.02.1980 00:00;0;0;70
SAM;01.03.1980 00:00;0;0;69
SAM;02.03.1980 00:00;0;0;68
SAM;03.03.1980 00:00;0;0;65
SAM;04.03.1980 00:00;0;0;64
SAM;05.03.1980 00:00;0;0;63
SAM;06.03.1980 00:00;0;0;62
SAM;07.03.1980 00:00;0.4;1;61
SAM;08.03.1980 00:00;0.7;4;60
SAM;09.03.1980 00:00;0;0;63
SAM;10.03.1980 00:00;0;0;62
SAM;11.03.1980 00:00;0.2;1;60
SAM;12.03.1980 00:00;0.1;1;60
SAM;13.03.1980 00:00;1.7;4;60
SAM;14.03.1980 00:00;1.4;3;62
SAM;15.03.1980 00:00;0;0;61
SAM;16.03.1980 00:00;0;0;60
SAM;17.03.1980 00:00;0;0;59
SAM;18.03.1980 00:00;0;0;57
SAM;19.03.1980 00:00;0;0;57
SAM;20.03.1980 00:00;0.9;2;56
SAM;21.03.1980 00:00;0;0;58
SAM;22.03.1980 00:00;0;0;55
SAM;23.03.1980 00:00;2.2;3;55
SAM;24.03.1980 00:00;0;0;58
SAM;25.03.1980 00:00;1;2;55
SAM;26.03.1980 00:00;0.1;1;57
SAM;27.03.1980 00:00;0;0;58
SAM;28.03.1980 00:00;0;0;55
SAM;29.03.1980 00:00;0;0;53
SAM;30.03.1980 00:00;0;0;51
SAM;31.03.1980 00:00;5.3;4;50
SAM;01.04.1980 00:00;0.2;0;51
SAM;02.04.1980 00:00;0;0;45
SAM;03.04.1980 00:00;0.6;1;40
SAM;04.04.1980 00:00;0;0;40
SAM;05.04.1980 00:00;0;0;40
SAM;06.04.1980 00:00;0;0;39
SAM;07.04.1980 00:00;0;0;38
SAM;08.04.1980 00:00;0.2;1;33
SAM;09.04.1980 00:00;0.3;1;33
SAM;10.04.1980 00:00;0;0;33
SAM;11.04.1980 00:00;0;0;33
SAM;12.04.1980 00:00;0;0;30
SAM;13.04.1980 00:00;0;0;27
SAM;14.04.1980 00:00;0;0;25
SAM;15.04.1980 00:00;0;0;24
SAM;16.04.1980 00:00;0.9;0;23
SAM;17.04.1980 00:00;3.8;0;20
SAM;18.04.1980 00:00;0;0;20
SAM;19.04.1980 00:00;0;0;18
SAM;20.04.1980 00:00;0;0;16
SAM;21.04.1980 00:00;0.1;1;15
SAM;22.04.1980 00:00;0.1;2;16
SAM;23.04.1980 00:00;0;0;16
SAM;24.04.1980 00:00;0;0;15
SAM;25.04.1980 00:00;0;0;13
SAM;26.04.1980 00:00;0.1;0;12
SAM;27.04.1980 00:00;0;0;12
SAM;28.04.1980 00:00;0;0;10
SAM;29.04.1980 00:00;0;0;8
SAM;30.04.1980 00:00;0;0;8
