station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SAR;01.01.1864 00:00;0;;
SAR;02.01.1864 00:00;10;;
SAR;03.01.1864 00:00;0;;
SAR;04.01.1864 00:00;0;;
SAR;05.01.1864 00:00;0;;
SAR;06.01.1864 00:00;0;;
SAR;07.01.1864 00:00;0;;
SAR;08.01.1864 00:00;0;;
SAR;09.01.1864 00:00;0;;
SAR;10.01.1864 00:00;0;;
SAR;11.01.1864 00:00;0;;
SAR;12.01.1864 00:00;0;;
SAR;13.01.1864 00:00;0;;
SAR;14.01.1864 00:00;0;;
SAR;15.01.1864 00:00;0;;
SAR;16.01.1864 00:00;0;;
SAR;17.01.1864 00:00;0;;
SAR;18.01.1864 00:00;0;;
SAR;19.01.1864 00:00;0;;
SAR;20.01.1864 00:00;0;;
SAR;21.01.1864 00:00;0;;
SAR;22.01.1864 00:00;0;;
SAR;23.01.1864 00:00;0;;
SAR;24.01.1864 00:00;0;;
SAR;25.01.1864 00:00;15;;
SAR;26.01.1864 00:00;0;;
SAR;27.01.1864 00:00;0;;
SAR;28.01.1864 00:00;0;;
SAR;29.01.1864 00:00;13;;
SAR;30.01.1864 00:00;0;;
SAR;31.01.1864 00:00;0;;
SAR;01.02.1864 00:00;0;;
SAR;02.02.1864 00:00;0;;
SAR;03.02.1864 00:00;0;;
SAR;04.02.1864 00:00;0;;
SAR;05.02.1864 00:00;0;;
SAR;06.02.1864 00:00;1.2;;
SAR;07.02.1864 00:00;0;;
SAR;08.02.1864 00:00;0;;
SAR;09.02.1864 00:00;0;;
SAR;10.02.1864 00:00;0;;
SAR;11.02.1864 00:00;0;;
SAR;12.02.1864 00:00;0;;
SAR;13.02.1864 00:00;0;;
SAR;14.02.1864 00:00;0;;
SAR;15.02.1864 00:00;0;;
SAR;16.02.1864 00:00;0;;
SAR;17.02.1864 00:00;18;;
SAR;18.02.1864 00:00;0.5;;
SAR;19.02.1864 00:00;0;;
SAR;20.02.1864 00:00;0;;
SAR;21.02.1864 00:00;0;;
SAR;22.02.1864 00:00;0;;
SAR;23.02.1864 00:00;0;;
SAR;24.02.1864 00:00;0;;
SAR;25.02.1864 00:00;0;;
SAR;26.02.1864 00:00;0;;
SAR;27.02.1864 00:00;0;;
SAR;28.02.1864 00:00;0;;
SAR;29.02.1864 00:00;0;;
SAR;01.03.1864 00:00;0;;
SAR;02.03.1864 00:00;0;;
SAR;03.03.1864 00:00;0;;
SAR;04.03.1864 00:00;0;;
SAR;05.03.1864 00:00;0;;
SAR;06.03.1864 00:00;0;;
SAR;07.03.1864 00:00;2;;
SAR;08.03.1864 00:00;0;;
SAR;09.03.1864 00:00;0;;
SAR;10.03.1864 00:00;5.3;;
SAR;11.03.1864 00:00;3;;
SAR;12.03.1864 00:00;0;;
SAR;13.03.1864 00:00;0;;
SAR;14.03.1864 00:00;0;;
SAR;15.03.1864 00:00;0;;
SAR;16.03.1864 00:00;0;;
SAR;17.03.1864 00:00;2;;
SAR;18.03.1864 00:00;0;;
SAR;19.03.1864 00:00;0;;
SAR;20.03.1864 00:00;0;;
SAR;21.03.1864 00:00;0;;
SAR;22.03.1864 00:00;0;;
SAR;23.03.1864 00:00;7.5;;
SAR;24.03.1864 00:00;0;;
SAR;25.03.1864 00:00;0;;
SAR;26.03.1864 00:00;0;;
SAR;27.03.1864 00:00;0;;
SAR;28.03.1864 00:00;21.6;;
SAR;29.03.1864 00:00;0;;
SAR;30.03.1864 00:00;0;;
SAR;31.03.1864 00:00;0;;
SAR;01.04.1864 00:00;0;;
SAR;02.04.1864 00:00;12;;
SAR;03.04.1864 00:00;6.2;;
SAR;04.04.1864 00:00;0;;
SAR;05.04.1864 00:00;33.3;;
SAR;06.04.1864 00:00;13;;
SAR;07.04.1864 00:00;0;;
SAR;08.04.1864 00:00;0;;
SAR;09.04.1864 00:00;0;;
SAR;10.04.1864 00:00;0;;
SAR;11.04.1864 00:00;0;;
SAR;12.04.1864 00:00;0;;
SAR;13.04.1864 00:00;0;;
SAR;14.04.1864 00:00;0;;
SAR;15.04.1864 00:00;0;;
SAR;16.04.1864 00:00;0;;
SAR;17.04.1864 00:00;9;;
SAR;18.04.1864 00:00;2.5;;
SAR;19.04.1864 00:00;0;;
SAR;20.04.1864 00:00;0;;
SAR;21.04.1864 00:00;0;;
SAR;22.04.1864 00:00;0;;
SAR;23.04.1864 00:00;0;;
SAR;24.04.1864 00:00;0;;
SAR;25.04.1864 00:00;0;;
SAR;26.04.1864 00:00;0;;
SAR;27.04.1864 00:00;0;;
SAR;28.04.1864 00:00;7;;
SAR;29.04.1864 00:00;11.5;;
SAR;30.04.1864 00:00;4;;
SAR;01.05.1864 00:00;0;;
SAR;02.05.1864 00:00;0;;
SAR;03.05.1864 00:00;40;;
SAR;04.05.1864 00:00;26;;
SAR;05.05.1864 00:00;30;;
SAR;06.05.1864 00:00;4.2;;
SAR;07.05.1864 00:00;0;;
SAR;08.05.1864 00:00;0;;
SAR;09.05.1864 00:00;0;;
SAR;10.05.1864 00:00;4.8;;
SAR;11.05.1864 00:00;0;;
SAR;12.05.1864 00:00;0;;
SAR;13.05.1864 00:00;2;;
SAR;14.05.1864 00:00;12.5;;
SAR;15.05.1864 00:00;6.5;;
SAR;16.05.1864 00:00;0;;
SAR;17.05.1864 00:00;0;;
SAR;18.05.1864 00:00;0;;
SAR;19.05.1864 00:00;0;;
SAR;20.05.1864 00:00;0;;
SAR;21.05.1864 00:00;0;;
SAR;22.05.1864 00:00;0;;
SAR;23.05.1864 00:00;0;;
SAR;24.05.1864 00:00;16.8;;
SAR;25.05.1864 00:00;0;;
SAR;26.05.1864 00:00;0;;
SAR;27.05.1864 00:00;0;;
SAR;28.05.1864 00:00;0;;
SAR;29.05.1864 00:00;0;;
SAR;30.05.1864 00:00;0;;
SAR;31.05.1864 00:00;0;;
SAR;01.06.1864 00:00;0;;
SAR;02.06.1864 00:00;0;;
SAR;03.06.1864 00:00;10.2;;
SAR;04.06.1864 00:00;0;;
SAR;05.06.1864 00:00;4;;
SAR;06.06.1864 00:00;3.3;;
SAR;07.06.1864 00:00;0;;
SAR;08.06.1864 00:00;2;;
SAR;09.06.1864 00:00;14;;
SAR;10.06.1864 00:00;4;;
SAR;11.06.1864 00:00;14;;
SAR;12.06.1864 00:00;2;;
SAR;13.06.1864 00:00;0;;
SAR;14.06.1864 00:00;0;;
SAR;15.06.1864 00:00;1.5;;
SAR;16.06.1864 00:00;2;;
SAR;17.06.1864 00:00;30.6;;
SAR;18.06.1864 00:00;22.5;;
SAR;19.06.1864 00:00;6.5;;
SAR;20.06.1864 00:00;0;;
SAR;21.06.1864 00:00;0;;
SAR;22.06.1864 00:00;0;;
SAR;23.06.1864 00:00;0;;
SAR;24.06.1864 00:00;0;;
SAR;25.06.1864 00:00;14.4;;
SAR;26.06.1864 00:00;0;;
SAR;27.06.1864 00:00;8.3;;
SAR;28.06.1864 00:00;8.4;;
SAR;29.06.1864 00:00;5.1;;
SAR;30.06.1864 00:00;0;;
SAR;01.07.1864 00:00;24;;
SAR;02.07.1864 00:00;5.2;;
SAR;03.07.1864 00:00;0;;
SAR;04.07.1864 00:00;10.5;;
SAR;05.07.1864 00:00;0;;
SAR;06.07.1864 00:00;0;;
SAR;07.07.1864 00:00;0;;
SAR;08.07.1864 00:00;0;;
SAR;09.07.1864 00:00;2.5;;
SAR;10.07.1864 00:00;0;;
SAR;11.07.1864 00:00;0;;
SAR;12.07.1864 00:00;0;;
SAR;13.07.1864 00:00;14.5;;
SAR;14.07.1864 00:00;26.4;;
SAR;15.07.1864 00:00;0;;
SAR;16.07.1864 00:00;0;;
SAR;17.07.1864 00:00;0;;
SAR;18.07.1864 00:00;14;;
SAR;19.07.1864 00:00;15;;
SAR;20.07.1864 00:00;7.5;;
SAR;21.07.1864 00:00;0;;
SAR;22.07.1864 00:00;0.7;;
SAR;23.07.1864 00:00;8.6;;
SAR;24.07.1864 00:00;1;;
SAR;25.07.1864 00:00;0;;
SAR;26.07.1864 00:00;31.2;;
SAR;27.07.1864 00:00;11;;
SAR;28.07.1864 00:00;0;;
SAR;29.07.1864 00:00;37;;
SAR;30.07.1864 00:00;17;;
SAR;31.07.1864 00:00;4.6;;
SAR;01.08.1864 00:00;0;;
SAR;02.08.1864 00:00;0;;
SAR;03.08.1864 00:00;2.5;;
SAR;04.08.1864 00:00;0;;
SAR;05.08.1864 00:00;0;;
SAR;06.08.1864 00:00;0;;
SAR;07.08.1864 00:00;0;;
SAR;08.08.1864 00:00;0;;
SAR;09.08.1864 00:00;0;;
SAR;10.08.1864 00:00;7.4;;
SAR;11.08.1864 00:00;8;;
SAR;12.08.1864 00:00;9.2;;
SAR;13.08.1864 00:00;0;;
SAR;14.08.1864 00:00;0;;
SAR;15.08.1864 00:00;0;;
SAR;16.08.1864 00:00;0;;
SAR;17.08.1864 00:00;0;;
SAR;18.08.1864 00:00;0;;
SAR;19.08.1864 00:00;2.1;;
SAR;20.08.1864 00:00;9.2;;
SAR;21.08.1864 00:00;11;;
SAR;22.08.1864 00:00;0;;
SAR;23.08.1864 00:00;0;;
SAR;24.08.1864 00:00;1.8;;
SAR;25.08.1864 00:00;9.8;;
SAR;26.08.1864 00:00;0;;
SAR;27.08.1864 00:00;3.8;;
SAR;28.08.1864 00:00;2;;
SAR;29.08.1864 00:00;0;;
SAR;30.08.1864 00:00;0;;
SAR;31.08.1864 00:00;0;;
SAR;01.09.1864 00:00;0;;
SAR;02.09.1864 00:00;2.3;;
SAR;03.09.1864 00:00;18;;
SAR;04.09.1864 00:00;2.5;;
SAR;05.09.1864 00:00;0;;
SAR;06.09.1864 00:00;10;;
SAR;07.09.1864 00:00;1;;
SAR;08.09.1864 00:00;0;;
SAR;09.09.1864 00:00;0;;
SAR;10.09.1864 00:00;0;;
SAR;11.09.1864 00:00;0;;
SAR;12.09.1864 00:00;28;;
SAR;13.09.1864 00:00;27;;
SAR;14.09.1864 00:00;0;;
SAR;15.09.1864 00:00;0;;
