station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SBA;01.12.1994 00:00;0;;
SBA;02.12.1994 00:00;0;;
SBA;03.12.1994 00:00;0;;
SBA;04.12.1994 00:00;0;;
SBA;05.12.1994 00:00;0;;
SBA;06.12.1994 00:00;0.8;;
SBA;07.12.1994 00:00;0;;
SBA;08.12.1994 00:00;0;;
SBA;09.12.1994 00:00;13.4;;
SBA;10.12.1994 00:00;0;;
SBA;11.12.1994 00:00;0;;
SBA;12.12.1994 00:00;0;;
SBA;13.12.1994 00:00;0;;
SBA;14.12.1994 00:00;0;;
SBA;15.12.1994 00:00;0;;
SBA;16.12.1994 00:00;0;;
SBA;17.12.1994 00:00;0;;
SBA;18.12.1994 00:00;0;;
SBA;19.12.1994 00:00;8.4;;
SBA;20.12.1994 00:00;1.8;;
SBA;21.12.1994 00:00;0;;
SBA;22.12.1994 00:00;0.4;;
SBA;23.12.1994 00:00;0;;
SBA;24.12.1994 00:00;0;;
SBA;25.12.1994 00:00;0;;
SBA;26.12.1994 00:00;0;;
SBA;27.12.1994 00:00;0.2;;
SBA;28.12.1994 00:00;0;;
SBA;29.12.1994 00:00;4.2;;
SBA;30.12.1994 00:00;12.6;;
SBA;31.12.1994 00:00;6;;
SBA;01.01.1995 00:00;2.8;;
SBA;02.01.1995 00:00;1;;
SBA;03.01.1995 00:00;0.3;;
SBA;04.01.1995 00:00;0;;
SBA;05.01.1995 00:00;0;;
SBA;06.01.1995 00:00;0;;
SBA;07.01.1995 00:00;0;;
SBA;08.01.1995 00:00;0;;
SBA;09.01.1995 00:00;0.9;;
SBA;10.01.1995 00:00;10.1;;
SBA;11.01.1995 00:00;1;;
SBA;12.01.1995 00:00;2.2;;
SBA;13.01.1995 00:00;0;;
SBA;14.01.1995 00:00;0;;
SBA;15.01.1995 00:00;0;;
SBA;16.01.1995 00:00;0;;
SBA;17.01.1995 00:00;0;;
SBA;18.01.1995 00:00;2.4;;
SBA;19.01.1995 00:00;0;;
SBA;20.01.1995 00:00;0.5;;
SBA;21.01.1995 00:00;4;;
SBA;22.01.1995 00:00;11.4;;
SBA;23.01.1995 00:00;2.2;;
SBA;24.01.1995 00:00;10.6;;
SBA;25.01.1995 00:00;3.3;;
SBA;26.01.1995 00:00;6.9;;
SBA;27.01.1995 00:00;0;;
SBA;28.01.1995 00:00;0.6;;
SBA;29.01.1995 00:00;7.9;;
SBA;30.01.1995 00:00;1.5;;
SBA;31.01.1995 00:00;0;;
SBA;01.02.1995 00:00;0;;
SBA;02.02.1995 00:00;0;;
SBA;03.02.1995 00:00;0;;
SBA;04.02.1995 00:00;2.4;;
SBA;05.02.1995 00:00;0;;
SBA;06.02.1995 00:00;0;;
SBA;07.02.1995 00:00;0;;
SBA;08.02.1995 00:00;2.7;;
SBA;09.02.1995 00:00;0;;
SBA;10.02.1995 00:00;0;;
SBA;11.02.1995 00:00;0;;
SBA;12.02.1995 00:00;0;;
SBA;13.02.1995 00:00;2.3;;
SBA;14.02.1995 00:00;0;;
SBA;15.02.1995 00:00;3.1;;
SBA;16.02.1995 00:00;3.8;;
SBA;17.02.1995 00:00;9.5;;
SBA;18.02.1995 00:00;0;;
SBA;19.02.1995 00:00;0;;
SBA;20.02.1995 00:00;0;;
SBA;21.02.1995 00:00;0;;
SBA;22.02.1995 00:00;4.2;;
SBA;23.02.1995 00:00;6.8;;
SBA;24.02.1995 00:00;17.4;;
SBA;25.02.1995 00:00;10.9;;
SBA;26.02.1995 00:00;3.9;;
SBA;27.02.1995 00:00;0;;
SBA;28.02.1995 00:00;0;;
SBA;01.03.1995 00:00;0;;
SBA;02.03.1995 00:00;0;;
SBA;03.03.1995 00:00;3.1;;
SBA;04.03.1995 00:00;0;;
SBA;05.03.1995 00:00;5.7;;
SBA;06.03.1995 00:00;0;;
SBA;07.03.1995 00:00;0.2;;
