station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SBE;01.01.1968 00:00;1.8;3;55
SBE;02.01.1968 00:00;0;0;53
SBE;03.01.1968 00:00;1.4;2;53
SBE;04.01.1968 00:00;0;0;55
SBE;05.01.1968 00:00;0.5;1;55
SBE;06.01.1968 00:00;6;14;56
SBE;07.01.1968 00:00;4.7;9;60
SBE;08.01.1968 00:00;0;0;66
SBE;09.01.1968 00:00;8.7;12;65
SBE;10.01.1968 00:00;0;0;72
SBE;11.01.1968 00:00;3.2;11;72
SBE;12.01.1968 00:00;0;0;68
SBE;13.01.1968 00:00;0;0;68
SBE;14.01.1968 00:00;13.6;20;67
SBE;15.01.1968 00:00;0;0;80
SBE;16.01.1968 00:00;0;0;75
SBE;17.01.1968 00:00;0;2;70
SBE;18.01.1968 00:00;1.3;5;72
SBE;19.01.1968 00:00;0.2;5;77
SBE;20.01.1968 00:00;0;0;75
SBE;21.01.1968 00:00;0;0;73
SBE;22.01.1968 00:00;0;0;71
SBE;23.01.1968 00:00;0;0;71
SBE;24.01.1968 00:00;0;0;69
SBE;25.01.1968 00:00;3.6;4;65
SBE;26.01.1968 00:00;22.9;30;70
SBE;27.01.1968 00:00;0;0;100
SBE;28.01.1968 00:00;0;0;100
SBE;29.01.1968 00:00;0;0;90
SBE;30.01.1968 00:00;0;0;86
SBE;31.01.1968 00:00;0;0;80
SBE;01.02.1968 00:00;0;0;78
SBE;02.02.1968 00:00;4.8;4;78
SBE;03.02.1968 00:00;18;30;78
SBE;04.02.1968 00:00;3;1;107
SBE;05.02.1968 00:00;14.9;24;105
SBE;06.02.1968 00:00;26;47;114
SBE;07.02.1968 00:00;12.5;23;150
SBE;08.02.1968 00:00;26;32;167
SBE;09.02.1968 00:00;4.2;2;173
SBE;10.02.1968 00:00;0;0;162
SBE;11.02.1968 00:00;0;0;147
SBE;12.02.1968 00:00;0;0;140
SBE;13.02.1968 00:00;1.5;1;135
SBE;14.02.1968 00:00;1.5;1;132
SBE;15.02.1968 00:00;0;0;126
SBE;16.02.1968 00:00;0;0;122
SBE;17.02.1968 00:00;0;0;120
SBE;18.02.1968 00:00;0;0;120
SBE;19.02.1968 00:00;0;0;119
SBE;20.02.1968 00:00;1.3;5;117
SBE;21.02.1968 00:00;8;17;122
SBE;22.02.1968 00:00;33.6;32;137
SBE;23.02.1968 00:00;18;28;160
SBE;24.02.1968 00:00;28;29;188
SBE;25.02.1968 00:00;0;0;206
SBE;26.02.1968 00:00;0;0;179
SBE;27.02.1968 00:00;0;0;179
SBE;28.02.1968 00:00;0;0;168
SBE;29.02.1968 00:00;0;0;165
SBE;01.03.1968 00:00;0;0;162
SBE;02.03.1968 00:00;2.5;2;160
SBE;03.03.1968 00:00;0;0;162
SBE;04.03.1968 00:00;0;0;155
SBE;05.03.1968 00:00;0;0;152
SBE;06.03.1968 00:00;0;0;151
SBE;07.03.1968 00:00;0;2;149
SBE;08.03.1968 00:00;0;0;149
SBE;09.03.1968 00:00;0;0;147
SBE;10.03.1968 00:00;4.7;5;147
SBE;11.03.1968 00:00;6.5;8;145
SBE;12.03.1968 00:00;0;0;150
SBE;13.03.1968 00:00;0;0;145
SBE;14.03.1968 00:00;0;0;141
SBE;15.03.1968 00:00;3.5;5;140
SBE;16.03.1968 00:00;0;0;145
SBE;17.03.1968 00:00;0;0;139
SBE;18.03.1968 00:00;0;0;136
SBE;19.03.1968 00:00;0;0;136
SBE;20.03.1968 00:00;5.9;10;132
SBE;21.03.1968 00:00;32;38;142
SBE;22.03.1968 00:00;2.8;1;180
SBE;23.03.1968 00:00;0;0;152
SBE;24.03.1968 00:00;0;0;144
SBE;25.03.1968 00:00;0;0;137
SBE;26.03.1968 00:00;0;0;132
SBE;27.03.1968 00:00;0;0;125
SBE;28.03.1968 00:00;0;0;119
SBE;29.03.1968 00:00;0;0;112
SBE;30.03.1968 00:00;0;0;110
SBE;31.03.1968 00:00;0;0;104
SBE;01.04.1968 00:00;0;0;95
SBE;02.04.1968 00:00;13.3;6;85
SBE;03.04.1968 00:00;14.6;5;90
SBE;04.04.1968 00:00;12;10;97
SBE;05.04.1968 00:00;65;20;105
SBE;06.04.1968 00:00;55;5;118
SBE;07.04.1968 00:00;29.6;35;120
SBE;08.04.1968 00:00;1;1;143
SBE;09.04.1968 00:00;0;0;134
SBE;10.04.1968 00:00;0;0;127
SBE;11.04.1968 00:00;3;4;117
SBE;12.04.1968 00:00;3.8;5;125
SBE;13.04.1968 00:00;25.4;37;160
SBE;14.04.1968 00:00;15;19;167
SBE;15.04.1968 00:00;0;0;149
SBE;16.04.1968 00:00;0;0;135
SBE;17.04.1968 00:00;0;0;124
SBE;18.04.1968 00:00;0;0;115
SBE;19.04.1968 00:00;0;0;108
SBE;20.04.1968 00:00;0;0;103
SBE;21.04.1968 00:00;0;0;100
SBE;22.04.1968 00:00;0;0;90
SBE;23.04.1968 00:00;0;0;72
SBE;24.04.1968 00:00;13.9;8;67
SBE;25.04.1968 00:00;0;0;70
SBE;26.04.1968 00:00;3.1;0;60
SBE;27.04.1968 00:00;15.3;0;55
SBE;28.04.1968 00:00;29;7;50
SBE;29.04.1968 00:00;28.7;14;57
SBE;30.04.1968 00:00;1.7;0;62
SBE;01.05.1968 00:00;13.4;0;60
SBE;02.05.1968 00:00;12.9;0;60
SBE;03.05.1968 00:00;5.8;0;51
SBE;04.05.1968 00:00;55;0;43
SBE;05.05.1968 00:00;47.5;0;40
SBE;06.05.1968 00:00;42.5;7;38
SBE;07.05.1968 00:00;7.6;4;40
SBE;08.05.1968 00:00;4.5;1;37
SBE;09.05.1968 00:00;2.5;1;30
SBE;10.05.1968 00:00;1.4;0;26
SBE;11.05.1968 00:00;13.8;0;25
SBE;12.05.1968 00:00;23.2;4;23
SBE;13.05.1968 00:00;0;0;26
SBE;14.05.1968 00:00;0;0;20
SBE;15.05.1968 00:00;0;0;0
SBE;16.05.1968 00:00;0;0;0
SBE;17.05.1968 00:00;0;0;0
SBE;18.05.1968 00:00;0;0;0
SBE;19.05.1968 00:00;0;0;0
SBE;20.05.1968 00:00;12.6;0;0
SBE;21.05.1968 00:00;9.5;0;0
SBE;22.05.1968 00:00;22.1;0;0
SBE;23.05.1968 00:00;0;0;0
SBE;24.05.1968 00:00;0;0;0
SBE;25.05.1968 00:00;4.1;0;0
SBE;26.05.1968 00:00;1.5;0;0
SBE;27.05.1968 00:00;10.1;0;0
SBE;28.05.1968 00:00;1;0;0
SBE;29.05.1968 00:00;3;0;0
SBE;30.05.1968 00:00;0;0;0
SBE;31.05.1968 00:00;0;0;0
SBE;01.06.1968 00:00;1.3;0;0
SBE;02.06.1968 00:00;0;0;0
SBE;03.06.1968 00:00;0;0;0
SBE;04.06.1968 00:00;0.7;0;0
SBE;05.06.1968 00:00;3.6;0;0
SBE;06.06.1968 00:00;27.2;0;0
SBE;07.06.1968 00:00;9.5;0;0
SBE;08.06.1968 00:00;1.2;0;0
SBE;09.06.1968 00:00;0;0;0
SBE;10.06.1968 00:00;0;0;0
SBE;11.06.1968 00:00;0;0;0
SBE;12.06.1968 00:00;0.6;0;0
SBE;13.06.1968 00:00;12.7;0;0
SBE;14.06.1968 00:00;13.4;0;0
SBE;15.06.1968 00:00;3.2;0;0
SBE;16.06.1968 00:00;8.9;0;0
SBE;17.06.1968 00:00;2.3;0;0
SBE;18.06.1968 00:00;0;0;0
SBE;19.06.1968 00:00;9.6;0;0
SBE;20.06.1968 00:00;25.1;0;0
SBE;21.06.1968 00:00;0;0;0
SBE;22.06.1968 00:00;0;0;0
SBE;23.06.1968 00:00;24.9;0;0
SBE;24.06.1968 00:00;0;0;0
SBE;25.06.1968 00:00;0;0;0
SBE;26.06.1968 00:00;3.4;0;0
SBE;27.06.1968 00:00;0;0;0
SBE;28.06.1968 00:00;0;0;0
SBE;29.06.1968 00:00;0;0;0
SBE;30.06.1968 00:00;0;0;0
SBE;01.07.1968 00:00;0;0;0
SBE;02.07.1968 00:00;0;0;0
SBE;03.07.1968 00:00;0;0;0
SBE;04.07.1968 00:00;0;0;0
SBE;05.07.1968 00:00;3.8;0;0
SBE;06.07.1968 00:00;12.1;0;0
SBE;07.07.1968 00:00;0;0;0
SBE;08.07.1968 00:00;0;0;0
SBE;09.07.1968 00:00;0;0;0
SBE;10.07.1968 00:00;5.1;0;0
SBE;11.07.1968 00:00;45.1;0;0
SBE;12.07.1968 00:00;0;0;0
SBE;13.07.1968 00:00;1.3;0;0
SBE;14.07.1968 00:00;31.9;0;0
SBE;15.07.1968 00:00;0;0;0
SBE;16.07.1968 00:00;24.8;0;0
SBE;17.07.1968 00:00;4.1;0;0
SBE;18.07.1968 00:00;0;0;0
SBE;19.07.1968 00:00;0;0;0
SBE;20.07.1968 00:00;0;0;0
SBE;21.07.1968 00:00;0.6;0;0
SBE;22.07.1968 00:00;0;0;0
SBE;23.07.1968 00:00;10.9;0;0
SBE;24.07.1968 00:00;1.1;0;0
SBE;25.07.1968 00:00;0;0;0
SBE;26.07.1968 00:00;0;0;0
SBE;27.07.1968 00:00;0;0;0
SBE;28.07.1968 00:00;1.2;0;0
SBE;29.07.1968 00:00;0.5;0;0
SBE;30.07.1968 00:00;0;0;0
SBE;31.07.1968 00:00;0;0;0
SBE;01.08.1968 00:00;3.5;0;0
SBE;02.08.1968 00:00;31.6;0;0
SBE;03.08.1968 00:00;0;0;0
SBE;04.08.1968 00:00;0;0;0
SBE;05.08.1968 00:00;13.5;0;0
SBE;06.08.1968 00:00;5.4;0;0
SBE;07.08.1968 00:00;0;0;0
SBE;08.08.1968 00:00;21.1;0;0
SBE;09.08.1968 00:00;0;0;0
SBE;10.08.1968 00:00;3.3;0;0
SBE;11.08.1968 00:00;0.5;0;0
SBE;12.08.1968 00:00;1.1;0;0
SBE;13.08.1968 00:00;14.9;0;0
