station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SCA;01.01.1961 00:00;5;;
SCA;02.01.1961 00:00;0;;
SCA;03.01.1961 00:00;8.3;;
SCA;04.01.1961 00:00;2.6;;
SCA;05.01.1961 00:00;2.4;;
SCA;06.01.1961 00:00;0.5;;
SCA;07.01.1961 00:00;0;;
SCA;08.01.1961 00:00;1.4;;
SCA;09.01.1961 00:00;2.2;;
SCA;10.01.1961 00:00;0;;
SCA;11.01.1961 00:00;0;;
SCA;12.01.1961 00:00;0;;
SCA;13.01.1961 00:00;0;;
SCA;14.01.1961 00:00;0;;
SCA;15.01.1961 00:00;0;;
SCA;16.01.1961 00:00;0;;
SCA;17.01.1961 00:00;0;;
SCA;18.01.1961 00:00;0;;
SCA;19.01.1961 00:00;0;;
SCA;20.01.1961 00:00;0;;
SCA;21.01.1961 00:00;0;;
SCA;22.01.1961 00:00;0;;
SCA;23.01.1961 00:00;12.5;;
SCA;24.01.1961 00:00;8.3;;
SCA;25.01.1961 00:00;0.5;;
SCA;26.01.1961 00:00;4;;
SCA;27.01.1961 00:00;0;;
SCA;28.01.1961 00:00;2.5;;
SCA;29.01.1961 00:00;0;;
SCA;30.01.1961 00:00;4.6;;
SCA;31.01.1961 00:00;12.2;;
SCA;01.02.1961 00:00;3.4;;
SCA;02.02.1961 00:00;17.2;;
SCA;03.02.1961 00:00;25;;
SCA;04.02.1961 00:00;2.4;;
SCA;05.02.1961 00:00;3.5;;
SCA;06.02.1961 00:00;0.8;;
SCA;07.02.1961 00:00;3;;
SCA;08.02.1961 00:00;0;;
SCA;09.02.1961 00:00;5.4;;
SCA;10.02.1961 00:00;0;;
SCA;11.02.1961 00:00;1.2;;
SCA;12.02.1961 00:00;2.2;;
SCA;13.02.1961 00:00;0;;
SCA;14.02.1961 00:00;0;;
SCA;15.02.1961 00:00;0;;
SCA;16.02.1961 00:00;0;;
SCA;17.02.1961 00:00;0;;
SCA;18.02.1961 00:00;0;;
SCA;19.02.1961 00:00;0;;
SCA;20.02.1961 00:00;0;;
SCA;21.02.1961 00:00;0;;
SCA;22.02.1961 00:00;0;;
SCA;23.02.1961 00:00;0;;
SCA;24.02.1961 00:00;0;;
