station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SCD;01.01.1974 00:00;7.9;;
SCD;02.01.1974 00:00;3.5;;
SCD;03.01.1974 00:00;8.5;;
SCD;04.01.1974 00:00;0;;
SCD;05.01.1974 00:00;0.4;;
SCD;06.01.1974 00:00;2.9;;
SCD;07.01.1974 00:00;0;;
SCD;08.01.1974 00:00;0;;
SCD;09.01.1974 00:00;27.4;;
SCD;10.01.1974 00:00;0;;
SCD;11.01.1974 00:00;0;;
SCD;12.01.1974 00:00;0;;
SCD;13.01.1974 00:00;0;;
SCD;14.01.1974 00:00;0;;
SCD;15.01.1974 00:00;0;;
SCD;16.01.1974 00:00;0;;
SCD;17.01.1974 00:00;0;;
SCD;18.01.1974 00:00;0;;
SCD;19.01.1974 00:00;0;;
SCD;20.01.1974 00:00;0;;
SCD;21.01.1974 00:00;0;;
SCD;22.01.1974 00:00;0;;
SCD;23.01.1974 00:00;0;;
SCD;24.01.1974 00:00;0;;
SCD;25.01.1974 00:00;0;;
SCD;26.01.1974 00:00;1.2;;
SCD;27.01.1974 00:00;0;;
SCD;28.01.1974 00:00;0;;
SCD;29.01.1974 00:00;6.1;;
SCD;30.01.1974 00:00;17.1;;
SCD;31.01.1974 00:00;10.3;;
SCD;01.02.1974 00:00;18;;
SCD;02.02.1974 00:00;40.3;;
SCD;03.02.1974 00:00;54.2;;
SCD;04.02.1974 00:00;0;;
SCD;05.02.1974 00:00;2.2;;
SCD;06.02.1974 00:00;5.7;;
SCD;07.02.1974 00:00;0;;
SCD;08.02.1974 00:00;0;;
SCD;09.02.1974 00:00;0;;
SCD;10.02.1974 00:00;0;;
SCD;11.02.1974 00:00;12.1;;
SCD;12.02.1974 00:00;56.5;;
SCD;13.02.1974 00:00;0;;
SCD;14.02.1974 00:00;0;;
SCD;15.02.1974 00:00;7.2;;
SCD;16.02.1974 00:00;15.4;;
SCD;17.02.1974 00:00;14.4;;
SCD;18.02.1974 00:00;24.5;;
SCD;19.02.1974 00:00;0;;
SCD;20.02.1974 00:00;0;;
SCD;21.02.1974 00:00;0;;
SCD;22.02.1974 00:00;1.2;;
SCD;23.02.1974 00:00;0;;
SCD;24.02.1974 00:00;0;;
SCD;25.02.1974 00:00;0;;
SCD;26.02.1974 00:00;3.1;;
SCD;27.02.1974 00:00;2.1;;
SCD;28.02.1974 00:00;8.2;;
SCD;01.03.1974 00:00;7;;
SCD;02.03.1974 00:00;0;;
SCD;03.03.1974 00:00;34;;
SCD;04.03.1974 00:00;17.5;;
SCD;05.03.1974 00:00;0;;
SCD;06.03.1974 00:00;0;;
SCD;07.03.1974 00:00;0;;
SCD;08.03.1974 00:00;0;;
SCD;09.03.1974 00:00;0;;
SCD;10.03.1974 00:00;0;;
SCD;11.03.1974 00:00;2.1;;
SCD;12.03.1974 00:00;0;;
SCD;13.03.1974 00:00;0;;
SCD;14.03.1974 00:00;0;;
SCD;15.03.1974 00:00;3.5;;
SCD;16.03.1974 00:00;0;;
SCD;17.03.1974 00:00;0;;
SCD;18.03.1974 00:00;0;;
SCD;19.03.1974 00:00;0;;
SCD;20.03.1974 00:00;23.5;;
SCD;21.03.1974 00:00;0;;
SCD;22.03.1974 00:00;0;;
SCD;23.03.1974 00:00;0;;
SCD;24.03.1974 00:00;0;;
SCD;25.03.1974 00:00;9.1;;
SCD;26.03.1974 00:00;20;;
SCD;27.03.1974 00:00;10.3;;
SCD;28.03.1974 00:00;5;;
SCD;29.03.1974 00:00;3.1;;
SCD;30.03.1974 00:00;0;;
SCD;31.03.1974 00:00;0;;
SCD;01.04.1974 00:00;0;;
SCD;02.04.1974 00:00;7.1;;
SCD;03.04.1974 00:00;0;;
SCD;04.04.1974 00:00;8.9;;
SCD;05.04.1974 00:00;0;;
SCD;06.04.1974 00:00;0;;
SCD;07.04.1974 00:00;0;;
SCD;08.04.1974 00:00;0;;
SCD;09.04.1974 00:00;0;;
SCD;10.04.1974 00:00;0;;
SCD;11.04.1974 00:00;0;;
SCD;12.04.1974 00:00;0;;
SCD;13.04.1974 00:00;8.1;;
SCD;14.04.1974 00:00;0;;
SCD;15.04.1974 00:00;0;;
SCD;16.04.1974 00:00;0;;
SCD;17.04.1974 00:00;0;;
SCD;18.04.1974 00:00;0;;
SCD;19.04.1974 00:00;0;;
SCD;20.04.1974 00:00;0;;
SCD;21.04.1974 00:00;0;;
SCD;22.04.1974 00:00;5.4;;
SCD;23.04.1974 00:00;17.2;;
SCD;24.04.1974 00:00;12.9;;
SCD;25.04.1974 00:00;12.8;;
SCD;26.04.1974 00:00;5.2;;
SCD;27.04.1974 00:00;28;;
SCD;28.04.1974 00:00;30;;
SCD;29.04.1974 00:00;25.2;;
SCD;30.04.1974 00:00;5.5;;
SCD;01.05.1974 00:00;0;;
SCD;02.05.1974 00:00;3.3;;
