station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SCU;01.10.1900 00:00;0;;
SCU;02.10.1900 00:00;0;;
SCU;03.10.1900 00:00;6;;
SCU;04.10.1900 00:00;0;;
SCU;05.10.1900 00:00;1;;
SCU;06.10.1900 00:00;0;;
SCU;07.10.1900 00:00;0;;
SCU;08.10.1900 00:00;0;;
SCU;09.10.1900 00:00;0;;
SCU;10.10.1900 00:00;0;;
SCU;11.10.1900 00:00;0;;
SCU;12.10.1900 00:00;0;;
SCU;13.10.1900 00:00;0;;
SCU;14.10.1900 00:00;4;;
SCU;15.10.1900 00:00;0;;
SCU;16.10.1900 00:00;0;;
SCU;17.10.1900 00:00;0.3;;
SCU;18.10.1900 00:00;2;;
SCU;19.10.1900 00:00;0;;
SCU;20.10.1900 00:00;0;;
SCU;21.10.1900 00:00;0;;
SCU;22.10.1900 00:00;0;;
SCU;23.10.1900 00:00;0;;
SCU;24.10.1900 00:00;0;;
SCU;25.10.1900 00:00;0;;
SCU;26.10.1900 00:00;0;;
SCU;27.10.1900 00:00;0;;
SCU;28.10.1900 00:00;0;;
SCU;29.10.1900 00:00;0;;
SCU;30.10.1900 00:00;0;;
SCU;31.10.1900 00:00;0;;
SCU;01.11.1900 00:00;0;;
SCU;02.11.1900 00:00;2;;
SCU;03.11.1900 00:00;0;;
SCU;04.11.1900 00:00;0;;
SCU;05.11.1900 00:00;0;;
SCU;06.11.1900 00:00;0;;
SCU;07.11.1900 00:00;0;;
SCU;08.11.1900 00:00;0;;
SCU;09.11.1900 00:00;0;;
SCU;10.11.1900 00:00;25;;
SCU;11.11.1900 00:00;0;;
SCU;12.11.1900 00:00;0;;
SCU;13.11.1900 00:00;0;;
SCU;14.11.1900 00:00;0;;
SCU;15.11.1900 00:00;0;;
SCU;16.11.1900 00:00;1;;
SCU;17.11.1900 00:00;0;;
SCU;18.11.1900 00:00;0;;
SCU;19.11.1900 00:00;0;;
SCU;20.11.1900 00:00;7;;
SCU;21.11.1900 00:00;1;;
SCU;22.11.1900 00:00;0;;
SCU;23.11.1900 00:00;0;;
