station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SDO;01.01.1901 00:00;0;;
SDO;02.01.1901 00:00;0;;
SDO;03.01.1901 00:00;0;;
SDO;04.01.1901 00:00;0;;
SDO;05.01.1901 00:00;0;;
SDO;06.01.1901 00:00;0;;
SDO;07.01.1901 00:00;0;;
SDO;08.01.1901 00:00;0;;
SDO;09.01.1901 00:00;0;;
SDO;10.01.1901 00:00;0;;
SDO;11.01.1901 00:00;0;;
SDO;12.01.1901 00:00;0;;
SDO;13.01.1901 00:00;0;;
SDO;14.01.1901 00:00;0;;
SDO;15.01.1901 00:00;0;;
SDO;16.01.1901 00:00;0;;
SDO;17.01.1901 00:00;0;;
SDO;18.01.1901 00:00;0;;
SDO;19.01.1901 00:00;0;;
SDO;20.01.1901 00:00;0;;
SDO;21.01.1901 00:00;10.7;;
SDO;22.01.1901 00:00;0;;
SDO;23.01.1901 00:00;0;;
SDO;24.01.1901 00:00;0;;
SDO;25.01.1901 00:00;0;;
SDO;26.01.1901 00:00;5.2;;
SDO;27.01.1901 00:00;1.5;;
SDO;28.01.1901 00:00;2.8;;
SDO;29.01.1901 00:00;0;;
SDO;30.01.1901 00:00;0;;
SDO;31.01.1901 00:00;3.5;;
SDO;01.02.1901 00:00;10;;
SDO;02.02.1901 00:00;2.2;;
SDO;03.02.1901 00:00;0;;
SDO;04.02.1901 00:00;8.3;;
SDO;05.02.1901 00:00;17;;
SDO;06.02.1901 00:00;0;;
SDO;07.02.1901 00:00;0;;
SDO;08.02.1901 00:00;0;;
SDO;09.02.1901 00:00;0;;
SDO;10.02.1901 00:00;0;;
SDO;11.02.1901 00:00;0;;
SDO;12.02.1901 00:00;0;;
SDO;13.02.1901 00:00;0;;
SDO;14.02.1901 00:00;0;;
SDO;15.02.1901 00:00;0;;
SDO;16.02.1901 00:00;3.6;;
SDO;17.02.1901 00:00;2.9;;
SDO;18.02.1901 00:00;0;;
SDO;19.02.1901 00:00;0;;
SDO;20.02.1901 00:00;0;;
SDO;21.02.1901 00:00;0;;
SDO;22.02.1901 00:00;0;;
SDO;23.02.1901 00:00;0;;
SDO;24.02.1901 00:00;0;;
SDO;25.02.1901 00:00;0;;
SDO;26.02.1901 00:00;0;;
SDO;27.02.1901 00:00;0;;
SDO;28.02.1901 00:00;0.6;;
SDO;01.03.1901 00:00;0.7;;
SDO;02.03.1901 00:00;0.5;;
SDO;03.03.1901 00:00;13.2;;
SDO;04.03.1901 00:00;6.1;;
SDO;05.03.1901 00:00;0;;
SDO;06.03.1901 00:00;25.7;;
SDO;07.03.1901 00:00;0;;
SDO;08.03.1901 00:00;0;;
SDO;09.03.1901 00:00;0;;
SDO;10.03.1901 00:00;39;;
SDO;11.03.1901 00:00;7.3;;
SDO;12.03.1901 00:00;1.5;;
SDO;13.03.1901 00:00;2.8;;
SDO;14.03.1901 00:00;3.5;;
SDO;15.03.1901 00:00;39;;
SDO;16.03.1901 00:00;1.5;;
SDO;17.03.1901 00:00;9.5;;
SDO;18.03.1901 00:00;8.8;;
SDO;19.03.1901 00:00;36.5;;
SDO;20.03.1901 00:00;10;;
SDO;21.03.1901 00:00;0.6;;
SDO;22.03.1901 00:00;0;;
SDO;23.03.1901 00:00;0;;
SDO;24.03.1901 00:00;0;;
SDO;25.03.1901 00:00;0;;
SDO;26.03.1901 00:00;2.5;;
SDO;27.03.1901 00:00;0;;
SDO;28.03.1901 00:00;0;;
SDO;29.03.1901 00:00;0;;
SDO;30.03.1901 00:00;0.7;;
SDO;31.03.1901 00:00;4.6;;
SDO;01.04.1901 00:00;0.2;;
SDO;02.04.1901 00:00;0;;
SDO;03.04.1901 00:00;0;;
SDO;04.04.1901 00:00;0;;
SDO;05.04.1901 00:00;26.1;;
SDO;06.04.1901 00:00;0;;
SDO;07.04.1901 00:00;6.6;;
SDO;08.04.1901 00:00;0;;
