station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SED;01.01.1900 00:00;0;;
SED;02.01.1900 00:00;0;;
SED;03.01.1900 00:00;6.4;;
SED;04.01.1900 00:00;13.1;;
SED;05.01.1900 00:00;2.7;;
SED;06.01.1900 00:00;0;;
SED;07.01.1900 00:00;6.9;;
SED;08.01.1900 00:00;3.2;;
SED;09.01.1900 00:00;4.5;;
SED;10.01.1900 00:00;5.3;;
SED;11.01.1900 00:00;12.4;;
SED;12.01.1900 00:00;0;;
SED;13.01.1900 00:00;0;;
SED;14.01.1900 00:00;0;;
SED;15.01.1900 00:00;0;;
SED;16.01.1900 00:00;19.7;;
SED;17.01.1900 00:00;0;;
SED;18.01.1900 00:00;3.4;;
SED;19.01.1900 00:00;0;;
SED;20.01.1900 00:00;0;;
SED;21.01.1900 00:00;0;;
SED;22.01.1900 00:00;21.8;;
SED;23.01.1900 00:00;0;;
SED;24.01.1900 00:00;0;;
SED;25.01.1900 00:00;16.9;;
SED;26.01.1900 00:00;0;;
SED;27.01.1900 00:00;0;;
SED;28.01.1900 00:00;6;;
SED;29.01.1900 00:00;0;;
SED;30.01.1900 00:00;0;;
SED;31.01.1900 00:00;0;;
SED;01.02.1900 00:00;0;;
SED;02.02.1900 00:00;0;;
SED;03.02.1900 00:00;7.3;;
SED;04.02.1900 00:00;0;;
SED;05.02.1900 00:00;0;;
SED;06.02.1900 00:00;5.5;;
SED;07.02.1900 00:00;0;;
SED;08.02.1900 00:00;0;;
SED;09.02.1900 00:00;0;;
SED;10.02.1900 00:00;4.5;;
SED;11.02.1900 00:00;0;;
SED;12.02.1900 00:00;21.5;;
SED;13.02.1900 00:00;0;;
SED;14.02.1900 00:00;15.7;;
SED;15.02.1900 00:00;4.4;;
SED;16.02.1900 00:00;3.5;;
SED;17.02.1900 00:00;0;;
SED;18.02.1900 00:00;3.4;;
SED;19.02.1900 00:00;11.5;;
SED;20.02.1900 00:00;8.4;;
SED;21.02.1900 00:00;2.5;;
SED;22.02.1900 00:00;2.7;;
SED;23.02.1900 00:00;3.8;;
SED;24.02.1900 00:00;0;;
SED;25.02.1900 00:00;0;;
SED;26.02.1900 00:00;7.3;;
SED;27.02.1900 00:00;0;;
SED;28.02.1900 00:00;2.6;;
SED;01.03.1900 00:00;0;;
SED;02.03.1900 00:00;0;;
SED;03.03.1900 00:00;1.8;;
SED;04.03.1900 00:00;8.1;;
SED;05.03.1900 00:00;0;;
SED;06.03.1900 00:00;0;;
SED;07.03.1900 00:00;0;;
SED;08.03.1900 00:00;0;;
SED;09.03.1900 00:00;0;;
SED;10.03.1900 00:00;0;;
SED;11.03.1900 00:00;0;;
SED;12.03.1900 00:00;0;;
SED;13.03.1900 00:00;3.4;;
SED;14.03.1900 00:00;0;;
SED;15.03.1900 00:00;0;;
SED;16.03.1900 00:00;0;;
SED;17.03.1900 00:00;15.2;;
SED;18.03.1900 00:00;0;;
SED;19.03.1900 00:00;0;;
SED;20.03.1900 00:00;0;;
SED;21.03.1900 00:00;0;;
SED;22.03.1900 00:00;0;;
SED;23.03.1900 00:00;0;;
SED;24.03.1900 00:00;0;;
SED;25.03.1900 00:00;1.3;;
SED;26.03.1900 00:00;1.6;;
SED;27.03.1900 00:00;10;;
SED;28.03.1900 00:00;3.5;;
SED;29.03.1900 00:00;2.5;;
SED;30.03.1900 00:00;4.6;;
SED;31.03.1900 00:00;1.2;;
SED;01.04.1900 00:00;2.6;;
SED;02.04.1900 00:00;0;;
SED;03.04.1900 00:00;1.9;;
SED;04.04.1900 00:00;0;;
SED;05.04.1900 00:00;0;;
SED;06.04.1900 00:00;0;;
SED;07.04.1900 00:00;3.2;;
SED;08.04.1900 00:00;4.3;;
SED;09.04.1900 00:00;0;;
SED;10.04.1900 00:00;0;;
SED;11.04.1900 00:00;0;;
SED;12.04.1900 00:00;0;;
SED;13.04.1900 00:00;11.8;;
SED;14.04.1900 00:00;0;;
SED;15.04.1900 00:00;0;;
SED;16.04.1900 00:00;9.5;;
SED;17.04.1900 00:00;4.8;;
SED;18.04.1900 00:00;0;;
SED;19.04.1900 00:00;0;;
SED;20.04.1900 00:00;0;;
SED;21.04.1900 00:00;0;;
SED;22.04.1900 00:00;0;;
SED;23.04.1900 00:00;18.8;;
SED;24.04.1900 00:00;1.3;;
SED;25.04.1900 00:00;6.9;;
SED;26.04.1900 00:00;0;;
SED;27.04.1900 00:00;0;;
SED;28.04.1900 00:00;0;;
SED;29.04.1900 00:00;0;;
SED;30.04.1900 00:00;9.7;;
SED;01.05.1900 00:00;0;;
SED;02.05.1900 00:00;0;;
SED;03.05.1900 00:00;1;;
SED;04.05.1900 00:00;0;;
SED;05.05.1900 00:00;0;;
SED;06.05.1900 00:00;0;;
SED;07.05.1900 00:00;9;;
SED;08.05.1900 00:00;0;;
SED;09.05.1900 00:00;1.4;;
SED;10.05.1900 00:00;0;;
SED;11.05.1900 00:00;0;;
SED;12.05.1900 00:00;0;;
SED;13.05.1900 00:00;1.5;;
SED;14.05.1900 00:00;17;;
SED;15.05.1900 00:00;4.5;;
SED;16.05.1900 00:00;0;;
SED;17.05.1900 00:00;0;;
SED;18.05.1900 00:00;0;;
SED;19.05.1900 00:00;2.7;;
SED;20.05.1900 00:00;0;;
SED;21.05.1900 00:00;0;;
SED;22.05.1900 00:00;0;;
SED;23.05.1900 00:00;3.3;;
SED;24.05.1900 00:00;45.3;;
SED;25.05.1900 00:00;17.7;;
SED;26.05.1900 00:00;0;;
SED;27.05.1900 00:00;0;;
SED;28.05.1900 00:00;0;;
SED;29.05.1900 00:00;6.8;;
SED;30.05.1900 00:00;2.2;;
SED;31.05.1900 00:00;0;;
SED;01.06.1900 00:00;0;;
SED;02.06.1900 00:00;0;;
SED;03.06.1900 00:00;0;;
SED;04.06.1900 00:00;0;;
SED;05.06.1900 00:00;8;;
SED;06.06.1900 00:00;0;;
SED;07.06.1900 00:00;0;;
SED;08.06.1900 00:00;0;;
SED;09.06.1900 00:00;0;;
SED;10.06.1900 00:00;0;;
SED;11.06.1900 00:00;0;;
SED;12.06.1900 00:00;0;;
SED;13.06.1900 00:00;4.4;;
SED;14.06.1900 00:00;0;;
SED;15.06.1900 00:00;2;;
SED;16.06.1900 00:00;0;;
SED;17.06.1900 00:00;0;;
SED;18.06.1900 00:00;0;;
SED;19.06.1900 00:00;0;;
SED;20.06.1900 00:00;3.5;;
SED;21.06.1900 00:00;0;;
SED;22.06.1900 00:00;3.4;;
SED;23.06.1900 00:00;0;;
SED;24.06.1900 00:00;0;;
SED;25.06.1900 00:00;0;;
SED;26.06.1900 00:00;2.5;;
SED;27.06.1900 00:00;0;;
SED;28.06.1900 00:00;0;;
SED;29.06.1900 00:00;0;;
SED;30.06.1900 00:00;0;;
SED;01.07.1900 00:00;0;;
SED;02.07.1900 00:00;0;;
SED;03.07.1900 00:00;42.8;;
SED;04.07.1900 00:00;57.4;;
SED;05.07.1900 00:00;0;;
SED;06.07.1900 00:00;0;;
SED;07.07.1900 00:00;7.6;;
SED;08.07.1900 00:00;0;;
SED;09.07.1900 00:00;2;;
SED;10.07.1900 00:00;0;;
SED;11.07.1900 00:00;0;;
SED;12.07.1900 00:00;2.5;;
SED;13.07.1900 00:00;14;;
SED;14.07.1900 00:00;0;;
SED;15.07.1900 00:00;0;;
SED;16.07.1900 00:00;0;;
SED;17.07.1900 00:00;0;;
SED;18.07.1900 00:00;0;;
SED;19.07.1900 00:00;18.9;;
SED;20.07.1900 00:00;10.5;;
SED;21.07.1900 00:00;32.3;;
SED;22.07.1900 00:00;0;;
SED;23.07.1900 00:00;0;;
SED;24.07.1900 00:00;0;;
SED;25.07.1900 00:00;0;;
SED;26.07.1900 00:00;0;;
SED;27.07.1900 00:00;4.5;;
SED;28.07.1900 00:00;0;;
SED;29.07.1900 00:00;4.7;;
SED;30.07.1900 00:00;12.2;;
SED;31.07.1900 00:00;0;;
SED;01.08.1900 00:00;0;;
SED;02.08.1900 00:00;0;;
SED;03.08.1900 00:00;0;;
