station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SEM;01.01.1969 00:00;0;;
SEM;02.01.1969 00:00;1.1;;
SEM;03.01.1969 00:00;0;;
SEM;04.01.1969 00:00;0;;
SEM;05.01.1969 00:00;0;;
SEM;06.01.1969 00:00;0;;
SEM;07.01.1969 00:00;0;;
SEM;08.01.1969 00:00;3.9;;
SEM;09.01.1969 00:00;0;;
SEM;10.01.1969 00:00;0;;
SEM;11.01.1969 00:00;0;;
SEM;12.01.1969 00:00;2.7;;
SEM;13.01.1969 00:00;0;;
SEM;14.01.1969 00:00;5.7;;
SEM;15.01.1969 00:00;0.8;;
SEM;16.01.1969 00:00;5.2;;
SEM;17.01.1969 00:00;0;;
SEM;18.01.1969 00:00;11.5;;
SEM;19.01.1969 00:00;0;;
SEM;20.01.1969 00:00;0;;
SEM;21.01.1969 00:00;0;;
SEM;22.01.1969 00:00;0.9;;
SEM;23.01.1969 00:00;4.7;;
SEM;24.01.1969 00:00;0;;
SEM;25.01.1969 00:00;0;;
SEM;26.01.1969 00:00;0;;
SEM;27.01.1969 00:00;0;;
SEM;28.01.1969 00:00;17.4;;
SEM;29.01.1969 00:00;7.5;;
SEM;30.01.1969 00:00;0;;
SEM;31.01.1969 00:00;0;;
SEM;01.02.1969 00:00;0;;
SEM;02.02.1969 00:00;15.9;;
SEM;03.02.1969 00:00;0;;
SEM;04.02.1969 00:00;0.2;;
SEM;05.02.1969 00:00;0;;
SEM;06.02.1969 00:00;0;;
SEM;07.02.1969 00:00;1.7;;
SEM;08.02.1969 00:00;0.2;;
SEM;09.02.1969 00:00;0;;
SEM;10.02.1969 00:00;2.3;;
SEM;11.02.1969 00:00;1.2;;
SEM;12.02.1969 00:00;2.6;;
SEM;13.02.1969 00:00;0.2;;
SEM;14.02.1969 00:00;0;;
SEM;15.02.1969 00:00;4.5;;
SEM;16.02.1969 00:00;4;;
SEM;17.02.1969 00:00;0.2;;
SEM;18.02.1969 00:00;5.6;;
SEM;19.02.1969 00:00;9;;
SEM;20.02.1969 00:00;0;;
SEM;21.02.1969 00:00;0;;
SEM;22.02.1969 00:00;0;;
SEM;23.02.1969 00:00;0.5;;
SEM;24.02.1969 00:00;15.6;;
SEM;25.02.1969 00:00;5;;
SEM;26.02.1969 00:00;0;;
SEM;27.02.1969 00:00;0;;
SEM;28.02.1969 00:00;0;;
SEM;01.03.1969 00:00;0;;
SEM;02.03.1969 00:00;0;;
SEM;03.03.1969 00:00;0;;
SEM;04.03.1969 00:00;0;;
SEM;05.03.1969 00:00;0;;
SEM;06.03.1969 00:00;0;;
SEM;07.03.1969 00:00;0.5;;
SEM;08.03.1969 00:00;0;;
SEM;09.03.1969 00:00;0;;
SEM;10.03.1969 00:00;0;;
SEM;11.03.1969 00:00;2.4;;
SEM;12.03.1969 00:00;5.6;;
SEM;13.03.1969 00:00;10.3;;
SEM;14.03.1969 00:00;14;;
SEM;15.03.1969 00:00;1.9;;
SEM;16.03.1969 00:00;1.2;;
SEM;17.03.1969 00:00;7.8;;
SEM;18.03.1969 00:00;0;;
SEM;19.03.1969 00:00;0;;
SEM;20.03.1969 00:00;0.3;;
SEM;21.03.1969 00:00;0;;
SEM;22.03.1969 00:00;3.2;;
SEM;23.03.1969 00:00;20;;
SEM;24.03.1969 00:00;6;;
SEM;25.03.1969 00:00;1;;
SEM;26.03.1969 00:00;0;;
SEM;27.03.1969 00:00;0;;
SEM;28.03.1969 00:00;0;;
SEM;29.03.1969 00:00;0;;
SEM;30.03.1969 00:00;0;;
SEM;31.03.1969 00:00;0.5;;
SEM;01.04.1969 00:00;8.4;;
SEM;02.04.1969 00:00;0.2;;
SEM;03.04.1969 00:00;0;;
SEM;04.04.1969 00:00;0;;
SEM;05.04.1969 00:00;0;;
SEM;06.04.1969 00:00;0;;
SEM;07.04.1969 00:00;0;;
SEM;08.04.1969 00:00;0;;
SEM;09.04.1969 00:00;0;;
SEM;10.04.1969 00:00;0;;
SEM;11.04.1969 00:00;4.5;;
SEM;12.04.1969 00:00;17.8;;
SEM;13.04.1969 00:00;5.5;;
SEM;14.04.1969 00:00;1.1;;
SEM;15.04.1969 00:00;0.2;;
SEM;16.04.1969 00:00;0.7;;
SEM;17.04.1969 00:00;2.7;;
SEM;18.04.1969 00:00;0;;
SEM;19.04.1969 00:00;0;;
SEM;20.04.1969 00:00;5.2;;
SEM;21.04.1969 00:00;13.1;;
SEM;22.04.1969 00:00;31.5;;
SEM;23.04.1969 00:00;4.5;;
SEM;24.04.1969 00:00;0;;
SEM;25.04.1969 00:00;0;;
SEM;26.04.1969 00:00;5.6;;
