station_abbr;reference_timestamp;rre150d0;hns000d0;hto000d0
SEV;01.01.1901 00:00;2.3;;
SEV;02.01.1901 00:00;0;;
SEV;03.01.1901 00:00;0;;
SEV;04.01.1901 00:00;0;;
SEV;05.01.1901 00:00;0;;
SEV;06.01.1901 00:00;0;;
SEV;07.01.1901 00:00;0;;
SEV;08.01.1901 00:00;0;;
SEV;09.01.1901 00:00;0;;
SEV;10.01.1901 00:00;0;;
SEV;11.01.1901 00:00;3;;
SEV;12.01.1901 00:00;0;;
SEV;13.01.1901 00:00;0;;
SEV;14.01.1901 00:00;0;;
SEV;15.01.1901 00:00;0;;
SEV;16.01.1901 00:00;0;;
SEV;17.01.1901 00:00;0;;
SEV;18.01.1901 00:00;0;;
SEV;19.01.1901 00:00;0;;
SEV;20.01.1901 00:00;0;;
SEV;21.01.1901 00:00;11.8;;
SEV;22.01.1901 00:00;0;;
SEV;23.01.1901 00:00;0;;
SEV;24.01.1901 00:00;0;;
SEV;25.01.1901 00:00;1;;
SEV;26.01.1901 00:00;10.5;;
SEV;27.01.1901 00:00;20.4;;
SEV;28.01.1901 00:00;9.1;;
SEV;29.01.1901 00:00;0;;
SEV;30.01.1901 00:00;0;;
SEV;31.01.1901 00:00;0;;
SEV;01.02.1901 00:00;0;;
SEV;02.02.1901 00:00;3.9;;
SEV;03.02.1901 00:00;0;;
SEV;04.02.1901 00:00;0;;
SEV;05.02.1901 00:00;1;;
SEV;06.02.1901 00:00;0;;
SEV;07.02.1901 00:00;1;;
SEV;08.02.1901 00:00;0;;
SEV;09.02.1901 00:00;0;;
SEV;10.02.1901 00:00;0;;
SEV;11.02.1901 00:00;0;;
SEV;12.02.1901 00:00;0;;
SEV;13.02.1901 00:00;5;;
SEV;14.02.1901 00:00;0;;
SEV;15.02.1901 00:00;0;;
SEV;16.02.1901 00:00;5;;
SEV;17.02.1901 00:00;5;;
SEV;18.02.1901 00:00;1;;
SEV;19.02.1901 00:00;0;;
SEV;20.02.1901 00:00;0;;
SEV;21.02.1901 00:00;0;;
SEV;22.02.1901 00:00;0;;
SEV;23.02.1901 00:00;0;;
SEV;24.02.1901 00:00;0;;
SEV;25.02.1901 00:00;0;;
SEV;26.02.1901 00:00;0;;
SEV;27.02.1901 00:00;0;;
SEV;28.02.1901 00:00;0;;
SEV;01.03.1901 00:00;0;;
SEV;02.03.1901 00:00;0;;
SEV;03.03.1901 00:00;2.6;;
SEV;04.03.1901 00:00;0.4;;
SEV;05.03.1901 00:00;16.1;;
SEV;06.03.1901 00:00;0;;
SEV;07.03.1901 00:00;0;;
SEV;08.03.1901 00:00;0;;
SEV;09.03.1901 00:00;0;;
SEV;10.03.1901 00:00;17.2;;
SEV;11.03.1901 00:00;2.6;;
SEV;12.03.1901 00:00;0.8;;
SEV;13.03.1901 00:00;0;;
SEV;14.03.1901 00:00;0;;
SEV;15.03.1901 00:00;0;;
SEV;16.03.1901 00:00;0;;
SEV;17.03.1901 00:00;0;;
SEV;18.03.1901 00:00;0;;
SEV;19.03.1901 00:00;0;;
SEV;20.03.1901 00:00;18.2;;
SEV;21.03.1901 00:00;7;;
SEV;22.03.1901 00:00;0;;
SEV;23.03.1901 00:00;0.5;;
SEV;24.03.1901 00:00;0;;
SEV;25.03.1901 00:00;0;;
SEV;26.03.1901 00:00;1.5;;
SEV;27.03.1901 00:00;0;;
SEV;28.03.1901 00:00;0.5;;
SEV;29.03.1901 00:00;0;;
SEV;30.03.1901 00:00;0;;
SEV;31.03.1901 00:00;0;;
SEV;01.04.1901 00:00;0;;
SEV;02.04.1901 00:00;0;;
SEV;03.04.1901 00:00;0;;
SEV;04.04.1901 00:00;3.8;;
SEV;05.04.1901 00:00;65.2;;
SEV;06.04.1901 00:00;3.9;;
SEV;07.04.1901 00:00;24.5;;
SEV;08.04.1901 00:00;0;;
SEV;09.04.1901 00:00;5;;
SEV;10.04.1901 00:00;16.2;;
SEV;11.04.1901 00:00;0;;
SEV;12.04.1901 00:00;22.6;;
SEV;13.04.1901 00:00;2.4;;
SEV;14.04.1901 00:00;14.2;;
SEV;15.04.1901 00:00;0;;
SEV;16.04.1901 00:00;6.2;;
SEV;17.04.1901 00:00;6.5;;
